# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(0,1),-2.09317 # DEPENDENCYPART_ARC
(0,2),-1.8574 # DEPENDENCYPART_ARC
(0,3),-2.46149 # DEPENDENCYPART_ARC
(0,4),-2.60552 # DEPENDENCYPART_ARC
(0,5),-2.60407 # DEPENDENCYPART_ARC
(0,6),-2.57831 # DEPENDENCYPART_ARC
(0,7),-3.46279 # DEPENDENCYPART_ARC
(0,8),-2.85753 # DEPENDENCYPART_ARC
(0,9),-2.93933 # DEPENDENCYPART_ARC
(0,10),-3.7167 # DEPENDENCYPART_ARC
(0,11),-3.85005 # DEPENDENCYPART_ARC
(0,12),-3.48425 # DEPENDENCYPART_ARC
(0,13),-3.06461 # DEPENDENCYPART_ARC
(0,14),-3.05481 # DEPENDENCYPART_ARC
(0,15),-2.76039 # DEPENDENCYPART_ARC
(0,16),-3.07752 # DEPENDENCYPART_ARC
(0,17),-4.59746 # DEPENDENCYPART_ARC
(0,18),-1.79041 # DEPENDENCYPART_ARC
(0,19),-2.47106 # DEPENDENCYPART_ARC
(0,20),-4.87663 # DEPENDENCYPART_ARC
(1,2),-0.208587 # DEPENDENCYPART_ARC
(1,3),-0.713706 # DEPENDENCYPART_ARC
(1,4),-0.337073 # DEPENDENCYPART_ARC
(1,5),-0.832926 # DEPENDENCYPART_ARC
(1,6),-0.615303 # DEPENDENCYPART_ARC
(1,7),-1.54777 # DEPENDENCYPART_ARC
(1,8),-0.99531 # DEPENDENCYPART_ARC
(1,9),-0.773999 # DEPENDENCYPART_ARC
(1,10),-1.55068 # DEPENDENCYPART_ARC
(1,11),-1.86955 # DEPENDENCYPART_ARC
(1,12),-0.670689 # DEPENDENCYPART_ARC
(1,13),-1.17221 # DEPENDENCYPART_ARC
(1,14),-1.03116 # DEPENDENCYPART_ARC
(1,15),-1.43129 # DEPENDENCYPART_ARC
(1,16),-1.38964 # DEPENDENCYPART_ARC
(1,17),-2.00706 # DEPENDENCYPART_ARC
(1,18),-1.71793 # DEPENDENCYPART_ARC
(1,19),-1.38374 # DEPENDENCYPART_ARC
(1,20),-2.29768 # DEPENDENCYPART_ARC
(2,1),1.5446 # DEPENDENCYPART_ARC
(2,3),-1.47763 # DEPENDENCYPART_ARC
(2,4),-0.547477 # DEPENDENCYPART_ARC
(2,5),-1.41286 # DEPENDENCYPART_ARC
(2,6),-1.08448 # DEPENDENCYPART_ARC
(2,7),-2.59469 # DEPENDENCYPART_ARC
(2,8),-1.56327 # DEPENDENCYPART_ARC
(2,9),-1.21792 # DEPENDENCYPART_ARC
(2,10),-2.4747 # DEPENDENCYPART_ARC
(2,11),-2.94838 # DEPENDENCYPART_ARC
(2,12),-0.722687 # DEPENDENCYPART_ARC
(2,13),-1.72602 # DEPENDENCYPART_ARC
(2,14),-1.38202 # DEPENDENCYPART_ARC
(2,15),-1.28773 # DEPENDENCYPART_ARC
(2,16),-1.28305 # DEPENDENCYPART_ARC
(2,17),-3.01156 # DEPENDENCYPART_ARC
(2,18),-1.69809 # DEPENDENCYPART_ARC
(2,19),-1.43038 # DEPENDENCYPART_ARC
(2,20),-0.347899 # DEPENDENCYPART_ARC
(3,1),2.90966 # DEPENDENCYPART_ARC
(3,2),3.93847 # DEPENDENCYPART_ARC
(3,4),0.472736 # DEPENDENCYPART_ARC
(3,5),-0.617989 # DEPENDENCYPART_ARC
(3,6),-0.519061 # DEPENDENCYPART_ARC
(3,7),-0.579299 # DEPENDENCYPART_ARC
(3,8),-0.778563 # DEPENDENCYPART_ARC
(3,9),-0.669485 # DEPENDENCYPART_ARC
(3,10),-0.955176 # DEPENDENCYPART_ARC
(3,11),-0.664063 # DEPENDENCYPART_ARC
(3,12),0.244161 # DEPENDENCYPART_ARC
(3,13),-0.88161 # DEPENDENCYPART_ARC
(3,14),-0.412364 # DEPENDENCYPART_ARC
(3,15),-1.41732 # DEPENDENCYPART_ARC
(3,16),-1.2538 # DEPENDENCYPART_ARC
(3,17),-0.776099 # DEPENDENCYPART_ARC
(3,18),-1.08164 # DEPENDENCYPART_ARC
(3,19),-0.747201 # DEPENDENCYPART_ARC
(3,20),0.572666 # DEPENDENCYPART_ARC
(4,1),-1.31275 # DEPENDENCYPART_ARC
(4,2),-1.45006 # DEPENDENCYPART_ARC
(4,3),-1.5394 # DEPENDENCYPART_ARC
(4,5),-0.741768 # DEPENDENCYPART_ARC
(4,6),-0.764933 # DEPENDENCYPART_ARC
(4,7),-1.60981 # DEPENDENCYPART_ARC
(4,8),-1.09695 # DEPENDENCYPART_ARC
(4,9),-1.09403 # DEPENDENCYPART_ARC
(4,10),-2.07572 # DEPENDENCYPART_ARC
(4,11),-2.17674 # DEPENDENCYPART_ARC
(4,12),-0.96472 # DEPENDENCYPART_ARC
(4,13),-1.27602 # DEPENDENCYPART_ARC
(4,14),-1.14298 # DEPENDENCYPART_ARC
(4,15),-1.49263 # DEPENDENCYPART_ARC
(4,16),-1.55683 # DEPENDENCYPART_ARC
(4,17),-2.53135 # DEPENDENCYPART_ARC
(4,18),-1.58318 # DEPENDENCYPART_ARC
(4,19),-1.32518 # DEPENDENCYPART_ARC
(4,20),-1.31323 # DEPENDENCYPART_ARC
(5,1),-0.779662 # DEPENDENCYPART_ARC
(5,2),-0.729784 # DEPENDENCYPART_ARC
(5,3),-1.46914 # DEPENDENCYPART_ARC
(5,4),-0.0993048 # DEPENDENCYPART_ARC
(5,6),0.776007 # DEPENDENCYPART_ARC
(5,7),-0.0604292 # DEPENDENCYPART_ARC
(5,8),-0.147728 # DEPENDENCYPART_ARC
(5,9),0.286476 # DEPENDENCYPART_ARC
(5,10),-0.538111 # DEPENDENCYPART_ARC
(5,11),-1.10602 # DEPENDENCYPART_ARC
(5,12),0.0807294 # DEPENDENCYPART_ARC
(5,13),-0.437528 # DEPENDENCYPART_ARC
(5,14),-0.210309 # DEPENDENCYPART_ARC
(5,15),-0.387093 # DEPENDENCYPART_ARC
(5,16),-0.38634 # DEPENDENCYPART_ARC
(5,17),-1.2961 # DEPENDENCYPART_ARC
(5,18),-1.07997 # DEPENDENCYPART_ARC
(5,19),-0.668415 # DEPENDENCYPART_ARC
(5,20),-1.31473 # DEPENDENCYPART_ARC
(6,1),-0.661837 # DEPENDENCYPART_ARC
(6,2),-0.958092 # DEPENDENCYPART_ARC
(6,3),-1.95945 # DEPENDENCYPART_ARC
(6,4),-1.09012 # DEPENDENCYPART_ARC
(6,5),0.602423 # DEPENDENCYPART_ARC
(6,7),-1.21549 # DEPENDENCYPART_ARC
(6,8),-1.40701 # DEPENDENCYPART_ARC
(6,9),-1.30834 # DEPENDENCYPART_ARC
(6,10),-1.18732 # DEPENDENCYPART_ARC
(6,11),-1.65876 # DEPENDENCYPART_ARC
(6,12),-0.777638 # DEPENDENCYPART_ARC
(6,13),-1.77048 # DEPENDENCYPART_ARC
(6,14),-1.40867 # DEPENDENCYPART_ARC
(6,15),-1.64004 # DEPENDENCYPART_ARC
(6,16),-1.64672 # DEPENDENCYPART_ARC
(6,17),-2.28786 # DEPENDENCYPART_ARC
(6,18),-1.10649 # DEPENDENCYPART_ARC
(6,19),-1.94346 # DEPENDENCYPART_ARC
(6,20),-0.180837 # DEPENDENCYPART_ARC
(7,1),0.760795 # DEPENDENCYPART_ARC
(7,2),0.665012 # DEPENDENCYPART_ARC
(7,3),-2.19121 # DEPENDENCYPART_ARC
(7,4),0.139634 # DEPENDENCYPART_ARC
(7,5),2.57913 # DEPENDENCYPART_ARC
(7,6),3.02637 # DEPENDENCYPART_ARC
(7,8),-0.156446 # DEPENDENCYPART_ARC
(7,9),-0.165324 # DEPENDENCYPART_ARC
(7,10),-0.302962 # DEPENDENCYPART_ARC
(7,11),-0.239588 # DEPENDENCYPART_ARC
(7,12),0.414819 # DEPENDENCYPART_ARC
(7,13),-0.498337 # DEPENDENCYPART_ARC
(7,14),0.031747 # DEPENDENCYPART_ARC
(7,15),-0.92638 # DEPENDENCYPART_ARC
(7,16),-0.788355 # DEPENDENCYPART_ARC
(7,17),-0.367568 # DEPENDENCYPART_ARC
(7,18),-0.568356 # DEPENDENCYPART_ARC
(7,19),-0.427245 # DEPENDENCYPART_ARC
(7,20),0.55507 # DEPENDENCYPART_ARC
(8,1),-1.07624 # DEPENDENCYPART_ARC
(8,2),-1.21822 # DEPENDENCYPART_ARC
(8,3),-2.15957 # DEPENDENCYPART_ARC
(8,4),-0.821559 # DEPENDENCYPART_ARC
(8,5),-0.68893 # DEPENDENCYPART_ARC
(8,6),-0.778557 # DEPENDENCYPART_ARC
(8,7),-0.949309 # DEPENDENCYPART_ARC
