# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,4,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(0,1),-1.95248 # DEPENDENCYPART_ARC
(0,2),-2.80865 # DEPENDENCYPART_ARC
(0,4),-2.80123 # DEPENDENCYPART_ARC
(0,5),-3.22881 # DEPENDENCYPART_ARC
(0,6),-3.65526 # DEPENDENCYPART_ARC
(0,7),-1.28919 # DEPENDENCYPART_ARC
(0,9),-4.55267 # DEPENDENCYPART_ARC
(0,11),-0.715515 # DEPENDENCYPART_ARC
(0,12),-4.44027 # DEPENDENCYPART_ARC
(0,13),-2.03979 # DEPENDENCYPART_ARC
(0,14),-4.23933 # DEPENDENCYPART_ARC
(0,15),-1.91695 # DEPENDENCYPART_ARC
(0,16),-4.48323 # DEPENDENCYPART_ARC
(0,17),-3.72337 # DEPENDENCYPART_ARC
(0,18),-4.36719 # DEPENDENCYPART_ARC
(1,2),-0.677909 # DEPENDENCYPART_ARC
(1,3),-0.229654 # DEPENDENCYPART_ARC
(1,4),-1.40977 # DEPENDENCYPART_ARC
(1,5),-1.50943 # DEPENDENCYPART_ARC
(1,6),-1.32695 # DEPENDENCYPART_ARC
(1,7),-0.0783875 # DEPENDENCYPART_ARC
(1,8),-1.37991 # DEPENDENCYPART_ARC
(1,9),-2.56825 # DEPENDENCYPART_ARC
(1,10),-0.663303 # DEPENDENCYPART_ARC
(1,11),-1.1321 # DEPENDENCYPART_ARC
(1,12),-3.28839 # DEPENDENCYPART_ARC
(1,13),-1.13608 # DEPENDENCYPART_ARC
(1,14),-3.59807 # DEPENDENCYPART_ARC
(1,15),-0.771766 # DEPENDENCYPART_ARC
(1,16),-1.5597 # DEPENDENCYPART_ARC
(1,17),-2.67712 # DEPENDENCYPART_ARC
(1,18),-0.929383 # DEPENDENCYPART_ARC
(1,19),0.29113 # DEPENDENCYPART_ARC
(2,1),4.13102 # DEPENDENCYPART_ARC
(2,3),-0.00998505 # DEPENDENCYPART_ARC
(2,4),-0.608405 # DEPENDENCYPART_ARC
(2,5),-2.35194 # DEPENDENCYPART_ARC
(2,6),-1.42232 # DEPENDENCYPART_ARC
(2,7),-1.26329 # DEPENDENCYPART_ARC
(2,8),-1.48408 # DEPENDENCYPART_ARC
(2,9),-1.78068 # DEPENDENCYPART_ARC
(2,10),-0.586605 # DEPENDENCYPART_ARC
(2,11),-0.880994 # DEPENDENCYPART_ARC
(2,12),-2.36274 # DEPENDENCYPART_ARC
(2,13),-0.873846 # DEPENDENCYPART_ARC
(2,14),-2.77638 # DEPENDENCYPART_ARC
(2,15),-2.02043 # DEPENDENCYPART_ARC
(2,16),-2.03152 # DEPENDENCYPART_ARC
(2,17),-2.34828 # DEPENDENCYPART_ARC
(2,18),-1.08928 # DEPENDENCYPART_ARC
(2,19),0.473396 # DEPENDENCYPART_ARC
(4,1),0.313113 # DEPENDENCYPART_ARC
(4,2),0.390134 # DEPENDENCYPART_ARC
(4,3),0.622508 # DEPENDENCYPART_ARC
(4,5),-0.991583 # DEPENDENCYPART_ARC
(4,6),-0.298317 # DEPENDENCYPART_ARC
(4,7),-0.25793 # DEPENDENCYPART_ARC
(4,8),-0.716515 # DEPENDENCYPART_ARC
(4,9),-0.941653 # DEPENDENCYPART_ARC
(4,10),0.119355 # DEPENDENCYPART_ARC
(4,11),-0.417835 # DEPENDENCYPART_ARC
(4,12),-1.91962 # DEPENDENCYPART_ARC
(4,13),-0.450311 # DEPENDENCYPART_ARC
(4,14),-2.0952 # DEPENDENCYPART_ARC
(4,15),-1.07376 # DEPENDENCYPART_ARC
(4,16),-1.16056 # DEPENDENCYPART_ARC
(4,17),-1.86129 # DEPENDENCYPART_ARC
(4,18),-0.550919 # DEPENDENCYPART_ARC
(4,19),0.701698 # DEPENDENCYPART_ARC
(5,1),-0.8864 # DEPENDENCYPART_ARC
(5,2),-0.980134 # DEPENDENCYPART_ARC
(5,3),-0.487163 # DEPENDENCYPART_ARC
(5,4),-0.142373 # DEPENDENCYPART_ARC
(5,6),0.0351541 # DEPENDENCYPART_ARC
(5,7),-0.309569 # DEPENDENCYPART_ARC
(5,8),-1.18922 # DEPENDENCYPART_ARC
(5,9),-0.838844 # DEPENDENCYPART_ARC
(5,10),-0.329785 # DEPENDENCYPART_ARC
(5,11),-0.143998 # DEPENDENCYPART_ARC
(5,12),-1.10018 # DEPENDENCYPART_ARC
(5,13),-0.539167 # DEPENDENCYPART_ARC
(5,14),-1.04484 # DEPENDENCYPART_ARC
(5,15),0.164195 # DEPENDENCYPART_ARC
(5,17),-0.966718 # DEPENDENCYPART_ARC
(5,18),-0.495429 # DEPENDENCYPART_ARC
(5,19),-0.235686 # DEPENDENCYPART_ARC
(6,1),0.987568 # DEPENDENCYPART_ARC
(6,2),-1.80676 # DEPENDENCYPART_ARC
(6,3),0.71246 # DEPENDENCYPART_ARC
(6,4),0.764987 # DEPENDENCYPART_ARC
(6,5),3.29991 # DEPENDENCYPART_ARC
(6,7),-1.31239 # DEPENDENCYPART_ARC
(6,8),-1.37121 # DEPENDENCYPART_ARC
(6,9),-1.28535 # DEPENDENCYPART_ARC
(6,10),-0.518613 # DEPENDENCYPART_ARC
(6,11),-0.892075 # DEPENDENCYPART_ARC
(6,12),-2.32218 # DEPENDENCYPART_ARC
(6,13),-0.818392 # DEPENDENCYPART_ARC
(6,14),-2.57463 # DEPENDENCYPART_ARC
(6,15),-2.2441 # DEPENDENCYPART_ARC
(6,16),-1.94438 # DEPENDENCYPART_ARC
(6,17),-1.99514 # DEPENDENCYPART_ARC
(6,18),-1.00714 # DEPENDENCYPART_ARC
(6,19),0.0141914 # DEPENDENCYPART_ARC
(7,1),0.502704 # DEPENDENCYPART_ARC
(7,2),0.271605 # DEPENDENCYPART_ARC
(7,3),0.86979 # DEPENDENCYPART_ARC
(7,4),1.8225 # DEPENDENCYPART_ARC
(7,5),0.539926 # DEPENDENCYPART_ARC
(7,6),3.69531 # DEPENDENCYPART_ARC
(7,8),-0.0898768 # DEPENDENCYPART_ARC
(7,9),3.56688 # DEPENDENCYPART_ARC
(7,10),1.52224 # DEPENDENCYPART_ARC
(7,11),0.92861 # DEPENDENCYPART_ARC
(7,12),0.497063 # DEPENDENCYPART_ARC
(7,13),0.669763 # DEPENDENCYPART_ARC
(7,14),-0.777669 # DEPENDENCYPART_ARC
(7,15),0.814446 # DEPENDENCYPART_ARC
(7,16),-0.683715 # DEPENDENCYPART_ARC
(7,17),-2.27054 # DEPENDENCYPART_ARC
(7,18),0.27065 # DEPENDENCYPART_ARC
(7,19),2.13523 # DEPENDENCYPART_ARC
(8,1),-2.97917 # DEPENDENCYPART_ARC
(8,2),-3.45386 # DEPENDENCYPART_ARC
(8,3),-1.55609 # DEPENDENCYPART_ARC
(8,4),-2.56306 # DEPENDENCYPART_ARC
(8,6),-2.76756 # DEPENDENCYPART_ARC
(8,9),-0.415926 # DEPENDENCYPART_ARC
(8,10),-0.253014 # DEPENDENCYPART_ARC
(8,11),-0.767827 # DEPENDENCYPART_ARC
(8,12),-1.24458 # DEPENDENCYPART_ARC
(8,13),-1.01818 # DEPENDENCYPART_ARC
(8,14),-1.51768 # DEPENDENCYPART_ARC
(8,16),-1.27541 # DEPENDENCYPART_ARC
(8,17),-1.44719 # DEPENDENCYPART_ARC
(9,1),-2.69816 # DEPENDENCYPART_ARC
(9,2),-5.50657 # DEPENDENCYPART_ARC
(9,3),-1.56289 # DEPENDENCYPART_ARC
(9,4),-3.31778 # DEPENDENCYPART_ARC
(9,5),-0.539528 # DEPENDENCYPART_ARC
(9,6),-3.82305 # DEPENDENCYPART_ARC
(9,7),-1.22922 # DEPENDENCYPART_ARC
(9,8),3.07153 # DEPENDENCYPART_ARC
(9,10),-0.46351 # DEPENDENCYPART_ARC
(9,11),-1.06827 # DEPENDENCYPART_ARC
(9,12),-1.80201 # DEPENDENCYPART_ARC
(9,13),-1.06885 # DEPENDENCYPART_ARC
(9,14),-2.0551 # DEPENDENCYPART_ARC
(9,15),-1.4753 # DEPENDENCYPART_ARC
(9,16),-1.52697 # DEPENDENCYPART_ARC
(9,17),-2.84463 # DEPENDENCYPART_ARC
(9,18),-1.12545 # DEPENDENCYPART_ARC
(9,19),-0.55476 # DEPENDENCYPART_ARC
(11,1),-0.49376 # DEPENDENCYPART_ARC
(11,2),-1.05583 # DEPENDENCYPART_ARC
(11,3),-0.151389 # DEPENDENCYPART_ARC
(11,4),-0.500499 # DEPENDENCYPART_ARC
(11,5),-0.671302 # DEPENDENCYPART_ARC
(11,6),-0.595371 # DEPENDENCYPART_ARC
(11,7),1.81975 # DEPENDENCYPART_ARC
(11,8),0.18798 # DEPENDENCYPART_ARC
(11,9),-0.435974 # DEPENDENCYPART_ARC
(11,10),1.59072 # DEPENDENCYPART_ARC
(11,12),-0.622118 # DEPENDENCYPART_ARC
(11,13),0.181752 # DEPENDENCYPART_ARC
(11,14),-1.0723 # DEPENDENCYPART_ARC
(11,15),1.25232 # DEPENDENCYPART_ARC
(11,16),-1.01863 # DEPENDENCYPART_ARC
(11,17),-0.835173 # DEPENDENCYPART_ARC
(11,18),-0.277146 # DEPENDENCYPART_ARC
(11,19),2.39422 # DEPENDENCYPART_ARC
(12,1),-2.72306 # DEPENDENCYPART_ARC
(12,2),-4.64914 # DEPENDENCYPART_ARC
(12,3),-1.35126 # DEPENDENCYPART_ARC
(12,4),-3.18984 # DEPENDENCYPART_ARC
(12,5),-1.63902 # DEPENDENCYPART_ARC
(12,6),-3.75668 # DEPENDENCYPART_ARC
(12,7),-2.08293 # DEPENDENCYPART_ARC
(12,8),0.920591 # DEPENDENCYPART_ARC
(12,9),-1.87506 # DEPENDENCYPART_ARC
(12,10),0.0425057 # DEPENDENCYPART_ARC
(12,11),0.358962 # DEPENDENCYPART_ARC
(12,13),-0.959325 # DEPENDENCYPART_ARC
(12,14),-1.27106 # DEPENDENCYPART_ARC
(12,15),-1.35525 # DEPENDENCYPART_ARC
(12,16),-1.52043 # DEPENDENCYPART_ARC
(12,17),-2.16563 # DEPENDENCYPART_ARC
(12,18),-0.998681 # DEPENDENCYPART_ARC
(12,19),-0.591797 # DEPENDENCYPART_ARC
(13,1),-1.07378 # DEPENDENCYPART_ARC
(13,2),-1.26696 # DEPENDENCYPART_ARC
(13,3),-0.155067 # DEPENDENCYPART_ARC
(13,4),-0.849107 # DEPENDENCYPART_ARC
(13,5),-1.43631 # DEPENDENCYPART_ARC
(13,6),-1.15236 # DEPENDENCYPART_ARC
(13,7),0.267595 # DEPENDENCYPART_ARC
(13,8),-0.662953 # DEPENDENCYPART_ARC
