# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,16,2,2,10,7,8,10,2,9,2,9,16,16,16,0,16,16,2,
(0,1),-1.6984 # DEPENDENCYPART_ARC
(0,2),-0.440126 # DEPENDENCYPART_ARC
(0,3),-1.08659 # DEPENDENCYPART_ARC
(0,5),-1.58341 # DEPENDENCYPART_ARC
(0,6),-2.19324 # DEPENDENCYPART_ARC
(0,7),-2.96742 # DEPENDENCYPART_ARC
(0,8),-3.24881 # DEPENDENCYPART_ARC
(0,9),-0.980915 # DEPENDENCYPART_ARC
(0,10),-1.53856 # DEPENDENCYPART_ARC
(0,12),-3.30371 # DEPENDENCYPART_ARC
(0,13),-2.7253 # DEPENDENCYPART_ARC
(0,14),-2.47331 # DEPENDENCYPART_ARC
(0,15),-3.81886 # DEPENDENCYPART_ARC
(0,16),-0.350353 # DEPENDENCYPART_ARC
(0,18),-3.66903 # DEPENDENCYPART_ARC
(1,2),-0.0779228 # DEPENDENCYPART_ARC
(1,3),-0.471208 # DEPENDENCYPART_ARC
(1,4),-0.304996 # DEPENDENCYPART_ARC
(1,5),-0.905497 # DEPENDENCYPART_ARC
(1,7),-1.44007 # DEPENDENCYPART_ARC
(1,8),-0.531864 # DEPENDENCYPART_ARC
(1,9),-1.00862 # DEPENDENCYPART_ARC
(1,10),-1.05014 # DEPENDENCYPART_ARC
(1,11),-0.747632 # DEPENDENCYPART_ARC
(1,12),-0.793077 # DEPENDENCYPART_ARC
(1,13),-2.09157 # DEPENDENCYPART_ARC
(1,14),-1.69796 # DEPENDENCYPART_ARC
(1,16),-1.33876 # DEPENDENCYPART_ARC
(1,17),-0.597428 # DEPENDENCYPART_ARC
(1,18),-2.46191 # DEPENDENCYPART_ARC
(1,19),-0.710906 # DEPENDENCYPART_ARC
(2,1),2.89162 # DEPENDENCYPART_ARC
(2,3),5.29668 # DEPENDENCYPART_ARC
(2,4),2.10584 # DEPENDENCYPART_ARC
(2,5),-0.0129535 # DEPENDENCYPART_ARC
(2,6),-0.189768 # DEPENDENCYPART_ARC
(2,7),-0.405298 # DEPENDENCYPART_ARC
(2,8),0.213532 # DEPENDENCYPART_ARC
(2,9),0.995888 # DEPENDENCYPART_ARC
(2,10),3.25696 # DEPENDENCYPART_ARC
(2,11),1.78658 # DEPENDENCYPART_ARC
(2,12),2.09188 # DEPENDENCYPART_ARC
(2,13),-2.4846 # DEPENDENCYPART_ARC
(2,14),-0.365995 # DEPENDENCYPART_ARC
(2,15),-1.72413 # DEPENDENCYPART_ARC
(2,16),-0.721282 # DEPENDENCYPART_ARC
(2,17),1.39116 # DEPENDENCYPART_ARC
(2,18),-2.22605 # DEPENDENCYPART_ARC
(2,19),2.70725 # DEPENDENCYPART_ARC
(3,1),1.62324 # DEPENDENCYPART_ARC
(3,2),1.42873 # DEPENDENCYPART_ARC
(3,4),1.0066 # DEPENDENCYPART_ARC
(3,5),0.189337 # DEPENDENCYPART_ARC
(3,6),-0.953285 # DEPENDENCYPART_ARC
(3,7),-1.26911 # DEPENDENCYPART_ARC
(3,8),0.219722 # DEPENDENCYPART_ARC
(3,9),0.0509991 # DEPENDENCYPART_ARC
(3,10),2.246 # DEPENDENCYPART_ARC
(3,11),0.528088 # DEPENDENCYPART_ARC
(3,12),0.518073 # DEPENDENCYPART_ARC
(3,13),-3.43125 # DEPENDENCYPART_ARC
(3,14),-0.308264 # DEPENDENCYPART_ARC
(3,15),-1.60372 # DEPENDENCYPART_ARC
(3,16),-1.13607 # DEPENDENCYPART_ARC
(3,17),0.473065 # DEPENDENCYPART_ARC
(3,18),-3.2122 # DEPENDENCYPART_ARC
(3,19),1.73211 # DEPENDENCYPART_ARC
(5,1),-0.711023 # DEPENDENCYPART_ARC
(5,2),-0.427338 # DEPENDENCYPART_ARC
(5,3),-0.381804 # DEPENDENCYPART_ARC
(5,4),-0.00688566 # DEPENDENCYPART_ARC
(5,6),0.0601268 # DEPENDENCYPART_ARC
(5,7),0.448799 # DEPENDENCYPART_ARC
(5,8),0.56859 # DEPENDENCYPART_ARC
(5,9),0.342354 # DEPENDENCYPART_ARC
(5,10),0.0186841 # DEPENDENCYPART_ARC
(5,11),0.040645 # DEPENDENCYPART_ARC
(5,12),-0.0465348 # DEPENDENCYPART_ARC
(5,13),-0.84814 # DEPENDENCYPART_ARC
(5,14),-0.835119 # DEPENDENCYPART_ARC
(5,15),-0.955123 # DEPENDENCYPART_ARC
(5,16),-0.215941 # DEPENDENCYPART_ARC
(5,17),-0.193697 # DEPENDENCYPART_ARC
(5,18),-1.52876 # DEPENDENCYPART_ARC
(5,19),0.467872 # DEPENDENCYPART_ARC
(6,2),-1.59185 # DEPENDENCYPART_ARC
(6,3),-1.13148 # DEPENDENCYPART_ARC
(6,4),-0.812457 # DEPENDENCYPART_ARC
(6,5),0.266754 # DEPENDENCYPART_ARC
(6,7),-0.244917 # DEPENDENCYPART_ARC
(6,8),-0.64143 # DEPENDENCYPART_ARC
(6,9),-0.652399 # DEPENDENCYPART_ARC
