# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(0,1),-2.20041 # DEPENDENCYPART_ARC
(0,2),-1.96779 # DEPENDENCYPART_ARC
(0,3),-2.32987 # DEPENDENCYPART_ARC
(0,4),-2.09761 # DEPENDENCYPART_ARC
(0,5),-3.27905 # DEPENDENCYPART_ARC
(0,6),-1.09876 # DEPENDENCYPART_ARC
(0,7),-2.91397 # DEPENDENCYPART_ARC
(0,8),-3.4348 # DEPENDENCYPART_ARC
(0,9),-3.37884 # DEPENDENCYPART_ARC
(0,10),-2.58246 # DEPENDENCYPART_ARC
(0,11),-3.40356 # DEPENDENCYPART_ARC
(0,12),-2.99904 # DEPENDENCYPART_ARC
(0,13),-3.72433 # DEPENDENCYPART_ARC
(0,14),-1.81405 # DEPENDENCYPART_ARC
(0,15),-2.6914 # DEPENDENCYPART_ARC
(0,16),-2.41552 # DEPENDENCYPART_ARC
(0,17),-3.88498 # DEPENDENCYPART_ARC
(0,18),-4.78358 # DEPENDENCYPART_ARC
(1,2),0.368099 # DEPENDENCYPART_ARC
(1,3),0.266264 # DEPENDENCYPART_ARC
(1,4),-0.208611 # DEPENDENCYPART_ARC
(1,5),-0.639102 # DEPENDENCYPART_ARC
(1,6),0.657933 # DEPENDENCYPART_ARC
(1,7),-0.797603 # DEPENDENCYPART_ARC
(1,8),-0.768512 # DEPENDENCYPART_ARC
(1,9),0.130492 # DEPENDENCYPART_ARC
(1,10),0.115531 # DEPENDENCYPART_ARC
(1,11),0.149061 # DEPENDENCYPART_ARC
(1,12),-0.160638 # DEPENDENCYPART_ARC
(1,13),-0.798255 # DEPENDENCYPART_ARC
(1,14),1.46225 # DEPENDENCYPART_ARC
(1,15),0.258332 # DEPENDENCYPART_ARC
(1,16),0.113249 # DEPENDENCYPART_ARC
(1,17),-1.06141 # DEPENDENCYPART_ARC
(1,18),0.123376 # DEPENDENCYPART_ARC
(2,1),3.42106 # DEPENDENCYPART_ARC
(2,3),-0.319748 # DEPENDENCYPART_ARC
(2,4),-0.400927 # DEPENDENCYPART_ARC
(2,5),-0.76609 # DEPENDENCYPART_ARC
(2,6),0.122043 # DEPENDENCYPART_ARC
(2,7),-0.93792 # DEPENDENCYPART_ARC
(2,8),-1.5724 # DEPENDENCYPART_ARC
(2,9),0.143924 # DEPENDENCYPART_ARC
(2,10),-0.495359 # DEPENDENCYPART_ARC
(2,11),0.0251481 # DEPENDENCYPART_ARC
(2,12),-1.36697 # DEPENDENCYPART_ARC
(2,13),-1.76365 # DEPENDENCYPART_ARC
(2,14),-0.367379 # DEPENDENCYPART_ARC
(2,15),-0.640027 # DEPENDENCYPART_ARC
(2,16),-0.62818 # DEPENDENCYPART_ARC
(2,17),-2.54385 # DEPENDENCYPART_ARC
(2,18),0.927299 # DEPENDENCYPART_ARC
(3,1),1.63867 # DEPENDENCYPART_ARC
(3,2),3.89164 # DEPENDENCYPART_ARC
(3,4),0.234501 # DEPENDENCYPART_ARC
(3,5),-0.454846 # DEPENDENCYPART_ARC
(3,6),-0.0461296 # DEPENDENCYPART_ARC
(3,7),-0.540834 # DEPENDENCYPART_ARC
(3,8),-1.18237 # DEPENDENCYPART_ARC
(3,9),0.597481 # DEPENDENCYPART_ARC
(3,10),-0.030494 # DEPENDENCYPART_ARC
(3,11),0.410927 # DEPENDENCYPART_ARC
(3,12),-1.1003 # DEPENDENCYPART_ARC
(3,13),-1.4399 # DEPENDENCYPART_ARC
(3,14),-0.0150988 # DEPENDENCYPART_ARC
(3,15),-0.190271 # DEPENDENCYPART_ARC
(3,16),-0.22273 # DEPENDENCYPART_ARC
(3,17),-2.56385 # DEPENDENCYPART_ARC
(3,18),1.32896 # DEPENDENCYPART_ARC
(4,1),0.0592347 # DEPENDENCYPART_ARC
(4,2),-0.235304 # DEPENDENCYPART_ARC
(4,3),0.14881 # DEPENDENCYPART_ARC
(4,5),-0.844928 # DEPENDENCYPART_ARC
(4,6),0.04784 # DEPENDENCYPART_ARC
(4,7),-1.2108 # DEPENDENCYPART_ARC
(4,8),-2.07082 # DEPENDENCYPART_ARC
(4,9),-0.576958 # DEPENDENCYPART_ARC
(4,10),-1.23327 # DEPENDENCYPART_ARC
(4,11),-0.582661 # DEPENDENCYPART_ARC
(4,12),-1.83297 # DEPENDENCYPART_ARC
(4,13),-1.76736 # DEPENDENCYPART_ARC
(4,14),-1.0545 # DEPENDENCYPART_ARC
(4,15),-1.4111 # DEPENDENCYPART_ARC
(4,16),-1.48593 # DEPENDENCYPART_ARC
(4,17),-2.82763 # DEPENDENCYPART_ARC
(4,18),0.0569206 # DEPENDENCYPART_ARC
(5,1),1.01775 # DEPENDENCYPART_ARC
(5,2),0.266282 # DEPENDENCYPART_ARC
(5,3),-0.209885 # DEPENDENCYPART_ARC
(5,4),3.32663 # DEPENDENCYPART_ARC
(5,6),-0.776435 # DEPENDENCYPART_ARC
(5,7),-1.11961 # DEPENDENCYPART_ARC
(5,8),-1.28598 # DEPENDENCYPART_ARC
(5,9),-0.466087 # DEPENDENCYPART_ARC
(5,10),-1.01083 # DEPENDENCYPART_ARC
(5,11),-0.587469 # DEPENDENCYPART_ARC
(5,12),-2.13578 # DEPENDENCYPART_ARC
(5,13),-2.1137 # DEPENDENCYPART_ARC
(5,14),-1.21175 # DEPENDENCYPART_ARC
(5,15),-1.02409 # DEPENDENCYPART_ARC
(5,16),-1.07044 # DEPENDENCYPART_ARC
(5,17),-2.77151 # DEPENDENCYPART_ARC
(5,18),0.241988 # DEPENDENCYPART_ARC
(6,1),0.515319 # DEPENDENCYPART_ARC
(6,2),1.4012 # DEPENDENCYPART_ARC
(6,3),2.79185 # DEPENDENCYPART_ARC
(6,4),0.605569 # DEPENDENCYPART_ARC
(6,5),2.95461 # DEPENDENCYPART_ARC
(6,7),0.280002 # DEPENDENCYPART_ARC
(6,8),2.81204 # DEPENDENCYPART_ARC
(6,9),1.52043 # DEPENDENCYPART_ARC
(6,10),1.34744 # DEPENDENCYPART_ARC
(6,11),1.89233 # DEPENDENCYPART_ARC
(6,12),-0.535413 # DEPENDENCYPART_ARC
(6,13),-0.447483 # DEPENDENCYPART_ARC
(6,14),1.12718 # DEPENDENCYPART_ARC
(6,15),0.410377 # DEPENDENCYPART_ARC
(6,16),-0.0178138 # DEPENDENCYPART_ARC
(6,17),-0.857185 # DEPENDENCYPART_ARC
(6,18),2.35915 # DEPENDENCYPART_ARC
(7,1),-2.47504 # DEPENDENCYPART_ARC
(7,2),-2.81875 # DEPENDENCYPART_ARC
(7,3),-2.91479 # DEPENDENCYPART_ARC
(7,4),-1.64959 # DEPENDENCYPART_ARC
(7,5),-2.20201 # DEPENDENCYPART_ARC
(7,6),-0.766701 # DEPENDENCYPART_ARC
(7,8),0.0190032 # DEPENDENCYPART_ARC
(7,9),0.0429104 # DEPENDENCYPART_ARC
(7,10),-0.539645 # DEPENDENCYPART_ARC
(7,11),-0.139062 # DEPENDENCYPART_ARC
(7,12),-0.830626 # DEPENDENCYPART_ARC
(7,13),-1.24765 # DEPENDENCYPART_ARC
(7,14),-1.07798 # DEPENDENCYPART_ARC
(7,15),-0.831781 # DEPENDENCYPART_ARC
(7,16),-0.84915 # DEPENDENCYPART_ARC
(7,17),-1.42236 # DEPENDENCYPART_ARC
(7,18),-1.23805 # DEPENDENCYPART_ARC
(8,1),-2.07431 # DEPENDENCYPART_ARC
(8,2),-3.37773 # DEPENDENCYPART_ARC
(8,3),-3.8877 # DEPENDENCYPART_ARC
(8,4),-1.29711 # DEPENDENCYPART_ARC
(8,5),-4.21932 # DEPENDENCYPART_ARC
(8,6),-1.49667 # DEPENDENCYPART_ARC
(8,7),2.87211 # DEPENDENCYPART_ARC
(8,9),-0.172028 # DEPENDENCYPART_ARC
(8,10),-0.908576 # DEPENDENCYPART_ARC
(8,11),-0.313279 # DEPENDENCYPART_ARC
(8,12),-1.49567 # DEPENDENCYPART_ARC
(8,13),-1.11764 # DEPENDENCYPART_ARC
(8,14),-0.542875 # DEPENDENCYPART_ARC
(8,15),-1.00269 # DEPENDENCYPART_ARC
(8,16),-1.03562 # DEPENDENCYPART_ARC
(8,17),-2.16569 # DEPENDENCYPART_ARC
(8,18),0.081931 # DEPENDENCYPART_ARC
(9,1),-2.52792 # DEPENDENCYPART_ARC
(9,2),-3.12584 # DEPENDENCYPART_ARC
(9,3),-3.07007 # DEPENDENCYPART_ARC
(9,4),-2.32459 # DEPENDENCYPART_ARC
(9,5),-2.81753 # DEPENDENCYPART_ARC
(9,6),-1.83042 # DEPENDENCYPART_ARC
(9,7),-1.21239 # DEPENDENCYPART_ARC
(9,8),-1.71865 # DEPENDENCYPART_ARC
(9,10),-1.30384 # DEPENDENCYPART_ARC
(9,11),-1.19189 # DEPENDENCYPART_ARC
(9,12),-1.71793 # DEPENDENCYPART_ARC
(9,13),-2.18655 # DEPENDENCYPART_ARC
(9,14),-1.70873 # DEPENDENCYPART_ARC
(9,15),-1.71167 # DEPENDENCYPART_ARC
(9,16),-1.75231 # DEPENDENCYPART_ARC
(9,17),-2.64097 # DEPENDENCYPART_ARC
(9,18),-1.66835 # DEPENDENCYPART_ARC
(10,1),-0.0710757 # DEPENDENCYPART_ARC
(10,2),0.412228 # DEPENDENCYPART_ARC
(10,3),0.419229 # DEPENDENCYPART_ARC
(10,4),0.333971 # DEPENDENCYPART_ARC
(10,5),0.57362 # DEPENDENCYPART_ARC
(10,6),0.556348 # DEPENDENCYPART_ARC
(10,7),0.947009 # DEPENDENCYPART_ARC
(10,8),0.879627 # DEPENDENCYPART_ARC
