# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,3,3,
(0,1),-1.9276 # DEPENDENCYPART_ARC
(0,2),-1.95282 # DEPENDENCYPART_ARC
(0,3),-0.729205 # DEPENDENCYPART_ARC
(0,5),-3.00961 # DEPENDENCYPART_ARC
(0,6),-3.5621 # DEPENDENCYPART_ARC
(0,9),-4.24123 # DEPENDENCYPART_ARC
(0,11),-4.13833 # DEPENDENCYPART_ARC
(0,12),-3.45046 # DEPENDENCYPART_ARC
(0,13),-1.77758 # DEPENDENCYPART_ARC
(0,15),-2.56826 # DEPENDENCYPART_ARC
(0,18),-3.55707 # DEPENDENCYPART_ARC
(0,19),-5.00228 # DEPENDENCYPART_ARC
(0,20),-3.44649 # DEPENDENCYPART_ARC
(0,21),-2.05643 # DEPENDENCYPART_ARC
(1,2),-0.120191 # DEPENDENCYPART_ARC
(1,3),1.12275 # DEPENDENCYPART_ARC
(1,5),-0.403379 # DEPENDENCYPART_ARC
(1,6),-0.161229 # DEPENDENCYPART_ARC
(1,7),0.870414 # DEPENDENCYPART_ARC
(1,8),-0.923716 # DEPENDENCYPART_ARC
(1,9),-0.789366 # DEPENDENCYPART_ARC
(1,10),-1.03367 # DEPENDENCYPART_ARC
(1,11),-0.735585 # DEPENDENCYPART_ARC
(1,12),-0.806942 # DEPENDENCYPART_ARC
(1,13),0.626486 # DEPENDENCYPART_ARC
(1,14),0.287002 # DEPENDENCYPART_ARC
(1,15),-0.164822 # DEPENDENCYPART_ARC
(1,16),-1.19723 # DEPENDENCYPART_ARC
(1,17),-1.21072 # DEPENDENCYPART_ARC
(1,18),-0.786608 # DEPENDENCYPART_ARC
(1,19),-1.10134 # DEPENDENCYPART_ARC
(1,20),-0.756378 # DEPENDENCYPART_ARC
(1,21),-0.264925 # DEPENDENCYPART_ARC
(1,22),1.85678 # DEPENDENCYPART_ARC
(2,1),0.342648 # DEPENDENCYPART_ARC
(2,3),0.584937 # DEPENDENCYPART_ARC
(2,5),-0.471334 # DEPENDENCYPART_ARC
(2,6),-0.0867682 # DEPENDENCYPART_ARC
(2,7),-0.116864 # DEPENDENCYPART_ARC
(2,8),-1.04989 # DEPENDENCYPART_ARC
(2,9),-1.01938 # DEPENDENCYPART_ARC
(2,10),-0.945226 # DEPENDENCYPART_ARC
(2,11),-0.749158 # DEPENDENCYPART_ARC
(2,12),-0.874763 # DEPENDENCYPART_ARC
(2,13),-0.468882 # DEPENDENCYPART_ARC
