# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,14,
(0,1),-2.09317 # DEPENDENCYPART_ARC
(0,2),-1.76895 # DEPENDENCYPART_ARC
(0,3),-2.1738 # DEPENDENCYPART_ARC
(0,4),-1.93161 # DEPENDENCYPART_ARC
(0,5),-2.58299 # DEPENDENCYPART_ARC
(0,6),-2.76052 # DEPENDENCYPART_ARC
(0,7),-0.333869 # DEPENDENCYPART_ARC
(0,8),-2.72581 # DEPENDENCYPART_ARC
(0,9),-2.32542 # DEPENDENCYPART_ARC
(0,10),-2.93357 # DEPENDENCYPART_ARC
(0,11),-2.40881 # DEPENDENCYPART_ARC
(0,12),-3.41208 # DEPENDENCYPART_ARC
(0,13),-2.55706 # DEPENDENCYPART_ARC
(0,14),-1.48958 # DEPENDENCYPART_ARC
(0,15),-3.08773 # DEPENDENCYPART_ARC
(0,16),-3.02134 # DEPENDENCYPART_ARC
(0,17),-3.78346 # DEPENDENCYPART_ARC
(0,18),-2.78814 # DEPENDENCYPART_ARC
(0,19),-4.65459 # DEPENDENCYPART_ARC
(0,20),-4.08361 # DEPENDENCYPART_ARC
(0,21),-1.65578 # DEPENDENCYPART_ARC
(0,22),-2.70056 # DEPENDENCYPART_ARC
(0,23),-3.94215 # DEPENDENCYPART_ARC
(0,24),-4.75157 # DEPENDENCYPART_ARC
(0,25),-3.65728 # DEPENDENCYPART_ARC
(0,26),-5.56419 # DEPENDENCYPART_ARC
(0,27),-4.55972 # DEPENDENCYPART_ARC
(0,28),-3.79989 # DEPENDENCYPART_ARC
(0,29),-1.87134 # DEPENDENCYPART_ARC
(0,30),-3.78291 # DEPENDENCYPART_ARC
(0,31),-6.25582 # DEPENDENCYPART_ARC
(1,2),0.119384 # DEPENDENCYPART_ARC
(1,3),-0.640391 # DEPENDENCYPART_ARC
(1,4),-0.66541 # DEPENDENCYPART_ARC
(1,5),-1.39718 # DEPENDENCYPART_ARC
(1,6),-0.562976 # DEPENDENCYPART_ARC
(1,7),-0.903511 # DEPENDENCYPART_ARC
(1,8),-1.05606 # DEPENDENCYPART_ARC
(1,9),-1.32903 # DEPENDENCYPART_ARC
(1,10),-1.61499 # DEPENDENCYPART_ARC
(1,11),-1.26824 # DEPENDENCYPART_ARC
(1,12),-2.13351 # DEPENDENCYPART_ARC
(1,13),-1.77169 # DEPENDENCYPART_ARC
(1,14),-1.7383 # DEPENDENCYPART_ARC
(1,15),-1.2965 # DEPENDENCYPART_ARC
(1,16),-1.53649 # DEPENDENCYPART_ARC
(1,17),-2.03476 # DEPENDENCYPART_ARC
(1,18),-1.83353 # DEPENDENCYPART_ARC
(1,19),-2.60812 # DEPENDENCYPART_ARC
(1,20),-0.93905 # DEPENDENCYPART_ARC
