# _root_ A japán jen 0,40-0,50 forinttal erősödött .
#goldHeads=3,3,6,5,6,0,6,
#predictedHeads=3,3,6,5,6,0,6,
(0,2),-1.95889 # DEPENDENCYPART_ARC
(0,3),-2.33661 # DEPENDENCYPART_ARC
(0,4),-2.33755 # DEPENDENCYPART_ARC
(0,5),-3.41773 # DEPENDENCYPART_ARC
(0,6),-0.864077 # DEPENDENCYPART_ARC
(1,2),0.0134346 # DEPENDENCYPART_ARC
(1,3),-0.827089 # DEPENDENCYPART_ARC
(1,5),-1.41406 # DEPENDENCYPART_ARC
(2,1),0.694358 # DEPENDENCYPART_ARC
(2,3),-0.66556 # DEPENDENCYPART_ARC
(2,4),-0.91001 # DEPENDENCYPART_ARC
(2,5),-1.62936 # DEPENDENCYPART_ARC
(2,6),-1.09442 # DEPENDENCYPART_ARC
(2,7),-1.23022 # DEPENDENCYPART_ARC
(3,1),2.98504 # DEPENDENCYPART_ARC
(3,2),3.48818 # DEPENDENCYPART_ARC
(3,4),-0.326519 # DEPENDENCYPART_ARC
(3,5),-0.326597 # DEPENDENCYPART_ARC
(3,6),-0.194382 # DEPENDENCYPART_ARC
(3,7),0.0155931 # DEPENDENCYPART_ARC
(4,1),0.0111206 # DEPENDENCYPART_ARC
(4,2),-0.6436 # DEPENDENCYPART_ARC
(4,3),-0.183145 # DEPENDENCYPART_ARC
(4,5),-0.84817 # DEPENDENCYPART_ARC
(4,6),-0.525323 # DEPENDENCYPART_ARC
(4,7),-0.5851 # DEPENDENCYPART_ARC
(5,1),1.25402 # DEPENDENCYPART_ARC
(5,2),1.62198 # DEPENDENCYPART_ARC
(5,3),0.780671 # DEPENDENCYPART_ARC
(5,4),3.14599 # DEPENDENCYPART_ARC
(5,6),-0.666802 # DEPENDENCYPART_ARC
(5,7),-1.04794 # DEPENDENCYPART_ARC
(6,1),-0.449554 # DEPENDENCYPART_ARC
(6,2),0.0723585 # DEPENDENCYPART_ARC
(6,3),2.43527 # DEPENDENCYPART_ARC
(6,4),0.757124 # DEPENDENCYPART_ARC
(6,5),2.85065 # DEPENDENCYPART_ARC
(6,7),1.54383 # DEPENDENCYPART_ARC
