# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,0,4,15,9,9,10,15,15,15,15,15,2,15,19,19,20,21,22,15,15,
(0,1),-2.13021 # DEPENDENCYPART_ARC
(0,2),-2.86392 # DEPENDENCYPART_ARC
(0,3),-2.01221 # DEPENDENCYPART_ARC
(0,4),-1.59136 # DEPENDENCYPART_ARC
(0,6),-3.03994 # DEPENDENCYPART_ARC
(0,7),-2.16966 # DEPENDENCYPART_ARC
(0,8),-2.65799 # DEPENDENCYPART_ARC
(0,9),-3.36024 # DEPENDENCYPART_ARC
(0,10),-3.22308 # DEPENDENCYPART_ARC
(0,12),-3.69174 # DEPENDENCYPART_ARC
(0,13),-2.02777 # DEPENDENCYPART_ARC
(0,14),-3.50275 # DEPENDENCYPART_ARC
(0,15),-1.57603 # DEPENDENCYPART_ARC
(0,16),-3.11557 # DEPENDENCYPART_ARC
(0,18),-3.1825 # DEPENDENCYPART_ARC
(0,19),-3.93298 # DEPENDENCYPART_ARC
(0,20),-2.23976 # DEPENDENCYPART_ARC
(0,21),-4.42472 # DEPENDENCYPART_ARC
(0,22),-4.04276 # DEPENDENCYPART_ARC
(1,2),-0.356737 # DEPENDENCYPART_ARC
(1,4),0.480197 # DEPENDENCYPART_ARC
(1,5),0.186937 # DEPENDENCYPART_ARC
(1,6),-0.709182 # DEPENDENCYPART_ARC
(1,8),-0.503942 # DEPENDENCYPART_ARC
(1,9),-1.08875 # DEPENDENCYPART_ARC
(1,10),-1.09272 # DEPENDENCYPART_ARC
(1,11),-0.138987 # DEPENDENCYPART_ARC
(1,12),-1.76627 # DEPENDENCYPART_ARC
(1,14),-1.81711 # DEPENDENCYPART_ARC
(1,15),-0.412998 # DEPENDENCYPART_ARC
(1,19),-1.86367 # DEPENDENCYPART_ARC
(1,21),-2.03775 # DEPENDENCYPART_ARC
(1,22),-2.12201 # DEPENDENCYPART_ARC
(1,23),-0.413081 # DEPENDENCYPART_ARC
(2,1),-0.232706 # DEPENDENCYPART_ARC
(2,3),-0.534508 # DEPENDENCYPART_ARC
(2,4),0.982139 # DEPENDENCYPART_ARC
(2,5),-0.020483 # DEPENDENCYPART_ARC
(2,6),-0.551658 # DEPENDENCYPART_ARC
(2,7),-0.745038 # DEPENDENCYPART_ARC
(2,8),-0.550897 # DEPENDENCYPART_ARC
(2,9),-0.727877 # DEPENDENCYPART_ARC
(2,10),-0.875412 # DEPENDENCYPART_ARC
(2,11),-0.117605 # DEPENDENCYPART_ARC
(2,12),-1.15028 # DEPENDENCYPART_ARC
(2,13),0.374779 # DEPENDENCYPART_ARC
(2,14),-1.09167 # DEPENDENCYPART_ARC
(2,15),1.53965 # DEPENDENCYPART_ARC
(2,16),-0.765811 # DEPENDENCYPART_ARC
(2,17),-1.40853 # DEPENDENCYPART_ARC
(2,18),-0.951779 # DEPENDENCYPART_ARC
(2,19),-0.862921 # DEPENDENCYPART_ARC
(2,20),-0.925105 # DEPENDENCYPART_ARC
(2,21),-0.970639 # DEPENDENCYPART_ARC
(2,22),-0.975919 # DEPENDENCYPART_ARC
(2,23),-0.683747 # DEPENDENCYPART_ARC
(3,1),0.312379 # DEPENDENCYPART_ARC
(3,2),0.938551 # DEPENDENCYPART_ARC
(3,4),0.176839 # DEPENDENCYPART_ARC
(3,5),-0.540216 # DEPENDENCYPART_ARC
(3,6),-0.902345 # DEPENDENCYPART_ARC
(3,7),-0.771174 # DEPENDENCYPART_ARC
(3,8),-0.924649 # DEPENDENCYPART_ARC
(3,9),-1.34376 # DEPENDENCYPART_ARC
(3,10),-1.18765 # DEPENDENCYPART_ARC
(3,11),-0.491037 # DEPENDENCYPART_ARC
(3,12),-1.70663 # DEPENDENCYPART_ARC
(3,13),-0.772169 # DEPENDENCYPART_ARC
(3,14),-1.80482 # DEPENDENCYPART_ARC
(3,15),-1.15962 # DEPENDENCYPART_ARC
(3,16),-1.06964 # DEPENDENCYPART_ARC
(3,17),-1.47773 # DEPENDENCYPART_ARC
(3,18),-1.67751 # DEPENDENCYPART_ARC
(3,19),-1.786 # DEPENDENCYPART_ARC
(3,20),-1.67198 # DEPENDENCYPART_ARC
(3,21),-1.93138 # DEPENDENCYPART_ARC
(3,22),-1.78837 # DEPENDENCYPART_ARC
(3,23),-0.318032 # DEPENDENCYPART_ARC
(4,1),1.7304 # DEPENDENCYPART_ARC
(4,2),2.26478 # DEPENDENCYPART_ARC
(4,3),3.09699 # DEPENDENCYPART_ARC
(4,5),0.843341 # DEPENDENCYPART_ARC
(4,6),0.274824 # DEPENDENCYPART_ARC
(4,7),-0.289551 # DEPENDENCYPART_ARC
(4,8),-1.62476 # DEPENDENCYPART_ARC
(4,9),-1.70985 # DEPENDENCYPART_ARC
(4,10),-1.47609 # DEPENDENCYPART_ARC
(4,11),-0.493284 # DEPENDENCYPART_ARC
(4,12),-2.38508 # DEPENDENCYPART_ARC
(4,13),-0.633502 # DEPENDENCYPART_ARC
(4,14),-3.16639 # DEPENDENCYPART_ARC
(4,15),0.192865 # DEPENDENCYPART_ARC
(4,16),-0.466848 # DEPENDENCYPART_ARC
(4,17),-1.68617 # DEPENDENCYPART_ARC
(4,18),-2.34145 # DEPENDENCYPART_ARC
(4,19),-3.02056 # DEPENDENCYPART_ARC
(4,20),-2.17923 # DEPENDENCYPART_ARC
(4,21),-2.99573 # DEPENDENCYPART_ARC
(4,22),-1.75494 # DEPENDENCYPART_ARC
(4,23),-0.0851596 # DEPENDENCYPART_ARC
(6,1),-0.789645 # DEPENDENCYPART_ARC
