# _root_ Amit csak hosszabb út esetén , vagy ha a protokoll megkívánja , vezet a sofőröm .
#goldHeads=13,13,4,5,13,13,13,13,10,11,13,13,0,15,13,13,
#predictedHeads=11,11,4,5,11,7,13,13,10,11,13,13,0,15,13,7,
(0,1),-3.55669 # DEPENDENCYPART_ARC
(0,2),-2.04175 # DEPENDENCYPART_ARC
(0,3),-2.63997 # DEPENDENCYPART_ARC
(0,4),-3.1326 # DEPENDENCYPART_ARC
(0,5),-3.43584 # DEPENDENCYPART_ARC
(0,6),-3.46498 # DEPENDENCYPART_ARC
(0,7),-1.81099 # DEPENDENCYPART_ARC
(0,8),-2.43444 # DEPENDENCYPART_ARC
(0,9),-3.46797 # DEPENDENCYPART_ARC
(0,10),-3.87426 # DEPENDENCYPART_ARC
(0,11),-1.46601 # DEPENDENCYPART_ARC
(0,12),-3.83828 # DEPENDENCYPART_ARC
(0,13),-1.18083 # DEPENDENCYPART_ARC
(0,14),-3.64576 # DEPENDENCYPART_ARC
(0,15),-4.71611 # DEPENDENCYPART_ARC
(0,16),-4.76355 # DEPENDENCYPART_ARC
(1,2),-0.822041 # DEPENDENCYPART_ARC
(1,3),-0.398376 # DEPENDENCYPART_ARC
(1,4),-0.449288 # DEPENDENCYPART_ARC
(1,5),-1.29196 # DEPENDENCYPART_ARC
(1,6),-0.755482 # DEPENDENCYPART_ARC
(1,7),-0.364464 # DEPENDENCYPART_ARC
(1,8),-0.807059 # DEPENDENCYPART_ARC
(1,9),-1.7529 # DEPENDENCYPART_ARC
(1,10),-1.20835 # DEPENDENCYPART_ARC
(1,11),-0.38744 # DEPENDENCYPART_ARC
(1,12),-0.416912 # DEPENDENCYPART_ARC
(1,13),-0.310127 # DEPENDENCYPART_ARC
(1,14),-1.92103 # DEPENDENCYPART_ARC
(1,15),-0.893959 # DEPENDENCYPART_ARC
(1,16),-0.489573 # DEPENDENCYPART_ARC
(2,1),0.265558 # DEPENDENCYPART_ARC
(2,3),0.0564161 # DEPENDENCYPART_ARC
(2,4),0.30971 # DEPENDENCYPART_ARC
(2,5),0.017414 # DEPENDENCYPART_ARC
(2,6),-0.232456 # DEPENDENCYPART_ARC
(2,7),-0.50129 # DEPENDENCYPART_ARC
(2,8),-0.589836 # DEPENDENCYPART_ARC
(2,9),-0.992173 # DEPENDENCYPART_ARC
(2,10),-1.07566 # DEPENDENCYPART_ARC
(2,11),-0.281037 # DEPENDENCYPART_ARC
(2,12),-0.953806 # DEPENDENCYPART_ARC
(2,13),-0.875939 # DEPENDENCYPART_ARC
(2,14),-1.14331 # DEPENDENCYPART_ARC
(2,15),-1.65759 # DEPENDENCYPART_ARC
(2,16),0.151861 # DEPENDENCYPART_ARC
(3,1),0.62777 # DEPENDENCYPART_ARC
(3,2),1.12386 # DEPENDENCYPART_ARC
(3,4),-0.49891 # DEPENDENCYPART_ARC
(3,5),-0.319251 # DEPENDENCYPART_ARC
(3,6),-0.415711 # DEPENDENCYPART_ARC
(3,7),-0.942841 # DEPENDENCYPART_ARC
(3,8),-0.988785 # DEPENDENCYPART_ARC
(3,9),-1.35072 # DEPENDENCYPART_ARC
(3,10),-1.90553 # DEPENDENCYPART_ARC
