# _root_ Az ezredfordulón nemcsak a közlekedés és a hírközlés , de a háztartás , a munka és a szórakozás tempója is a sokszorosa a száz évvel ezelőttinek .
#goldHeads=2,20,20,5,6,20,8,6,20,20,12,19,19,15,19,19,18,19,20,0,22,20,26,25,26,20,20,
#predictedHeads=2,3,10,5,6,10,8,6,10,0,12,10,16,15,19,19,18,19,20,26,22,20,25,25,26,10,10,
(0,1),-2.06827 # DEPENDENCYPART_ARC
(0,2),-2.25321 # DEPENDENCYPART_ARC
(0,3),-2.40676 # DEPENDENCYPART_ARC
(0,4),-2.49593 # DEPENDENCYPART_ARC
(0,5),-2.76918 # DEPENDENCYPART_ARC
(0,6),-2.48255 # DEPENDENCYPART_ARC
(0,7),-2.76577 # DEPENDENCYPART_ARC
(0,8),-3.01514 # DEPENDENCYPART_ARC
(0,9),-3.1107 # DEPENDENCYPART_ARC
(0,10),-1.44882 # DEPENDENCYPART_ARC
(0,11),-2.9488 # DEPENDENCYPART_ARC
(0,12),-3.37129 # DEPENDENCYPART_ARC
(0,13),-3.53393 # DEPENDENCYPART_ARC
(0,14),-3.16413 # DEPENDENCYPART_ARC
(0,15),-4.11468 # DEPENDENCYPART_ARC
(0,16),-3.50503 # DEPENDENCYPART_ARC
(0,17),-3.24235 # DEPENDENCYPART_ARC
(0,18),-4.0119 # DEPENDENCYPART_ARC
(0,19),-4.18567 # DEPENDENCYPART_ARC
(0,20),-4.25507 # DEPENDENCYPART_ARC
(0,21),-3.56415 # DEPENDENCYPART_ARC
(0,22),-4.29357 # DEPENDENCYPART_ARC
(0,23),-3.76727 # DEPENDENCYPART_ARC
(0,24),-4.51259 # DEPENDENCYPART_ARC
(0,25),-5.00133 # DEPENDENCYPART_ARC
(0,26),-2.85656 # DEPENDENCYPART_ARC
(0,27),-6.54334 # DEPENDENCYPART_ARC
(1,2),-0.555915 # DEPENDENCYPART_ARC
(1,3),-0.811808 # DEPENDENCYPART_ARC
(1,4),-0.839373 # DEPENDENCYPART_ARC
(1,5),-1.11038 # DEPENDENCYPART_ARC
(1,6),-1.00129 # DEPENDENCYPART_ARC
(1,7),-1.04887 # DEPENDENCYPART_ARC
(1,8),-1.47248 # DEPENDENCYPART_ARC
