# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=24,15,4,2,15,8,8,12,1,11,12,15,14,15,1,15,15,19,24,24,24,23,24,26,24,27,0,24,1,
(0,1),-2.09176 # DEPENDENCYPART_ARC
(0,2),-2.17435 # DEPENDENCYPART_ARC
(0,4),-3.41952 # DEPENDENCYPART_ARC
(0,5),-2.19768 # DEPENDENCYPART_ARC
(0,6),-2.69228 # DEPENDENCYPART_ARC
(0,8),-3.89637 # DEPENDENCYPART_ARC
(0,11),-4.18139 # DEPENDENCYPART_ARC
(0,12),-4.25297 # DEPENDENCYPART_ARC
(0,13),-3.33211 # DEPENDENCYPART_ARC
(0,14),-4.90833 # DEPENDENCYPART_ARC
(0,15),-1.98546 # DEPENDENCYPART_ARC
(0,17),-2.3411 # DEPENDENCYPART_ARC
(0,19),-4.7926 # DEPENDENCYPART_ARC
(0,21),-3.72832 # DEPENDENCYPART_ARC
(0,22),-3.61235 # DEPENDENCYPART_ARC
(0,23),-5.76103 # DEPENDENCYPART_ARC
(0,24),-1.64196 # DEPENDENCYPART_ARC
(0,25),-3.81927 # DEPENDENCYPART_ARC
(0,26),-3.136 # DEPENDENCYPART_ARC
(0,27),-1.01299 # DEPENDENCYPART_ARC
(0,28),-3.53856 # DEPENDENCYPART_ARC
(1,2),-0.310696 # DEPENDENCYPART_ARC
(1,3),-0.796838 # DEPENDENCYPART_ARC
(1,4),-1.04882 # DEPENDENCYPART_ARC
(1,5),-0.437777 # DEPENDENCYPART_ARC
(1,6),-0.718501 # DEPENDENCYPART_ARC
(1,7),-1.07875 # DEPENDENCYPART_ARC
(1,8),-1.20103 # DEPENDENCYPART_ARC
(1,9),0.94342 # DEPENDENCYPART_ARC
(1,10),-1.3141 # DEPENDENCYPART_ARC
(1,11),-1.56182 # DEPENDENCYPART_ARC
(1,12),-1.86066 # DEPENDENCYPART_ARC
(1,13),-0.741673 # DEPENDENCYPART_ARC
(1,14),-1.94884 # DEPENDENCYPART_ARC
(1,15),1.09057 # DEPENDENCYPART_ARC
(1,16),0.144909 # DEPENDENCYPART_ARC
(1,17),0.40551 # DEPENDENCYPART_ARC
(1,18),-0.490403 # DEPENDENCYPART_ARC
(1,19),-1.83305 # DEPENDENCYPART_ARC
(1,20),-0.0185528 # DEPENDENCYPART_ARC
(1,21),-0.548761 # DEPENDENCYPART_ARC
(1,22),-0.84299 # DEPENDENCYPART_ARC
(1,23),-2.36043 # DEPENDENCYPART_ARC
(1,24),-0.0627225 # DEPENDENCYPART_ARC
(1,26),-1.05367 # DEPENDENCYPART_ARC
(1,27),-0.80029 # DEPENDENCYPART_ARC
(1,28),-0.388893 # DEPENDENCYPART_ARC
(1,29),2.41423 # DEPENDENCYPART_ARC
(2,1),0.952708 # DEPENDENCYPART_ARC
(2,3),-0.0929402 # DEPENDENCYPART_ARC
(2,4),0.473941 # DEPENDENCYPART_ARC
(2,5),0.137392 # DEPENDENCYPART_ARC
(2,6),-0.385874 # DEPENDENCYPART_ARC
(2,7),-0.439816 # DEPENDENCYPART_ARC
(2,8),0.018473 # DEPENDENCYPART_ARC
(2,9),0.913386 # DEPENDENCYPART_ARC
(2,10),-0.582047 # DEPENDENCYPART_ARC
(2,11),-0.754442 # DEPENDENCYPART_ARC
(2,12),-0.53609 # DEPENDENCYPART_ARC
(2,13),-0.708611 # DEPENDENCYPART_ARC
(2,14),-0.879821 # DEPENDENCYPART_ARC
(2,15),0.925806 # DEPENDENCYPART_ARC
(2,16),0.587152 # DEPENDENCYPART_ARC
(2,17),-0.0407813 # DEPENDENCYPART_ARC
(2,18),-0.571052 # DEPENDENCYPART_ARC
(2,19),-1.27841 # DEPENDENCYPART_ARC
(2,20),0.528358 # DEPENDENCYPART_ARC
(2,21),-0.933776 # DEPENDENCYPART_ARC
(2,22),-1.32876 # DEPENDENCYPART_ARC
(2,23),-1.73127 # DEPENDENCYPART_ARC
(2,24),0.436495 # DEPENDENCYPART_ARC
(2,25),-0.360974 # DEPENDENCYPART_ARC
(2,26),-0.0652167 # DEPENDENCYPART_ARC
(2,27),-0.455494 # DEPENDENCYPART_ARC
(2,28),-0.559807 # DEPENDENCYPART_ARC
(2,29),1.53669 # DEPENDENCYPART_ARC
(3,1),-1.30405 # DEPENDENCYPART_ARC
(3,4),-0.597908 # DEPENDENCYPART_ARC
(3,8),-1.27923 # DEPENDENCYPART_ARC
(3,9),-0.547553 # DEPENDENCYPART_ARC
(3,11),-1.71365 # DEPENDENCYPART_ARC
(3,12),-2.04465 # DEPENDENCYPART_ARC
(3,14),-2.06328 # DEPENDENCYPART_ARC
(3,16),-0.995811 # DEPENDENCYPART_ARC
(3,19),-2.25957 # DEPENDENCYPART_ARC
(3,20),-1.06375 # DEPENDENCYPART_ARC
(3,22),-2.00478 # DEPENDENCYPART_ARC
(3,23),-2.55632 # DEPENDENCYPART_ARC
(3,26),-2.36497 # DEPENDENCYPART_ARC
(4,1),-0.855918 # DEPENDENCYPART_ARC
(4,2),-0.68066 # DEPENDENCYPART_ARC
(4,3),2.90643 # DEPENDENCYPART_ARC
(4,5),-0.942876 # DEPENDENCYPART_ARC
(4,6),-1.87959 # DEPENDENCYPART_ARC
(4,7),-1.1863 # DEPENDENCYPART_ARC
(4,8),-1.52179 # DEPENDENCYPART_ARC
(4,9),-0.341068 # DEPENDENCYPART_ARC
(4,10),-1.40683 # DEPENDENCYPART_ARC
(4,11),-2.04021 # DEPENDENCYPART_ARC
(4,12),-2.04024 # DEPENDENCYPART_ARC
(4,13),-2.23806 # DEPENDENCYPART_ARC
(4,14),-2.11758 # DEPENDENCYPART_ARC
(4,15),-0.859711 # DEPENDENCYPART_ARC
(4,16),-1.05174 # DEPENDENCYPART_ARC
(4,17),-1.48408 # DEPENDENCYPART_ARC
(4,18),-1.69791 # DEPENDENCYPART_ARC
(4,19),-3.38514 # DEPENDENCYPART_ARC
(4,20),-1.00696 # DEPENDENCYPART_ARC
(4,21),-2.28634 # DEPENDENCYPART_ARC
(4,22),-2.4473 # DEPENDENCYPART_ARC
(4,23),-2.9108 # DEPENDENCYPART_ARC
(4,24),-1.31734 # DEPENDENCYPART_ARC
(4,25),-1.38554 # DEPENDENCYPART_ARC
(4,26),-1.00261 # DEPENDENCYPART_ARC
(4,27),-1.38487 # DEPENDENCYPART_ARC
(4,28),-1.37317 # DEPENDENCYPART_ARC
(4,29),0.369847 # DEPENDENCYPART_ARC
(5,1),-0.602683 # DEPENDENCYPART_ARC
(5,2),-0.181686 # DEPENDENCYPART_ARC
(5,3),-0.564323 # DEPENDENCYPART_ARC
(5,4),-0.170817 # DEPENDENCYPART_ARC
(5,6),-0.645003 # DEPENDENCYPART_ARC
(5,7),-0.770815 # DEPENDENCYPART_ARC
(5,8),-0.119587 # DEPENDENCYPART_ARC
(5,9),0.175293 # DEPENDENCYPART_ARC
(5,10),-0.981741 # DEPENDENCYPART_ARC
(5,11),-0.864993 # DEPENDENCYPART_ARC
(5,12),-0.926813 # DEPENDENCYPART_ARC
(5,13),-1.20529 # DEPENDENCYPART_ARC
(5,14),-0.921823 # DEPENDENCYPART_ARC
(5,15),0.1617 # DEPENDENCYPART_ARC
(5,16),-0.566466 # DEPENDENCYPART_ARC
(5,17),-0.672952 # DEPENDENCYPART_ARC
(5,18),-1.13911 # DEPENDENCYPART_ARC
(5,19),-1.53194 # DEPENDENCYPART_ARC
(5,20),-0.649284 # DEPENDENCYPART_ARC
(5,21),-1.42677 # DEPENDENCYPART_ARC
(5,22),-1.65039 # DEPENDENCYPART_ARC
(5,23),-1.80545 # DEPENDENCYPART_ARC
(5,24),-0.396234 # DEPENDENCYPART_ARC
(5,25),-1.17064 # DEPENDENCYPART_ARC
(5,26),-0.964367 # DEPENDENCYPART_ARC
(5,27),-1.22369 # DEPENDENCYPART_ARC
(5,28),-1.35038 # DEPENDENCYPART_ARC
(5,29),0.87644 # DEPENDENCYPART_ARC
(6,1),0.0601055 # DEPENDENCYPART_ARC
(6,2),0.0523209 # DEPENDENCYPART_ARC
(6,3),0.23138 # DEPENDENCYPART_ARC
(6,4),-0.640166 # DEPENDENCYPART_ARC
(6,5),0.612566 # DEPENDENCYPART_ARC
(6,7),-1.14492 # DEPENDENCYPART_ARC
(6,8),0.0704 # DEPENDENCYPART_ARC
(6,9),-0.199632 # DEPENDENCYPART_ARC
(6,10),-1.26797 # DEPENDENCYPART_ARC
(6,11),-0.608951 # DEPENDENCYPART_ARC
(6,12),-0.861087 # DEPENDENCYPART_ARC
(6,13),-1.01634 # DEPENDENCYPART_ARC
(6,14),-1.37635 # DEPENDENCYPART_ARC
(6,15),0.203003 # DEPENDENCYPART_ARC
(6,16),0.129024 # DEPENDENCYPART_ARC
(6,18),-1.27688 # DEPENDENCYPART_ARC
(6,19),-0.832163 # DEPENDENCYPART_ARC
(6,20),-0.408155 # DEPENDENCYPART_ARC
(6,21),-0.752659 # DEPENDENCYPART_ARC
(6,22),-0.85162 # DEPENDENCYPART_ARC
(6,23),-1.68703 # DEPENDENCYPART_ARC
(6,24),0.183416 # DEPENDENCYPART_ARC
(6,26),0.0574474 # DEPENDENCYPART_ARC
(6,28),-0.830878 # DEPENDENCYPART_ARC
(6,29),0.159426 # DEPENDENCYPART_ARC
(7,1),-1.32943 # DEPENDENCYPART_ARC
(7,4),-2.36144 # DEPENDENCYPART_ARC
(7,8),-0.478815 # DEPENDENCYPART_ARC
(7,9),-0.40021 # DEPENDENCYPART_ARC
(7,11),-1.28591 # DEPENDENCYPART_ARC
(7,12),-1.67301 # DEPENDENCYPART_ARC
(7,14),-1.81385 # DEPENDENCYPART_ARC
(7,16),-0.81602 # DEPENDENCYPART_ARC
(7,19),-2.19183 # DEPENDENCYPART_ARC
(7,20),-1.04429 # DEPENDENCYPART_ARC
(7,22),-1.87885 # DEPENDENCYPART_ARC
(7,23),-2.40169 # DEPENDENCYPART_ARC
(7,26),-2.03527 # DEPENDENCYPART_ARC
(8,1),-1.00445 # DEPENDENCYPART_ARC
(8,2),-1.19876 # DEPENDENCYPART_ARC
(8,3),0.281934 # DEPENDENCYPART_ARC
(8,4),-3.11976 # DEPENDENCYPART_ARC
(8,5),-0.83499 # DEPENDENCYPART_ARC
(8,6),1.91515 # DEPENDENCYPART_ARC
(8,7),3.36759 # DEPENDENCYPART_ARC
(8,9),0.377167 # DEPENDENCYPART_ARC
(8,10),-0.787506 # DEPENDENCYPART_ARC
(8,11),-0.334349 # DEPENDENCYPART_ARC
(8,12),-0.274948 # DEPENDENCYPART_ARC
(8,13),-1.44278 # DEPENDENCYPART_ARC
(8,14),-1.49768 # DEPENDENCYPART_ARC
(8,15),0.273297 # DEPENDENCYPART_ARC
(8,16),-0.159415 # DEPENDENCYPART_ARC
(8,17),-0.906639 # DEPENDENCYPART_ARC
(8,18),-1.05419 # DEPENDENCYPART_ARC
(8,19),-2.09072 # DEPENDENCYPART_ARC
(8,20),-0.380859 # DEPENDENCYPART_ARC
(8,21),-1.65307 # DEPENDENCYPART_ARC
(8,22),-1.70009 # DEPENDENCYPART_ARC
(8,23),-2.22861 # DEPENDENCYPART_ARC
(8,24),-0.284906 # DEPENDENCYPART_ARC
(8,25),-0.781554 # DEPENDENCYPART_ARC
(8,26),-0.616805 # DEPENDENCYPART_ARC
(8,27),-0.783911 # DEPENDENCYPART_ARC
(8,28),-0.971615 # DEPENDENCYPART_ARC
(8,29),0.668888 # DEPENDENCYPART_ARC
(10,1),-2.12704 # DEPENDENCYPART_ARC
(10,4),-3.45566 # DEPENDENCYPART_ARC
(10,8),-2.89946 # DEPENDENCYPART_ARC
