# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,8,0,16,16,13,16,16,20,15,23,23,20,13,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.69882 # DEPENDENCYPART_ARC
(0,3),-2.30416 # DEPENDENCYPART_ARC
(0,4),-2.47925 # DEPENDENCYPART_ARC
(0,5),-2.25309 # DEPENDENCYPART_ARC
(0,6),-2.91262 # DEPENDENCYPART_ARC
(0,7),-1.89798 # DEPENDENCYPART_ARC
(0,8),-0.496612 # DEPENDENCYPART_ARC
(0,9),-2.5807 # DEPENDENCYPART_ARC
(0,10),-3.29978 # DEPENDENCYPART_ARC
(0,11),-2.05156 # DEPENDENCYPART_ARC
(0,12),-3.06337 # DEPENDENCYPART_ARC
(0,13),-0.0277235 # DEPENDENCYPART_ARC
(0,14),-2.13057 # DEPENDENCYPART_ARC
(0,15),-3.04964 # DEPENDENCYPART_ARC
(0,16),-1.0023 # DEPENDENCYPART_ARC
(0,17),-3.15594 # DEPENDENCYPART_ARC
(0,18),-1.98963 # DEPENDENCYPART_ARC
(0,19),-2.95008 # DEPENDENCYPART_ARC
(0,20),-1.83094 # DEPENDENCYPART_ARC
(0,21),-1.96216 # DEPENDENCYPART_ARC
(0,22),-3.11161 # DEPENDENCYPART_ARC
(0,23),-3.97886 # DEPENDENCYPART_ARC
(0,24),-4.46677 # DEPENDENCYPART_ARC
(1,2),-0.286989 # DEPENDENCYPART_ARC
(1,3),-0.738413 # DEPENDENCYPART_ARC
(1,4),-0.79026 # DEPENDENCYPART_ARC
(1,5),-1.00982 # DEPENDENCYPART_ARC
(1,6),-0.8836 # DEPENDENCYPART_ARC
(1,7),-0.982103 # DEPENDENCYPART_ARC
(1,8),-1.35235 # DEPENDENCYPART_ARC
(1,9),-1.32873 # DEPENDENCYPART_ARC
(1,10),-1.69152 # DEPENDENCYPART_ARC
(1,11),-1.25046 # DEPENDENCYPART_ARC
(1,12),-0.664404 # DEPENDENCYPART_ARC
(1,13),-1.26731 # DEPENDENCYPART_ARC
(1,14),-1.36143 # DEPENDENCYPART_ARC
(1,15),-1.4637 # DEPENDENCYPART_ARC
(1,16),-1.63397 # DEPENDENCYPART_ARC
(1,17),-0.701178 # DEPENDENCYPART_ARC
(1,18),-1.19773 # DEPENDENCYPART_ARC
(1,19),-1.27138 # DEPENDENCYPART_ARC
(1,20),-1.66793 # DEPENDENCYPART_ARC
(1,21),-1.55032 # DEPENDENCYPART_ARC
(1,22),-1.33874 # DEPENDENCYPART_ARC
(1,23),-1.99513 # DEPENDENCYPART_ARC
(1,24),-2.03819 # DEPENDENCYPART_ARC
(2,1),2.68398 # DEPENDENCYPART_ARC
(2,3),-0.841797 # DEPENDENCYPART_ARC
(2,4),-1.27297 # DEPENDENCYPART_ARC
(2,5),-1.05037 # DEPENDENCYPART_ARC
(2,6),-0.371417 # DEPENDENCYPART_ARC
(2,7),-1.05045 # DEPENDENCYPART_ARC
(2,8),-0.998124 # DEPENDENCYPART_ARC
(2,9),-1.59646 # DEPENDENCYPART_ARC
(2,10),-1.82484 # DEPENDENCYPART_ARC
(2,11),-1.42273 # DEPENDENCYPART_ARC
(2,12),-1.23535 # DEPENDENCYPART_ARC
(2,13),-1.29688 # DEPENDENCYPART_ARC
(2,14),-1.01795 # DEPENDENCYPART_ARC
(2,15),-2.09572 # DEPENDENCYPART_ARC
(2,16),-1.6384 # DEPENDENCYPART_ARC
(2,17),-1.55886 # DEPENDENCYPART_ARC
(2,18),-1.44576 # DEPENDENCYPART_ARC
(2,19),-1.04643 # DEPENDENCYPART_ARC
(2,20),-1.93452 # DEPENDENCYPART_ARC
(2,21),-1.82152 # DEPENDENCYPART_ARC
(2,22),-1.84762 # DEPENDENCYPART_ARC
(2,23),-3.97027 # DEPENDENCYPART_ARC
(2,24),0.862229 # DEPENDENCYPART_ARC
(3,1),-0.103111 # DEPENDENCYPART_ARC
(3,2),0.973426 # DEPENDENCYPART_ARC
(3,4),-0.0933177 # DEPENDENCYPART_ARC
(3,5),1.20706 # DEPENDENCYPART_ARC
(3,6),0.296348 # DEPENDENCYPART_ARC
(3,7),-0.0796216 # DEPENDENCYPART_ARC
(3,8),0.748221 # DEPENDENCYPART_ARC
(3,9),-0.597005 # DEPENDENCYPART_ARC
(3,10),-0.362293 # DEPENDENCYPART_ARC
(3,11),0.0311346 # DEPENDENCYPART_ARC
(3,12),-0.000109203 # DEPENDENCYPART_ARC
(3,13),-0.0225751 # DEPENDENCYPART_ARC
(3,14),-0.561542 # DEPENDENCYPART_ARC
(3,15),-1.10491 # DEPENDENCYPART_ARC
(3,16),-0.562088 # DEPENDENCYPART_ARC
(3,17),-0.587806 # DEPENDENCYPART_ARC
(3,18),-0.193437 # DEPENDENCYPART_ARC
(3,19),-0.507204 # DEPENDENCYPART_ARC
(3,20),-1.00316 # DEPENDENCYPART_ARC
(3,21),-0.656619 # DEPENDENCYPART_ARC
(3,22),-0.89678 # DEPENDENCYPART_ARC
(3,23),-1.87804 # DEPENDENCYPART_ARC
(3,24),2.4966 # DEPENDENCYPART_ARC
(4,1),-0.839211 # DEPENDENCYPART_ARC
(4,2),-1.63309 # DEPENDENCYPART_ARC
(4,3),-0.165457 # DEPENDENCYPART_ARC
(4,5),-0.152517 # DEPENDENCYPART_ARC
(4,6),-0.463832 # DEPENDENCYPART_ARC
(4,7),-0.671322 # DEPENDENCYPART_ARC
(4,8),-0.982354 # DEPENDENCYPART_ARC
(4,9),-1.01513 # DEPENDENCYPART_ARC
(4,10),-1.40445 # DEPENDENCYPART_ARC
(4,11),-0.947294 # DEPENDENCYPART_ARC
(4,12),-0.441539 # DEPENDENCYPART_ARC
(4,13),-0.913436 # DEPENDENCYPART_ARC
(4,14),-1.08283 # DEPENDENCYPART_ARC
(4,15),-1.22182 # DEPENDENCYPART_ARC
(4,16),-1.42546 # DEPENDENCYPART_ARC
(4,17),-0.556822 # DEPENDENCYPART_ARC
(4,18),-1.01632 # DEPENDENCYPART_ARC
(4,19),-1.03903 # DEPENDENCYPART_ARC
(4,20),-1.44422 # DEPENDENCYPART_ARC
(4,21),-1.25128 # DEPENDENCYPART_ARC
(4,22),-1.17243 # DEPENDENCYPART_ARC
(4,23),-1.75427 # DEPENDENCYPART_ARC
(4,24),-1.62392 # DEPENDENCYPART_ARC
(5,1),-0.113738 # DEPENDENCYPART_ARC
(5,2),-0.875167 # DEPENDENCYPART_ARC
(5,3),0.155293 # DEPENDENCYPART_ARC
(5,4),2.82721 # DEPENDENCYPART_ARC
(5,6),-0.343705 # DEPENDENCYPART_ARC
(5,7),-1.09445 # DEPENDENCYPART_ARC
(5,8),-0.695359 # DEPENDENCYPART_ARC
(5,9),-1.58056 # DEPENDENCYPART_ARC
(5,10),-1.44587 # DEPENDENCYPART_ARC
(5,11),-1.29234 # DEPENDENCYPART_ARC
(5,12),-1.12773 # DEPENDENCYPART_ARC
(5,13),-1.24422 # DEPENDENCYPART_ARC
(5,14),-1.05198 # DEPENDENCYPART_ARC
(5,15),-2.06696 # DEPENDENCYPART_ARC
(5,16),-1.41666 # DEPENDENCYPART_ARC
(5,17),-1.48159 # DEPENDENCYPART_ARC
(5,18),-1.51129 # DEPENDENCYPART_ARC
(5,19),-1.26121 # DEPENDENCYPART_ARC
(5,20),-1.7216 # DEPENDENCYPART_ARC
(5,21),-1.931 # DEPENDENCYPART_ARC
(5,22),-1.81396 # DEPENDENCYPART_ARC
(5,23),-3.7266 # DEPENDENCYPART_ARC
(5,24),0.747087 # DEPENDENCYPART_ARC
(6,1),-0.13892 # DEPENDENCYPART_ARC
(6,2),1.33072 # DEPENDENCYPART_ARC
(6,3),1.78255 # DEPENDENCYPART_ARC
