# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,23,22,23,25,25,0,25,
(0,2),-1.95889 # DEPENDENCYPART_ARC
(0,3),-2.69944 # DEPENDENCYPART_ARC
(0,4),-2.26485 # DEPENDENCYPART_ARC
(0,5),-2.34693 # DEPENDENCYPART_ARC
(0,7),-3.18962 # DEPENDENCYPART_ARC
(0,10),-3.8532 # DEPENDENCYPART_ARC
(0,11),-2.85416 # DEPENDENCYPART_ARC
(0,13),-3.8991 # DEPENDENCYPART_ARC
(0,14),-4.65598 # DEPENDENCYPART_ARC
(0,16),-2.91687 # DEPENDENCYPART_ARC
(0,17),-4.83555 # DEPENDENCYPART_ARC
(0,18),-3.18511 # DEPENDENCYPART_ARC
(0,19),-4.66502 # DEPENDENCYPART_ARC
(0,20),-3.26533 # DEPENDENCYPART_ARC
(0,21),-3.16018 # DEPENDENCYPART_ARC
(0,22),-4.49539 # DEPENDENCYPART_ARC
(0,23),-4.88139 # DEPENDENCYPART_ARC
(0,24),-4.4819 # DEPENDENCYPART_ARC
(0,25),-2.32719 # DEPENDENCYPART_ARC
(1,2),-0.0573528 # DEPENDENCYPART_ARC
(1,3),-0.991515 # DEPENDENCYPART_ARC
(1,4),-0.696122 # DEPENDENCYPART_ARC
(1,5),-1.35832 # DEPENDENCYPART_ARC
(1,7),-1.7351 # DEPENDENCYPART_ARC
(1,8),-0.910025 # DEPENDENCYPART_ARC
(1,10),-1.94555 # DEPENDENCYPART_ARC
(1,11),-1.68722 # DEPENDENCYPART_ARC
(1,13),-2.22111 # DEPENDENCYPART_ARC
(1,14),-2.64771 # DEPENDENCYPART_ARC
(1,15),-1.27041 # DEPENDENCYPART_ARC
(1,18),-2.13312 # DEPENDENCYPART_ARC
(1,19),-2.5628 # DEPENDENCYPART_ARC
(1,20),-2.41669 # DEPENDENCYPART_ARC
(1,21),-2.5059 # DEPENDENCYPART_ARC
(1,22),-2.6839 # DEPENDENCYPART_ARC
(1,23),-3.06008 # DEPENDENCYPART_ARC
(1,24),-2.84027 # DEPENDENCYPART_ARC
(2,1),0.598806 # DEPENDENCYPART_ARC
(2,3),-1.52606 # DEPENDENCYPART_ARC
(2,4),-1.24525 # DEPENDENCYPART_ARC
(2,5),-1.55237 # DEPENDENCYPART_ARC
(2,6),-1.77297 # DEPENDENCYPART_ARC
(2,7),-1.72789 # DEPENDENCYPART_ARC
(2,8),-0.788914 # DEPENDENCYPART_ARC
(2,9),-1.89065 # DEPENDENCYPART_ARC
(2,10),-2.24197 # DEPENDENCYPART_ARC
(2,11),-1.46817 # DEPENDENCYPART_ARC
(2,12),-1.94683 # DEPENDENCYPART_ARC
(2,13),-2.54804 # DEPENDENCYPART_ARC
(2,14),-2.40827 # DEPENDENCYPART_ARC
(2,15),-1.11939 # DEPENDENCYPART_ARC
(2,16),-1.77066 # DEPENDENCYPART_ARC
(2,17),-1.57208 # DEPENDENCYPART_ARC
(2,18),-2.26427 # DEPENDENCYPART_ARC
