# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,10,18,18,19,25,23,23,23,25,1,24,15,
(0,1),-2.76819 # DEPENDENCYPART_ARC
(0,2),-1.69023 # DEPENDENCYPART_ARC
(0,3),0.23852 # DEPENDENCYPART_ARC
(0,4),-2.18754 # DEPENDENCYPART_ARC
(0,5),-0.604225 # DEPENDENCYPART_ARC
(0,6),-2.30791 # DEPENDENCYPART_ARC
(0,7),-2.57772 # DEPENDENCYPART_ARC
(0,8),-1.86516 # DEPENDENCYPART_ARC
(0,9),-3.01525 # DEPENDENCYPART_ARC
(0,10),-0.856376 # DEPENDENCYPART_ARC
(0,11),-2.68588 # DEPENDENCYPART_ARC
(0,12),-3.31796 # DEPENDENCYPART_ARC
(0,13),-3.5529 # DEPENDENCYPART_ARC
(0,14),-3.28061 # DEPENDENCYPART_ARC
(0,15),0.436228 # DEPENDENCYPART_ARC
(0,16),-2.97072 # DEPENDENCYPART_ARC
(0,17),-2.55391 # DEPENDENCYPART_ARC
(0,18),-3.67192 # DEPENDENCYPART_ARC
(0,19),-3.7356 # DEPENDENCYPART_ARC
(0,20),-3.2379 # DEPENDENCYPART_ARC
(0,21),-3.65523 # DEPENDENCYPART_ARC
(0,22),-2.85042 # DEPENDENCYPART_ARC
(0,23),-4.77982 # DEPENDENCYPART_ARC
(0,24),-1.66178 # DEPENDENCYPART_ARC
(0,25),-2.5758 # DEPENDENCYPART_ARC
(0,26),-5.15758 # DEPENDENCYPART_ARC
(1,2),0.699747 # DEPENDENCYPART_ARC
(1,3),1.87386 # DEPENDENCYPART_ARC
(1,4),1.08708 # DEPENDENCYPART_ARC
(1,5),1.11784 # DEPENDENCYPART_ARC
(1,6),0.138869 # DEPENDENCYPART_ARC
(1,7),0.951984 # DEPENDENCYPART_ARC
(1,8),0.67637 # DEPENDENCYPART_ARC
(1,9),0.301759 # DEPENDENCYPART_ARC
(1,10),3.15227 # DEPENDENCYPART_ARC
(1,11),-0.13278 # DEPENDENCYPART_ARC
(1,12),0.725103 # DEPENDENCYPART_ARC
(1,13),-0.0425662 # DEPENDENCYPART_ARC
(1,14),0.909888 # DEPENDENCYPART_ARC
(1,15),0.942786 # DEPENDENCYPART_ARC
(1,16),-0.337564 # DEPENDENCYPART_ARC
(1,17),0.285534 # DEPENDENCYPART_ARC
(1,18),0.727005 # DEPENDENCYPART_ARC
(1,19),0.13653 # DEPENDENCYPART_ARC
(1,20),-0.434193 # DEPENDENCYPART_ARC
(1,21),0.0917496 # DEPENDENCYPART_ARC
(1,22),0.392664 # DEPENDENCYPART_ARC
(1,23),-0.257734 # DEPENDENCYPART_ARC
(1,24),4.0807 # DEPENDENCYPART_ARC
(1,25),1.05723 # DEPENDENCYPART_ARC
(1,26),0.324458 # DEPENDENCYPART_ARC
(2,1),-0.0522454 # DEPENDENCYPART_ARC
(2,3),0.847521 # DEPENDENCYPART_ARC
(2,4),0.252127 # DEPENDENCYPART_ARC
(2,5),0.263747 # DEPENDENCYPART_ARC
(2,6),-0.72281 # DEPENDENCYPART_ARC
(2,7),-0.540115 # DEPENDENCYPART_ARC
(2,8),-0.736184 # DEPENDENCYPART_ARC
(2,9),-0.684402 # DEPENDENCYPART_ARC
(2,10),-0.738378 # DEPENDENCYPART_ARC
(2,11),-1.03796 # DEPENDENCYPART_ARC
(2,12),-0.292788 # DEPENDENCYPART_ARC
(2,13),-0.483309 # DEPENDENCYPART_ARC
(2,14),-0.309747 # DEPENDENCYPART_ARC
(2,15),-0.709836 # DEPENDENCYPART_ARC
(2,16),-1.33039 # DEPENDENCYPART_ARC
(2,17),-1.08268 # DEPENDENCYPART_ARC
(2,18),-0.606751 # DEPENDENCYPART_ARC
(2,19),-0.805183 # DEPENDENCYPART_ARC
(2,20),-1.45449 # DEPENDENCYPART_ARC
(2,21),-0.82958 # DEPENDENCYPART_ARC
(2,22),-1.24028 # DEPENDENCYPART_ARC
(2,23),-0.880844 # DEPENDENCYPART_ARC
(2,24),-2.15259 # DEPENDENCYPART_ARC
(2,25),-2.43781 # DEPENDENCYPART_ARC
(2,26),1.9261 # DEPENDENCYPART_ARC
(3,1),2.49484 # DEPENDENCYPART_ARC
(3,2),2.72349 # DEPENDENCYPART_ARC
(3,4),2.48388 # DEPENDENCYPART_ARC
(3,5),3.13152 # DEPENDENCYPART_ARC
(3,6),-0.32027 # DEPENDENCYPART_ARC
(3,7),-0.701168 # DEPENDENCYPART_ARC
(3,8),-0.147754 # DEPENDENCYPART_ARC
(3,9),-0.619414 # DEPENDENCYPART_ARC
(3,10),2.19303 # DEPENDENCYPART_ARC
(3,11),-0.796186 # DEPENDENCYPART_ARC
(3,12),-1.11368 # DEPENDENCYPART_ARC
(3,13),0.630227 # DEPENDENCYPART_ARC
(3,14),1.25037 # DEPENDENCYPART_ARC
(3,15),0.926031 # DEPENDENCYPART_ARC
(3,16),-0.967722 # DEPENDENCYPART_ARC
(3,17),-1.51621 # DEPENDENCYPART_ARC
(3,18),-2.14407 # DEPENDENCYPART_ARC
(3,19),1.00999 # DEPENDENCYPART_ARC
(3,20),-0.861541 # DEPENDENCYPART_ARC
(3,21),-0.741443 # DEPENDENCYPART_ARC
(3,22),-1.78825 # DEPENDENCYPART_ARC
(3,23),-2.63278 # DEPENDENCYPART_ARC
(3,24),1.42094 # DEPENDENCYPART_ARC
(3,25),1.50663 # DEPENDENCYPART_ARC
(3,26),3.33501 # DEPENDENCYPART_ARC
(4,1),-2.54041 # DEPENDENCYPART_ARC
(4,2),-2.24279 # DEPENDENCYPART_ARC
(4,3),-1.50871 # DEPENDENCYPART_ARC
(4,5),-1.45983 # DEPENDENCYPART_ARC
(4,6),-1.77379 # DEPENDENCYPART_ARC
(4,7),-2.41838 # DEPENDENCYPART_ARC
(4,8),-1.99161 # DEPENDENCYPART_ARC
(4,9),-2.61331 # DEPENDENCYPART_ARC
(4,10),-2.04374 # DEPENDENCYPART_ARC
(4,11),-2.1016 # DEPENDENCYPART_ARC
(4,12),-2.97285 # DEPENDENCYPART_ARC
(4,13),-3.03118 # DEPENDENCYPART_ARC
(4,14),-1.87824 # DEPENDENCYPART_ARC
(4,15),-1.88022 # DEPENDENCYPART_ARC
(4,16),-2.2578 # DEPENDENCYPART_ARC
(4,17),-2.47448 # DEPENDENCYPART_ARC
(4,18),-3.33281 # DEPENDENCYPART_ARC
(4,19),-2.24065 # DEPENDENCYPART_ARC
(4,20),-2.27547 # DEPENDENCYPART_ARC
(4,21),-2.21903 # DEPENDENCYPART_ARC
(4,22),-2.54604 # DEPENDENCYPART_ARC
(4,23),-3.48009 # DEPENDENCYPART_ARC
(4,24),-2.61179 # DEPENDENCYPART_ARC
(4,25),-2.61624 # DEPENDENCYPART_ARC
(4,26),-2.2616 # DEPENDENCYPART_ARC
(5,1),0.0645688 # DEPENDENCYPART_ARC
(5,2),1.10765 # DEPENDENCYPART_ARC
(5,3),-0.0517506 # DEPENDENCYPART_ARC
(5,4),1.1609 # DEPENDENCYPART_ARC
(5,6),-0.499742 # DEPENDENCYPART_ARC
(5,7),-0.277785 # DEPENDENCYPART_ARC
(5,8),-0.0123016 # DEPENDENCYPART_ARC
(5,9),-0.859124 # DEPENDENCYPART_ARC
(5,10),1.07937 # DEPENDENCYPART_ARC
(5,11),-0.923016 # DEPENDENCYPART_ARC
(5,12),-0.968513 # DEPENDENCYPART_ARC
(5,13),-1.0034 # DEPENDENCYPART_ARC
(5,14),-0.193934 # DEPENDENCYPART_ARC
(5,15),-0.0221956 # DEPENDENCYPART_ARC
(5,16),-1.34671 # DEPENDENCYPART_ARC
(5,17),-0.80998 # DEPENDENCYPART_ARC
(5,18),-1.66532 # DEPENDENCYPART_ARC
(5,19),-0.510916 # DEPENDENCYPART_ARC
(5,20),-1.39992 # DEPENDENCYPART_ARC
(5,21),-0.38814 # DEPENDENCYPART_ARC
