# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,11,7,11,11,15,15,14,15,16,18,18,5,18,16,22,26,26,25,26,16,28,26,28,26,
(0,2),-1.95889 # DEPENDENCYPART_ARC
(0,3),-2.60892 # DEPENDENCYPART_ARC
(0,4),-2.87009 # DEPENDENCYPART_ARC
(0,5),-2.28492 # DEPENDENCYPART_ARC
(0,7),-2.76288 # DEPENDENCYPART_ARC
(0,10),-3.46089 # DEPENDENCYPART_ARC
(0,11),-3.94573 # DEPENDENCYPART_ARC
(0,14),-4.50425 # DEPENDENCYPART_ARC
(0,15),-3.82014 # DEPENDENCYPART_ARC
(0,16),-3.88291 # DEPENDENCYPART_ARC
(0,18),-4.20663 # DEPENDENCYPART_ARC
(0,22),-4.21509 # DEPENDENCYPART_ARC
(0,23),-4.44535 # DEPENDENCYPART_ARC
(0,25),-5.05739 # DEPENDENCYPART_ARC
(0,26),-2.40562 # DEPENDENCYPART_ARC
(0,28),-5.14599 # DEPENDENCYPART_ARC
(1,2),0.0134346 # DEPENDENCYPART_ARC
(1,3),-0.812785 # DEPENDENCYPART_ARC
(1,4),-1.64451 # DEPENDENCYPART_ARC
(1,5),-1.35342 # DEPENDENCYPART_ARC
(1,6),-0.754388 # DEPENDENCYPART_ARC
(1,8),-0.686279 # DEPENDENCYPART_ARC
(1,10),-1.03957 # DEPENDENCYPART_ARC
(1,11),-1.87586 # DEPENDENCYPART_ARC
(1,12),-0.959006 # DEPENDENCYPART_ARC
(1,14),-2.23662 # DEPENDENCYPART_ARC
(1,16),-2.27082 # DEPENDENCYPART_ARC
(1,17),-1.07251 # DEPENDENCYPART_ARC
(1,19),-1.08275 # DEPENDENCYPART_ARC
(1,20),-1.16241 # DEPENDENCYPART_ARC
(1,23),-2.39721 # DEPENDENCYPART_ARC
(1,25),-1.52521 # DEPENDENCYPART_ARC
(1,27),-1.37716 # DEPENDENCYPART_ARC
(1,29),-1.39412 # DEPENDENCYPART_ARC
(2,1),0.824089 # DEPENDENCYPART_ARC
(2,3),-0.991128 # DEPENDENCYPART_ARC
(2,4),-0.914261 # DEPENDENCYPART_ARC
(2,5),-1.27291 # DEPENDENCYPART_ARC
(2,6),-0.739812 # DEPENDENCYPART_ARC
(2,7),-1.20355 # DEPENDENCYPART_ARC
(2,8),-0.699433 # DEPENDENCYPART_ARC
(2,9),-1.81189 # DEPENDENCYPART_ARC
(2,10),-1.3493 # DEPENDENCYPART_ARC
(2,11),-1.79988 # DEPENDENCYPART_ARC
(2,12),-0.907315 # DEPENDENCYPART_ARC
(2,13),-1.94434 # DEPENDENCYPART_ARC
(2,14),-2.64089 # DEPENDENCYPART_ARC
(2,15),-1.44699 # DEPENDENCYPART_ARC
