# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,13,12,13,0,13,13,17,13,20,20,21,22,17,13,
(0,1),-1.50199 # DEPENDENCYPART_ARC
(0,2),-1.78724 # DEPENDENCYPART_ARC
(0,3),-1.78084 # DEPENDENCYPART_ARC
(0,4),-2.12239 # DEPENDENCYPART_ARC
(0,6),-3.58174 # DEPENDENCYPART_ARC
(0,7),-2.36088 # DEPENDENCYPART_ARC
(0,10),-3.0653 # DEPENDENCYPART_ARC
(0,11),-2.65194 # DEPENDENCYPART_ARC
(0,12),-3.94399 # DEPENDENCYPART_ARC
(0,13),-1.04814 # DEPENDENCYPART_ARC
(0,14),-2.70838 # DEPENDENCYPART_ARC
(0,16),-2.74134 # DEPENDENCYPART_ARC
(0,17),-1.40134 # DEPENDENCYPART_ARC
(0,19),-2.84386 # DEPENDENCYPART_ARC
(0,20),-4.10129 # DEPENDENCYPART_ARC
(0,21),-2.95707 # DEPENDENCYPART_ARC
(0,22),-5.13714 # DEPENDENCYPART_ARC
(1,2),-0.362285 # DEPENDENCYPART_ARC
(1,3),-0.799233 # DEPENDENCYPART_ARC
(1,4),-1.15984 # DEPENDENCYPART_ARC
(1,5),-1.10637 # DEPENDENCYPART_ARC
(1,6),-1.22277 # DEPENDENCYPART_ARC
(1,7),-0.826855 # DEPENDENCYPART_ARC
(1,8),-0.470481 # DEPENDENCYPART_ARC
(1,9),-1.38456 # DEPENDENCYPART_ARC
(1,10),-1.69823 # DEPENDENCYPART_ARC
(1,11),-1.31408 # DEPENDENCYPART_ARC
(1,12),-1.81609 # DEPENDENCYPART_ARC
(1,13),-0.707203 # DEPENDENCYPART_ARC
(1,14),-1.25102 # DEPENDENCYPART_ARC
(1,15),-1.02704 # DEPENDENCYPART_ARC
(1,16),-1.2981 # DEPENDENCYPART_ARC
(1,17),-1.13156 # DEPENDENCYPART_ARC
(1,18),-1.49531 # DEPENDENCYPART_ARC
(1,19),-1.86565 # DEPENDENCYPART_ARC
(1,20),-2.38165 # DEPENDENCYPART_ARC
(1,21),-1.93096 # DEPENDENCYPART_ARC
(1,22),-2.39553 # DEPENDENCYPART_ARC
(1,23),-0.216077 # DEPENDENCYPART_ARC
(2,1),1.30763 # DEPENDENCYPART_ARC
(2,3),-0.860869 # DEPENDENCYPART_ARC
(2,4),-1.54425 # DEPENDENCYPART_ARC
(2,5),-1.42831 # DEPENDENCYPART_ARC
(2,6),-1.20385 # DEPENDENCYPART_ARC
(2,7),-1.43457 # DEPENDENCYPART_ARC
(2,8),-0.509363 # DEPENDENCYPART_ARC
(2,9),-2.24605 # DEPENDENCYPART_ARC
(2,10),-1.82464 # DEPENDENCYPART_ARC
(2,11),-1.75194 # DEPENDENCYPART_ARC
(2,12),-1.69203 # DEPENDENCYPART_ARC
(2,13),-0.950061 # DEPENDENCYPART_ARC
(2,14),-1.60628 # DEPENDENCYPART_ARC
(2,15),-0.99463 # DEPENDENCYPART_ARC
(2,16),-1.61029 # DEPENDENCYPART_ARC
(2,17),-1.15484 # DEPENDENCYPART_ARC
(2,18),-1.86092 # DEPENDENCYPART_ARC
(2,19),-2.06673 # DEPENDENCYPART_ARC
(2,20),-2.28044 # DEPENDENCYPART_ARC
(2,21),-2.10826 # DEPENDENCYPART_ARC
(2,22),-3.19832 # DEPENDENCYPART_ARC
(2,23),0.0359366 # DEPENDENCYPART_ARC
(3,1),0.856389 # DEPENDENCYPART_ARC
(3,2),0.9329 # DEPENDENCYPART_ARC
(3,4),-0.200166 # DEPENDENCYPART_ARC
(3,5),-0.292619 # DEPENDENCYPART_ARC
(3,6),-0.121281 # DEPENDENCYPART_ARC
(3,7),0.0135097 # DEPENDENCYPART_ARC
(3,8),0.138452 # DEPENDENCYPART_ARC
(3,10),-0.72259 # DEPENDENCYPART_ARC
(3,11),-0.554148 # DEPENDENCYPART_ARC
(3,12),-0.747523 # DEPENDENCYPART_ARC
(3,13),0.190833 # DEPENDENCYPART_ARC
(3,15),-0.280174 # DEPENDENCYPART_ARC
(3,16),-0.565545 # DEPENDENCYPART_ARC
(3,17),-0.367165 # DEPENDENCYPART_ARC
(3,18),-0.798253 # DEPENDENCYPART_ARC
(3,19),-1.06117 # DEPENDENCYPART_ARC
(3,20),-1.46894 # DEPENDENCYPART_ARC
(3,21),-1.13761 # DEPENDENCYPART_ARC
(3,22),-1.44245 # DEPENDENCYPART_ARC
(3,23),0.714017 # DEPENDENCYPART_ARC
(4,1),0.32968 # DEPENDENCYPART_ARC
(4,2),-0.591597 # DEPENDENCYPART_ARC
(4,3),0.59526 # DEPENDENCYPART_ARC
(4,5),-0.636806 # DEPENDENCYPART_ARC
(4,6),0.12661 # DEPENDENCYPART_ARC
(4,7),-0.393768 # DEPENDENCYPART_ARC
(4,8),-0.0375386 # DEPENDENCYPART_ARC
(4,9),-0.978168 # DEPENDENCYPART_ARC
(4,10),-0.23081 # DEPENDENCYPART_ARC
(4,11),-0.227052 # DEPENDENCYPART_ARC
(4,12),-0.403316 # DEPENDENCYPART_ARC
(4,13),1.41557 # DEPENDENCYPART_ARC
(4,14),-0.130589 # DEPENDENCYPART_ARC
(4,15),0.243468 # DEPENDENCYPART_ARC
(4,16),-0.197696 # DEPENDENCYPART_ARC
(4,17),1.54873 # DEPENDENCYPART_ARC
(4,18),-0.890467 # DEPENDENCYPART_ARC
(4,19),-0.58322 # DEPENDENCYPART_ARC
(4,20),-0.559427 # DEPENDENCYPART_ARC
(4,21),-0.490889 # DEPENDENCYPART_ARC
(4,22),-1.05151 # DEPENDENCYPART_ARC
(4,23),1.04589 # DEPENDENCYPART_ARC
(5,2),-1.32089 # DEPENDENCYPART_ARC
(5,6),-0.410491 # DEPENDENCYPART_ARC
(5,7),-0.763859 # DEPENDENCYPART_ARC
(5,8),-0.31804 # DEPENDENCYPART_ARC
(5,10),-1.11724 # DEPENDENCYPART_ARC
(5,11),-0.980997 # DEPENDENCYPART_ARC
(5,12),-1.59536 # DEPENDENCYPART_ARC
(5,15),-0.678989 # DEPENDENCYPART_ARC
