# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,6,6,0,6,15,10,14,14,15,14,15,6,18,18,15,6,
(0,1),-2.14817 # DEPENDENCYPART_ARC
(0,2),-2.59786 # DEPENDENCYPART_ARC
(0,3),-2.69137 # DEPENDENCYPART_ARC
(0,4),-2.40576 # DEPENDENCYPART_ARC
(0,5),-3.24213 # DEPENDENCYPART_ARC
(0,6),-0.779113 # DEPENDENCYPART_ARC
(0,8),-2.60336 # DEPENDENCYPART_ARC
(0,9),-3.6157 # DEPENDENCYPART_ARC
(0,10),-3.0356 # DEPENDENCYPART_ARC
(0,12),-3.91772 # DEPENDENCYPART_ARC
(0,13),-3.64137 # DEPENDENCYPART_ARC
(0,14),-4.1281 # DEPENDENCYPART_ARC
(0,15),-2.23277 # DEPENDENCYPART_ARC
(0,17),-3.761 # DEPENDENCYPART_ARC
(0,18),-5.05568 # DEPENDENCYPART_ARC
(1,2),-1.12898 # DEPENDENCYPART_ARC
(1,3),-1.39841 # DEPENDENCYPART_ARC
(1,4),-1.25257 # DEPENDENCYPART_ARC
(1,5),-1.40417 # DEPENDENCYPART_ARC
(1,6),-0.955211 # DEPENDENCYPART_ARC
(1,7),-0.350699 # DEPENDENCYPART_ARC
(1,9),-1.32578 # DEPENDENCYPART_ARC
(1,10),-0.992613 # DEPENDENCYPART_ARC
(1,11),-0.413965 # DEPENDENCYPART_ARC
(1,12),-1.46458 # DEPENDENCYPART_ARC
(1,13),-1.18918 # DEPENDENCYPART_ARC
(1,14),-2.16435 # DEPENDENCYPART_ARC
(1,15),-1.24139 # DEPENDENCYPART_ARC
(1,16),-1.75275 # DEPENDENCYPART_ARC
(1,17),-1.67326 # DEPENDENCYPART_ARC
(1,18),-2.84074 # DEPENDENCYPART_ARC
(1,19),-0.137702 # DEPENDENCYPART_ARC
(2,1),4.08347 # DEPENDENCYPART_ARC
(2,3),-1.24492 # DEPENDENCYPART_ARC
(2,4),-0.572005 # DEPENDENCYPART_ARC
(2,5),-1.36493 # DEPENDENCYPART_ARC
(2,6),-1.24181 # DEPENDENCYPART_ARC
(2,7),-0.571488 # DEPENDENCYPART_ARC
(2,8),-1.26783 # DEPENDENCYPART_ARC
(2,9),-1.46244 # DEPENDENCYPART_ARC
(2,10),-1.32261 # DEPENDENCYPART_ARC
(2,11),-0.546345 # DEPENDENCYPART_ARC
(2,12),-1.55051 # DEPENDENCYPART_ARC
(2,13),-1.48366 # DEPENDENCYPART_ARC
(2,14),-2.3214 # DEPENDENCYPART_ARC
(2,15),-1.68988 # DEPENDENCYPART_ARC
(2,16),-1.99015 # DEPENDENCYPART_ARC
(2,17),-2.0348 # DEPENDENCYPART_ARC
(2,18),-3.26592 # DEPENDENCYPART_ARC
(2,19),-0.0398209 # DEPENDENCYPART_ARC
(3,1),2.87929 # DEPENDENCYPART_ARC
(3,2),1.20089 # DEPENDENCYPART_ARC
(3,4),0.100329 # DEPENDENCYPART_ARC
(3,5),-0.785142 # DEPENDENCYPART_ARC
(3,6),-0.55656 # DEPENDENCYPART_ARC
(3,7),-0.152681 # DEPENDENCYPART_ARC
(3,8),-0.919926 # DEPENDENCYPART_ARC
(3,9),-1.13774 # DEPENDENCYPART_ARC
(3,10),-1.00625 # DEPENDENCYPART_ARC
(3,11),-0.181045 # DEPENDENCYPART_ARC
(3,12),-1.27802 # DEPENDENCYPART_ARC
(3,13),-1.09894 # DEPENDENCYPART_ARC
(3,14),-1.98547 # DEPENDENCYPART_ARC
(3,15),-1.06758 # DEPENDENCYPART_ARC
(3,16),-1.64034 # DEPENDENCYPART_ARC
(3,17),-1.75972 # DEPENDENCYPART_ARC
(3,18),-2.89526 # DEPENDENCYPART_ARC
(3,19),0.339841 # DEPENDENCYPART_ARC
(4,1),-0.509998 # DEPENDENCYPART_ARC
(4,2),-0.167419 # DEPENDENCYPART_ARC
(4,3),-0.0860586 # DEPENDENCYPART_ARC
(4,5),-0.740488 # DEPENDENCYPART_ARC
(4,6),-0.710782 # DEPENDENCYPART_ARC
(4,7),-0.313054 # DEPENDENCYPART_ARC
(4,9),-1.29899 # DEPENDENCYPART_ARC
(4,10),-0.970462 # DEPENDENCYPART_ARC
(4,11),-0.391982 # DEPENDENCYPART_ARC
(4,12),-1.45735 # DEPENDENCYPART_ARC
(4,13),-1.11537 # DEPENDENCYPART_ARC
(4,14),-1.48266 # DEPENDENCYPART_ARC
(4,15),-1.15664 # DEPENDENCYPART_ARC
(4,16),-1.64021 # DEPENDENCYPART_ARC
(4,17),-1.68342 # DEPENDENCYPART_ARC
(4,18),-2.63848 # DEPENDENCYPART_ARC
(4,19),0.158451 # DEPENDENCYPART_ARC
(5,1),-0.344718 # DEPENDENCYPART_ARC
(5,2),-1.24001 # DEPENDENCYPART_ARC
(5,3),-0.98558 # DEPENDENCYPART_ARC
(5,4),2.63823 # DEPENDENCYPART_ARC
(5,6),-0.372023 # DEPENDENCYPART_ARC
(5,7),-0.387 # DEPENDENCYPART_ARC
(5,8),-0.830937 # DEPENDENCYPART_ARC
(5,9),-1.26386 # DEPENDENCYPART_ARC
(5,10),-1.2673 # DEPENDENCYPART_ARC
(5,11),-0.297727 # DEPENDENCYPART_ARC
(5,12),-1.46629 # DEPENDENCYPART_ARC
(5,13),-1.43028 # DEPENDENCYPART_ARC
(5,14),-2.04898 # DEPENDENCYPART_ARC
(5,15),-0.934009 # DEPENDENCYPART_ARC
(5,16),-1.36262 # DEPENDENCYPART_ARC
(5,17),-1.74511 # DEPENDENCYPART_ARC
(5,18),-2.88943 # DEPENDENCYPART_ARC
(5,19),0.245808 # DEPENDENCYPART_ARC
(6,1),1.8547 # DEPENDENCYPART_ARC
(6,2),2.91812 # DEPENDENCYPART_ARC
(6,3),2.81243 # DEPENDENCYPART_ARC
(6,4),2.69873 # DEPENDENCYPART_ARC
(6,5),3.47912 # DEPENDENCYPART_ARC
(6,7),1.52273 # DEPENDENCYPART_ARC
(6,8),0.538429 # DEPENDENCYPART_ARC
(6,9),0.626845 # DEPENDENCYPART_ARC
(6,10),-0.351478 # DEPENDENCYPART_ARC
(6,11),0.688756 # DEPENDENCYPART_ARC
(6,12),-0.0444377 # DEPENDENCYPART_ARC
(6,13),-1.16721 # DEPENDENCYPART_ARC
(6,14),-2.11997 # DEPENDENCYPART_ARC
(6,15),0.936062 # DEPENDENCYPART_ARC
(6,16),-1.06201 # DEPENDENCYPART_ARC
(6,17),-1.62058 # DEPENDENCYPART_ARC
(6,18),-1.46776 # DEPENDENCYPART_ARC
(6,19),2.28626 # DEPENDENCYPART_ARC
(8,1),-0.66972 # DEPENDENCYPART_ARC
(8,2),-0.853089 # DEPENDENCYPART_ARC
(8,3),-0.818313 # DEPENDENCYPART_ARC
(8,4),-0.707046 # DEPENDENCYPART_ARC
(8,5),-0.545395 # DEPENDENCYPART_ARC
(8,6),-0.276067 # DEPENDENCYPART_ARC
(8,7),0.0790548 # DEPENDENCYPART_ARC
(8,9),-0.0565086 # DEPENDENCYPART_ARC
(8,10),-0.0645929 # DEPENDENCYPART_ARC
(8,11),0.318941 # DEPENDENCYPART_ARC
(8,12),-0.193281 # DEPENDENCYPART_ARC
(8,13),-0.281506 # DEPENDENCYPART_ARC
(8,14),-0.665889 # DEPENDENCYPART_ARC
(8,15),-0.186414 # DEPENDENCYPART_ARC
(8,18),-1.13661 # DEPENDENCYPART_ARC
(8,19),0.281717 # DEPENDENCYPART_ARC
(9,1),-1.49403 # DEPENDENCYPART_ARC
(9,2),-1.84112 # DEPENDENCYPART_ARC
(9,3),-1.69972 # DEPENDENCYPART_ARC
(9,4),-1.06908 # DEPENDENCYPART_ARC
(9,5),-1.42131 # DEPENDENCYPART_ARC
(9,6),-0.898349 # DEPENDENCYPART_ARC
(9,7),-0.847796 # DEPENDENCYPART_ARC
(9,8),0.162905 # DEPENDENCYPART_ARC
(9,10),-0.664285 # DEPENDENCYPART_ARC
(9,11),0.0488591 # DEPENDENCYPART_ARC
(9,12),-1.06455 # DEPENDENCYPART_ARC
(9,13),-1.10281 # DEPENDENCYPART_ARC
(9,14),-0.846753 # DEPENDENCYPART_ARC
(9,15),0.00102267 # DEPENDENCYPART_ARC
(9,16),-1.19576 # DEPENDENCYPART_ARC
(9,17),-1.13823 # DEPENDENCYPART_ARC
(9,18),-1.2816 # DEPENDENCYPART_ARC
(9,19),0.465834 # DEPENDENCYPART_ARC
(10,1),-0.296357 # DEPENDENCYPART_ARC
(10,2),-0.908193 # DEPENDENCYPART_ARC
(10,3),-0.962315 # DEPENDENCYPART_ARC
(10,4),-0.132101 # DEPENDENCYPART_ARC
(10,5),-0.840818 # DEPENDENCYPART_ARC
(10,6),0.352272 # DEPENDENCYPART_ARC
(10,7),0.74449 # DEPENDENCYPART_ARC
(10,8),0.847659 # DEPENDENCYPART_ARC
(10,9),1.21461 # DEPENDENCYPART_ARC
(10,11),0.485063 # DEPENDENCYPART_ARC
(10,12),-0.532383 # DEPENDENCYPART_ARC
(10,13),-0.563594 # DEPENDENCYPART_ARC
(10,14),-0.432434 # DEPENDENCYPART_ARC
(10,15),0.527477 # DEPENDENCYPART_ARC
(10,16),-0.869179 # DEPENDENCYPART_ARC
(10,17),-0.76777 # DEPENDENCYPART_ARC
(10,18),-0.99893 # DEPENDENCYPART_ARC
(10,19),1.27402 # DEPENDENCYPART_ARC
(12,1),-1.14349 # DEPENDENCYPART_ARC
(12,2),-1.37288 # DEPENDENCYPART_ARC
(12,3),-1.28209 # DEPENDENCYPART_ARC
(12,4),-0.726762 # DEPENDENCYPART_ARC
(12,5),-1.19757 # DEPENDENCYPART_ARC
(12,6),-0.779415 # DEPENDENCYPART_ARC
(12,7),-0.121956 # DEPENDENCYPART_ARC
(12,8),-0.100263 # DEPENDENCYPART_ARC
(12,9),-0.155603 # DEPENDENCYPART_ARC
(12,10),0.438101 # DEPENDENCYPART_ARC
(12,11),0.475916 # DEPENDENCYPART_ARC
(12,13),-0.327356 # DEPENDENCYPART_ARC
(12,14),0.217489 # DEPENDENCYPART_ARC
(12,15),0.306484 # DEPENDENCYPART_ARC
(12,16),-0.675717 # DEPENDENCYPART_ARC
(12,17),-0.606733 # DEPENDENCYPART_ARC
(12,18),-0.752801 # DEPENDENCYPART_ARC
(12,19),0.425039 # DEPENDENCYPART_ARC
(13,1),-1.55133 # DEPENDENCYPART_ARC
(13,2),-2.21688 # DEPENDENCYPART_ARC
