# _root_ Bár sok évvel ezelőtt , és csupán néhány éjszakát töltöttünk ott , azóta minden nagyünnepen érkeznek Mönichkirchenből az üdvözlőlapok .
#goldHeads=16,3,4,16,16,16,10,9,10,16,10,16,16,15,16,0,16,19,16,16,
#predictedHeads=16,3,4,10,6,0,10,9,10,6,10,16,16,15,16,6,16,19,16,6,
(0,1),-1.85843 # DEPENDENCYPART_ARC
(0,2),-1.91082 # DEPENDENCYPART_ARC
(0,3),-3.15293 # DEPENDENCYPART_ARC
(0,4),-3.06 # DEPENDENCYPART_ARC
(0,6),-1.99621 # DEPENDENCYPART_ARC
(0,7),-2.87163 # DEPENDENCYPART_ARC
(0,8),-2.6861 # DEPENDENCYPART_ARC
(0,9),-3.57155 # DEPENDENCYPART_ARC
(0,10),-1.73024 # DEPENDENCYPART_ARC
(0,11),-2.76417 # DEPENDENCYPART_ARC
(0,13),-2.76827 # DEPENDENCYPART_ARC
(0,14),-2.31842 # DEPENDENCYPART_ARC
(0,15),-2.73919 # DEPENDENCYPART_ARC
(0,16),-1.66104 # DEPENDENCYPART_ARC
(0,17),-3.21903 # DEPENDENCYPART_ARC
(0,19),-4.28655 # DEPENDENCYPART_ARC
(1,2),-0.0818127 # DEPENDENCYPART_ARC
(1,3),-0.25805 # DEPENDENCYPART_ARC
(1,4),-0.146894 # DEPENDENCYPART_ARC
(1,5),-0.146356 # DEPENDENCYPART_ARC
(1,6),-0.102789 # DEPENDENCYPART_ARC
(1,7),-0.566343 # DEPENDENCYPART_ARC
(1,8),-1.24359 # DEPENDENCYPART_ARC
(1,9),-1.71412 # DEPENDENCYPART_ARC
(1,10),-0.488208 # DEPENDENCYPART_ARC
(1,11),-0.688651 # DEPENDENCYPART_ARC
(1,12),0.302736 # DEPENDENCYPART_ARC
(1,13),-0.821056 # DEPENDENCYPART_ARC
(1,15),-0.684102 # DEPENDENCYPART_ARC
(1,16),-0.932577 # DEPENDENCYPART_ARC
(1,17),-1.75721 # DEPENDENCYPART_ARC
(1,18),-1.13006 # DEPENDENCYPART_ARC
(1,19),-1.92288 # DEPENDENCYPART_ARC
(1,20),0.585837 # DEPENDENCYPART_ARC
(2,1),0.0112839 # DEPENDENCYPART_ARC
(2,3),-0.763498 # DEPENDENCYPART_ARC
(2,4),-0.692689 # DEPENDENCYPART_ARC
(2,5),-0.486791 # DEPENDENCYPART_ARC
(2,6),-1.05755 # DEPENDENCYPART_ARC
(2,7),-1.26912 # DEPENDENCYPART_ARC
(2,8),-1.52466 # DEPENDENCYPART_ARC
(2,9),-2.19549 # DEPENDENCYPART_ARC
(2,10),-1.4751 # DEPENDENCYPART_ARC
(2,11),-1.3915 # DEPENDENCYPART_ARC
(2,12),-0.678981 # DEPENDENCYPART_ARC
(2,13),-1.4536 # DEPENDENCYPART_ARC
(2,14),-1.7451 # DEPENDENCYPART_ARC
(2,15),-1.24633 # DEPENDENCYPART_ARC
(2,16),-1.30575 # DEPENDENCYPART_ARC
(2,17),-2.55166 # DEPENDENCYPART_ARC
(2,18),-1.68077 # DEPENDENCYPART_ARC
(2,19),-2.46894 # DEPENDENCYPART_ARC
(2,20),-0.690943 # DEPENDENCYPART_ARC
(3,1),0.157979 # DEPENDENCYPART_ARC
(3,2),2.79225 # DEPENDENCYPART_ARC
(3,4),-0.397657 # DEPENDENCYPART_ARC
(3,5),-0.755913 # DEPENDENCYPART_ARC
(3,6),-0.889128 # DEPENDENCYPART_ARC
(3,7),-1.2289 # DEPENDENCYPART_ARC
(3,8),-2.29915 # DEPENDENCYPART_ARC
(3,9),-2.48887 # DEPENDENCYPART_ARC
(3,10),-1.61436 # DEPENDENCYPART_ARC
(3,11),-1.31625 # DEPENDENCYPART_ARC
(3,12),-1.18673 # DEPENDENCYPART_ARC
(3,13),-1.3324 # DEPENDENCYPART_ARC
(3,14),-2.47713 # DEPENDENCYPART_ARC
(3,15),-1.29 # DEPENDENCYPART_ARC
(3,16),-1.72715 # DEPENDENCYPART_ARC
(3,17),-3.89687 # DEPENDENCYPART_ARC
(3,18),-1.80392 # DEPENDENCYPART_ARC
(3,19),-3.69786 # DEPENDENCYPART_ARC
(3,20),0.0866354 # DEPENDENCYPART_ARC
(4,2),0.85944 # DEPENDENCYPART_ARC
(4,3),3.60837 # DEPENDENCYPART_ARC
(4,5),-0.128617 # DEPENDENCYPART_ARC
(4,6),-0.660202 # DEPENDENCYPART_ARC
(4,7),-0.648158 # DEPENDENCYPART_ARC
(4,8),-1.04444 # DEPENDENCYPART_ARC
(4,9),-1.09533 # DEPENDENCYPART_ARC
(4,10),-0.265808 # DEPENDENCYPART_ARC
(4,12),-0.553764 # DEPENDENCYPART_ARC
(4,14),-1.25556 # DEPENDENCYPART_ARC
(4,15),-0.744277 # DEPENDENCYPART_ARC
(4,16),-0.562808 # DEPENDENCYPART_ARC
(4,17),-1.6319 # DEPENDENCYPART_ARC
(4,18),-1.02406 # DEPENDENCYPART_ARC
(4,19),-1.89723 # DEPENDENCYPART_ARC
(4,20),-0.358783 # DEPENDENCYPART_ARC
(6,1),0.458791 # DEPENDENCYPART_ARC
(6,2),0.0360178 # DEPENDENCYPART_ARC
(6,3),-0.0504061 # DEPENDENCYPART_ARC
(6,4),-0.0620523 # DEPENDENCYPART_ARC
(6,5),1.9118 # DEPENDENCYPART_ARC
(6,7),-0.0302773 # DEPENDENCYPART_ARC
(6,8),-0.305178 # DEPENDENCYPART_ARC
(6,9),-0.50145 # DEPENDENCYPART_ARC
(6,10),2.00766 # DEPENDENCYPART_ARC
(6,11),-0.134201 # DEPENDENCYPART_ARC
(6,12),0.868058 # DEPENDENCYPART_ARC
(6,13),-0.256021 # DEPENDENCYPART_ARC
(6,14),-0.667582 # DEPENDENCYPART_ARC
(6,15),0.0453746 # DEPENDENCYPART_ARC
(6,16),0.967472 # DEPENDENCYPART_ARC
(6,17),-1.54885 # DEPENDENCYPART_ARC
(6,18),-0.567317 # DEPENDENCYPART_ARC
(6,19),-2.2159 # DEPENDENCYPART_ARC
(6,20),3.8509 # DEPENDENCYPART_ARC
(7,1),-0.237992 # DEPENDENCYPART_ARC
(7,2),-0.599213 # DEPENDENCYPART_ARC
(7,3),-0.3711 # DEPENDENCYPART_ARC
(7,4),-0.204102 # DEPENDENCYPART_ARC
(7,5),-0.172946 # DEPENDENCYPART_ARC
(7,6),0.303742 # DEPENDENCYPART_ARC
(7,8),-0.671058 # DEPENDENCYPART_ARC
(7,9),-0.118449 # DEPENDENCYPART_ARC
(7,10),0.0861253 # DEPENDENCYPART_ARC
(7,11),-0.637993 # DEPENDENCYPART_ARC
(7,12),-0.233126 # DEPENDENCYPART_ARC
(7,13),-0.771438 # DEPENDENCYPART_ARC
(7,14),-1.3239 # DEPENDENCYPART_ARC
(7,16),-0.516877 # DEPENDENCYPART_ARC
(7,17),-1.44807 # DEPENDENCYPART_ARC
(7,18),-1.0232 # DEPENDENCYPART_ARC
(7,19),-1.85661 # DEPENDENCYPART_ARC
(7,20),0.300324 # DEPENDENCYPART_ARC
(8,2),-0.443357 # DEPENDENCYPART_ARC
(8,3),-1.56783 # DEPENDENCYPART_ARC
(8,4),-0.655997 # DEPENDENCYPART_ARC
(8,5),-0.112476 # DEPENDENCYPART_ARC
(8,6),-0.0564044 # DEPENDENCYPART_ARC
(8,7),0.354824 # DEPENDENCYPART_ARC
(8,9),-0.516004 # DEPENDENCYPART_ARC
(8,10),-0.0494714 # DEPENDENCYPART_ARC
(8,12),-0.0161613 # DEPENDENCYPART_ARC
(8,14),-0.619275 # DEPENDENCYPART_ARC
(8,16),0.375284 # DEPENDENCYPART_ARC
(8,17),-1.00442 # DEPENDENCYPART_ARC
(8,18),-1.14766 # DEPENDENCYPART_ARC
(8,19),-0.748609 # DEPENDENCYPART_ARC
(8,20),0.077983 # DEPENDENCYPART_ARC
(9,1),-0.259187 # DEPENDENCYPART_ARC
(9,2),0.61957 # DEPENDENCYPART_ARC
(9,3),-1.96301 # DEPENDENCYPART_ARC
(9,4),-0.432976 # DEPENDENCYPART_ARC
(9,5),-0.0496781 # DEPENDENCYPART_ARC
(9,6),0.541262 # DEPENDENCYPART_ARC
(9,7),0.701395 # DEPENDENCYPART_ARC
(9,8),3.41504 # DEPENDENCYPART_ARC
(9,10),-0.943971 # DEPENDENCYPART_ARC
(9,11),-1.01004 # DEPENDENCYPART_ARC
(9,12),-0.529189 # DEPENDENCYPART_ARC
(9,13),-1.04379 # DEPENDENCYPART_ARC
(9,14),-2.27044 # DEPENDENCYPART_ARC
(9,15),-0.934296 # DEPENDENCYPART_ARC
(9,16),-1.12417 # DEPENDENCYPART_ARC
(9,17),-2.67993 # DEPENDENCYPART_ARC
(9,18),-1.40056 # DEPENDENCYPART_ARC
(9,19),-2.55784 # DEPENDENCYPART_ARC
(9,20),0.211696 # DEPENDENCYPART_ARC
(10,1),0.781282 # DEPENDENCYPART_ARC
(10,2),-1.17676 # DEPENDENCYPART_ARC
(10,3),-1.19017 # DEPENDENCYPART_ARC
(10,4),0.947933 # DEPENDENCYPART_ARC
(10,5),0.640839 # DEPENDENCYPART_ARC
(10,6),0.419976 # DEPENDENCYPART_ARC
(10,7),1.85414 # DEPENDENCYPART_ARC
(10,8),0.181587 # DEPENDENCYPART_ARC
(10,9),3.09461 # DEPENDENCYPART_ARC
(10,11),2.88786 # DEPENDENCYPART_ARC
(10,12),1.34398 # DEPENDENCYPART_ARC
(10,13),0.3329 # DEPENDENCYPART_ARC
(10,14),-0.69168 # DEPENDENCYPART_ARC
(10,15),0.249688 # DEPENDENCYPART_ARC
(10,16),0.857361 # DEPENDENCYPART_ARC
(10,17),-0.884201 # DEPENDENCYPART_ARC
(10,18),-0.482403 # DEPENDENCYPART_ARC
(10,19),-0.492964 # DEPENDENCYPART_ARC
(10,20),1.51969 # DEPENDENCYPART_ARC
(11,1),-0.443915 # DEPENDENCYPART_ARC
(11,2),-0.890654 # DEPENDENCYPART_ARC
(11,3),-0.806854 # DEPENDENCYPART_ARC
(11,4),-0.786158 # DEPENDENCYPART_ARC
(11,5),-0.622914 # DEPENDENCYPART_ARC
(11,6),-0.524975 # DEPENDENCYPART_ARC
(11,7),0.063134 # DEPENDENCYPART_ARC
(11,9),0.0181457 # DEPENDENCYPART_ARC
(11,10),-0.0880614 # DEPENDENCYPART_ARC
(11,12),-0.201652 # DEPENDENCYPART_ARC
(11,13),-0.583346 # DEPENDENCYPART_ARC
(11,16),-0.224243 # DEPENDENCYPART_ARC
(11,17),-1.37657 # DEPENDENCYPART_ARC
(11,19),-1.50475 # DEPENDENCYPART_ARC
(11,20),-0.0944977 # DEPENDENCYPART_ARC
(13,1),-0.407074 # DEPENDENCYPART_ARC
(13,2),-0.996973 # DEPENDENCYPART_ARC
(13,3),-1.09882 # DEPENDENCYPART_ARC
(13,4),-0.869032 # DEPENDENCYPART_ARC
(13,5),-0.646917 # DEPENDENCYPART_ARC
(13,6),-0.215 # DEPENDENCYPART_ARC
(13,7),-0.489664 # DEPENDENCYPART_ARC
(13,9),-0.506911 # DEPENDENCYPART_ARC
(13,10),0.189061 # DEPENDENCYPART_ARC
(13,11),0.0816501 # DEPENDENCYPART_ARC
(13,12),0.15014 # DEPENDENCYPART_ARC
(13,16),0.504989 # DEPENDENCYPART_ARC
(13,17),-0.317685 # DEPENDENCYPART_ARC
(13,19),-0.721718 # DEPENDENCYPART_ARC
(13,20),0.287284 # DEPENDENCYPART_ARC
(14,2),-0.759253 # DEPENDENCYPART_ARC
(14,3),-1.46777 # DEPENDENCYPART_ARC
(14,5),-0.120366 # DEPENDENCYPART_ARC
(14,6),0.288283 # DEPENDENCYPART_ARC
(14,7),-0.373791 # DEPENDENCYPART_ARC
(14,9),-1.39418 # DEPENDENCYPART_ARC
(14,11),0.216867 # DEPENDENCYPART_ARC
(14,12),-0.111087 # DEPENDENCYPART_ARC
(14,13),0.592412 # DEPENDENCYPART_ARC
(14,19),-0.587799 # DEPENDENCYPART_ARC
(14,20),0.241893 # DEPENDENCYPART_ARC
(15,1),-0.0388139 # DEPENDENCYPART_ARC
(15,2),-0.374853 # DEPENDENCYPART_ARC
(15,3),-0.749193 # DEPENDENCYPART_ARC
(15,4),-0.324673 # DEPENDENCYPART_ARC
(15,5),0.0777184 # DEPENDENCYPART_ARC
(15,6),0.22414 # DEPENDENCYPART_ARC
(15,7),-0.0569686 # DEPENDENCYPART_ARC
(15,8),-0.0772152 # DEPENDENCYPART_ARC
(15,9),-0.308557 # DEPENDENCYPART_ARC
(15,10),0.0737255 # DEPENDENCYPART_ARC
(15,11),0.510966 # DEPENDENCYPART_ARC
(15,12),0.716638 # DEPENDENCYPART_ARC
(15,13),0.82632 # DEPENDENCYPART_ARC
(15,14),1.92989 # DEPENDENCYPART_ARC
(15,16),0.0224681 # DEPENDENCYPART_ARC
(15,17),-0.0309492 # DEPENDENCYPART_ARC
(15,18),-0.455583 # DEPENDENCYPART_ARC
(15,19),-0.5054 # DEPENDENCYPART_ARC
(15,20),-0.167506 # DEPENDENCYPART_ARC
(16,1),0.81037 # DEPENDENCYPART_ARC
(16,2),-1.45664 # DEPENDENCYPART_ARC
(16,3),-1.87146 # DEPENDENCYPART_ARC
(16,4),0.35657 # DEPENDENCYPART_ARC
(16,5),0.921685 # DEPENDENCYPART_ARC
(16,6),0.460068 # DEPENDENCYPART_ARC
(16,7),0.92928 # DEPENDENCYPART_ARC
(16,8),-0.937609 # DEPENDENCYPART_ARC
(16,9),0.595514 # DEPENDENCYPART_ARC
(16,10),0.259979 # DEPENDENCYPART_ARC
(16,11),1.52883 # DEPENDENCYPART_ARC
(16,12),1.67384 # DEPENDENCYPART_ARC
(16,13),2.54727 # DEPENDENCYPART_ARC
(16,14),1.19431 # DEPENDENCYPART_ARC
(16,15),2.49996 # DEPENDENCYPART_ARC
(16,17),2.72445 # DEPENDENCYPART_ARC
(16,18),0.374673 # DEPENDENCYPART_ARC
(16,19),2.33053 # DEPENDENCYPART_ARC
(16,20),2.13418 # DEPENDENCYPART_ARC
(17,1),-1.9197 # DEPENDENCYPART_ARC
(17,2),-2.27112 # DEPENDENCYPART_ARC
(17,3),-5.71969 # DEPENDENCYPART_ARC
(17,4),-1.81803 # DEPENDENCYPART_ARC
(17,5),-2.30031 # DEPENDENCYPART_ARC
(17,6),-1.65484 # DEPENDENCYPART_ARC
(17,7),-1.63109 # DEPENDENCYPART_ARC
(17,8),-2.62193 # DEPENDENCYPART_ARC
(17,9),-5.43708 # DEPENDENCYPART_ARC
(17,10),-2.15772 # DEPENDENCYPART_ARC
(17,12),-1.59186 # DEPENDENCYPART_ARC
(17,15),0.00844777 # DEPENDENCYPART_ARC
(17,16),-0.22223 # DEPENDENCYPART_ARC
(17,18),-0.64836 # DEPENDENCYPART_ARC
(17,19),-0.951179 # DEPENDENCYPART_ARC
(17,20),-0.0385865 # DEPENDENCYPART_ARC
(18,3),-3.14919 # DEPENDENCYPART_ARC
(18,5),-1.31467 # DEPENDENCYPART_ARC
(18,6),-1.11093 # DEPENDENCYPART_ARC
(18,9),-2.88562 # DEPENDENCYPART_ARC
(18,12),-1.15158 # DEPENDENCYPART_ARC
(18,17),-1.01948 # DEPENDENCYPART_ARC
(18,19),-0.570906 # DEPENDENCYPART_ARC
(19,1),-1.70084 # DEPENDENCYPART_ARC
(19,2),-2.04364 # DEPENDENCYPART_ARC
(19,3),-5.55117 # DEPENDENCYPART_ARC
(19,4),-1.70616 # DEPENDENCYPART_ARC
(19,5),-2.15221 # DEPENDENCYPART_ARC
(19,6),-1.37887 # DEPENDENCYPART_ARC
(19,7),-1.53056 # DEPENDENCYPART_ARC
(19,8),-1.72708 # DEPENDENCYPART_ARC
(19,9),-4.97308 # DEPENDENCYPART_ARC
(19,10),-1.93805 # DEPENDENCYPART_ARC
(19,11),-1.31798 # DEPENDENCYPART_ARC
(19,12),-1.53095 # DEPENDENCYPART_ARC
(19,13),-1.17412 # DEPENDENCYPART_ARC
(19,14),-0.646366 # DEPENDENCYPART_ARC
(19,15),-0.383785 # DEPENDENCYPART_ARC
(19,16),-1.64079 # DEPENDENCYPART_ARC
(19,17),-0.394271 # DEPENDENCYPART_ARC
(19,18),3.18277 # DEPENDENCYPART_ARC
(19,20),-0.803714 # DEPENDENCYPART_ARC
