# _root_ A Realbank kárvallott , körülbelül 2600 részvényesének soraiban még nem tört ki a pereskedési láz , de várható .
#goldHeads=2,7,7,7,7,7,8,11,11,11,17,11,15,15,11,17,0,17,17,
#predictedHeads=2,7,7,7,7,7,11,11,11,11,17,11,15,15,11,11,0,11,11,
(0,2),-1.44914 # DEPENDENCYPART_ARC
(0,3),-1.97691 # DEPENDENCYPART_ARC
(0,5),-1.99226 # DEPENDENCYPART_ARC
(0,6),-2.66675 # DEPENDENCYPART_ARC
(0,7),-3.64235 # DEPENDENCYPART_ARC
(0,8),-3.30704 # DEPENDENCYPART_ARC
(0,9),-2.81012 # DEPENDENCYPART_ARC
(0,10),-1.99159 # DEPENDENCYPART_ARC
(0,11),-0.619006 # DEPENDENCYPART_ARC
(0,12),-2.43852 # DEPENDENCYPART_ARC
(0,14),-2.78103 # DEPENDENCYPART_ARC
(0,15),-3.4795 # DEPENDENCYPART_ARC
(0,17),0.327308 # DEPENDENCYPART_ARC
(0,18),-2.75156 # DEPENDENCYPART_ARC
(1,2),-0.459415 # DEPENDENCYPART_ARC
(1,3),-0.500967 # DEPENDENCYPART_ARC
(1,4),-0.5035 # DEPENDENCYPART_ARC
(1,7),-2.05874 # DEPENDENCYPART_ARC
(1,8),-2.12045 # DEPENDENCYPART_ARC
(1,14),-1.71532 # DEPENDENCYPART_ARC
(1,15),-2.1952 # DEPENDENCYPART_ARC
(1,16),-1.09842 # DEPENDENCYPART_ARC
(1,17),-1.61816 # DEPENDENCYPART_ARC
(1,18),-2.16903 # DEPENDENCYPART_ARC
(2,1),2.54663 # DEPENDENCYPART_ARC
(2,3),-0.154371 # DEPENDENCYPART_ARC
(2,4),-0.00741332 # DEPENDENCYPART_ARC
(2,5),-0.570332 # DEPENDENCYPART_ARC
(2,6),-0.417707 # DEPENDENCYPART_ARC
(2,7),-0.922444 # DEPENDENCYPART_ARC
(2,8),-1.73842 # DEPENDENCYPART_ARC
(2,9),-0.805799 # DEPENDENCYPART_ARC
(2,10),-0.829627 # DEPENDENCYPART_ARC
(2,11),-0.666499 # DEPENDENCYPART_ARC
(2,13),-1.20558 # DEPENDENCYPART_ARC
(2,14),-1.39946 # DEPENDENCYPART_ARC
(2,15),-1.18384 # DEPENDENCYPART_ARC
(2,16),-0.40058 # DEPENDENCYPART_ARC
(2,17),-0.960313 # DEPENDENCYPART_ARC
(2,18),-1.47161 # DEPENDENCYPART_ARC
(2,19),-0.249684 # DEPENDENCYPART_ARC
(3,1),0.546885 # DEPENDENCYPART_ARC
(3,2),1.64902 # DEPENDENCYPART_ARC
(3,4),0.345966 # DEPENDENCYPART_ARC
(3,5),-0.255995 # DEPENDENCYPART_ARC
(3,6),-0.258742 # DEPENDENCYPART_ARC
(3,7),-0.878157 # DEPENDENCYPART_ARC
(3,8),-1.22991 # DEPENDENCYPART_ARC
(3,9),-0.584938 # DEPENDENCYPART_ARC
(3,10),-0.574084 # DEPENDENCYPART_ARC
(3,11),-0.326664 # DEPENDENCYPART_ARC
(3,12),-0.778564 # DEPENDENCYPART_ARC
(3,13),-1.10808 # DEPENDENCYPART_ARC
(3,14),-1.34813 # DEPENDENCYPART_ARC
(3,15),-1.39693 # DEPENDENCYPART_ARC
(3,16),-0.535671 # DEPENDENCYPART_ARC
(3,17),-0.13966 # DEPENDENCYPART_ARC
(3,18),-1.60955 # DEPENDENCYPART_ARC
(3,19),0.47458 # DEPENDENCYPART_ARC
(5,1),-0.789007 # DEPENDENCYPART_ARC
(5,2),-0.311037 # DEPENDENCYPART_ARC
(5,3),-0.510816 # DEPENDENCYPART_ARC
(5,4),-0.0112667 # DEPENDENCYPART_ARC
(5,6),-0.113473 # DEPENDENCYPART_ARC
(5,7),0.131833 # DEPENDENCYPART_ARC
(5,8),-0.192305 # DEPENDENCYPART_ARC
(5,9),-0.478064 # DEPENDENCYPART_ARC
(5,10),-0.583564 # DEPENDENCYPART_ARC
(5,11),0.112441 # DEPENDENCYPART_ARC
(5,12),-0.647789 # DEPENDENCYPART_ARC
(5,13),-0.912812 # DEPENDENCYPART_ARC
(5,14),-0.847709 # DEPENDENCYPART_ARC
(5,15),-1.02059 # DEPENDENCYPART_ARC
(5,16),-0.202435 # DEPENDENCYPART_ARC
(5,17),-0.654404 # DEPENDENCYPART_ARC
(5,18),-1.35945 # DEPENDENCYPART_ARC
(5,19),-0.329136 # DEPENDENCYPART_ARC
(6,1),-0.476127 # DEPENDENCYPART_ARC
(6,2),-0.843112 # DEPENDENCYPART_ARC
(6,3),-0.986113 # DEPENDENCYPART_ARC
(6,4),-0.539738 # DEPENDENCYPART_ARC
(6,5),0.616033 # DEPENDENCYPART_ARC
(6,7),-0.822451 # DEPENDENCYPART_ARC
(6,8),-1.20668 # DEPENDENCYPART_ARC
(6,9),-1.15886 # DEPENDENCYPART_ARC
(6,10),-1.29803 # DEPENDENCYPART_ARC
(6,11),-1.13426 # DEPENDENCYPART_ARC
(6,13),-1.52696 # DEPENDENCYPART_ARC
(6,14),-1.40584 # DEPENDENCYPART_ARC
(6,15),-1.56077 # DEPENDENCYPART_ARC
(6,16),-0.701331 # DEPENDENCYPART_ARC
(6,17),-1.22993 # DEPENDENCYPART_ARC
(6,18),-1.65218 # DEPENDENCYPART_ARC
(6,19),-0.520683 # DEPENDENCYPART_ARC
(7,1),0.213709 # DEPENDENCYPART_ARC
(7,2),1.77736 # DEPENDENCYPART_ARC
(7,3),0.268179 # DEPENDENCYPART_ARC
(7,4),1.03845 # DEPENDENCYPART_ARC
(7,5),1.59003 # DEPENDENCYPART_ARC
(7,6),3.06689 # DEPENDENCYPART_ARC
(7,8),-0.968047 # DEPENDENCYPART_ARC
(7,9),-1.37586 # DEPENDENCYPART_ARC
(7,10),-1.28217 # DEPENDENCYPART_ARC
(7,11),-1.5723 # DEPENDENCYPART_ARC
(7,12),-1.34542 # DEPENDENCYPART_ARC
(7,13),-1.81949 # DEPENDENCYPART_ARC
