# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,11,11,13,13,16,13,13,0,18,16,11,
(0,1),-1.8976 # DEPENDENCYPART_ARC
(0,2),-2.54946 # DEPENDENCYPART_ARC
(0,3),-2.96601 # DEPENDENCYPART_ARC
(0,5),-3.44533 # DEPENDENCYPART_ARC
(0,6),-2.52339 # DEPENDENCYPART_ARC
(0,7),-1.93767 # DEPENDENCYPART_ARC
(0,8),-3.40315 # DEPENDENCYPART_ARC
(0,9),-1.67033 # DEPENDENCYPART_ARC
(0,11),-0.315976 # DEPENDENCYPART_ARC
(0,12),-3.59959 # DEPENDENCYPART_ARC
(0,13),-1.79722 # DEPENDENCYPART_ARC
(0,14),-3.18039 # DEPENDENCYPART_ARC
(0,16),-0.530405 # DEPENDENCYPART_ARC
(0,17),-2.69283 # DEPENDENCYPART_ARC
(0,18),-2.20666 # DEPENDENCYPART_ARC
(1,2),-0.959512 # DEPENDENCYPART_ARC
(1,3),-0.704287 # DEPENDENCYPART_ARC
(1,4),-1.48843 # DEPENDENCYPART_ARC
(1,5),-1.39766 # DEPENDENCYPART_ARC
(1,6),-1.36412 # DEPENDENCYPART_ARC
(1,7),-1.13021 # DEPENDENCYPART_ARC
(1,8),-2.20926 # DEPENDENCYPART_ARC
(1,9),-1.3218 # DEPENDENCYPART_ARC
(1,10),-0.962799 # DEPENDENCYPART_ARC
(1,11),-1.27502 # DEPENDENCYPART_ARC
(1,12),-2.84482 # DEPENDENCYPART_ARC
(1,13),-1.6709 # DEPENDENCYPART_ARC
(1,14),-1.64773 # DEPENDENCYPART_ARC
(1,15),-1.19457 # DEPENDENCYPART_ARC
(1,16),-1.3121 # DEPENDENCYPART_ARC
(1,17),-2.23707 # DEPENDENCYPART_ARC
(1,18),-1.85902 # DEPENDENCYPART_ARC
(1,19),-0.281497 # DEPENDENCYPART_ARC
(2,1),3.12861 # DEPENDENCYPART_ARC
(2,3),-0.411376 # DEPENDENCYPART_ARC
(2,4),-1.51406 # DEPENDENCYPART_ARC
(2,5),-1.51126 # DEPENDENCYPART_ARC
(2,6),-1.24796 # DEPENDENCYPART_ARC
(2,7),-1.53144 # DEPENDENCYPART_ARC
(2,8),-2.57263 # DEPENDENCYPART_ARC
(2,9),-1.77823 # DEPENDENCYPART_ARC
(2,10),-1.29917 # DEPENDENCYPART_ARC
(2,11),-1.37854 # DEPENDENCYPART_ARC
(2,12),-3.35263 # DEPENDENCYPART_ARC
(2,13),-2.26024 # DEPENDENCYPART_ARC
(2,14),-1.36446 # DEPENDENCYPART_ARC
(2,15),-1.57873 # DEPENDENCYPART_ARC
(2,16),-1.54315 # DEPENDENCYPART_ARC
(2,17),-2.31961 # DEPENDENCYPART_ARC
(2,18),-2.77845 # DEPENDENCYPART_ARC
(2,19),-0.655567 # DEPENDENCYPART_ARC
(3,1),0.846312 # DEPENDENCYPART_ARC
(3,2),3.92444 # DEPENDENCYPART_ARC
(3,4),-0.00899289 # DEPENDENCYPART_ARC
(3,5),0.108752 # DEPENDENCYPART_ARC
(3,6),-0.0357116 # DEPENDENCYPART_ARC
(3,8),-0.306739 # DEPENDENCYPART_ARC
(3,9),0.0144996 # DEPENDENCYPART_ARC
(3,10),0.189367 # DEPENDENCYPART_ARC
(3,11),-0.120242 # DEPENDENCYPART_ARC
(3,12),-0.622539 # DEPENDENCYPART_ARC
(3,13),-0.158185 # DEPENDENCYPART_ARC
(3,15),-0.123701 # DEPENDENCYPART_ARC
(3,16),-0.308493 # DEPENDENCYPART_ARC
(3,17),-1.00134 # DEPENDENCYPART_ARC
(3,18),-0.0377943 # DEPENDENCYPART_ARC
(3,19),-0.218156 # DEPENDENCYPART_ARC
(4,1),-1.22197 # DEPENDENCYPART_ARC
(4,2),-1.8627 # DEPENDENCYPART_ARC
(4,5),-0.478653 # DEPENDENCYPART_ARC
(4,6),-0.799729 # DEPENDENCYPART_ARC
(4,8),-1.21385 # DEPENDENCYPART_ARC
(4,10),-0.399632 # DEPENDENCYPART_ARC
