# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,13,20,21,23,23,13,5,
(0,1),-1.21052 # DEPENDENCYPART_ARC
(0,2),-2.00596 # DEPENDENCYPART_ARC
(0,3),-2.29304 # DEPENDENCYPART_ARC
(0,4),-3.12503 # DEPENDENCYPART_ARC
(0,5),-0.924763 # DEPENDENCYPART_ARC
(0,6),-3.30723 # DEPENDENCYPART_ARC
(0,8),-3.6996 # DEPENDENCYPART_ARC
(0,11),-3.8466 # DEPENDENCYPART_ARC
(0,12),-3.77614 # DEPENDENCYPART_ARC
(0,13),-1.67308 # DEPENDENCYPART_ARC
(0,15),-4.27597 # DEPENDENCYPART_ARC
(0,16),-3.72854 # DEPENDENCYPART_ARC
(0,17),-4.56784 # DEPENDENCYPART_ARC
(0,20),-5.03728 # DEPENDENCYPART_ARC
(0,21),-3.55257 # DEPENDENCYPART_ARC
(0,22),-3.99893 # DEPENDENCYPART_ARC
(0,23),-5.79294 # DEPENDENCYPART_ARC
(1,2),-0.31412 # DEPENDENCYPART_ARC
(1,3),-0.720856 # DEPENDENCYPART_ARC
(1,4),-1.68872 # DEPENDENCYPART_ARC
(1,5),-0.716928 # DEPENDENCYPART_ARC
(1,6),-1.55069 # DEPENDENCYPART_ARC
(1,7),-1.36389 # DEPENDENCYPART_ARC
(1,8),-1.46224 # DEPENDENCYPART_ARC
(1,9),-0.578571 # DEPENDENCYPART_ARC
(1,10),-1.63857 # DEPENDENCYPART_ARC
(1,11),-1.76586 # DEPENDENCYPART_ARC
(1,12),-2.05535 # DEPENDENCYPART_ARC
(1,13),-1.2173 # DEPENDENCYPART_ARC
(1,14),-1.61576 # DEPENDENCYPART_ARC
