# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,13,
(0,1),-2.07752 # DEPENDENCYPART_ARC
(0,3),-2.98203 # DEPENDENCYPART_ARC
(0,4),-2.29095 # DEPENDENCYPART_ARC
(0,6),-3.61507 # DEPENDENCYPART_ARC
(0,7),-2.57304 # DEPENDENCYPART_ARC
(0,8),-4.10566 # DEPENDENCYPART_ARC
(0,9),-1.3019 # DEPENDENCYPART_ARC
(0,11),-2.57112 # DEPENDENCYPART_ARC
(0,12),-1.18951 # DEPENDENCYPART_ARC
(0,13),-1.60853 # DEPENDENCYPART_ARC
(0,14),-3.32562 # DEPENDENCYPART_ARC
(0,16),-4.6246 # DEPENDENCYPART_ARC
(0,20),-4.88807 # DEPENDENCYPART_ARC
(0,21),-4.79183 # DEPENDENCYPART_ARC
(0,22),-2.35596 # DEPENDENCYPART_ARC
(1,2),-0.367721 # DEPENDENCYPART_ARC
(1,3),0.154952 # DEPENDENCYPART_ARC
(1,5),-0.628553 # DEPENDENCYPART_ARC
(1,6),-0.546193 # DEPENDENCYPART_ARC
(1,7),-0.829917 # DEPENDENCYPART_ARC
(1,8),-0.743302 # DEPENDENCYPART_ARC
(1,9),0.140226 # DEPENDENCYPART_ARC
(1,10),-0.00492515 # DEPENDENCYPART_ARC
(1,12),-0.486192 # DEPENDENCYPART_ARC
(1,13),-0.551769 # DEPENDENCYPART_ARC
(1,14),-1.00617 # DEPENDENCYPART_ARC
(1,15),-0.997564 # DEPENDENCYPART_ARC
(1,16),-1.42185 # DEPENDENCYPART_ARC
(1,17),-0.248924 # DEPENDENCYPART_ARC
(1,19),-1.09573 # DEPENDENCYPART_ARC
(1,20),-1.99799 # DEPENDENCYPART_ARC
(1,21),-2.04316 # DEPENDENCYPART_ARC
(1,22),-0.709693 # DEPENDENCYPART_ARC
(1,23),1.06486 # DEPENDENCYPART_ARC
(2,3),-0.676932 # DEPENDENCYPART_ARC
(2,6),-1.4027 # DEPENDENCYPART_ARC
(2,8),-2.16013 # DEPENDENCYPART_ARC
(2,10),-0.912149 # DEPENDENCYPART_ARC
(2,12),-1.33098 # DEPENDENCYPART_ARC
(2,16),-2.29811 # DEPENDENCYPART_ARC
(2,17),-1.1242 # DEPENDENCYPART_ARC
(2,20),-2.39984 # DEPENDENCYPART_ARC
(2,21),-2.76417 # DEPENDENCYPART_ARC
(3,1),-0.624794 # DEPENDENCYPART_ARC
(3,2),3.20866 # DEPENDENCYPART_ARC
(3,4),-0.931505 # DEPENDENCYPART_ARC
(3,5),-1.27192 # DEPENDENCYPART_ARC
(3,6),-0.994925 # DEPENDENCYPART_ARC
(3,7),-1.88231 # DEPENDENCYPART_ARC
(3,8),-1.84875 # DEPENDENCYPART_ARC
(3,9),-0.796948 # DEPENDENCYPART_ARC
(3,10),-0.601314 # DEPENDENCYPART_ARC
(3,11),-1.16078 # DEPENDENCYPART_ARC
(3,12),-1.08121 # DEPENDENCYPART_ARC
(3,13),-1.2675 # DEPENDENCYPART_ARC
(3,14),-2.24179 # DEPENDENCYPART_ARC
(3,15),-1.70626 # DEPENDENCYPART_ARC
(3,16),-3.59086 # DEPENDENCYPART_ARC
(3,17),-0.804897 # DEPENDENCYPART_ARC
(3,18),-2.30918 # DEPENDENCYPART_ARC
(3,19),-1.76751 # DEPENDENCYPART_ARC
(3,20),-2.83018 # DEPENDENCYPART_ARC
(3,21),-3.26103 # DEPENDENCYPART_ARC
(3,22),-1.0546 # DEPENDENCYPART_ARC
(3,23),0.733662 # DEPENDENCYPART_ARC
(4,3),0.801394 # DEPENDENCYPART_ARC
(4,6),0.461888 # DEPENDENCYPART_ARC
(4,8),0.130997 # DEPENDENCYPART_ARC
(4,10),0.263155 # DEPENDENCYPART_ARC
(4,16),-0.784321 # DEPENDENCYPART_ARC
(4,17),-0.225198 # DEPENDENCYPART_ARC
(4,20),-1.3212 # DEPENDENCYPART_ARC
(4,21),-1.2355 # DEPENDENCYPART_ARC
(4,23),1.34435 # DEPENDENCYPART_ARC
(5,3),-1.95859 # DEPENDENCYPART_ARC
(5,6),-0.572304 # DEPENDENCYPART_ARC
(5,8),-1.50335 # DEPENDENCYPART_ARC
(5,10),-0.597182 # DEPENDENCYPART_ARC
(5,12),-1.12192 # DEPENDENCYPART_ARC
(5,16),-1.99461 # DEPENDENCYPART_ARC
(5,17),-0.842733 # DEPENDENCYPART_ARC
(5,20),-2.07326 # DEPENDENCYPART_ARC
(5,21),-2.43147 # DEPENDENCYPART_ARC
(6,1),-1.09699 # DEPENDENCYPART_ARC
(6,2),0.684844 # DEPENDENCYPART_ARC
(6,3),-1.46411 # DEPENDENCYPART_ARC
(6,4),-0.255336 # DEPENDENCYPART_ARC
(6,5),3.38641 # DEPENDENCYPART_ARC
