# _root_ Mindebből azonban hiba volna azt a következtetést levonni , hogy gyermekek tömkelege születne " balkézről " ; sokkal inkább arról van szó , hogy az élettársi kapcsolatok egyre inkább hasonlítanak magára a házasságra .
#goldHeads=8,4,4,0,7,7,8,4,4,4,12,13,1,13,13,13,4,19,21,21,4,21,21,21,27,27,30,29,30,20,30,33,30,4,
#predictedHeads=4,4,4,0,7,7,8,4,4,4,12,13,5,13,13,13,13,19,21,21,5,21,21,21,27,27,30,29,30,20,33,33,30,4,
(0,1),-2.82502 # DEPENDENCYPART_ARC
(0,2),-2.15405 # DEPENDENCYPART_ARC
(0,3),-2.31962 # DEPENDENCYPART_ARC
(0,4),-0.534976 # DEPENDENCYPART_ARC
(0,5),-3.17973 # DEPENDENCYPART_ARC
(0,6),-2.74784 # DEPENDENCYPART_ARC
(0,7),-3.65902 # DEPENDENCYPART_ARC
(0,8),-1.92678 # DEPENDENCYPART_ARC
(0,9),-2.96818 # DEPENDENCYPART_ARC
(0,10),-2.19117 # DEPENDENCYPART_ARC
(0,11),-3.242 # DEPENDENCYPART_ARC
(0,12),-3.32064 # DEPENDENCYPART_ARC
(0,13),-1.50672 # DEPENDENCYPART_ARC
(0,14),-2.99512 # DEPENDENCYPART_ARC
(0,15),-2.54678 # DEPENDENCYPART_ARC
(0,16),-3.00301 # DEPENDENCYPART_ARC
(0,17),-3.02951 # DEPENDENCYPART_ARC
(0,18),-2.74354 # DEPENDENCYPART_ARC
(0,19),-2.06192 # DEPENDENCYPART_ARC
(0,20),-3.23051 # DEPENDENCYPART_ARC
(0,21),-1.46681 # DEPENDENCYPART_ARC
(0,22),-3.24305 # DEPENDENCYPART_ARC
(0,23),-4.07671 # DEPENDENCYPART_ARC
(0,24),-4.67582 # DEPENDENCYPART_ARC
(0,25),-2.80665 # DEPENDENCYPART_ARC
(0,26),-3.10285 # DEPENDENCYPART_ARC
(0,27),-4.10329 # DEPENDENCYPART_ARC
(0,28),-3.17106 # DEPENDENCYPART_ARC
(0,29),-2.25603 # DEPENDENCYPART_ARC
(0,30),-2.02286 # DEPENDENCYPART_ARC
