# _root_ A szaktudás mellett a jövőben fontos lesz az önvédelmi oktatás is , mert a szórólapterjesztőket egyre kevésbé szeretik Budapesten , a kutyák például kimondottan eszik a szerencsétleneket .
#goldHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,7,18,7,22,25,25,25,7,27,25,7,
#predictedHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,18,18,13,18,18,22,25,25,25,18,27,25,18,
(0,2),-2.09452 # DEPENDENCYPART_ARC
(0,3),-2.59518 # DEPENDENCYPART_ARC
(0,5),-2.46017 # DEPENDENCYPART_ARC
(0,6),-2.39178 # DEPENDENCYPART_ARC
(0,7),-0.945076 # DEPENDENCYPART_ARC
(0,9),-2.66998 # DEPENDENCYPART_ARC
(0,10),-3.84561 # DEPENDENCYPART_ARC
(0,11),-2.36199 # DEPENDENCYPART_ARC
(0,13),-1.50444 # DEPENDENCYPART_ARC
(0,15),-4.47262 # DEPENDENCYPART_ARC
(0,16),-3.00059 # DEPENDENCYPART_ARC
(0,17),-2.70483 # DEPENDENCYPART_ARC
(0,18),-1.65972 # DEPENDENCYPART_ARC
(0,19),-3.62575 # DEPENDENCYPART_ARC
(0,22),-4.38104 # DEPENDENCYPART_ARC
(0,23),-3.04863 # DEPENDENCYPART_ARC
(0,24),-2.61067 # DEPENDENCYPART_ARC
(0,25),-1.93294 # DEPENDENCYPART_ARC
(0,27),-5.58407 # DEPENDENCYPART_ARC
(1,2),-0.718774 # DEPENDENCYPART_ARC
(1,5),-1.51146 # DEPENDENCYPART_ARC
(1,6),-1.18139 # DEPENDENCYPART_ARC
(1,9),-1.47411 # DEPENDENCYPART_ARC
(1,10),-2.0523 # DEPENDENCYPART_ARC
(1,11),-1.63462 # DEPENDENCYPART_ARC
(1,12),-1.0827 # DEPENDENCYPART_ARC
(1,15),-2.52277 # DEPENDENCYPART_ARC
(1,19),-2.50146 # DEPENDENCYPART_ARC
(1,20),-1.2642 # DEPENDENCYPART_ARC
(1,22),-2.58073 # DEPENDENCYPART_ARC
(1,24),-2.80853 # DEPENDENCYPART_ARC
(1,27),-3.02595 # DEPENDENCYPART_ARC
(2,1),3.14039 # DEPENDENCYPART_ARC
(2,3),-0.209306 # DEPENDENCYPART_ARC
(2,4),-1.2872 # DEPENDENCYPART_ARC
(2,5),-1.05757 # DEPENDENCYPART_ARC
(2,6),-1.3791 # DEPENDENCYPART_ARC
(2,7),-0.757319 # DEPENDENCYPART_ARC
(2,8),-1.46473 # DEPENDENCYPART_ARC
(2,9),-1.66665 # DEPENDENCYPART_ARC
(2,10),-1.19507 # DEPENDENCYPART_ARC
(2,11),-1.4805 # DEPENDENCYPART_ARC
(2,12),-0.919359 # DEPENDENCYPART_ARC
(2,13),-1.54443 # DEPENDENCYPART_ARC
(2,14),-1.7987 # DEPENDENCYPART_ARC
(2,15),-3.29561 # DEPENDENCYPART_ARC
(2,16),-1.30237 # DEPENDENCYPART_ARC
(2,17),-1.23679 # DEPENDENCYPART_ARC
(2,18),-1.64811 # DEPENDENCYPART_ARC
(2,19),-3.19047 # DEPENDENCYPART_ARC
(2,20),-1.00158 # DEPENDENCYPART_ARC
(2,21),-1.83873 # DEPENDENCYPART_ARC
(2,22),-3.11487 # DEPENDENCYPART_ARC
(2,23),-1.36942 # DEPENDENCYPART_ARC
(2,24),-2.48199 # DEPENDENCYPART_ARC
(2,25),-1.89992 # DEPENDENCYPART_ARC
(2,26),-1.95291 # DEPENDENCYPART_ARC
(2,27),-4.10417 # DEPENDENCYPART_ARC
(2,28),-0.394924 # DEPENDENCYPART_ARC
(3,1),0.712671 # DEPENDENCYPART_ARC
(3,2),3.72017 # DEPENDENCYPART_ARC
(3,4),-0.113459 # DEPENDENCYPART_ARC
(3,5),0.050593 # DEPENDENCYPART_ARC
(3,6),-0.202883 # DEPENDENCYPART_ARC
(3,7),-0.0738103 # DEPENDENCYPART_ARC
(3,8),-0.500556 # DEPENDENCYPART_ARC
