# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(0,1),-2.10239 # DEPENDENCYPART_ARC
(0,2),-2.02258 # DEPENDENCYPART_ARC
(0,3),-1.85026 # DEPENDENCYPART_ARC
(0,4),-0.694715 # DEPENDENCYPART_ARC
(0,5),-1.79192 # DEPENDENCYPART_ARC
(0,6),-3.67504 # DEPENDENCYPART_ARC
(0,8),0.478128 # DEPENDENCYPART_ARC
(0,9),-3.88893 # DEPENDENCYPART_ARC
(0,10),-0.71626 # DEPENDENCYPART_ARC
(0,12),-3.26087 # DEPENDENCYPART_ARC
(0,14),-3.56004 # DEPENDENCYPART_ARC
(0,15),-3.7708 # DEPENDENCYPART_ARC
(0,16),-3.81647 # DEPENDENCYPART_ARC
(0,18),-4.07426 # DEPENDENCYPART_ARC
(0,19),-1.78219 # DEPENDENCYPART_ARC
(1,2),-0.670478 # DEPENDENCYPART_ARC
(1,3),-0.80446 # DEPENDENCYPART_ARC
(1,4),-0.592495 # DEPENDENCYPART_ARC
(1,5),-0.378622 # DEPENDENCYPART_ARC
(1,6),-1.70737 # DEPENDENCYPART_ARC
(1,7),-0.147116 # DEPENDENCYPART_ARC
(1,8),-0.775536 # DEPENDENCYPART_ARC
(1,9),-1.75725 # DEPENDENCYPART_ARC
(1,10),-1.09815 # DEPENDENCYPART_ARC
(1,11),-0.455025 # DEPENDENCYPART_ARC
(1,12),-0.93304 # DEPENDENCYPART_ARC
(1,13),-1.38637 # DEPENDENCYPART_ARC
(1,14),-2.57304 # DEPENDENCYPART_ARC
(1,15),-3.03559 # DEPENDENCYPART_ARC
(1,16),-3.20161 # DEPENDENCYPART_ARC
(1,17),-1.47231 # DEPENDENCYPART_ARC
(1,18),-2.43618 # DEPENDENCYPART_ARC
(1,19),-1.19131 # DEPENDENCYPART_ARC
(1,20),0.485721 # DEPENDENCYPART_ARC
(2,1),0.561575 # DEPENDENCYPART_ARC
(2,3),0.0353505 # DEPENDENCYPART_ARC
(2,4),0.187362 # DEPENDENCYPART_ARC
(2,5),-0.0973587 # DEPENDENCYPART_ARC
(2,6),-0.0384732 # DEPENDENCYPART_ARC
(2,7),-0.130678 # DEPENDENCYPART_ARC
(2,8),-0.17058 # DEPENDENCYPART_ARC
(2,9),-0.775393 # DEPENDENCYPART_ARC
(2,10),-0.32299 # DEPENDENCYPART_ARC
(2,11),-0.426505 # DEPENDENCYPART_ARC
(2,12),-0.0924583 # DEPENDENCYPART_ARC
(2,13),-0.84901 # DEPENDENCYPART_ARC
(2,14),-1.26181 # DEPENDENCYPART_ARC
(2,15),-1.37235 # DEPENDENCYPART_ARC
(2,16),-1.26159 # DEPENDENCYPART_ARC
(2,17),-1.01338 # DEPENDENCYPART_ARC
(2,18),-1.29046 # DEPENDENCYPART_ARC
(2,19),-0.500056 # DEPENDENCYPART_ARC
(2,20),0.736644 # DEPENDENCYPART_ARC
(3,1),-0.203135 # DEPENDENCYPART_ARC
(3,2),0.634802 # DEPENDENCYPART_ARC
(3,4),-0.0227786 # DEPENDENCYPART_ARC
(3,5),-0.550429 # DEPENDENCYPART_ARC
(3,6),-0.71738 # DEPENDENCYPART_ARC
(3,7),-0.637211 # DEPENDENCYPART_ARC
(3,8),-0.532741 # DEPENDENCYPART_ARC
(3,9),-1.21893 # DEPENDENCYPART_ARC
(3,10),-0.85822 # DEPENDENCYPART_ARC
(3,11),-0.957273 # DEPENDENCYPART_ARC
(3,12),-0.489498 # DEPENDENCYPART_ARC
(3,14),-2.34881 # DEPENDENCYPART_ARC
