# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,6,12,12,12,6,12,12,20,18,23,20,20,21,23,12,12,25,27,27,23,27,30,31,28,28,6,
(0,1),-2.38477 # DEPENDENCYPART_ARC
(0,2),-2.42721 # DEPENDENCYPART_ARC
(0,3),-2.39856 # DEPENDENCYPART_ARC
(0,4),-2.14114 # DEPENDENCYPART_ARC
(0,5),-2.89416 # DEPENDENCYPART_ARC
(0,6),-0.515354 # DEPENDENCYPART_ARC
(0,7),-2.79256 # DEPENDENCYPART_ARC
(0,8),-1.06641 # DEPENDENCYPART_ARC
(0,9),-3.52034 # DEPENDENCYPART_ARC
(0,10),-2.49804 # DEPENDENCYPART_ARC
(0,11),-2.30664 # DEPENDENCYPART_ARC
(0,12),-0.370049 # DEPENDENCYPART_ARC
(0,13),-2.61431 # DEPENDENCYPART_ARC
(0,14),-3.0437 # DEPENDENCYPART_ARC
(0,15),-3.09524 # DEPENDENCYPART_ARC
(0,16),-2.22477 # DEPENDENCYPART_ARC
(0,17),-2.13798 # DEPENDENCYPART_ARC
(0,18),-2.52845 # DEPENDENCYPART_ARC
(0,19),-2.85872 # DEPENDENCYPART_ARC
(0,20),-4.05472 # DEPENDENCYPART_ARC
(0,21),-2.87021 # DEPENDENCYPART_ARC
(0,22),-3.8037 # DEPENDENCYPART_ARC
(0,23),-1.98162 # DEPENDENCYPART_ARC
(0,24),-2.50585 # DEPENDENCYPART_ARC
(0,25),-4.75626 # DEPENDENCYPART_ARC
(0,26),-2.73013 # DEPENDENCYPART_ARC
(0,27),-2.59483 # DEPENDENCYPART_ARC
(0,28),-3.08148 # DEPENDENCYPART_ARC
(0,29),-4.46851 # DEPENDENCYPART_ARC
(0,30),-4.48231 # DEPENDENCYPART_ARC
(0,31),-4.89528 # DEPENDENCYPART_ARC
(0,32),-4.13339 # DEPENDENCYPART_ARC
(0,33),-5.08105 # DEPENDENCYPART_ARC
(1,2),-0.723276 # DEPENDENCYPART_ARC
(1,3),-1.18682 # DEPENDENCYPART_ARC
(1,4),-1.01502 # DEPENDENCYPART_ARC
(1,5),-0.785932 # DEPENDENCYPART_ARC
(1,6),-0.926341 # DEPENDENCYPART_ARC
(1,7),-0.79616 # DEPENDENCYPART_ARC
(1,8),-0.849422 # DEPENDENCYPART_ARC
(1,9),-1.40888 # DEPENDENCYPART_ARC
(1,10),-1.42888 # DEPENDENCYPART_ARC
(1,11),-1.21642 # DEPENDENCYPART_ARC
(1,12),-1.28676 # DEPENDENCYPART_ARC
(1,13),-1.30543 # DEPENDENCYPART_ARC
(1,14),-1.05135 # DEPENDENCYPART_ARC
(1,15),-1.42148 # DEPENDENCYPART_ARC
(1,16),-1.31812 # DEPENDENCYPART_ARC
(1,17),-1.3231 # DEPENDENCYPART_ARC
(1,18),-1.52971 # DEPENDENCYPART_ARC
(1,19),-1.6331 # DEPENDENCYPART_ARC
(1,20),-2.38082 # DEPENDENCYPART_ARC
(1,21),-1.68412 # DEPENDENCYPART_ARC
(1,22),-1.22668 # DEPENDENCYPART_ARC
(1,23),-1.20009 # DEPENDENCYPART_ARC
(1,24),-1.59305 # DEPENDENCYPART_ARC
(1,25),-2.56817 # DEPENDENCYPART_ARC
(1,26),-1.51544 # DEPENDENCYPART_ARC
(1,27),-1.79902 # DEPENDENCYPART_ARC
(1,28),-1.73292 # DEPENDENCYPART_ARC
(1,29),-1.59986 # DEPENDENCYPART_ARC
(1,30),-2.73796 # DEPENDENCYPART_ARC
(1,31),-1.55109 # DEPENDENCYPART_ARC
(1,32),-1.67033 # DEPENDENCYPART_ARC
(1,33),-1.78278 # DEPENDENCYPART_ARC
(2,1),-0.331832 # DEPENDENCYPART_ARC
(2,3),-0.199846 # DEPENDENCYPART_ARC
(2,4),-0.156302 # DEPENDENCYPART_ARC
(2,5),-0.16096 # DEPENDENCYPART_ARC
(2,6),-0.712866 # DEPENDENCYPART_ARC
(2,7),-0.312642 # DEPENDENCYPART_ARC
(2,8),-0.702614 # DEPENDENCYPART_ARC
(2,9),-1.07004 # DEPENDENCYPART_ARC
(2,10),-1.12185 # DEPENDENCYPART_ARC
(2,11),-0.956007 # DEPENDENCYPART_ARC
(2,12),-1.24004 # DEPENDENCYPART_ARC
(2,13),-0.959165 # DEPENDENCYPART_ARC
(2,14),-0.489594 # DEPENDENCYPART_ARC
(2,15),-1.12264 # DEPENDENCYPART_ARC
(2,16),-1.06053 # DEPENDENCYPART_ARC
(2,17),-1.0756 # DEPENDENCYPART_ARC
(2,18),-1.43909 # DEPENDENCYPART_ARC
(2,19),-1.3924 # DEPENDENCYPART_ARC
(2,20),-2.02702 # DEPENDENCYPART_ARC
(2,21),-1.77828 # DEPENDENCYPART_ARC
(2,22),-0.781861 # DEPENDENCYPART_ARC
(2,23),-1.38492 # DEPENDENCYPART_ARC
(2,24),-1.17714 # DEPENDENCYPART_ARC
(2,25),-2.26289 # DEPENDENCYPART_ARC
(2,26),-1.25026 # DEPENDENCYPART_ARC
(2,27),-1.96257 # DEPENDENCYPART_ARC
(2,28),-1.67066 # DEPENDENCYPART_ARC
(2,29),-1.21514 # DEPENDENCYPART_ARC
(2,30),-2.15809 # DEPENDENCYPART_ARC
(2,31),-1.39331 # DEPENDENCYPART_ARC
(2,32),-1.3745 # DEPENDENCYPART_ARC
(2,33),-2.34399 # DEPENDENCYPART_ARC
(3,1),-1.11098 # DEPENDENCYPART_ARC
(3,2),2.89387 # DEPENDENCYPART_ARC
(3,4),-0.62079 # DEPENDENCYPART_ARC
(3,5),-0.380932 # DEPENDENCYPART_ARC
(3,6),-0.613741 # DEPENDENCYPART_ARC
(3,7),-0.562575 # DEPENDENCYPART_ARC
(3,8),-0.961589 # DEPENDENCYPART_ARC
(3,9),-1.69739 # DEPENDENCYPART_ARC
(3,10),-1.5872 # DEPENDENCYPART_ARC
(3,11),-0.938748 # DEPENDENCYPART_ARC
(3,12),-0.635903 # DEPENDENCYPART_ARC
(3,13),-0.799302 # DEPENDENCYPART_ARC
(3,14),-1.05121 # DEPENDENCYPART_ARC
(3,15),-1.46974 # DEPENDENCYPART_ARC
(3,16),-0.94914 # DEPENDENCYPART_ARC
(3,17),-1.02489 # DEPENDENCYPART_ARC
(3,18),-1.9238 # DEPENDENCYPART_ARC
(3,19),-1.75203 # DEPENDENCYPART_ARC
(3,20),-3.5774 # DEPENDENCYPART_ARC
(3,21),-1.93622 # DEPENDENCYPART_ARC
(3,22),-1.67451 # DEPENDENCYPART_ARC
(3,23),-1.18164 # DEPENDENCYPART_ARC
(3,24),-1.31248 # DEPENDENCYPART_ARC
(3,25),-4.17161 # DEPENDENCYPART_ARC
(3,26),-1.36384 # DEPENDENCYPART_ARC
(3,27),-1.37338 # DEPENDENCYPART_ARC
(3,28),-1.42308 # DEPENDENCYPART_ARC
