# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,18,19,18,19,23,21,19,19,0,25,30,27,28,29,30,33,33,33,19,19,
(0,1),-2.07752 # DEPENDENCYPART_ARC
(0,3),-2.35986 # DEPENDENCYPART_ARC
(0,4),-2.64959 # DEPENDENCYPART_ARC
(0,5),-3.53007 # DEPENDENCYPART_ARC
(0,6),-2.41171 # DEPENDENCYPART_ARC
(0,7),-3.73339 # DEPENDENCYPART_ARC
(0,8),-3.39062 # DEPENDENCYPART_ARC
(0,9),-3.86087 # DEPENDENCYPART_ARC
(0,10),-3.95079 # DEPENDENCYPART_ARC
(0,11),-2.88291 # DEPENDENCYPART_ARC
(0,12),-4.4047 # DEPENDENCYPART_ARC
(0,14),-3.05642 # DEPENDENCYPART_ARC
(0,15),-4.13565 # DEPENDENCYPART_ARC
(0,16),-3.21991 # DEPENDENCYPART_ARC
(0,17),-3.84441 # DEPENDENCYPART_ARC
(0,18),-4.26032 # DEPENDENCYPART_ARC
(0,19),-1.38065 # DEPENDENCYPART_ARC
(0,21),-4.65645 # DEPENDENCYPART_ARC
(0,23),-0.565335 # DEPENDENCYPART_ARC
(0,24),-4.34004 # DEPENDENCYPART_ARC
(0,25),-4.61048 # DEPENDENCYPART_ARC
(0,26),-5.17072 # DEPENDENCYPART_ARC
(0,27),-3.82467 # DEPENDENCYPART_ARC
(0,28),-5.10885 # DEPENDENCYPART_ARC
(0,29),-3.93081 # DEPENDENCYPART_ARC
(0,30),-5.56239 # DEPENDENCYPART_ARC
(0,31),-4.66478 # DEPENDENCYPART_ARC
(0,32),-3.94409 # DEPENDENCYPART_ARC
(0,33),-2.38891 # DEPENDENCYPART_ARC
(1,2),-0.317006 # DEPENDENCYPART_ARC
(1,3),0.0565125 # DEPENDENCYPART_ARC
(1,4),-0.0484792 # DEPENDENCYPART_ARC
(1,5),-0.046633 # DEPENDENCYPART_ARC
(1,6),-0.335961 # DEPENDENCYPART_ARC
(1,7),-0.63413 # DEPENDENCYPART_ARC
(1,8),-0.472956 # DEPENDENCYPART_ARC
(1,9),-0.453988 # DEPENDENCYPART_ARC
(1,11),-0.689492 # DEPENDENCYPART_ARC
(1,12),-0.470672 # DEPENDENCYPART_ARC
(1,13),0.196409 # DEPENDENCYPART_ARC
(1,14),-0.672219 # DEPENDENCYPART_ARC
(1,15),-1.39949 # DEPENDENCYPART_ARC
(1,16),-0.546507 # DEPENDENCYPART_ARC
(1,17),-1.03924 # DEPENDENCYPART_ARC
(1,18),-1.0873 # DEPENDENCYPART_ARC
(1,19),-0.629395 # DEPENDENCYPART_ARC
(1,20),-1.06435 # DEPENDENCYPART_ARC
(1,21),-1.28345 # DEPENDENCYPART_ARC
(1,22),-0.762133 # DEPENDENCYPART_ARC
(1,23),-0.879777 # DEPENDENCYPART_ARC
