# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(0,1),-1.91891 # DEPENDENCYPART_ARC
(0,2),-2.16413 # DEPENDENCYPART_ARC
(0,3),-3.58209 # DEPENDENCYPART_ARC
(0,4),-0.285554 # DEPENDENCYPART_ARC
(0,6),-0.87338 # DEPENDENCYPART_ARC
(0,8),-3.33524 # DEPENDENCYPART_ARC
(0,9),-3.7597 # DEPENDENCYPART_ARC
(0,10),-1.08995 # DEPENDENCYPART_ARC
(0,12),-3.72129 # DEPENDENCYPART_ARC
(0,13),-4.54403 # DEPENDENCYPART_ARC
(0,15),-1.04411 # DEPENDENCYPART_ARC
(0,16),-3.02908 # DEPENDENCYPART_ARC
(0,17),-1.56548 # DEPENDENCYPART_ARC
(0,19),-3.15796 # DEPENDENCYPART_ARC
(0,20),-5.60603 # DEPENDENCYPART_ARC
(1,2),-0.359884 # DEPENDENCYPART_ARC
(1,3),-0.973429 # DEPENDENCYPART_ARC
(1,4),-0.370135 # DEPENDENCYPART_ARC
(1,5),-0.261013 # DEPENDENCYPART_ARC
(1,6),-0.938664 # DEPENDENCYPART_ARC
(1,7),-1.16121 # DEPENDENCYPART_ARC
(1,8),-1.54289 # DEPENDENCYPART_ARC
(1,9),-1.32273 # DEPENDENCYPART_ARC
(1,10),-0.916107 # DEPENDENCYPART_ARC
(1,11),-1.27853 # DEPENDENCYPART_ARC
(1,12),-1.77141 # DEPENDENCYPART_ARC
(1,13),-2.14933 # DEPENDENCYPART_ARC
(1,14),-0.579389 # DEPENDENCYPART_ARC
(1,15),-1.28483 # DEPENDENCYPART_ARC
(1,16),-1.48065 # DEPENDENCYPART_ARC
(1,17),-1.41863 # DEPENDENCYPART_ARC
(1,18),-1.42693 # DEPENDENCYPART_ARC
(1,19),-1.62671 # DEPENDENCYPART_ARC
(1,20),-2.5652 # DEPENDENCYPART_ARC
(1,21),0.0749398 # DEPENDENCYPART_ARC
(2,1),0.957737 # DEPENDENCYPART_ARC
(2,3),-1.31786 # DEPENDENCYPART_ARC
(2,4),-0.596363 # DEPENDENCYPART_ARC
(2,5),-0.698929 # DEPENDENCYPART_ARC
(2,6),-1.14618 # DEPENDENCYPART_ARC
(2,7),-1.7016 # DEPENDENCYPART_ARC
(2,8),-2.11448 # DEPENDENCYPART_ARC
(2,9),-2.1198 # DEPENDENCYPART_ARC
(2,10),-1.1448 # DEPENDENCYPART_ARC
(2,11),-1.77522 # DEPENDENCYPART_ARC
(2,12),-2.27391 # DEPENDENCYPART_ARC
(2,13),-2.67386 # DEPENDENCYPART_ARC
(2,14),-0.974212 # DEPENDENCYPART_ARC
(2,15),-1.40691 # DEPENDENCYPART_ARC
(2,16),-2.24956 # DEPENDENCYPART_ARC
(2,17),-1.61202 # DEPENDENCYPART_ARC
(2,18),-1.92218 # DEPENDENCYPART_ARC
(2,19),-2.17958 # DEPENDENCYPART_ARC
(2,20),-3.19719 # DEPENDENCYPART_ARC
(2,21),-0.0706937 # DEPENDENCYPART_ARC
(3,1),1.43225 # DEPENDENCYPART_ARC
(3,2),3.75842 # DEPENDENCYPART_ARC
(3,4),-1.1821 # DEPENDENCYPART_ARC
(3,5),-0.8664 # DEPENDENCYPART_ARC
(3,6),-1.05935 # DEPENDENCYPART_ARC
(3,7),-1.50134 # DEPENDENCYPART_ARC
(3,8),-2.49861 # DEPENDENCYPART_ARC
(3,9),-2.69911 # DEPENDENCYPART_ARC
(3,10),-1.8902 # DEPENDENCYPART_ARC
(3,11),-1.68938 # DEPENDENCYPART_ARC
(3,12),-2.73652 # DEPENDENCYPART_ARC
(3,13),-2.61106 # DEPENDENCYPART_ARC
(3,14),-0.955242 # DEPENDENCYPART_ARC
(3,15),-1.37861 # DEPENDENCYPART_ARC
(3,16),-2.10803 # DEPENDENCYPART_ARC
(3,17),-2.13502 # DEPENDENCYPART_ARC
(3,18),-1.89524 # DEPENDENCYPART_ARC
(3,19),-2.1607 # DEPENDENCYPART_ARC
(3,20),-3.33353 # DEPENDENCYPART_ARC
(3,21),-0.32363 # DEPENDENCYPART_ARC
(4,1),2.31486 # DEPENDENCYPART_ARC
(4,2),0.976094 # DEPENDENCYPART_ARC
(4,3),2.79262 # DEPENDENCYPART_ARC
(4,5),2.17786 # DEPENDENCYPART_ARC
(4,6),3.00665 # DEPENDENCYPART_ARC
(4,7),-0.125364 # DEPENDENCYPART_ARC
(4,8),-0.589572 # DEPENDENCYPART_ARC
(4,9),-0.318327 # DEPENDENCYPART_ARC
(4,10),2.05411 # DEPENDENCYPART_ARC
(4,11),-0.681567 # DEPENDENCYPART_ARC
(4,12),-1.57275 # DEPENDENCYPART_ARC
(4,13),0.681295 # DEPENDENCYPART_ARC
(4,14),1.5667 # DEPENDENCYPART_ARC
(4,15),0.882502 # DEPENDENCYPART_ARC
(4,16),-0.879528 # DEPENDENCYPART_ARC
(4,17),1.75431 # DEPENDENCYPART_ARC
