# _root_ A szakértők azonban arra figyelmeztetnek , hogy az illegális hanghordozók piacán az idén ismét boom várható , s az összforgalmon belül akár meg is duplázódhat a tavalyi becsült 15-20 százalékos arány .
#goldHeads=2,5,5,5,0,5,5,10,10,11,16,13,16,16,16,4,4,4,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
#predictedHeads=2,5,5,5,0,5,5,10,10,11,25,13,16,16,16,4,18,5,20,21,25,25,25,25,18,31,31,31,30,31,25,5,
(0,2),-2.44747 # DEPENDENCYPART_ARC
(0,3),-2.14879 # DEPENDENCYPART_ARC
(0,4),-2.86792 # DEPENDENCYPART_ARC
(0,5),-0.291796 # DEPENDENCYPART_ARC
(0,7),-0.99471 # DEPENDENCYPART_ARC
(0,9),-2.64838 # DEPENDENCYPART_ARC
(0,10),-3.37951 # DEPENDENCYPART_ARC
(0,11),-3.57153 # DEPENDENCYPART_ARC
(0,13),-2.2357 # DEPENDENCYPART_ARC
(0,14),-2.51714 # DEPENDENCYPART_ARC
(0,15),-3.09739 # DEPENDENCYPART_ARC
(0,16),-2.47458 # DEPENDENCYPART_ARC
(0,18),-0.265701 # DEPENDENCYPART_ARC
(0,20),-4.42734 # DEPENDENCYPART_ARC
(0,21),-4.57688 # DEPENDENCYPART_ARC
(0,22),-3.15036 # DEPENDENCYPART_ARC
(0,23),-3.27628 # DEPENDENCYPART_ARC
(0,24),-3.79269 # DEPENDENCYPART_ARC
(0,25),-2.36767 # DEPENDENCYPART_ARC
(0,27),-2.82345 # DEPENDENCYPART_ARC
(0,28),-3.04453 # DEPENDENCYPART_ARC
(0,29),-4.76308 # DEPENDENCYPART_ARC
(0,30),-3.43441 # DEPENDENCYPART_ARC
(0,31),-5.16773 # DEPENDENCYPART_ARC
(1,2),-0.740035 # DEPENDENCYPART_ARC
(1,3),-1.03243 # DEPENDENCYPART_ARC
(1,6),-0.837911 # DEPENDENCYPART_ARC
(1,9),-1.41656 # DEPENDENCYPART_ARC
(1,10),-2.03829 # DEPENDENCYPART_ARC
(1,11),-2.48123 # DEPENDENCYPART_ARC
(1,15),-2.33511 # DEPENDENCYPART_ARC
(1,16),-2.28852 # DEPENDENCYPART_ARC
(1,17),-1.24803 # DEPENDENCYPART_ARC
(1,18),-1.78235 # DEPENDENCYPART_ARC
(1,20),-2.70114 # DEPENDENCYPART_ARC
(1,27),-2.82884 # DEPENDENCYPART_ARC
(1,28),-2.81506 # DEPENDENCYPART_ARC
(1,30),-2.87409 # DEPENDENCYPART_ARC
(1,31),-3.05044 # DEPENDENCYPART_ARC
(2,1),3.04182 # DEPENDENCYPART_ARC
(2,3),-0.640542 # DEPENDENCYPART_ARC
(2,4),-1.52026 # DEPENDENCYPART_ARC
(2,5),-0.475858 # DEPENDENCYPART_ARC
(2,6),-0.583496 # DEPENDENCYPART_ARC
(2,7),-0.987576 # DEPENDENCYPART_ARC
(2,8),-1.24381 # DEPENDENCYPART_ARC
(2,9),-1.39682 # DEPENDENCYPART_ARC
(2,10),-2.00361 # DEPENDENCYPART_ARC
(2,11),-3.14708 # DEPENDENCYPART_ARC
(2,12),-1.3377 # DEPENDENCYPART_ARC
(2,13),-0.962137 # DEPENDENCYPART_ARC
(2,14),-1.00798 # DEPENDENCYPART_ARC
(2,15),-2.85795 # DEPENDENCYPART_ARC
(2,16),-1.90736 # DEPENDENCYPART_ARC
(2,17),-1.17684 # DEPENDENCYPART_ARC
(2,18),-1.05046 # DEPENDENCYPART_ARC
(2,19),-1.52749 # DEPENDENCYPART_ARC
(2,20),-3.9629 # DEPENDENCYPART_ARC
(2,21),-0.952651 # DEPENDENCYPART_ARC
(2,22),-1.13422 # DEPENDENCYPART_ARC
(2,23),-1.17462 # DEPENDENCYPART_ARC
(2,24),-1.58745 # DEPENDENCYPART_ARC
(2,25),-2.26285 # DEPENDENCYPART_ARC
(2,26),-1.71338 # DEPENDENCYPART_ARC
(2,27),-2.35779 # DEPENDENCYPART_ARC
(2,28),-2.30598 # DEPENDENCYPART_ARC
(2,29),-1.52332 # DEPENDENCYPART_ARC
(2,30),-2.22851 # DEPENDENCYPART_ARC
(2,31),-3.74625 # DEPENDENCYPART_ARC
(2,32),-0.273308 # DEPENDENCYPART_ARC
(3,1),-0.552515 # DEPENDENCYPART_ARC
(3,2),-0.161291 # DEPENDENCYPART_ARC
(3,4),-0.767033 # DEPENDENCYPART_ARC
(3,5),0.243004 # DEPENDENCYPART_ARC
(3,6),0.0501305 # DEPENDENCYPART_ARC
(3,7),0.343184 # DEPENDENCYPART_ARC
(3,8),-0.826601 # DEPENDENCYPART_ARC
(3,9),-0.718678 # DEPENDENCYPART_ARC
(3,10),-0.19944 # DEPENDENCYPART_ARC
(3,11),-0.566818 # DEPENDENCYPART_ARC
(3,12),-0.886248 # DEPENDENCYPART_ARC
(3,13),-0.544912 # DEPENDENCYPART_ARC
(3,14),-0.39746 # DEPENDENCYPART_ARC
(3,15),-0.860448 # DEPENDENCYPART_ARC
(3,16),-0.869307 # DEPENDENCYPART_ARC
(3,17),-0.335387 # DEPENDENCYPART_ARC
(3,18),-0.0416769 # DEPENDENCYPART_ARC
(3,19),-1.02347 # DEPENDENCYPART_ARC
(3,20),-1.09036 # DEPENDENCYPART_ARC
(3,21),-0.948289 # DEPENDENCYPART_ARC
(3,22),-0.488996 # DEPENDENCYPART_ARC
(3,24),-0.667884 # DEPENDENCYPART_ARC
(3,25),-2.20972 # DEPENDENCYPART_ARC
(3,26),-1.53106 # DEPENDENCYPART_ARC
(3,27),-0.794354 # DEPENDENCYPART_ARC
(3,28),-0.942332 # DEPENDENCYPART_ARC
(3,29),-0.882001 # DEPENDENCYPART_ARC
(3,30),-1.00942 # DEPENDENCYPART_ARC
(3,31),-1.21347 # DEPENDENCYPART_ARC
(3,32),1.06587 # DEPENDENCYPART_ARC
(4,1),0.230968 # DEPENDENCYPART_ARC
(4,2),-1.17852 # DEPENDENCYPART_ARC
(4,3),0.0222191 # DEPENDENCYPART_ARC
(4,5),1.67776 # DEPENDENCYPART_ARC
(4,6),0.822365 # DEPENDENCYPART_ARC
(4,7),0.713077 # DEPENDENCYPART_ARC
