# _root_ Legalábbis ez volt az az elképzelés , amelyet a Királyi_városok programban tavaly meghirdettek , s amelyből a visegrádi palota 400_millió forinttal részesült volna .
#goldHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,2,2,22,19,19,22,21,22,2,22,3,
#predictedHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,15,3,22,19,19,22,21,22,4,22,3,
(0,1),-2.06415 # DEPENDENCYPART_ARC
(0,2),-2.30378 # DEPENDENCYPART_ARC
(0,3),-0.461439 # DEPENDENCYPART_ARC
(0,4),-2.28683 # DEPENDENCYPART_ARC
(0,6),-3.7429 # DEPENDENCYPART_ARC
(0,10),-3.94813 # DEPENDENCYPART_ARC
(0,11),-4.00187 # DEPENDENCYPART_ARC
(0,12),-2.92203 # DEPENDENCYPART_ARC
(0,13),-1.77154 # DEPENDENCYPART_ARC
(0,15),-0.170185 # DEPENDENCYPART_ARC
(0,18),-3.25859 # DEPENDENCYPART_ARC
(0,19),-4.76695 # DEPENDENCYPART_ARC
(0,20),-3.99853 # DEPENDENCYPART_ARC
(0,21),-5.54658 # DEPENDENCYPART_ARC
(0,22),-2.00724 # DEPENDENCYPART_ARC
(0,23),-1.61103 # DEPENDENCYPART_ARC
(1,2),-0.431479 # DEPENDENCYPART_ARC
(1,3),0.4357 # DEPENDENCYPART_ARC
(1,4),-0.643085 # DEPENDENCYPART_ARC
(1,5),-0.578788 # DEPENDENCYPART_ARC
(1,6),-0.625223 # DEPENDENCYPART_ARC
(1,7),0.256103 # DEPENDENCYPART_ARC
(1,8),-0.909282 # DEPENDENCYPART_ARC
(1,9),-0.810353 # DEPENDENCYPART_ARC
(1,10),-1.39106 # DEPENDENCYPART_ARC
(1,11),-1.3226 # DEPENDENCYPART_ARC
(1,12),-0.584514 # DEPENDENCYPART_ARC
(1,13),-0.247679 # DEPENDENCYPART_ARC
(1,14),-0.490229 # DEPENDENCYPART_ARC
(1,15),-0.24435 # DEPENDENCYPART_ARC
(1,16),-1.00088 # DEPENDENCYPART_ARC
(1,17),-1.00924 # DEPENDENCYPART_ARC
(1,18),-1.28006 # DEPENDENCYPART_ARC
(1,19),-1.90292 # DEPENDENCYPART_ARC
(1,20),-0.818181 # DEPENDENCYPART_ARC
(1,21),-1.93537 # DEPENDENCYPART_ARC
(1,22),-0.807002 # DEPENDENCYPART_ARC
(1,24),1.03766 # DEPENDENCYPART_ARC
(2,1),0.674124 # DEPENDENCYPART_ARC
(2,3),0.270908 # DEPENDENCYPART_ARC
(2,4),-0.511321 # DEPENDENCYPART_ARC
(2,5),-0.980875 # DEPENDENCYPART_ARC
(2,6),-0.235529 # DEPENDENCYPART_ARC
(2,7),-0.118068 # DEPENDENCYPART_ARC
(2,8),-0.903541 # DEPENDENCYPART_ARC
(2,9),-1.11322 # DEPENDENCYPART_ARC
(2,10),-0.499 # DEPENDENCYPART_ARC
(2,11),-0.542575 # DEPENDENCYPART_ARC
(2,12),-0.159885 # DEPENDENCYPART_ARC
(2,13),2.12907 # DEPENDENCYPART_ARC
(2,14),0.738829 # DEPENDENCYPART_ARC
(2,15),0.789513 # DEPENDENCYPART_ARC
(2,16),-0.372168 # DEPENDENCYPART_ARC
(2,17),-1.28224 # DEPENDENCYPART_ARC
(2,18),-0.551434 # DEPENDENCYPART_ARC
(2,19),-0.48178 # DEPENDENCYPART_ARC
(2,20),-0.614767 # DEPENDENCYPART_ARC
(2,21),-1.22448 # DEPENDENCYPART_ARC
(2,22),2.23754 # DEPENDENCYPART_ARC
(2,23),1.0956 # DEPENDENCYPART_ARC
(2,24),0.480273 # DEPENDENCYPART_ARC
(3,1),2.34508 # DEPENDENCYPART_ARC
(3,2),2.1519 # DEPENDENCYPART_ARC
(3,4),1.12039 # DEPENDENCYPART_ARC
(3,5),0.34292 # DEPENDENCYPART_ARC
(3,6),2.27432 # DEPENDENCYPART_ARC
(3,7),1.84287 # DEPENDENCYPART_ARC
(3,8),-0.276608 # DEPENDENCYPART_ARC
(3,9),-0.255243 # DEPENDENCYPART_ARC
(3,10),-0.361457 # DEPENDENCYPART_ARC
(3,11),-0.00387811 # DEPENDENCYPART_ARC
(3,12),0.208205 # DEPENDENCYPART_ARC
(3,13),0.975457 # DEPENDENCYPART_ARC
(3,14),1.70049 # DEPENDENCYPART_ARC
(3,15),1.39147 # DEPENDENCYPART_ARC
(3,16),-1.54516 # DEPENDENCYPART_ARC
(3,17),-0.700438 # DEPENDENCYPART_ARC
(3,18),-1.01194 # DEPENDENCYPART_ARC
(3,19),-2.2733 # DEPENDENCYPART_ARC
(3,20),-0.667088 # DEPENDENCYPART_ARC
(3,21),-2.79248 # DEPENDENCYPART_ARC
(3,22),0.33725 # DEPENDENCYPART_ARC
(3,23),0.892097 # DEPENDENCYPART_ARC
(3,24),3.5682 # DEPENDENCYPART_ARC
(4,1),-0.21124 # DEPENDENCYPART_ARC
(4,2),-0.478025 # DEPENDENCYPART_ARC
(4,3),0.743791 # DEPENDENCYPART_ARC
(4,5),-0.463721 # DEPENDENCYPART_ARC
(4,6),0.421261 # DEPENDENCYPART_ARC
(4,7),0.0836585 # DEPENDENCYPART_ARC
(4,8),-0.951178 # DEPENDENCYPART_ARC
(4,9),-0.736113 # DEPENDENCYPART_ARC
(4,10),-0.263991 # DEPENDENCYPART_ARC
(4,11),-0.394179 # DEPENDENCYPART_ARC
(4,12),0.278854 # DEPENDENCYPART_ARC
(4,13),2.06072 # DEPENDENCYPART_ARC
(4,14),0.694774 # DEPENDENCYPART_ARC
(4,15),1.00752 # DEPENDENCYPART_ARC
(4,16),-0.00896924 # DEPENDENCYPART_ARC
(4,17),-0.82487 # DEPENDENCYPART_ARC
(4,18),-0.486577 # DEPENDENCYPART_ARC
(4,19),-0.604826 # DEPENDENCYPART_ARC
(4,20),-0.192568 # DEPENDENCYPART_ARC
(4,21),-1.1362 # DEPENDENCYPART_ARC
(4,22),2.51781 # DEPENDENCYPART_ARC
