# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,12,4,21,12,21,12,10,12,12,12,21,21,16,16,21,20,19,0,21,19,19,
(0,2),-1.92019 # DEPENDENCYPART_ARC
(0,3),-1.99415 # DEPENDENCYPART_ARC
(0,4),-2.48265 # DEPENDENCYPART_ARC
(0,5),-2.65167 # DEPENDENCYPART_ARC
(0,7),-3.11805 # DEPENDENCYPART_ARC
(0,8),-2.65745 # DEPENDENCYPART_ARC
(0,9),-2.59886 # DEPENDENCYPART_ARC
(0,10),-2.89046 # DEPENDENCYPART_ARC
(0,11),-3.18192 # DEPENDENCYPART_ARC
(0,12),-3.96303 # DEPENDENCYPART_ARC
(0,13),-3.00383 # DEPENDENCYPART_ARC
(0,15),-3.22476 # DEPENDENCYPART_ARC
(0,16),-3.99665 # DEPENDENCYPART_ARC
(0,19),-1.5511 # DEPENDENCYPART_ARC
(0,20),-4.61508 # DEPENDENCYPART_ARC
(0,21),-2.13017 # DEPENDENCYPART_ARC
(1,2),-0.712761 # DEPENDENCYPART_ARC
(1,3),-0.467309 # DEPENDENCYPART_ARC
(1,5),-1.26832 # DEPENDENCYPART_ARC
(1,6),-0.818898 # DEPENDENCYPART_ARC
(1,7),-1.71005 # DEPENDENCYPART_ARC
(1,8),-1.47452 # DEPENDENCYPART_ARC
(1,9),-1.7832 # DEPENDENCYPART_ARC
(1,10),-1.54374 # DEPENDENCYPART_ARC
(1,11),-1.44066 # DEPENDENCYPART_ARC
(1,12),-2.47816 # DEPENDENCYPART_ARC
(1,15),-1.95913 # DEPENDENCYPART_ARC
(1,16),-2.41603 # DEPENDENCYPART_ARC
(1,17),-1.06557 # DEPENDENCYPART_ARC
(1,18),-1.32681 # DEPENDENCYPART_ARC
(1,19),-2.00567 # DEPENDENCYPART_ARC
(1,20),-2.88787 # DEPENDENCYPART_ARC
(2,1),3.28355 # DEPENDENCYPART_ARC
(2,3),-0.5155 # DEPENDENCYPART_ARC
(2,4),-0.926835 # DEPENDENCYPART_ARC
(2,5),-0.0890705 # DEPENDENCYPART_ARC
(2,6),0.273416 # DEPENDENCYPART_ARC
(2,7),-0.805198 # DEPENDENCYPART_ARC
(2,8),-0.405325 # DEPENDENCYPART_ARC
(2,9),-1.01994 # DEPENDENCYPART_ARC
(2,10),-1.33564 # DEPENDENCYPART_ARC
(2,11),-1.14416 # DEPENDENCYPART_ARC
(2,12),-1.32243 # DEPENDENCYPART_ARC
(2,13),-0.85703 # DEPENDENCYPART_ARC
(2,14),-1.38674 # DEPENDENCYPART_ARC
(2,15),-1.44577 # DEPENDENCYPART_ARC
(2,16),-1.24003 # DEPENDENCYPART_ARC
(2,17),-0.636964 # DEPENDENCYPART_ARC
(2,18),-0.332533 # DEPENDENCYPART_ARC
(2,19),-0.795155 # DEPENDENCYPART_ARC
(2,20),-2.31286 # DEPENDENCYPART_ARC
