# _root_ A laikus már-már azt hinné : a megbírált játékos serényen magába száll , s a legközelebbi buszjárattal kolostorba vonul , hogy csöndes magányban felülvizsgálja nézeteit a védekezést illetően .
#goldHeads=2,5,5,5,0,5,9,9,12,12,12,4,4,4,17,17,19,19,4,19,19,23,24,19,24,27,28,24,5,
#predictedHeads=2,5,5,5,0,5,9,9,12,12,12,4,14,4,17,17,19,19,4,19,19,23,24,4,24,27,28,24,14,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.79617 # DEPENDENCYPART_ARC
(0,3),-1.82996 # DEPENDENCYPART_ARC
(0,4),-2.76114 # DEPENDENCYPART_ARC
(0,5),0.164455 # DEPENDENCYPART_ARC
(0,6),-2.46746 # DEPENDENCYPART_ARC
(0,7),-2.68226 # DEPENDENCYPART_ARC
(0,8),-2.42068 # DEPENDENCYPART_ARC
(0,9),-2.74292 # DEPENDENCYPART_ARC
(0,10),-2.33517 # DEPENDENCYPART_ARC
(0,11),-3.13552 # DEPENDENCYPART_ARC
(0,12),-0.767885 # DEPENDENCYPART_ARC
(0,13),-3.06923 # DEPENDENCYPART_ARC
(0,14),0.210005 # DEPENDENCYPART_ARC
(0,15),-2.95265 # DEPENDENCYPART_ARC
(0,16),-2.73959 # DEPENDENCYPART_ARC
(0,17),-4.06471 # DEPENDENCYPART_ARC
(0,18),-4.01566 # DEPENDENCYPART_ARC
(0,19),-0.785785 # DEPENDENCYPART_ARC
(0,20),-3.69332 # DEPENDENCYPART_ARC
(0,21),-3.0378 # DEPENDENCYPART_ARC
(0,22),-2.71292 # DEPENDENCYPART_ARC
(0,23),-4.11454 # DEPENDENCYPART_ARC
(0,24),-1.35924 # DEPENDENCYPART_ARC
(0,25),-4.50544 # DEPENDENCYPART_ARC
(0,26),-3.53741 # DEPENDENCYPART_ARC
(0,27),-4.55701 # DEPENDENCYPART_ARC
(0,28),-2.98199 # DEPENDENCYPART_ARC
(0,29),-5.69774 # DEPENDENCYPART_ARC
(1,2),-0.492901 # DEPENDENCYPART_ARC
(1,3),-0.790517 # DEPENDENCYPART_ARC
(1,4),-1.06082 # DEPENDENCYPART_ARC
(1,5),-1.21715 # DEPENDENCYPART_ARC
(1,6),-0.692001 # DEPENDENCYPART_ARC
(1,7),-1.1617 # DEPENDENCYPART_ARC
(1,8),-1.14725 # DEPENDENCYPART_ARC
(1,9),-1.67459 # DEPENDENCYPART_ARC
(1,10),-1.61059 # DEPENDENCYPART_ARC
(1,11),-1.52553 # DEPENDENCYPART_ARC
(1,12),-1.69458 # DEPENDENCYPART_ARC
(1,13),-0.838977 # DEPENDENCYPART_ARC
(1,14),-1.41222 # DEPENDENCYPART_ARC
(1,15),-1.36358 # DEPENDENCYPART_ARC
(1,16),-2.07877 # DEPENDENCYPART_ARC
(1,17),-2.25221 # DEPENDENCYPART_ARC
(1,18),-2.19822 # DEPENDENCYPART_ARC
(1,19),-1.93353 # DEPENDENCYPART_ARC
(1,20),-0.944706 # DEPENDENCYPART_ARC
(1,21),-1.6455 # DEPENDENCYPART_ARC
(1,22),-2.22442 # DEPENDENCYPART_ARC
(1,23),-2.39947 # DEPENDENCYPART_ARC
(1,24),-2.21761 # DEPENDENCYPART_ARC
(1,25),-2.68856 # DEPENDENCYPART_ARC
(1,26),-1.49678 # DEPENDENCYPART_ARC
(1,27),-2.55629 # DEPENDENCYPART_ARC
(1,28),-3.01718 # DEPENDENCYPART_ARC
(1,29),-3.08699 # DEPENDENCYPART_ARC
(2,1),3.20991 # DEPENDENCYPART_ARC
(2,3),-0.198917 # DEPENDENCYPART_ARC
(2,4),-1.03403 # DEPENDENCYPART_ARC
(2,5),0.00307281 # DEPENDENCYPART_ARC
(2,6),0.122746 # DEPENDENCYPART_ARC
(2,7),-0.817208 # DEPENDENCYPART_ARC
(2,8),-0.966694 # DEPENDENCYPART_ARC
(2,9),-0.529838 # DEPENDENCYPART_ARC
(2,10),-1.12896 # DEPENDENCYPART_ARC
(2,11),-1.42085 # DEPENDENCYPART_ARC
(2,12),-0.00781497 # DEPENDENCYPART_ARC
(2,13),-0.112889 # DEPENDENCYPART_ARC
(2,14),-0.331358 # DEPENDENCYPART_ARC
(2,15),-1.10066 # DEPENDENCYPART_ARC
(2,16),-1.30328 # DEPENDENCYPART_ARC
(2,17),-1.88906 # DEPENDENCYPART_ARC
(2,18),-2.00634 # DEPENDENCYPART_ARC
(2,19),-0.292682 # DEPENDENCYPART_ARC
(2,20),-0.385691 # DEPENDENCYPART_ARC
(2,21),-0.41162 # DEPENDENCYPART_ARC
(2,22),-1.38433 # DEPENDENCYPART_ARC
(2,23),-2.14945 # DEPENDENCYPART_ARC
(2,24),-0.745789 # DEPENDENCYPART_ARC
(2,25),-3.24588 # DEPENDENCYPART_ARC
(2,26),-1.22726 # DEPENDENCYPART_ARC
(2,27),-2.7351 # DEPENDENCYPART_ARC
(2,28),-1.6211 # DEPENDENCYPART_ARC
(2,29),1.30485 # DEPENDENCYPART_ARC
(3,1),-0.0743309 # DEPENDENCYPART_ARC
(3,2),0.45593 # DEPENDENCYPART_ARC
(3,4),-0.0736375 # DEPENDENCYPART_ARC
(3,5),0.617524 # DEPENDENCYPART_ARC
(3,6),0.49992 # DEPENDENCYPART_ARC
(3,7),-0.46937 # DEPENDENCYPART_ARC
(3,8),-0.299319 # DEPENDENCYPART_ARC
(3,9),-0.57712 # DEPENDENCYPART_ARC
(3,10),-0.619173 # DEPENDENCYPART_ARC
(3,11),-0.822333 # DEPENDENCYPART_ARC
(3,12),0.0307991 # DEPENDENCYPART_ARC
(3,13),-0.0866448 # DEPENDENCYPART_ARC
(3,14),0.144001 # DEPENDENCYPART_ARC
(3,15),-0.784475 # DEPENDENCYPART_ARC
(3,16),-0.999765 # DEPENDENCYPART_ARC
(3,17),-1.24065 # DEPENDENCYPART_ARC
(3,18),-1.27795 # DEPENDENCYPART_ARC
(3,19),-0.235434 # DEPENDENCYPART_ARC
(3,20),-0.551444 # DEPENDENCYPART_ARC
(3,21),-0.142827 # DEPENDENCYPART_ARC
(3,22),-1.19971 # DEPENDENCYPART_ARC
(3,23),-1.59015 # DEPENDENCYPART_ARC
(3,24),-0.770975 # DEPENDENCYPART_ARC
(3,25),-1.57017 # DEPENDENCYPART_ARC
(3,26),-0.990903 # DEPENDENCYPART_ARC
(3,27),-1.70977 # DEPENDENCYPART_ARC
(3,28),-1.66435 # DEPENDENCYPART_ARC
(3,29),0.254799 # DEPENDENCYPART_ARC
(4,1),0.562721 # DEPENDENCYPART_ARC
