# _root_ Azt , hogy melyik banknév lehet alkalmas a kívülállók megtévesztésére , jelenleg az ÁPTF dönti el .
#goldHeads=15,15,15,5,6,1,6,9,10,6,15,15,14,15,0,15,15,
#predictedHeads=3,3,0,5,6,1,6,9,10,6,6,15,14,15,1,15,6,
(0,1),-2.58437 # DEPENDENCYPART_ARC
(0,2),-2.14542 # DEPENDENCYPART_ARC
(0,3),-0.236019 # DEPENDENCYPART_ARC
(0,4),-1.88821 # DEPENDENCYPART_ARC
(0,5),-2.43232 # DEPENDENCYPART_ARC
(0,6),-0.93589 # DEPENDENCYPART_ARC
(0,7),-2.08126 # DEPENDENCYPART_ARC
(0,8),-2.61497 # DEPENDENCYPART_ARC
(0,9),-3.38688 # DEPENDENCYPART_ARC
(0,10),-3.29246 # DEPENDENCYPART_ARC
(0,11),-3.06268 # DEPENDENCYPART_ARC
(0,12),-2.23773 # DEPENDENCYPART_ARC
(0,13),-2.69531 # DEPENDENCYPART_ARC
(0,14),-3.51656 # DEPENDENCYPART_ARC
(0,15),-0.984911 # DEPENDENCYPART_ARC
(0,16),-2.21212 # DEPENDENCYPART_ARC
(0,17),-3.93887 # DEPENDENCYPART_ARC
(1,2),0.789621 # DEPENDENCYPART_ARC
(1,3),0.485376 # DEPENDENCYPART_ARC
(1,4),0.441192 # DEPENDENCYPART_ARC
(1,5),0.673067 # DEPENDENCYPART_ARC
(1,6),2.4814 # DEPENDENCYPART_ARC
(1,7),0.644372 # DEPENDENCYPART_ARC
(1,8),-0.208286 # DEPENDENCYPART_ARC
(1,9),0.219732 # DEPENDENCYPART_ARC
(1,10),-0.240794 # DEPENDENCYPART_ARC
(1,11),0.603994 # DEPENDENCYPART_ARC
(1,12),0.596576 # DEPENDENCYPART_ARC
(1,13),-0.0287168 # DEPENDENCYPART_ARC
(1,14),-0.0544301 # DEPENDENCYPART_ARC
(1,15),2.48641 # DEPENDENCYPART_ARC
(1,16),0.507206 # DEPENDENCYPART_ARC
(1,17),0.728161 # DEPENDENCYPART_ARC
(2,1),-0.976387 # DEPENDENCYPART_ARC
(2,3),-1.23477 # DEPENDENCYPART_ARC
(2,4),-1.57831 # DEPENDENCYPART_ARC
(2,5),-2.14664 # DEPENDENCYPART_ARC
(2,6),-1.66393 # DEPENDENCYPART_ARC
(2,7),-1.87489 # DEPENDENCYPART_ARC
(2,8),-1.83958 # DEPENDENCYPART_ARC
(2,9),-2.63452 # DEPENDENCYPART_ARC
(2,10),-2.71528 # DEPENDENCYPART_ARC
(2,11),-1.62628 # DEPENDENCYPART_ARC
(2,12),-1.87855 # DEPENDENCYPART_ARC
(2,13),-1.97712 # DEPENDENCYPART_ARC
(2,14),-3.02129 # DEPENDENCYPART_ARC
(2,15),-2.16961 # DEPENDENCYPART_ARC
(2,16),-1.92216 # DEPENDENCYPART_ARC
(2,17),-1.83661 # DEPENDENCYPART_ARC
(3,1),0.595305 # DEPENDENCYPART_ARC
(3,2),1.33108 # DEPENDENCYPART_ARC
(3,4),-0.829878 # DEPENDENCYPART_ARC
(3,5),-0.378156 # DEPENDENCYPART_ARC
(3,6),1.26335 # DEPENDENCYPART_ARC
(3,7),-0.210807 # DEPENDENCYPART_ARC
(3,8),-0.955152 # DEPENDENCYPART_ARC
(3,9),-1.11447 # DEPENDENCYPART_ARC
(3,10),-1.24422 # DEPENDENCYPART_ARC
(3,11),0.271784 # DEPENDENCYPART_ARC
(3,12),0.270511 # DEPENDENCYPART_ARC
(3,13),-0.952545 # DEPENDENCYPART_ARC
(3,14),-1.69752 # DEPENDENCYPART_ARC
(3,15),0.622721 # DEPENDENCYPART_ARC
(3,16),-0.546891 # DEPENDENCYPART_ARC
(3,17),2.2448 # DEPENDENCYPART_ARC
(4,1),-1.90066 # DEPENDENCYPART_ARC
(4,2),-1.06827 # DEPENDENCYPART_ARC
(4,3),-0.838349 # DEPENDENCYPART_ARC
(4,5),-0.0803123 # DEPENDENCYPART_ARC
(4,6),-0.326436 # DEPENDENCYPART_ARC
(4,7),-0.505155 # DEPENDENCYPART_ARC
(4,8),-1.3108 # DEPENDENCYPART_ARC
(4,9),-0.325558 # DEPENDENCYPART_ARC
(4,10),-1.06381 # DEPENDENCYPART_ARC
(4,11),-0.0552099 # DEPENDENCYPART_ARC
(4,12),-0.30503 # DEPENDENCYPART_ARC
(4,13),-1.22699 # DEPENDENCYPART_ARC
