# _root_ Közlekedésünk egyszerűen kedélybeteg , szorongásos , dúl-fúl .
#goldHeads=2,0,5,5,2,2,2,2,
#predictedHeads=7,3,5,5,7,7,0,7,
(0,1),-2.75452 # DEPENDENCYPART_ARC
(0,2),-2.27421 # DEPENDENCYPART_ARC
(0,3),-2.73768 # DEPENDENCYPART_ARC
(0,5),-2.90493 # DEPENDENCYPART_ARC
(0,7),-1.16465 # DEPENDENCYPART_ARC
(1,2),-0.782045 # DEPENDENCYPART_ARC
(1,3),-0.618238 # DEPENDENCYPART_ARC
(1,4),0.31518 # DEPENDENCYPART_ARC
(1,5),-0.693389 # DEPENDENCYPART_ARC
(1,6),0.120349 # DEPENDENCYPART_ARC
(1,7),-0.858121 # DEPENDENCYPART_ARC
(1,8),0.22239 # DEPENDENCYPART_ARC
(2,1),-0.718062 # DEPENDENCYPART_ARC
(2,3),-0.062837 # DEPENDENCYPART_ARC
(2,4),-0.304463 # DEPENDENCYPART_ARC
(2,5),-0.640196 # DEPENDENCYPART_ARC
(2,6),-0.414143 # DEPENDENCYPART_ARC
(2,7),-0.850227 # DEPENDENCYPART_ARC
(2,8),-0.215993 # DEPENDENCYPART_ARC
(3,1),-0.284021 # DEPENDENCYPART_ARC
(3,2),2.02138 # DEPENDENCYPART_ARC
(3,4),0.442477 # DEPENDENCYPART_ARC
(3,5),-0.499884 # DEPENDENCYPART_ARC
(3,6),0.183636 # DEPENDENCYPART_ARC
(3,7),-0.0181573 # DEPENDENCYPART_ARC
(3,8),0.101905 # DEPENDENCYPART_ARC
(5,1),-0.585342 # DEPENDENCYPART_ARC
(5,2),0.897922 # DEPENDENCYPART_ARC
(5,3),0.455415 # DEPENDENCYPART_ARC
(5,4),1.32473 # DEPENDENCYPART_ARC
(5,6),1.13553 # DEPENDENCYPART_ARC
(5,7),0.4092 # DEPENDENCYPART_ARC
(5,8),0.462744 # DEPENDENCYPART_ARC
(7,1),1.3705 # DEPENDENCYPART_ARC
(7,2),1.03168 # DEPENDENCYPART_ARC
(7,3),-0.108862 # DEPENDENCYPART_ARC
(7,4),1.15371 # DEPENDENCYPART_ARC
(7,5),0.79099 # DEPENDENCYPART_ARC
(7,6),1.44452 # DEPENDENCYPART_ARC
(7,8),1.85295 # DEPENDENCYPART_ARC
