# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,10,
(0,2),-1.81743 # DEPENDENCYPART_ARC
(0,3),-1.94136 # DEPENDENCYPART_ARC
(0,4),-2.26523 # DEPENDENCYPART_ARC
(0,6),-2.52904 # DEPENDENCYPART_ARC
(0,7),-3.81647 # DEPENDENCYPART_ARC
(0,8),-1.26779 # DEPENDENCYPART_ARC
(0,10),-0.0156998 # DEPENDENCYPART_ARC
(0,11),-2.72228 # DEPENDENCYPART_ARC
(0,12),-3.91838 # DEPENDENCYPART_ARC
(0,13),-1.60277 # DEPENDENCYPART_ARC
(0,16),-0.491268 # DEPENDENCYPART_ARC
(2,1),-0.00986773 # DEPENDENCYPART_ARC
(2,3),-0.568593 # DEPENDENCYPART_ARC
(2,4),0.0118674 # DEPENDENCYPART_ARC
(2,5),-0.064723 # DEPENDENCYPART_ARC
(2,6),-0.519388 # DEPENDENCYPART_ARC
(2,7),-0.566487 # DEPENDENCYPART_ARC
(2,8),0.101088 # DEPENDENCYPART_ARC
(2,9),-0.35703 # DEPENDENCYPART_ARC
(2,10),0.013798 # DEPENDENCYPART_ARC
(2,11),-1.26917 # DEPENDENCYPART_ARC
(2,12),-1.45363 # DEPENDENCYPART_ARC
(2,13),-0.432621 # DEPENDENCYPART_ARC
(2,14),-0.497186 # DEPENDENCYPART_ARC
(2,15),-0.593116 # DEPENDENCYPART_ARC
(2,16),-0.842997 # DEPENDENCYPART_ARC
(2,17),0.254412 # DEPENDENCYPART_ARC
(3,1),-0.39561 # DEPENDENCYPART_ARC
(3,2),0.423883 # DEPENDENCYPART_ARC
(3,5),-0.747024 # DEPENDENCYPART_ARC
(3,7),-1.30705 # DEPENDENCYPART_ARC
(3,9),-0.0729744 # DEPENDENCYPART_ARC
(3,10),-0.372746 # DEPENDENCYPART_ARC
(3,12),-1.67851 # DEPENDENCYPART_ARC
(3,14),-0.53768 # DEPENDENCYPART_ARC
(3,15),-0.607848 # DEPENDENCYPART_ARC
(3,17),0.167949 # DEPENDENCYPART_ARC
(4,1),-0.00277197 # DEPENDENCYPART_ARC
(4,2),0.566048 # DEPENDENCYPART_ARC
(4,3),0.748861 # DEPENDENCYPART_ARC
(4,5),0.111802 # DEPENDENCYPART_ARC
(4,6),-0.805336 # DEPENDENCYPART_ARC
(4,7),-1.06403 # DEPENDENCYPART_ARC
(4,8),-0.382115 # DEPENDENCYPART_ARC
(4,9),-0.603722 # DEPENDENCYPART_ARC
(4,10),-0.779094 # DEPENDENCYPART_ARC
