# _root_ Hogy Récsey vállalkozó , netán másként vállalkozó , azt nehéz lenne eldönteni .
#goldHeads=11,9,9,11,9,9,9,11,12,11,0,11,11,
#predictedHeads=12,3,1,7,12,12,11,11,12,11,0,11,11,
(0,1),-2.21936 # DEPENDENCYPART_ARC
(0,2),-2.20729 # DEPENDENCYPART_ARC
(0,3),-2.92709 # DEPENDENCYPART_ARC
(0,5),-2.78613 # DEPENDENCYPART_ARC
(0,6),-2.65667 # DEPENDENCYPART_ARC
(0,7),-3.20433 # DEPENDENCYPART_ARC
(0,9),-4.47485 # DEPENDENCYPART_ARC
(0,10),-3.81027 # DEPENDENCYPART_ARC
(0,11),-2.31324 # DEPENDENCYPART_ARC
(0,12),-2.19931 # DEPENDENCYPART_ARC
(1,2),-0.419257 # DEPENDENCYPART_ARC
(1,3),-0.626073 # DEPENDENCYPART_ARC
(1,4),-0.128919 # DEPENDENCYPART_ARC
(1,5),-0.679339 # DEPENDENCYPART_ARC
(1,6),-0.712511 # DEPENDENCYPART_ARC
(1,7),-1.72417 # DEPENDENCYPART_ARC
(1,8),-0.102866 # DEPENDENCYPART_ARC
(1,9),-1.96924 # DEPENDENCYPART_ARC
(1,10),-2.18768 # DEPENDENCYPART_ARC
(1,11),-0.338956 # DEPENDENCYPART_ARC
(1,12),-0.696448 # DEPENDENCYPART_ARC
(1,13),-0.324154 # DEPENDENCYPART_ARC
(2,1),-0.731482 # DEPENDENCYPART_ARC
(2,3),-0.00515682 # DEPENDENCYPART_ARC
(2,4),-0.287171 # DEPENDENCYPART_ARC
(2,5),-0.944833 # DEPENDENCYPART_ARC
(2,6),-1.01981 # DEPENDENCYPART_ARC
(2,7),-0.943319 # DEPENDENCYPART_ARC
(2,8),-0.22778 # DEPENDENCYPART_ARC
(2,9),-1.89633 # DEPENDENCYPART_ARC
(2,10),-1.33144 # DEPENDENCYPART_ARC
(2,11),-0.711913 # DEPENDENCYPART_ARC
(2,12),-0.251516 # DEPENDENCYPART_ARC
(2,13),0.234659 # DEPENDENCYPART_ARC
