# _root_ A végső szót a Legfelsőbb_Bíróság mondja majd ki , de nem tudni , mikor .
#goldHeads=3,3,6,5,6,10,6,6,10,0,12,10,12,12,10,
#predictedHeads=3,3,6,5,6,10,6,6,6,0,12,6,6,12,10,
(0,2),-1.95889 # DEPENDENCYPART_ARC
(0,3),-2.60644 # DEPENDENCYPART_ARC
(0,5),-2.8128 # DEPENDENCYPART_ARC
(0,6),-0.376427 # DEPENDENCYPART_ARC
(0,7),-2.14705 # DEPENDENCYPART_ARC
(0,8),-2.23527 # DEPENDENCYPART_ARC
(0,10),0.219248 # DEPENDENCYPART_ARC
(0,11),-2.14261 # DEPENDENCYPART_ARC
(0,12),-1.64622 # DEPENDENCYPART_ARC
(0,14),-1.95404 # DEPENDENCYPART_ARC
(1,2),0.0134346 # DEPENDENCYPART_ARC
(1,3),-0.96169 # DEPENDENCYPART_ARC
(1,5),-1.26779 # DEPENDENCYPART_ARC
(1,9),-0.777118 # DEPENDENCYPART_ARC
(1,10),-1.17467 # DEPENDENCYPART_ARC
(1,13),-0.845677 # DEPENDENCYPART_ARC
(2,1),0.716678 # DEPENDENCYPART_ARC
(2,3),-1.15926 # DEPENDENCYPART_ARC
(2,4),-1.5544 # DEPENDENCYPART_ARC
(2,5),-1.59951 # DEPENDENCYPART_ARC
(2,6),-1.02204 # DEPENDENCYPART_ARC
(2,7),-1.56758 # DEPENDENCYPART_ARC
(2,8),-1.52771 # DEPENDENCYPART_ARC
(2,9),-0.971435 # DEPENDENCYPART_ARC
(2,10),-1.05045 # DEPENDENCYPART_ARC
(2,11),-1.62905 # DEPENDENCYPART_ARC
(2,12),-1.6904 # DEPENDENCYPART_ARC
(2,13),-1.08108 # DEPENDENCYPART_ARC
(2,15),-0.637419 # DEPENDENCYPART_ARC
(3,1),3.32405 # DEPENDENCYPART_ARC
(3,2),3.9598 # DEPENDENCYPART_ARC
(3,4),-0.549547 # DEPENDENCYPART_ARC
(3,5),-0.22078 # DEPENDENCYPART_ARC
(3,6),-0.351667 # DEPENDENCYPART_ARC
(3,7),-0.540199 # DEPENDENCYPART_ARC
(3,8),-0.571862 # DEPENDENCYPART_ARC
(3,9),-0.303106 # DEPENDENCYPART_ARC
(3,10),-0.377791 # DEPENDENCYPART_ARC
(3,11),-0.634809 # DEPENDENCYPART_ARC
(3,12),-0.802173 # DEPENDENCYPART_ARC
(3,13),-0.28464 # DEPENDENCYPART_ARC
(3,15),0.129525 # DEPENDENCYPART_ARC
(4,2),-1.02129 # DEPENDENCYPART_ARC
(4,3),-1.4635 # DEPENDENCYPART_ARC
(4,5),-0.294285 # DEPENDENCYPART_ARC
(4,9),-0.438859 # DEPENDENCYPART_ARC
(4,10),-0.752124 # DEPENDENCYPART_ARC
(4,13),-0.434077 # DEPENDENCYPART_ARC
(5,1),-0.697066 # DEPENDENCYPART_ARC
(5,2),-1.27946 # DEPENDENCYPART_ARC
(5,3),-2.78212 # DEPENDENCYPART_ARC
(5,4),2.41509 # DEPENDENCYPART_ARC
(5,6),-0.573117 # DEPENDENCYPART_ARC
(5,7),-1.18923 # DEPENDENCYPART_ARC
(5,9),-0.876502 # DEPENDENCYPART_ARC
(5,10),-1.33034 # DEPENDENCYPART_ARC
(5,11),-1.24881 # DEPENDENCYPART_ARC
(5,12),-1.1252 # DEPENDENCYPART_ARC
(5,13),-0.868821 # DEPENDENCYPART_ARC
(5,15),-0.700815 # DEPENDENCYPART_ARC
(6,1),-0.701548 # DEPENDENCYPART_ARC
(6,2),0.24678 # DEPENDENCYPART_ARC
(6,3),2.79539 # DEPENDENCYPART_ARC
(6,4),-0.17832 # DEPENDENCYPART_ARC
(6,5),3.41294 # DEPENDENCYPART_ARC
(6,7),2.97555 # DEPENDENCYPART_ARC
(6,8),2.91001 # DEPENDENCYPART_ARC
(6,9),2.34453 # DEPENDENCYPART_ARC
(6,10),1.04787 # DEPENDENCYPART_ARC
(6,11),0.566531 # DEPENDENCYPART_ARC
(6,12),1.90616 # DEPENDENCYPART_ARC
(6,13),1.47096 # DEPENDENCYPART_ARC
(6,14),0.0523077 # DEPENDENCYPART_ARC
(6,15),2.31747 # DEPENDENCYPART_ARC
(7,1),-1.4478 # DEPENDENCYPART_ARC
(7,2),-1.0516 # DEPENDENCYPART_ARC
(7,3),-0.662073 # DEPENDENCYPART_ARC
(7,4),-0.889023 # DEPENDENCYPART_ARC
(7,5),-0.313984 # DEPENDENCYPART_ARC
(7,6),-0.142183 # DEPENDENCYPART_ARC
(7,8),-0.859042 # DEPENDENCYPART_ARC
(7,9),-0.970892 # DEPENDENCYPART_ARC
(7,10),-0.905942 # DEPENDENCYPART_ARC
