# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.78191 # DEPENDENCYPART_ARC
(0,3),-1.92754 # DEPENDENCYPART_ARC
(0,4),-2.49014 # DEPENDENCYPART_ARC
(0,5),-2.10526 # DEPENDENCYPART_ARC
(0,6),-2.93952 # DEPENDENCYPART_ARC
(0,7),-2.80586 # DEPENDENCYPART_ARC
(0,8),-2.50589 # DEPENDENCYPART_ARC
(0,9),-2.31743 # DEPENDENCYPART_ARC
(0,10),-2.7475 # DEPENDENCYPART_ARC
(0,11),-0.636288 # DEPENDENCYPART_ARC
(0,12),-3.15269 # DEPENDENCYPART_ARC
(0,13),-2.3672 # DEPENDENCYPART_ARC
(0,14),-1.08218 # DEPENDENCYPART_ARC
(0,15),-2.96789 # DEPENDENCYPART_ARC
(0,16),-3.56096 # DEPENDENCYPART_ARC
(0,17),-0.5467 # DEPENDENCYPART_ARC
(0,18),-3.10525 # DEPENDENCYPART_ARC
(0,19),-4.43034 # DEPENDENCYPART_ARC
(0,20),-4.74182 # DEPENDENCYPART_ARC
(1,2),-0.506736 # DEPENDENCYPART_ARC
(1,3),-0.86174 # DEPENDENCYPART_ARC
(1,4),-1.41267 # DEPENDENCYPART_ARC
(1,5),-1.14057 # DEPENDENCYPART_ARC
(1,6),-0.649154 # DEPENDENCYPART_ARC
(1,7),-1.3667 # DEPENDENCYPART_ARC
(1,8),-1.19287 # DEPENDENCYPART_ARC
(1,9),-1.45581 # DEPENDENCYPART_ARC
(1,10),-1.33603 # DEPENDENCYPART_ARC
(1,11),-1.55898 # DEPENDENCYPART_ARC
(1,12),-0.805125 # DEPENDENCYPART_ARC
(1,13),-1.36279 # DEPENDENCYPART_ARC
(1,14),-1.4564 # DEPENDENCYPART_ARC
(1,15),-1.42504 # DEPENDENCYPART_ARC
(1,16),-2.15461 # DEPENDENCYPART_ARC
(1,17),-1.86103 # DEPENDENCYPART_ARC
(1,18),-1.33837 # DEPENDENCYPART_ARC
(1,19),-2.5517 # DEPENDENCYPART_ARC
(1,20),-2.19639 # DEPENDENCYPART_ARC
