# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,27,26,27,19,29,30,27,12,
(0,1),-2.12117 # DEPENDENCYPART_ARC
(0,2),-2.05746 # DEPENDENCYPART_ARC
(0,4),-3.20457 # DEPENDENCYPART_ARC
(0,5),-2.68132 # DEPENDENCYPART_ARC
(0,6),-4.19095 # DEPENDENCYPART_ARC
(0,7),-2.88361 # DEPENDENCYPART_ARC
(0,8),-1.49159 # DEPENDENCYPART_ARC
(0,9),-2.9144 # DEPENDENCYPART_ARC
(0,11),-2.34912 # DEPENDENCYPART_ARC
(0,12),-1.1731 # DEPENDENCYPART_ARC
(0,13),-2.38784 # DEPENDENCYPART_ARC
(0,15),-2.86757 # DEPENDENCYPART_ARC
(0,16),-4.09943 # DEPENDENCYPART_ARC
(0,17),-4.62576 # DEPENDENCYPART_ARC
(0,19),0.454295 # DEPENDENCYPART_ARC
(0,20),-1.53286 # DEPENDENCYPART_ARC
(0,22),-4.40855 # DEPENDENCYPART_ARC
(0,23),-2.87611 # DEPENDENCYPART_ARC
(0,24),-2.97452 # DEPENDENCYPART_ARC
(0,25),-5.01837 # DEPENDENCYPART_ARC
(0,26),-4.77099 # DEPENDENCYPART_ARC
(0,27),-3.046 # DEPENDENCYPART_ARC
(0,29),-4.7633 # DEPENDENCYPART_ARC
(0,30),-5.51263 # DEPENDENCYPART_ARC
(1,2),-0.482158 # DEPENDENCYPART_ARC
(1,3),-1.09023 # DEPENDENCYPART_ARC
(1,4),-0.435826 # DEPENDENCYPART_ARC
(1,5),-0.873655 # DEPENDENCYPART_ARC
(1,6),-0.319217 # DEPENDENCYPART_ARC
(1,7),-1.13431 # DEPENDENCYPART_ARC
(1,8),-1.39064 # DEPENDENCYPART_ARC
(1,9),-1.08924 # DEPENDENCYPART_ARC
(1,10),-0.582107 # DEPENDENCYPART_ARC
(1,12),-1.70662 # DEPENDENCYPART_ARC
(1,13),-0.938499 # DEPENDENCYPART_ARC
(1,14),-1.57358 # DEPENDENCYPART_ARC
(1,15),-1.6277 # DEPENDENCYPART_ARC
(1,16),-1.72618 # DEPENDENCYPART_ARC
(1,17),-2.01879 # DEPENDENCYPART_ARC
(1,18),-0.584123 # DEPENDENCYPART_ARC
(1,19),-1.18565 # DEPENDENCYPART_ARC
(1,21),-1.73378 # DEPENDENCYPART_ARC
(1,22),-2.65102 # DEPENDENCYPART_ARC
(1,23),-1.23571 # DEPENDENCYPART_ARC
(1,24),-1.3796 # DEPENDENCYPART_ARC
(1,25),-1.30207 # DEPENDENCYPART_ARC
(1,26),-3.44164 # DEPENDENCYPART_ARC
(1,27),-2.14076 # DEPENDENCYPART_ARC
(1,28),-1.8525 # DEPENDENCYPART_ARC
(1,29),-3.20022 # DEPENDENCYPART_ARC
(1,30),-4.02476 # DEPENDENCYPART_ARC
(1,31),-0.159578 # DEPENDENCYPART_ARC
(2,1),1.32799 # DEPENDENCYPART_ARC
(2,3),-0.179614 # DEPENDENCYPART_ARC
(2,4),0.350724 # DEPENDENCYPART_ARC
(2,5),0.0669532 # DEPENDENCYPART_ARC
(2,6),-0.244328 # DEPENDENCYPART_ARC
(2,7),-0.470772 # DEPENDENCYPART_ARC
(2,8),-0.298013 # DEPENDENCYPART_ARC
(2,9),-0.408506 # DEPENDENCYPART_ARC
(2,10),0.0567773 # DEPENDENCYPART_ARC
(2,12),-0.0641936 # DEPENDENCYPART_ARC
(2,13),-0.424336 # DEPENDENCYPART_ARC
(2,14),-0.867949 # DEPENDENCYPART_ARC
(2,15),-0.70003 # DEPENDENCYPART_ARC
(2,16),-0.950598 # DEPENDENCYPART_ARC
(2,17),-1.27363 # DEPENDENCYPART_ARC
(2,18),-0.158559 # DEPENDENCYPART_ARC
(2,19),-0.172884 # DEPENDENCYPART_ARC
(2,20),-0.740591 # DEPENDENCYPART_ARC
(2,21),-0.914115 # DEPENDENCYPART_ARC
(2,22),-1.51608 # DEPENDENCYPART_ARC
(2,23),-0.870312 # DEPENDENCYPART_ARC
(2,24),-0.833974 # DEPENDENCYPART_ARC
(2,25),-0.700947 # DEPENDENCYPART_ARC
(2,26),-1.44451 # DEPENDENCYPART_ARC
(2,27),-1.27561 # DEPENDENCYPART_ARC
(2,28),-1.1164 # DEPENDENCYPART_ARC
(2,29),-1.67736 # DEPENDENCYPART_ARC
(2,30),-1.89674 # DEPENDENCYPART_ARC
(2,31),1.43369 # DEPENDENCYPART_ARC
(3,1),-2.0083 # DEPENDENCYPART_ARC
(3,2),-0.841626 # DEPENDENCYPART_ARC
(3,4),-0.526735 # DEPENDENCYPART_ARC
(3,5),-0.350535 # DEPENDENCYPART_ARC
(3,6),-1.50275 # DEPENDENCYPART_ARC
(3,10),-0.734191 # DEPENDENCYPART_ARC
(3,15),-1.54229 # DEPENDENCYPART_ARC
(3,16),-2.14167 # DEPENDENCYPART_ARC
(3,17),-2.55213 # DEPENDENCYPART_ARC
(3,18),-1.03594 # DEPENDENCYPART_ARC
(3,19),-1.55001 # DEPENDENCYPART_ARC
(3,22),-2.2923 # DEPENDENCYPART_ARC
(3,26),-2.55081 # DEPENDENCYPART_ARC
(3,29),-2.58858 # DEPENDENCYPART_ARC
(3,30),-3.02768 # DEPENDENCYPART_ARC
(4,1),-1.31953 # DEPENDENCYPART_ARC
(4,2),-2.67648 # DEPENDENCYPART_ARC
(4,3),2.87766 # DEPENDENCYPART_ARC
(4,5),-0.781192 # DEPENDENCYPART_ARC
(4,6),-0.31573 # DEPENDENCYPART_ARC
(4,7),-0.95468 # DEPENDENCYPART_ARC
(4,8),-0.39525 # DEPENDENCYPART_ARC
(4,9),-1.00724 # DEPENDENCYPART_ARC
(4,10),-0.449719 # DEPENDENCYPART_ARC
(4,12),-1.0109 # DEPENDENCYPART_ARC
(4,13),-0.773873 # DEPENDENCYPART_ARC
(4,14),-1.43717 # DEPENDENCYPART_ARC
(4,15),-1.86637 # DEPENDENCYPART_ARC
(4,16),-1.84962 # DEPENDENCYPART_ARC
(4,17),-2.75736 # DEPENDENCYPART_ARC
(4,18),-0.465602 # DEPENDENCYPART_ARC
(4,19),-1.03302 # DEPENDENCYPART_ARC
(4,20),-1.0946 # DEPENDENCYPART_ARC
(4,21),-1.65098 # DEPENDENCYPART_ARC
(4,22),-2.8061 # DEPENDENCYPART_ARC
(4,23),-1.15216 # DEPENDENCYPART_ARC
(4,24),-1.28412 # DEPENDENCYPART_ARC
(4,25),-1.56598 # DEPENDENCYPART_ARC
(4,26),-3.62248 # DEPENDENCYPART_ARC
(4,27),-1.39558 # DEPENDENCYPART_ARC
(4,28),-1.75485 # DEPENDENCYPART_ARC
(4,29),-3.28503 # DEPENDENCYPART_ARC
(4,30),-4.6805 # DEPENDENCYPART_ARC
(4,31),-0.205028 # DEPENDENCYPART_ARC
(5,1),0.57703 # DEPENDENCYPART_ARC
(5,2),-0.201141 # DEPENDENCYPART_ARC
(5,3),0.784634 # DEPENDENCYPART_ARC
(5,4),1.76162 # DEPENDENCYPART_ARC
(5,6),-1.01042 # DEPENDENCYPART_ARC
(5,7),-1.17464 # DEPENDENCYPART_ARC
(5,8),-0.803736 # DEPENDENCYPART_ARC
(5,9),-1.36968 # DEPENDENCYPART_ARC
(5,10),-0.995148 # DEPENDENCYPART_ARC
(5,12),-0.820825 # DEPENDENCYPART_ARC
(5,13),-1.40703 # DEPENDENCYPART_ARC
(5,14),-1.88307 # DEPENDENCYPART_ARC
(5,15),-2.01887 # DEPENDENCYPART_ARC
(5,16),-2.23525 # DEPENDENCYPART_ARC
(5,17),-2.78878 # DEPENDENCYPART_ARC
(5,18),-1.17657 # DEPENDENCYPART_ARC
(5,19),-1.41662 # DEPENDENCYPART_ARC
(5,20),-1.68672 # DEPENDENCYPART_ARC
(5,21),-2.02154 # DEPENDENCYPART_ARC
(5,22),-2.69523 # DEPENDENCYPART_ARC
(5,23),-1.84688 # DEPENDENCYPART_ARC
(5,24),-1.80516 # DEPENDENCYPART_ARC
(5,25),-1.65699 # DEPENDENCYPART_ARC
(5,26),-2.64611 # DEPENDENCYPART_ARC
(5,27),-2.04427 # DEPENDENCYPART_ARC
(5,28),-2.16413 # DEPENDENCYPART_ARC
(5,29),-2.87417 # DEPENDENCYPART_ARC
(5,30),-3.29287 # DEPENDENCYPART_ARC
(5,31),-0.133765 # DEPENDENCYPART_ARC
(6,1),-1.15447 # DEPENDENCYPART_ARC
(6,2),-2.78485 # DEPENDENCYPART_ARC
(6,3),0.843441 # DEPENDENCYPART_ARC
(6,4),2.73895 # DEPENDENCYPART_ARC
(6,5),3.08157 # DEPENDENCYPART_ARC
(6,7),-0.741333 # DEPENDENCYPART_ARC
(6,8),-1.33322 # DEPENDENCYPART_ARC
(6,9),-0.693256 # DEPENDENCYPART_ARC
(6,10),-0.393155 # DEPENDENCYPART_ARC
(6,12),-1.80348 # DEPENDENCYPART_ARC
(6,13),-0.810116 # DEPENDENCYPART_ARC
(6,14),-1.51927 # DEPENDENCYPART_ARC
(6,15),-1.7621 # DEPENDENCYPART_ARC
(6,16),-1.50125 # DEPENDENCYPART_ARC
(6,17),-2.66555 # DEPENDENCYPART_ARC
(6,18),-0.529564 # DEPENDENCYPART_ARC
(6,19),-0.890855 # DEPENDENCYPART_ARC
(6,20),-0.932801 # DEPENDENCYPART_ARC
(6,21),-1.75847 # DEPENDENCYPART_ARC
(6,22),-2.56576 # DEPENDENCYPART_ARC
(6,23),-1.04812 # DEPENDENCYPART_ARC
(6,24),-1.1288 # DEPENDENCYPART_ARC
(6,25),-1.45867 # DEPENDENCYPART_ARC
(6,26),-3.35113 # DEPENDENCYPART_ARC
(6,27),-2.24948 # DEPENDENCYPART_ARC
(6,28),-1.82885 # DEPENDENCYPART_ARC
(6,29),-3.04854 # DEPENDENCYPART_ARC
(6,30),-4.14459 # DEPENDENCYPART_ARC
(6,31),0.305621 # DEPENDENCYPART_ARC
(7,1),-0.163551 # DEPENDENCYPART_ARC
(7,2),-0.497353 # DEPENDENCYPART_ARC
(7,4),-0.0987194 # DEPENDENCYPART_ARC
(7,5),-0.325008 # DEPENDENCYPART_ARC
(7,6),0.208783 # DEPENDENCYPART_ARC
(7,8),0.19363 # DEPENDENCYPART_ARC
(7,9),-0.458205 # DEPENDENCYPART_ARC
(7,10),-0.00628223 # DEPENDENCYPART_ARC
(7,11),-0.612868 # DEPENDENCYPART_ARC
(7,12),-0.571724 # DEPENDENCYPART_ARC
(7,13),-0.65374 # DEPENDENCYPART_ARC
(7,15),-1.02031 # DEPENDENCYPART_ARC
(7,16),-1.41899 # DEPENDENCYPART_ARC
(7,17),-1.28177 # DEPENDENCYPART_ARC
(7,18),-0.281516 # DEPENDENCYPART_ARC
(7,19),-0.547344 # DEPENDENCYPART_ARC
(7,20),-0.913515 # DEPENDENCYPART_ARC
(7,22),-1.74697 # DEPENDENCYPART_ARC
(7,23),-0.876157 # DEPENDENCYPART_ARC
(7,24),-0.664242 # DEPENDENCYPART_ARC
(7,26),-2.17289 # DEPENDENCYPART_ARC
(7,27),-0.847224 # DEPENDENCYPART_ARC
(7,29),-2.32075 # DEPENDENCYPART_ARC
(7,30),-2.38265 # DEPENDENCYPART_ARC
(7,31),0.148548 # DEPENDENCYPART_ARC
(8,1),0.308649 # DEPENDENCYPART_ARC
(8,2),1.28722 # DEPENDENCYPART_ARC
(8,3),-1.12139 # DEPENDENCYPART_ARC
(8,4),1.2967 # DEPENDENCYPART_ARC
(8,5),0.30444 # DEPENDENCYPART_ARC
(8,6),2.54039 # DEPENDENCYPART_ARC
(8,7),2.96693 # DEPENDENCYPART_ARC
(8,9),3.49368 # DEPENDENCYPART_ARC
(8,10),2.31193 # DEPENDENCYPART_ARC
(8,11),0.849591 # DEPENDENCYPART_ARC
(8,12),2.52513 # DEPENDENCYPART_ARC
(8,13),2.17346 # DEPENDENCYPART_ARC
(8,14),-0.813577 # DEPENDENCYPART_ARC
(8,15),-0.723516 # DEPENDENCYPART_ARC
(8,16),0.0569347 # DEPENDENCYPART_ARC
(8,17),1.98836 # DEPENDENCYPART_ARC
(8,18),2.24961 # DEPENDENCYPART_ARC
(8,19),1.34247 # DEPENDENCYPART_ARC
(8,20),0.683913 # DEPENDENCYPART_ARC
(8,21),-0.984946 # DEPENDENCYPART_ARC
(8,22),-0.785951 # DEPENDENCYPART_ARC
(8,23),0.146641 # DEPENDENCYPART_ARC
(8,24),0.0229556 # DEPENDENCYPART_ARC
(8,25),-0.0291725 # DEPENDENCYPART_ARC
(8,26),-1.81481 # DEPENDENCYPART_ARC
(8,27),1.15579 # DEPENDENCYPART_ARC
(8,28),-1.25301 # DEPENDENCYPART_ARC
(8,29),-0.94431 # DEPENDENCYPART_ARC
(8,30),-0.567769 # DEPENDENCYPART_ARC
(8,31),3.09927 # DEPENDENCYPART_ARC
(9,1),-0.500873 # DEPENDENCYPART_ARC
(9,2),-0.721596 # DEPENDENCYPART_ARC
(9,3),-1.31867 # DEPENDENCYPART_ARC
(9,4),-0.490298 # DEPENDENCYPART_ARC
(9,5),-0.635844 # DEPENDENCYPART_ARC
(9,6),-0.366125 # DEPENDENCYPART_ARC
(9,7),-0.0711105 # DEPENDENCYPART_ARC
(9,8),-0.186018 # DEPENDENCYPART_ARC
(9,10),-0.46239 # DEPENDENCYPART_ARC
(9,11),-0.864662 # DEPENDENCYPART_ARC
(9,12),-0.396629 # DEPENDENCYPART_ARC
(9,13),-0.905509 # DEPENDENCYPART_ARC
(9,14),-1.22649 # DEPENDENCYPART_ARC
(9,15),-1.36337 # DEPENDENCYPART_ARC
(9,16),-1.88153 # DEPENDENCYPART_ARC
(9,17),-1.75494 # DEPENDENCYPART_ARC
(9,18),-1.05367 # DEPENDENCYPART_ARC
(9,19),-0.774454 # DEPENDENCYPART_ARC
(9,20),-1.18946 # DEPENDENCYPART_ARC
