# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,0,5,10,7,3,10,10,3,10,10,17,15,17,17,10,19,17,3,
(0,1),-2.03441 # DEPENDENCYPART_ARC
(0,2),-2.02371 # DEPENDENCYPART_ARC
(0,3),-0.791935 # DEPENDENCYPART_ARC
(0,4),-2.37472 # DEPENDENCYPART_ARC
(0,5),-2.85462 # DEPENDENCYPART_ARC
(0,7),-3.49341 # DEPENDENCYPART_ARC
(0,9),-3.59312 # DEPENDENCYPART_ARC
(0,10),-1.77485 # DEPENDENCYPART_ARC
(0,12),-2.49396 # DEPENDENCYPART_ARC
(0,13),-3.61791 # DEPENDENCYPART_ARC
(0,14),-3.93292 # DEPENDENCYPART_ARC
(0,15),-3.99507 # DEPENDENCYPART_ARC
(0,16),-3.34156 # DEPENDENCYPART_ARC
(0,17),-2.84704 # DEPENDENCYPART_ARC
(0,19),-4.33731 # DEPENDENCYPART_ARC
(1,2),-0.534311 # DEPENDENCYPART_ARC
(1,3),0.158602 # DEPENDENCYPART_ARC
(1,4),-0.309593 # DEPENDENCYPART_ARC
(1,5),-0.920045 # DEPENDENCYPART_ARC
(1,6),-1.27401 # DEPENDENCYPART_ARC
(1,7),-0.980603 # DEPENDENCYPART_ARC
(1,8),0.344961 # DEPENDENCYPART_ARC
(1,9),-1.13633 # DEPENDENCYPART_ARC
(1,10),-0.933865 # DEPENDENCYPART_ARC
(1,11),0.100617 # DEPENDENCYPART_ARC
(1,12),-0.342809 # DEPENDENCYPART_ARC
(1,13),-1.26891 # DEPENDENCYPART_ARC
(1,14),-0.961203 # DEPENDENCYPART_ARC
(1,15),-1.88266 # DEPENDENCYPART_ARC
(1,16),-0.833251 # DEPENDENCYPART_ARC
(1,17),-0.746226 # DEPENDENCYPART_ARC
(1,18),-1.64308 # DEPENDENCYPART_ARC
(1,19),-1.78887 # DEPENDENCYPART_ARC
(1,20),-0.0105985 # DEPENDENCYPART_ARC
(2,1),-0.222302 # DEPENDENCYPART_ARC
(2,3),-0.160302 # DEPENDENCYPART_ARC
(2,4),-0.59063 # DEPENDENCYPART_ARC
(2,5),-1.06318 # DEPENDENCYPART_ARC
(2,6),-1.21257 # DEPENDENCYPART_ARC
(2,7),-1.18338 # DEPENDENCYPART_ARC
(2,8),-0.88752 # DEPENDENCYPART_ARC
(2,9),-1.73618 # DEPENDENCYPART_ARC
(2,10),-0.873481 # DEPENDENCYPART_ARC
(2,11),-1.04773 # DEPENDENCYPART_ARC
(2,12),-0.668972 # DEPENDENCYPART_ARC
(2,13),-2.09411 # DEPENDENCYPART_ARC
(2,14),-1.42631 # DEPENDENCYPART_ARC
(2,15),-2.09797 # DEPENDENCYPART_ARC
(2,16),-1.08408 # DEPENDENCYPART_ARC
(2,17),-1.86732 # DEPENDENCYPART_ARC
(2,18),-1.63228 # DEPENDENCYPART_ARC
(2,19),-2.37628 # DEPENDENCYPART_ARC
(2,20),-0.463805 # DEPENDENCYPART_ARC
(3,1),1.25162 # DEPENDENCYPART_ARC
(3,2),2.57673 # DEPENDENCYPART_ARC
(3,4),1.22043 # DEPENDENCYPART_ARC
(3,5),1.68387 # DEPENDENCYPART_ARC
(3,6),-0.240466 # DEPENDENCYPART_ARC
(3,7),2.38214 # DEPENDENCYPART_ARC
(3,8),1.42498 # DEPENDENCYPART_ARC
(3,9),-0.0312515 # DEPENDENCYPART_ARC
(3,10),1.61192 # DEPENDENCYPART_ARC
(3,11),1.34385 # DEPENDENCYPART_ARC
(3,12),1.92124 # DEPENDENCYPART_ARC
(3,13),-1.38629 # DEPENDENCYPART_ARC
(3,14),-0.968438 # DEPENDENCYPART_ARC
(3,15),-1.45717 # DEPENDENCYPART_ARC
(3,16),0.17991 # DEPENDENCYPART_ARC
(3,17),-0.775947 # DEPENDENCYPART_ARC
(3,18),-0.834134 # DEPENDENCYPART_ARC
(3,19),-1.12706 # DEPENDENCYPART_ARC
(3,20),3.31742 # DEPENDENCYPART_ARC
(4,1),-0.667794 # DEPENDENCYPART_ARC
(4,2),-0.159263 # DEPENDENCYPART_ARC
(4,3),-0.0909532 # DEPENDENCYPART_ARC
(4,5),-0.493572 # DEPENDENCYPART_ARC
(4,6),-1.58475 # DEPENDENCYPART_ARC
(4,7),-1.93687 # DEPENDENCYPART_ARC
(4,8),-0.716455 # DEPENDENCYPART_ARC
(4,9),-2.01943 # DEPENDENCYPART_ARC
(4,10),-1.3665 # DEPENDENCYPART_ARC
(4,11),-1.07455 # DEPENDENCYPART_ARC
(4,12),-1.29009 # DEPENDENCYPART_ARC
(4,13),-2.58815 # DEPENDENCYPART_ARC
(4,14),-1.4888 # DEPENDENCYPART_ARC
(4,15),-2.72939 # DEPENDENCYPART_ARC
(4,16),-1.90037 # DEPENDENCYPART_ARC
(4,17),-2.36392 # DEPENDENCYPART_ARC
(4,18),-2.13262 # DEPENDENCYPART_ARC
(4,19),-3.16424 # DEPENDENCYPART_ARC
(4,20),-0.799606 # DEPENDENCYPART_ARC
(5,1),-0.366601 # DEPENDENCYPART_ARC
(5,2),-0.0379062 # DEPENDENCYPART_ARC
(5,3),0.474448 # DEPENDENCYPART_ARC
(5,4),3.43989 # DEPENDENCYPART_ARC
(5,6),-0.619396 # DEPENDENCYPART_ARC
(5,7),-0.133172 # DEPENDENCYPART_ARC
(5,8),0.214388 # DEPENDENCYPART_ARC
(5,9),-0.590895 # DEPENDENCYPART_ARC
(5,10),-0.0672015 # DEPENDENCYPART_ARC
(5,11),-0.167785 # DEPENDENCYPART_ARC
(5,12),-0.545329 # DEPENDENCYPART_ARC
(5,13),-1.60394 # DEPENDENCYPART_ARC
(5,14),-1.06033 # DEPENDENCYPART_ARC
(5,15),-2.05695 # DEPENDENCYPART_ARC
(5,16),-0.808634 # DEPENDENCYPART_ARC
(5,17),-1.62548 # DEPENDENCYPART_ARC
(5,18),-1.33364 # DEPENDENCYPART_ARC
(5,19),-2.34922 # DEPENDENCYPART_ARC
(5,20),0.112356 # DEPENDENCYPART_ARC
(6,4),-1.08186 # DEPENDENCYPART_ARC
(6,5),-1.50278 # DEPENDENCYPART_ARC
(6,7),-0.400156 # DEPENDENCYPART_ARC
(6,8),-0.231085 # DEPENDENCYPART_ARC
(6,9),-1.01088 # DEPENDENCYPART_ARC
(6,11),-0.501373 # DEPENDENCYPART_ARC
(6,13),-1.86554 # DEPENDENCYPART_ARC
(6,15),-1.755 # DEPENDENCYPART_ARC
(6,17),-1.43048 # DEPENDENCYPART_ARC
(6,19),-2.1982 # DEPENDENCYPART_ARC
(7,1),-1.78818 # DEPENDENCYPART_ARC
(7,2),-1.56181 # DEPENDENCYPART_ARC
(7,3),-1.76842 # DEPENDENCYPART_ARC
(7,4),-1.41463 # DEPENDENCYPART_ARC
(7,5),-2.11359 # DEPENDENCYPART_ARC
(7,6),2.53897 # DEPENDENCYPART_ARC
(7,8),-0.250842 # DEPENDENCYPART_ARC
(7,9),-1.1819 # DEPENDENCYPART_ARC
(7,10),-0.573115 # DEPENDENCYPART_ARC
(7,11),-0.63087 # DEPENDENCYPART_ARC
(7,12),-1.27834 # DEPENDENCYPART_ARC
(7,13),-2.05031 # DEPENDENCYPART_ARC
(7,14),-1.30499 # DEPENDENCYPART_ARC
