# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=8,8,4,8,7,7,0,7,7,7,23,23,15,15,32,17,19,19,23,21,26,23,3,25,26,27,32,27,30,32,32,23,7,
(0,2),-2.57358 # DEPENDENCYPART_ARC
(0,3),-2.70088 # DEPENDENCYPART_ARC
(0,4),-3.73728 # DEPENDENCYPART_ARC
(0,5),-2.84219 # DEPENDENCYPART_ARC
(0,6),-2.74904 # DEPENDENCYPART_ARC
(0,7),-1.68337 # DEPENDENCYPART_ARC
(0,8),-2.30709 # DEPENDENCYPART_ARC
(0,10),-2.52319 # DEPENDENCYPART_ARC
(0,11),-2.76109 # DEPENDENCYPART_ARC
(0,12),-3.14264 # DEPENDENCYPART_ARC
(0,13),-2.44659 # DEPENDENCYPART_ARC
(0,15),-3.99327 # DEPENDENCYPART_ARC
(0,16),-2.92203 # DEPENDENCYPART_ARC
(0,17),-2.90421 # DEPENDENCYPART_ARC
(0,18),-2.69285 # DEPENDENCYPART_ARC
(0,19),-2.60115 # DEPENDENCYPART_ARC
(0,21),-4.72507 # DEPENDENCYPART_ARC
(0,23),-1.17606 # DEPENDENCYPART_ARC
(0,25),-4.60194 # DEPENDENCYPART_ARC
(0,26),-3.33248 # DEPENDENCYPART_ARC
(0,27),-4.87257 # DEPENDENCYPART_ARC
(0,30),-5.22711 # DEPENDENCYPART_ARC
(0,31),-3.69485 # DEPENDENCYPART_ARC
(0,32),-6.30935 # DEPENDENCYPART_ARC
(1,4),-1.07063 # DEPENDENCYPART_ARC
(1,5),-0.539 # DEPENDENCYPART_ARC
(1,15),-0.98511 # DEPENDENCYPART_ARC
(1,17),-1.28328 # DEPENDENCYPART_ARC
(1,18),0.163364 # DEPENDENCYPART_ARC
(1,19),-1.21346 # DEPENDENCYPART_ARC
(1,21),-1.22305 # DEPENDENCYPART_ARC
(1,23),0.20607 # DEPENDENCYPART_ARC
(1,25),-0.918122 # DEPENDENCYPART_ARC
(1,26),-1.37805 # DEPENDENCYPART_ARC
(1,27),-1.11889 # DEPENDENCYPART_ARC
(1,30),-1.2693 # DEPENDENCYPART_ARC
(1,31),-1.49046 # DEPENDENCYPART_ARC
(1,32),-1.23239 # DEPENDENCYPART_ARC
(2,1),-0.214992 # DEPENDENCYPART_ARC
(2,3),-0.69382 # DEPENDENCYPART_ARC
(2,4),-0.211922 # DEPENDENCYPART_ARC
(2,5),-0.479075 # DEPENDENCYPART_ARC
(2,6),-0.749807 # DEPENDENCYPART_ARC
(2,7),-0.557201 # DEPENDENCYPART_ARC
(2,8),-0.699348 # DEPENDENCYPART_ARC
(2,9),-0.567295 # DEPENDENCYPART_ARC
(2,10),-0.387842 # DEPENDENCYPART_ARC
(2,11),-1.02046 # DEPENDENCYPART_ARC
(2,12),-1.35844 # DEPENDENCYPART_ARC
(2,13),-1.28578 # DEPENDENCYPART_ARC
(2,14),-1.2886 # DEPENDENCYPART_ARC
(2,15),-2.18636 # DEPENDENCYPART_ARC
(2,16),-1.01814 # DEPENDENCYPART_ARC
(2,17),-1.40649 # DEPENDENCYPART_ARC
(2,18),-1.05914 # DEPENDENCYPART_ARC
(2,19),-1.30262 # DEPENDENCYPART_ARC
(2,20),-1.22933 # DEPENDENCYPART_ARC
(2,21),-2.40847 # DEPENDENCYPART_ARC
(2,22),-1.45738 # DEPENDENCYPART_ARC
(2,23),-1.46359 # DEPENDENCYPART_ARC
(2,24),-1.55537 # DEPENDENCYPART_ARC
(2,25),-3.10222 # DEPENDENCYPART_ARC
(2,26),-1.72123 # DEPENDENCYPART_ARC
(2,27),-2.93153 # DEPENDENCYPART_ARC
(2,28),-0.697418 # DEPENDENCYPART_ARC
(2,29),-1.83305 # DEPENDENCYPART_ARC
(2,30),-3.55165 # DEPENDENCYPART_ARC
(2,31),-2.13633 # DEPENDENCYPART_ARC
(2,32),-3.4545 # DEPENDENCYPART_ARC
(2,33),-1.54638 # DEPENDENCYPART_ARC
(3,1),-0.998067 # DEPENDENCYPART_ARC
(3,2),-0.211189 # DEPENDENCYPART_ARC
(3,4),-0.407988 # DEPENDENCYPART_ARC
(3,5),-0.673288 # DEPENDENCYPART_ARC
(3,6),-0.174414 # DEPENDENCYPART_ARC
(3,7),0.611161 # DEPENDENCYPART_ARC
(3,8),0.234245 # DEPENDENCYPART_ARC
(3,9),0.945681 # DEPENDENCYPART_ARC
(3,10),0.844819 # DEPENDENCYPART_ARC
(3,11),0.399686 # DEPENDENCYPART_ARC
(3,12),-0.0467295 # DEPENDENCYPART_ARC
(3,13),-0.106429 # DEPENDENCYPART_ARC
(3,14),-1.02703 # DEPENDENCYPART_ARC
(3,15),-0.572254 # DEPENDENCYPART_ARC
(3,16),-0.184951 # DEPENDENCYPART_ARC
(3,17),-1.05171 # DEPENDENCYPART_ARC
(3,18),0.484137 # DEPENDENCYPART_ARC
(3,19),-0.879993 # DEPENDENCYPART_ARC
(3,20),-0.988363 # DEPENDENCYPART_ARC
(3,21),-0.865774 # DEPENDENCYPART_ARC
(3,22),0.910758 # DEPENDENCYPART_ARC
(3,23),1.05197 # DEPENDENCYPART_ARC
(3,24),-1.31433 # DEPENDENCYPART_ARC
(3,25),-0.67745 # DEPENDENCYPART_ARC
(3,26),-0.921449 # DEPENDENCYPART_ARC
(3,27),-0.776428 # DEPENDENCYPART_ARC
(3,28),0.296321 # DEPENDENCYPART_ARC
(3,29),-1.48936 # DEPENDENCYPART_ARC
(3,30),-0.901524 # DEPENDENCYPART_ARC
(3,31),-0.906363 # DEPENDENCYPART_ARC
(3,32),-0.737807 # DEPENDENCYPART_ARC
(3,33),-1.16164 # DEPENDENCYPART_ARC
(4,1),-0.432541 # DEPENDENCYPART_ARC
(4,2),0.554378 # DEPENDENCYPART_ARC
(4,3),3.22537 # DEPENDENCYPART_ARC
(4,5),-0.784886 # DEPENDENCYPART_ARC
(4,6),-0.998789 # DEPENDENCYPART_ARC
(4,7),-0.760397 # DEPENDENCYPART_ARC
(4,8),-0.753783 # DEPENDENCYPART_ARC
(4,9),-0.657512 # DEPENDENCYPART_ARC
(4,10),-1.0223 # DEPENDENCYPART_ARC
(4,11),-1.04546 # DEPENDENCYPART_ARC
(4,12),-1.13865 # DEPENDENCYPART_ARC
(4,13),-2.31767 # DEPENDENCYPART_ARC
(4,14),-1.38892 # DEPENDENCYPART_ARC
(4,15),-3.51339 # DEPENDENCYPART_ARC
(4,16),-1.1788 # DEPENDENCYPART_ARC
(4,17),-2.38342 # DEPENDENCYPART_ARC
(4,18),-0.897107 # DEPENDENCYPART_ARC
(4,19),-2.31144 # DEPENDENCYPART_ARC
(4,20),-1.56178 # DEPENDENCYPART_ARC
(4,21),-4.21018 # DEPENDENCYPART_ARC
(4,22),-1.49426 # DEPENDENCYPART_ARC
(4,23),-1.21303 # DEPENDENCYPART_ARC
(4,24),-1.79136 # DEPENDENCYPART_ARC
(4,25),-4.24236 # DEPENDENCYPART_ARC
(4,26),-2.55267 # DEPENDENCYPART_ARC
(4,27),-4.1329 # DEPENDENCYPART_ARC
(4,28),-1.03728 # DEPENDENCYPART_ARC
(4,29),-1.93248 # DEPENDENCYPART_ARC
(4,30),-4.32624 # DEPENDENCYPART_ARC
