# _root_ A Gellért_Szálló igazgatója szerint Budapesten és környékén olyan sok panzió épült , hogy azokban hét-nyolcszor annyi férőhely van , mint a Gellértben .
#goldHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,17,17,18,11,18,18,22,14,11,
#predictedHeads=2,3,4,11,11,11,11,11,10,11,0,11,11,18,18,17,18,11,18,18,22,14,11,
(0,2),-1.72468 # DEPENDENCYPART_ARC
(0,3),-2.39066 # DEPENDENCYPART_ARC
(0,4),-2.9289 # DEPENDENCYPART_ARC
(0,5),-2.68235 # DEPENDENCYPART_ARC
(0,6),-2.41604 # DEPENDENCYPART_ARC
(0,7),-3.19559 # DEPENDENCYPART_ARC
(0,8),-2.74783 # DEPENDENCYPART_ARC
(0,9),-3.18315 # DEPENDENCYPART_ARC
(0,10),-3.10314 # DEPENDENCYPART_ARC
(0,11),-0.595779 # DEPENDENCYPART_ARC
(0,13),-1.71219 # DEPENDENCYPART_ARC
(0,14),-3.56928 # DEPENDENCYPART_ARC
(0,15),-3.50068 # DEPENDENCYPART_ARC
(0,16),-3.10619 # DEPENDENCYPART_ARC
(0,17),-3.50498 # DEPENDENCYPART_ARC
(0,18),-1.50399 # DEPENDENCYPART_ARC
(0,20),-2.65383 # DEPENDENCYPART_ARC
(0,22),-3.82265 # DEPENDENCYPART_ARC
(1,2),-0.513248 # DEPENDENCYPART_ARC
(1,3),-1.0991 # DEPENDENCYPART_ARC
(1,5),-1.3562 # DEPENDENCYPART_ARC
(1,6),-1.26004 # DEPENDENCYPART_ARC
(1,7),-2.07623 # DEPENDENCYPART_ARC
(1,10),-1.77085 # DEPENDENCYPART_ARC
(1,12),-0.984326 # DEPENDENCYPART_ARC
(1,17),-2.17264 # DEPENDENCYPART_ARC
(1,19),-1.15721 # DEPENDENCYPART_ARC
(1,22),-2.41576 # DEPENDENCYPART_ARC
(2,1),2.43279 # DEPENDENCYPART_ARC
(2,3),-0.278005 # DEPENDENCYPART_ARC
(2,4),-0.263772 # DEPENDENCYPART_ARC
(2,5),-1.62511 # DEPENDENCYPART_ARC
(2,6),-0.986853 # DEPENDENCYPART_ARC
(2,7),-1.91104 # DEPENDENCYPART_ARC
(2,9),-0.816653 # DEPENDENCYPART_ARC
(2,10),-1.28995 # DEPENDENCYPART_ARC
(2,11),-1.10475 # DEPENDENCYPART_ARC
(2,12),-0.632988 # DEPENDENCYPART_ARC
(2,13),-1.20106 # DEPENDENCYPART_ARC
(2,14),-1.57278 # DEPENDENCYPART_ARC
(2,15),-1.33057 # DEPENDENCYPART_ARC
(2,16),-1.79078 # DEPENDENCYPART_ARC
(2,17),-2.56166 # DEPENDENCYPART_ARC
(2,18),-1.33155 # DEPENDENCYPART_ARC
(2,19),-0.910436 # DEPENDENCYPART_ARC
(2,20),-1.55036 # DEPENDENCYPART_ARC
(2,21),-1.68819 # DEPENDENCYPART_ARC
(2,22),-3.89181 # DEPENDENCYPART_ARC
(2,23),0.0927956 # DEPENDENCYPART_ARC
(3,1),1.02016 # DEPENDENCYPART_ARC
(3,2),3.75361 # DEPENDENCYPART_ARC
(3,4),-0.361702 # DEPENDENCYPART_ARC
(3,5),-1.74965 # DEPENDENCYPART_ARC
(3,6),-1.0076 # DEPENDENCYPART_ARC
(3,7),-2.55012 # DEPENDENCYPART_ARC
