# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,16,7,
(0,1),-1.83205 # DEPENDENCYPART_ARC
(0,3),-2.1382 # DEPENDENCYPART_ARC
(0,4),-3.00363 # DEPENDENCYPART_ARC
(0,5),-3.02407 # DEPENDENCYPART_ARC
(0,6),-2.4617 # DEPENDENCYPART_ARC
(0,7),-1.14931 # DEPENDENCYPART_ARC
(0,8),-2.73155 # DEPENDENCYPART_ARC
(0,9),-3.68683 # DEPENDENCYPART_ARC
(0,12),-4.10469 # DEPENDENCYPART_ARC
(0,13),-4.44708 # DEPENDENCYPART_ARC
(0,14),-4.31581 # DEPENDENCYPART_ARC
(0,15),-2.64136 # DEPENDENCYPART_ARC
(0,16),-1.22542 # DEPENDENCYPART_ARC
(0,17),-2.60276 # DEPENDENCYPART_ARC
(1,3),0.156962 # DEPENDENCYPART_ARC
(1,4),0.256399 # DEPENDENCYPART_ARC
(1,5),0.548227 # DEPENDENCYPART_ARC
(1,6),-0.251813 # DEPENDENCYPART_ARC
(1,7),0.144946 # DEPENDENCYPART_ARC
(1,8),-0.572556 # DEPENDENCYPART_ARC
(1,9),-0.323512 # DEPENDENCYPART_ARC
(1,10),0.238456 # DEPENDENCYPART_ARC
(1,12),-1.07287 # DEPENDENCYPART_ARC
(1,13),-1.14903 # DEPENDENCYPART_ARC
(1,16),-0.410013 # DEPENDENCYPART_ARC
(1,17),-0.309043 # DEPENDENCYPART_ARC
(1,18),-0.0439352 # DEPENDENCYPART_ARC
(1,19),-0.439963 # DEPENDENCYPART_ARC
(1,20),0.0932044 # DEPENDENCYPART_ARC
(1,21),0.89534 # DEPENDENCYPART_ARC
(2,4),0.196236 # DEPENDENCYPART_ARC
(2,6),0.28833 # DEPENDENCYPART_ARC
(2,8),0.122549 # DEPENDENCYPART_ARC
(2,9),-0.792165 # DEPENDENCYPART_ARC
(2,10),0.0975734 # DEPENDENCYPART_ARC
(2,12),-0.956833 # DEPENDENCYPART_ARC
(2,13),-1.55213 # DEPENDENCYPART_ARC
(2,18),-0.104171 # DEPENDENCYPART_ARC
(2,19),0.0318509 # DEPENDENCYPART_ARC
(2,20),-0.0292271 # DEPENDENCYPART_ARC
(3,1),-1.16479 # DEPENDENCYPART_ARC
(3,2),-0.0492096 # DEPENDENCYPART_ARC
(3,4),-0.94591 # DEPENDENCYPART_ARC
(3,5),-1.29304 # DEPENDENCYPART_ARC
(3,6),-1.79614 # DEPENDENCYPART_ARC
(3,7),-1.49643 # DEPENDENCYPART_ARC
(3,8),-1.84846 # DEPENDENCYPART_ARC
(3,9),-1.94863 # DEPENDENCYPART_ARC
(3,10),-1.27613 # DEPENDENCYPART_ARC
(3,11),-2.1037 # DEPENDENCYPART_ARC
(3,12),-2.36284 # DEPENDENCYPART_ARC
(3,13),-3.16638 # DEPENDENCYPART_ARC
(3,15),-2.09022 # DEPENDENCYPART_ARC
(3,16),-2.37823 # DEPENDENCYPART_ARC
(3,17),-2.16814 # DEPENDENCYPART_ARC
(3,18),-1.23612 # DEPENDENCYPART_ARC
(3,19),-1.25164 # DEPENDENCYPART_ARC
(3,20),-1.32598 # DEPENDENCYPART_ARC
(3,21),-1.10953 # DEPENDENCYPART_ARC
(4,1),-0.0719376 # DEPENDENCYPART_ARC
(4,2),2.52452 # DEPENDENCYPART_ARC
(4,3),3.48356 # DEPENDENCYPART_ARC
(4,5),-0.398684 # DEPENDENCYPART_ARC
(4,6),-1.25449 # DEPENDENCYPART_ARC
(4,7),-0.965236 # DEPENDENCYPART_ARC
(4,8),-1.46646 # DEPENDENCYPART_ARC
(4,9),-1.0134 # DEPENDENCYPART_ARC
(4,10),-0.559137 # DEPENDENCYPART_ARC
(4,11),-1.72768 # DEPENDENCYPART_ARC
(4,12),-1.5953 # DEPENDENCYPART_ARC
(4,13),-2.33137 # DEPENDENCYPART_ARC
(4,14),-2.507 # DEPENDENCYPART_ARC
(4,15),-1.51723 # DEPENDENCYPART_ARC
(4,16),-1.39906 # DEPENDENCYPART_ARC
(4,17),-1.0439 # DEPENDENCYPART_ARC
(4,18),-0.786527 # DEPENDENCYPART_ARC
(4,19),-1.08417 # DEPENDENCYPART_ARC
(4,20),-0.994321 # DEPENDENCYPART_ARC
(4,21),-0.0950596 # DEPENDENCYPART_ARC
(5,2),0.137798 # DEPENDENCYPART_ARC
(5,3),1.26091 # DEPENDENCYPART_ARC
(5,4),3.92539 # DEPENDENCYPART_ARC
(5,6),-0.0633609 # DEPENDENCYPART_ARC
(5,7),-0.111383 # DEPENDENCYPART_ARC
(5,8),-0.423279 # DEPENDENCYPART_ARC
(5,9),-0.473519 # DEPENDENCYPART_ARC
(5,10),-0.191562 # DEPENDENCYPART_ARC
(5,11),-0.643103 # DEPENDENCYPART_ARC
(5,12),-0.800395 # DEPENDENCYPART_ARC
(5,13),-0.811278 # DEPENDENCYPART_ARC
(5,14),-1.12552 # DEPENDENCYPART_ARC
(5,15),-0.633556 # DEPENDENCYPART_ARC
(5,16),-0.54814 # DEPENDENCYPART_ARC
(5,17),-0.54963 # DEPENDENCYPART_ARC
(5,18),-0.488665 # DEPENDENCYPART_ARC
(5,19),-0.484961 # DEPENDENCYPART_ARC
