# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=2,15,5,5,9,15,8,9,10,12,12,0,15,15,12,17,18,15,20,18,2,
(0,2),-1.43506 # DEPENDENCYPART_ARC
(0,4),-2.60029 # DEPENDENCYPART_ARC
(0,5),-3.56815 # DEPENDENCYPART_ARC
(0,7),-3.01073 # DEPENDENCYPART_ARC
(0,8),-3.41354 # DEPENDENCYPART_ARC
(0,9),-3.63039 # DEPENDENCYPART_ARC
(0,10),-4.03499 # DEPENDENCYPART_ARC
(0,11),-2.37528 # DEPENDENCYPART_ARC
(0,12),-1.27778 # DEPENDENCYPART_ARC
(0,14),-2.96915 # DEPENDENCYPART_ARC
(0,15),-1.70066 # DEPENDENCYPART_ARC
(0,16),-3.03039 # DEPENDENCYPART_ARC
(0,17),-4.37094 # DEPENDENCYPART_ARC
(0,18),-2.82598 # DEPENDENCYPART_ARC
(0,20),-4.97248 # DEPENDENCYPART_ARC
(2,1),1.17941 # DEPENDENCYPART_ARC
(2,3),-0.856026 # DEPENDENCYPART_ARC
(2,4),-0.082016 # DEPENDENCYPART_ARC
(2,5),-0.134222 # DEPENDENCYPART_ARC
(2,6),-0.302861 # DEPENDENCYPART_ARC
(2,7),-0.46403 # DEPENDENCYPART_ARC
(2,8),-0.551848 # DEPENDENCYPART_ARC
(2,9),-0.445248 # DEPENDENCYPART_ARC
(2,10),-0.476046 # DEPENDENCYPART_ARC
(2,11),-0.530237 # DEPENDENCYPART_ARC
(2,12),0.468055 # DEPENDENCYPART_ARC
(2,13),0.250009 # DEPENDENCYPART_ARC
(2,14),-0.84136 # DEPENDENCYPART_ARC
(2,15),0.268604 # DEPENDENCYPART_ARC
(2,16),-0.763543 # DEPENDENCYPART_ARC
(2,17),-0.993777 # DEPENDENCYPART_ARC
(2,18),-0.326562 # DEPENDENCYPART_ARC
(2,19),-1.48611 # DEPENDENCYPART_ARC
(2,20),-1.14512 # DEPENDENCYPART_ARC
(2,21),2.24172 # DEPENDENCYPART_ARC
(3,1),-1.13389 # DEPENDENCYPART_ARC
(3,4),0.0329615 # DEPENDENCYPART_ARC
(3,5),-0.766616 # DEPENDENCYPART_ARC
(3,6),-0.251008 # DEPENDENCYPART_ARC
