# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,17,17,17,20,6,20,18,6,
(0,1),-1.1326 # DEPENDENCYPART_ARC
(0,2),-2.14243 # DEPENDENCYPART_ARC
(0,3),-1.72924 # DEPENDENCYPART_ARC
(0,4),-2.02439 # DEPENDENCYPART_ARC
(0,5),-3.20172 # DEPENDENCYPART_ARC
(0,6),-1.32893 # DEPENDENCYPART_ARC
(0,7),-2.39355 # DEPENDENCYPART_ARC
(0,8),-3.03148 # DEPENDENCYPART_ARC
(0,10),-3.23997 # DEPENDENCYPART_ARC
(0,11),-3.76115 # DEPENDENCYPART_ARC
(0,12),-1.73123 # DEPENDENCYPART_ARC
(0,13),-3.17164 # DEPENDENCYPART_ARC
(0,15),-3.38321 # DEPENDENCYPART_ARC
(0,16),-3.43833 # DEPENDENCYPART_ARC
(0,17),-4.16835 # DEPENDENCYPART_ARC
(0,18),-2.40518 # DEPENDENCYPART_ARC
(0,19),-4.00199 # DEPENDENCYPART_ARC
(0,20),-2.93897 # DEPENDENCYPART_ARC
(1,2),-0.512354 # DEPENDENCYPART_ARC
(1,3),-0.675389 # DEPENDENCYPART_ARC
(1,4),-0.817665 # DEPENDENCYPART_ARC
(1,5),-1.38566 # DEPENDENCYPART_ARC
(1,6),-0.326232 # DEPENDENCYPART_ARC
(1,8),-1.6234 # DEPENDENCYPART_ARC
(1,9),-0.00345447 # DEPENDENCYPART_ARC
(1,10),-1.10146 # DEPENDENCYPART_ARC
(1,11),-1.87621 # DEPENDENCYPART_ARC
(1,12),-0.933517 # DEPENDENCYPART_ARC
(1,13),-1.4153 # DEPENDENCYPART_ARC
(1,14),-0.250202 # DEPENDENCYPART_ARC
(1,15),-1.26627 # DEPENDENCYPART_ARC
(1,16),-1.20836 # DEPENDENCYPART_ARC
(1,17),-2.44026 # DEPENDENCYPART_ARC
