# _root_ A kormány ülésén elhangzottakkal kapcsolatban az egyik alapvető probléma , hogy azok közérdekű adatnak tekinthetőek -e , vagy sem .
#goldHeads=2,3,4,5,18,9,9,9,18,18,18,16,14,16,16,18,18,0,18,18,
#predictedHeads=2,3,4,5,11,9,9,9,11,11,0,14,14,15,16,19,18,19,11,11,
(0,2),-2.02324 # DEPENDENCYPART_ARC
(0,3),-2.43981 # DEPENDENCYPART_ARC
(0,4),-2.55216 # DEPENDENCYPART_ARC
(0,5),-2.46952 # DEPENDENCYPART_ARC
(0,7),-2.88311 # DEPENDENCYPART_ARC
(0,8),-2.84574 # DEPENDENCYPART_ARC
(0,9),-3.72975 # DEPENDENCYPART_ARC
(0,11),-1.17205 # DEPENDENCYPART_ARC
(0,12),-3.48303 # DEPENDENCYPART_ARC
(0,13),-3.16036 # DEPENDENCYPART_ARC
(0,14),-4.22714 # DEPENDENCYPART_ARC
(0,15),-3.2617 # DEPENDENCYPART_ARC
(0,16),-3.20357 # DEPENDENCYPART_ARC
(0,18),-2.631 # DEPENDENCYPART_ARC
(0,19),-3.92691 # DEPENDENCYPART_ARC
(1,2),-0.758173 # DEPENDENCYPART_ARC
(1,3),-1.35008 # DEPENDENCYPART_ARC
(1,4),-0.94942 # DEPENDENCYPART_ARC
(1,5),-1.63315 # DEPENDENCYPART_ARC
(1,8),-1.43778 # DEPENDENCYPART_ARC
(1,9),-2.0115 # DEPENDENCYPART_ARC
(1,10),-1.11782 # DEPENDENCYPART_ARC
(1,13),-1.91421 # DEPENDENCYPART_ARC
(1,14),-2.50773 # DEPENDENCYPART_ARC
(1,15),-2.26718 # DEPENDENCYPART_ARC
(1,17),-1.36549 # DEPENDENCYPART_ARC
(1,18),-1.83835 # DEPENDENCYPART_ARC
(2,1),3.14318 # DEPENDENCYPART_ARC
(2,3),-1.3042 # DEPENDENCYPART_ARC
(2,4),-1.15249 # DEPENDENCYPART_ARC
(2,5),-0.859104 # DEPENDENCYPART_ARC
(2,6),-1.34027 # DEPENDENCYPART_ARC
(2,7),-1.93989 # DEPENDENCYPART_ARC
(2,8),-1.54626 # DEPENDENCYPART_ARC
(2,9),-0.848108 # DEPENDENCYPART_ARC
(2,10),-0.48512 # DEPENDENCYPART_ARC
(2,11),-1.18186 # DEPENDENCYPART_ARC
(2,12),-1.30771 # DEPENDENCYPART_ARC
(2,13),-1.77508 # DEPENDENCYPART_ARC
(2,14),-2.41098 # DEPENDENCYPART_ARC
(2,15),-1.91825 # DEPENDENCYPART_ARC
(2,17),-1.06766 # DEPENDENCYPART_ARC
(2,18),-1.20476 # DEPENDENCYPART_ARC
(2,19),-1.42138 # DEPENDENCYPART_ARC
(2,20),-0.465514 # DEPENDENCYPART_ARC
(3,1),1.34883 # DEPENDENCYPART_ARC
(3,2),3.64009 # DEPENDENCYPART_ARC
(3,4),-1.10825 # DEPENDENCYPART_ARC
(3,5),-0.828794 # DEPENDENCYPART_ARC
(3,6),-1.43868 # DEPENDENCYPART_ARC
(3,7),-2.55843 # DEPENDENCYPART_ARC
(3,8),-1.57747 # DEPENDENCYPART_ARC
(3,9),-0.99648 # DEPENDENCYPART_ARC
(3,10),-0.613592 # DEPENDENCYPART_ARC
(3,11),-1.32745 # DEPENDENCYPART_ARC
(3,12),-1.84681 # DEPENDENCYPART_ARC
(3,13),-1.86303 # DEPENDENCYPART_ARC
(3,14),-2.57869 # DEPENDENCYPART_ARC
(3,15),-2.11189 # DEPENDENCYPART_ARC
(3,17),-1.24053 # DEPENDENCYPART_ARC
(3,18),-1.19712 # DEPENDENCYPART_ARC
(3,19),-1.52419 # DEPENDENCYPART_ARC
(3,20),-0.177488 # DEPENDENCYPART_ARC
(4,1),2.17648 # DEPENDENCYPART_ARC
(4,2),0.946041 # DEPENDENCYPART_ARC
(4,3),3.02017 # DEPENDENCYPART_ARC
(4,5),-0.175163 # DEPENDENCYPART_ARC
(4,6),-1.08433 # DEPENDENCYPART_ARC
(4,7),-1.5779 # DEPENDENCYPART_ARC
(4,8),-1.02036 # DEPENDENCYPART_ARC
(4,9),-0.953637 # DEPENDENCYPART_ARC
(4,10),-0.550066 # DEPENDENCYPART_ARC
(4,11),-0.833057 # DEPENDENCYPART_ARC
(4,12),-1.58926 # DEPENDENCYPART_ARC
(4,13),-1.38959 # DEPENDENCYPART_ARC
(4,14),-1.64588 # DEPENDENCYPART_ARC
(4,15),-1.12895 # DEPENDENCYPART_ARC
(4,17),-0.968264 # DEPENDENCYPART_ARC
(4,18),-1.17632 # DEPENDENCYPART_ARC
(4,19),-1.60201 # DEPENDENCYPART_ARC
(4,20),-0.22578 # DEPENDENCYPART_ARC
(5,1),1.29987 # DEPENDENCYPART_ARC
(5,2),-0.053904 # DEPENDENCYPART_ARC
(5,3),-0.617725 # DEPENDENCYPART_ARC
(5,4),0.593765 # DEPENDENCYPART_ARC
(5,6),-0.5262 # DEPENDENCYPART_ARC
(5,7),-1.35616 # DEPENDENCYPART_ARC
(5,8),-0.60939 # DEPENDENCYPART_ARC
(5,9),-0.207819 # DEPENDENCYPART_ARC
(5,10),-0.10464 # DEPENDENCYPART_ARC
(5,11),-0.445226 # DEPENDENCYPART_ARC
(5,12),-0.975624 # DEPENDENCYPART_ARC
(5,13),-1.05527 # DEPENDENCYPART_ARC
(5,14),-1.3979 # DEPENDENCYPART_ARC
(5,15),-0.986213 # DEPENDENCYPART_ARC
(5,17),-0.596564 # DEPENDENCYPART_ARC
(5,18),-0.50748 # DEPENDENCYPART_ARC
(5,19),-0.784162 # DEPENDENCYPART_ARC
(5,20),0.498503 # DEPENDENCYPART_ARC
(6,2),-2.12847 # DEPENDENCYPART_ARC
(6,3),-2.31726 # DEPENDENCYPART_ARC
(6,4),-0.841296 # DEPENDENCYPART_ARC
(6,5),-0.985476 # DEPENDENCYPART_ARC
(6,8),0.327877 # DEPENDENCYPART_ARC
(6,9),-0.686146 # DEPENDENCYPART_ARC
(6,10),-0.0219018 # DEPENDENCYPART_ARC
(6,13),-0.269075 # DEPENDENCYPART_ARC
(6,14),-1.29259 # DEPENDENCYPART_ARC
(6,15),-0.57109 # DEPENDENCYPART_ARC
(6,17),-0.407548 # DEPENDENCYPART_ARC
(6,18),-0.969628 # DEPENDENCYPART_ARC
(7,1),-0.569962 # DEPENDENCYPART_ARC
(7,2),-1.53658 # DEPENDENCYPART_ARC
(7,3),-1.63091 # DEPENDENCYPART_ARC
(7,4),-1.20129 # DEPENDENCYPART_ARC
(7,5),-1.28173 # DEPENDENCYPART_ARC
(7,6),0.601433 # DEPENDENCYPART_ARC
(7,8),-0.528224 # DEPENDENCYPART_ARC
(7,9),-0.0873304 # DEPENDENCYPART_ARC
(7,10),-0.382776 # DEPENDENCYPART_ARC
(7,12),-1.30744 # DEPENDENCYPART_ARC
(7,13),-0.59864 # DEPENDENCYPART_ARC
(7,14),-0.77464 # DEPENDENCYPART_ARC
(7,15),-0.495451 # DEPENDENCYPART_ARC
(7,17),-0.306647 # DEPENDENCYPART_ARC
(7,18),-0.536715 # DEPENDENCYPART_ARC
(7,20),-0.501606 # DEPENDENCYPART_ARC
(8,1),-0.71381 # DEPENDENCYPART_ARC
(8,2),-1.0226 # DEPENDENCYPART_ARC
(8,3),-0.12347 # DEPENDENCYPART_ARC
(8,4),-0.800057 # DEPENDENCYPART_ARC
(8,5),-0.450194 # DEPENDENCYPART_ARC
(8,6),0.226353 # DEPENDENCYPART_ARC
(8,7),1.43678 # DEPENDENCYPART_ARC
(8,9),-0.34463 # DEPENDENCYPART_ARC
(8,10),-0.558546 # DEPENDENCYPART_ARC
(8,11),-0.939167 # DEPENDENCYPART_ARC
(8,12),-1.60024 # DEPENDENCYPART_ARC
(8,13),-1.51304 # DEPENDENCYPART_ARC
(8,14),-1.85148 # DEPENDENCYPART_ARC
(8,15),-1.53375 # DEPENDENCYPART_ARC
(8,17),-0.958299 # DEPENDENCYPART_ARC
(8,18),-1.17421 # DEPENDENCYPART_ARC
(8,19),-1.53598 # DEPENDENCYPART_ARC
(8,20),-0.627433 # DEPENDENCYPART_ARC
(9,1),0.358366 # DEPENDENCYPART_ARC
(9,2),-0.783806 # DEPENDENCYPART_ARC
(9,3),-2.7929 # DEPENDENCYPART_ARC
(9,4),-2.64669 # DEPENDENCYPART_ARC
(9,5),-2.53462 # DEPENDENCYPART_ARC
(9,6),2.18558 # DEPENDENCYPART_ARC
(9,7),2.45546 # DEPENDENCYPART_ARC
(9,8),3.44195 # DEPENDENCYPART_ARC
(9,10),-0.0103351 # DEPENDENCYPART_ARC
(9,11),-1.03041 # DEPENDENCYPART_ARC
(9,12),-0.996721 # DEPENDENCYPART_ARC
(9,13),-1.06298 # DEPENDENCYPART_ARC
(9,14),-1.39516 # DEPENDENCYPART_ARC
(9,15),-1.3668 # DEPENDENCYPART_ARC
(9,17),-0.667399 # DEPENDENCYPART_ARC
(9,18),-0.745706 # DEPENDENCYPART_ARC
(9,19),-1.0829 # DEPENDENCYPART_ARC
(9,20),-0.100894 # DEPENDENCYPART_ARC
(11,1),-1.13924 # DEPENDENCYPART_ARC
(11,2),0.143125 # DEPENDENCYPART_ARC
(11,3),0.621325 # DEPENDENCYPART_ARC
(11,4),-0.0591242 # DEPENDENCYPART_ARC
(11,5),0.619483 # DEPENDENCYPART_ARC
(11,6),-0.212481 # DEPENDENCYPART_ARC
