# _root_ Ezúttal nem a tehetetlenség , a szégyen az , ami lefogja a tollat .
#goldHeads=8,8,4,8,4,7,4,0,8,11,8,13,11,8,
#predictedHeads=2,8,4,2,8,7,8,0,8,11,8,13,11,2,
(0,1),-1.60558 # DEPENDENCYPART_ARC
(0,2),-1.72323 # DEPENDENCYPART_ARC
(0,3),-2.53636 # DEPENDENCYPART_ARC
(0,4),-2.70137 # DEPENDENCYPART_ARC
(0,5),-2.90513 # DEPENDENCYPART_ARC
(0,6),-2.86449 # DEPENDENCYPART_ARC
(0,7),-3.35804 # DEPENDENCYPART_ARC
(0,8),-2.52171 # DEPENDENCYPART_ARC
(0,9),-3.25549 # DEPENDENCYPART_ARC
(0,10),-2.83589 # DEPENDENCYPART_ARC
(0,11),-1.11668 # DEPENDENCYPART_ARC
(0,12),-3.16441 # DEPENDENCYPART_ARC
(0,13),-4.70811 # DEPENDENCYPART_ARC
(0,14),-4.19139 # DEPENDENCYPART_ARC
(1,2),-0.113901 # DEPENDENCYPART_ARC
(1,3),-0.584641 # DEPENDENCYPART_ARC
(1,4),-0.09642 # DEPENDENCYPART_ARC
(1,5),0.157995 # DEPENDENCYPART_ARC
(1,6),-0.709592 # DEPENDENCYPART_ARC
(1,7),-0.966377 # DEPENDENCYPART_ARC
(1,8),-0.701655 # DEPENDENCYPART_ARC
(1,9),0.00707832 # DEPENDENCYPART_ARC
(1,10),-0.831928 # DEPENDENCYPART_ARC
(1,11),0.179429 # DEPENDENCYPART_ARC
(1,12),-0.927004 # DEPENDENCYPART_ARC
(1,13),-1.8684 # DEPENDENCYPART_ARC
(1,14),1.21596 # DEPENDENCYPART_ARC
(2,1),0.882924 # DEPENDENCYPART_ARC
(2,3),-0.126392 # DEPENDENCYPART_ARC
(2,4),0.730212 # DEPENDENCYPART_ARC
(2,5),0.451956 # DEPENDENCYPART_ARC
(2,6),-0.334795 # DEPENDENCYPART_ARC
(2,7),-0.303634 # DEPENDENCYPART_ARC
(2,8),-0.33192 # DEPENDENCYPART_ARC
(2,9),0.279372 # DEPENDENCYPART_ARC
(2,10),-0.535774 # DEPENDENCYPART_ARC
(2,11),0.346286 # DEPENDENCYPART_ARC
(2,12),-0.5565 # DEPENDENCYPART_ARC
(2,13),-1.09266 # DEPENDENCYPART_ARC
(2,14),1.95328 # DEPENDENCYPART_ARC
(3,1),-0.92192 # DEPENDENCYPART_ARC
(3,2),-0.312609 # DEPENDENCYPART_ARC
(3,4),-0.179613 # DEPENDENCYPART_ARC
(3,5),-0.134451 # DEPENDENCYPART_ARC
(3,6),-0.640467 # DEPENDENCYPART_ARC
(3,7),-0.953574 # DEPENDENCYPART_ARC
(3,8),-0.958968 # DEPENDENCYPART_ARC
(3,9),-0.344255 # DEPENDENCYPART_ARC
(3,10),-1.08819 # DEPENDENCYPART_ARC
(3,11),-1.25106 # DEPENDENCYPART_ARC
(3,12),-0.979847 # DEPENDENCYPART_ARC
(3,13),-1.64644 # DEPENDENCYPART_ARC
(3,14),-1.4018 # DEPENDENCYPART_ARC
(4,1),-0.586626 # DEPENDENCYPART_ARC
(4,2),-0.187639 # DEPENDENCYPART_ARC
(4,3),3.45662 # DEPENDENCYPART_ARC
(4,5),0.26314 # DEPENDENCYPART_ARC
(4,6),-0.93733 # DEPENDENCYPART_ARC
(4,7),-0.458536 # DEPENDENCYPART_ARC
(4,8),-1.34028 # DEPENDENCYPART_ARC
