# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,6,10,9,9,10,12,12,0,14,17,12,17,15,12,
(0,1),-1.74893 # DEPENDENCYPART_ARC
(0,2),-2.01273 # DEPENDENCYPART_ARC
(0,3),-2.67024 # DEPENDENCYPART_ARC
(0,4),-2.37037 # DEPENDENCYPART_ARC
(0,5),-2.91672 # DEPENDENCYPART_ARC
(0,6),-0.555628 # DEPENDENCYPART_ARC
(0,7),-3.00677 # DEPENDENCYPART_ARC
(0,8),-2.73985 # DEPENDENCYPART_ARC
(0,9),-3.97592 # DEPENDENCYPART_ARC
(0,10),-1.5229 # DEPENDENCYPART_ARC
(0,11),-3.27172 # DEPENDENCYPART_ARC
(0,12),-0.573407 # DEPENDENCYPART_ARC
(0,13),-2.67335 # DEPENDENCYPART_ARC
(0,14),-4.08429 # DEPENDENCYPART_ARC
(0,15),-1.85203 # DEPENDENCYPART_ARC
(0,16),-2.71368 # DEPENDENCYPART_ARC
(0,17),-2.77925 # DEPENDENCYPART_ARC
(0,18),-4.20809 # DEPENDENCYPART_ARC
(1,2),-0.365632 # DEPENDENCYPART_ARC
(1,3),-1.14954 # DEPENDENCYPART_ARC
(1,4),-0.80575 # DEPENDENCYPART_ARC
(1,5),-0.558323 # DEPENDENCYPART_ARC
(1,6),-0.912283 # DEPENDENCYPART_ARC
(1,7),-1.40268 # DEPENDENCYPART_ARC
(1,8),-1.62035 # DEPENDENCYPART_ARC
(1,9),-2.03168 # DEPENDENCYPART_ARC
(1,10),-0.969076 # DEPENDENCYPART_ARC
(1,11),-0.734433 # DEPENDENCYPART_ARC
(1,12),-1.00975 # DEPENDENCYPART_ARC
(1,13),-1.89002 # DEPENDENCYPART_ARC
(1,14),-2.58147 # DEPENDENCYPART_ARC
(1,15),-1.30203 # DEPENDENCYPART_ARC
(1,16),-1.21627 # DEPENDENCYPART_ARC
(1,17),-1.3459 # DEPENDENCYPART_ARC
(1,18),0.155581 # DEPENDENCYPART_ARC
(2,1),3.71269 # DEPENDENCYPART_ARC
(2,3),-0.395266 # DEPENDENCYPART_ARC
(2,4),0.0638666 # DEPENDENCYPART_ARC
(2,5),0.161356 # DEPENDENCYPART_ARC
(2,6),-0.186441 # DEPENDENCYPART_ARC
(2,7),-0.732152 # DEPENDENCYPART_ARC
(2,8),-0.813893 # DEPENDENCYPART_ARC
(2,9),-1.24661 # DEPENDENCYPART_ARC
(2,10),-0.275903 # DEPENDENCYPART_ARC
(2,11),-0.281445 # DEPENDENCYPART_ARC
(2,12),-0.218716 # DEPENDENCYPART_ARC
(2,13),-1.00141 # DEPENDENCYPART_ARC
(2,14),-1.7749 # DEPENDENCYPART_ARC
(2,15),-0.843434 # DEPENDENCYPART_ARC
(2,16),-0.347346 # DEPENDENCYPART_ARC
(2,17),-0.603228 # DEPENDENCYPART_ARC
(2,18),0.889449 # DEPENDENCYPART_ARC
(3,1),-0.8072 # DEPENDENCYPART_ARC
(3,2),-1.09289 # DEPENDENCYPART_ARC
(3,4),-0.00500757 # DEPENDENCYPART_ARC
(3,5),0.0414724 # DEPENDENCYPART_ARC
(3,6),-0.396561 # DEPENDENCYPART_ARC
(3,7),-0.565868 # DEPENDENCYPART_ARC
(3,8),-0.617834 # DEPENDENCYPART_ARC
(3,9),-1.31608 # DEPENDENCYPART_ARC
(3,10),-1.04451 # DEPENDENCYPART_ARC
(3,11),-0.297925 # DEPENDENCYPART_ARC
(3,12),-0.817852 # DEPENDENCYPART_ARC
(3,13),-0.888103 # DEPENDENCYPART_ARC
(3,14),-1.64656 # DEPENDENCYPART_ARC
(3,15),-1.34038 # DEPENDENCYPART_ARC
(3,16),-0.866003 # DEPENDENCYPART_ARC
(3,17),-1.03299 # DEPENDENCYPART_ARC
(3,18),-1.24918 # DEPENDENCYPART_ARC
(4,1),0.444157 # DEPENDENCYPART_ARC
(4,2),0.383895 # DEPENDENCYPART_ARC
(4,3),2.38032 # DEPENDENCYPART_ARC
(4,5),0.517487 # DEPENDENCYPART_ARC
(4,6),-0.0316517 # DEPENDENCYPART_ARC
(4,7),-0.239445 # DEPENDENCYPART_ARC
(4,8),-0.45995 # DEPENDENCYPART_ARC
(4,9),-0.366341 # DEPENDENCYPART_ARC
(4,10),-0.371838 # DEPENDENCYPART_ARC
(4,11),-0.115419 # DEPENDENCYPART_ARC
(4,12),-0.231857 # DEPENDENCYPART_ARC
(4,13),-0.87694 # DEPENDENCYPART_ARC
(4,14),-0.838434 # DEPENDENCYPART_ARC
(4,15),-0.614994 # DEPENDENCYPART_ARC
(4,16),-0.514453 # DEPENDENCYPART_ARC
(4,17),-0.668132 # DEPENDENCYPART_ARC
(4,18),-0.0447919 # DEPENDENCYPART_ARC
(5,1),-1.94671 # DEPENDENCYPART_ARC
(5,2),-2.19685 # DEPENDENCYPART_ARC
(5,3),-1.04062 # DEPENDENCYPART_ARC
(5,4),-0.601621 # DEPENDENCYPART_ARC
(5,6),-0.880387 # DEPENDENCYPART_ARC
(5,7),-1.19314 # DEPENDENCYPART_ARC
(5,8),-1.31701 # DEPENDENCYPART_ARC
(5,9),-1.91096 # DEPENDENCYPART_ARC
(5,10),-1.41261 # DEPENDENCYPART_ARC
(5,11),-1.10151 # DEPENDENCYPART_ARC
(5,12),-1.16123 # DEPENDENCYPART_ARC
(5,13),-1.71326 # DEPENDENCYPART_ARC
(5,14),-2.31293 # DEPENDENCYPART_ARC
(5,15),-1.58568 # DEPENDENCYPART_ARC
(5,16),-1.46554 # DEPENDENCYPART_ARC
(5,17),-1.67208 # DEPENDENCYPART_ARC
(5,18),-1.36487 # DEPENDENCYPART_ARC
(6,1),0.0800025 # DEPENDENCYPART_ARC
(6,2),0.0344584 # DEPENDENCYPART_ARC
(6,3),0.0359605 # DEPENDENCYPART_ARC
(6,4),0.693767 # DEPENDENCYPART_ARC
(6,5),2.32085 # DEPENDENCYPART_ARC
(6,7),-0.0644786 # DEPENDENCYPART_ARC
(6,8),0.389342 # DEPENDENCYPART_ARC
(6,9),-0.211101 # DEPENDENCYPART_ARC
(6,10),2.18472 # DEPENDENCYPART_ARC
(6,11),0.464015 # DEPENDENCYPART_ARC
(6,12),0.554789 # DEPENDENCYPART_ARC
(6,13),-0.376587 # DEPENDENCYPART_ARC
(6,14),-0.530483 # DEPENDENCYPART_ARC
(6,15),1.00583 # DEPENDENCYPART_ARC
(6,16),0.200845 # DEPENDENCYPART_ARC
(6,17),0.595468 # DEPENDENCYPART_ARC
(6,18),2.9507 # DEPENDENCYPART_ARC
(7,1),-1.18176 # DEPENDENCYPART_ARC
(7,2),-2.25356 # DEPENDENCYPART_ARC
(7,3),-0.899901 # DEPENDENCYPART_ARC
(7,4),-0.675639 # DEPENDENCYPART_ARC
(7,5),-0.526954 # DEPENDENCYPART_ARC
(7,6),0.0334193 # DEPENDENCYPART_ARC
(7,8),0.23623 # DEPENDENCYPART_ARC
(7,9),-0.373628 # DEPENDENCYPART_ARC
(7,10),-0.62825 # DEPENDENCYPART_ARC
(7,11),-0.0639331 # DEPENDENCYPART_ARC
(7,12),-0.58437 # DEPENDENCYPART_ARC
(7,13),-0.53101 # DEPENDENCYPART_ARC
(7,14),-1.3015 # DEPENDENCYPART_ARC
(7,15),-1.02919 # DEPENDENCYPART_ARC
(7,16),-0.642189 # DEPENDENCYPART_ARC
(7,17),-0.694618 # DEPENDENCYPART_ARC
(7,18),-1.08355 # DEPENDENCYPART_ARC
(8,1),-1.29075 # DEPENDENCYPART_ARC
(8,2),-3.81417 # DEPENDENCYPART_ARC
(8,3),-0.592207 # DEPENDENCYPART_ARC
(8,4),-0.736324 # DEPENDENCYPART_ARC
(8,5),-0.576024 # DEPENDENCYPART_ARC
(8,6),-0.728913 # DEPENDENCYPART_ARC
(8,7),1.57282 # DEPENDENCYPART_ARC
(8,9),-1.74424 # DEPENDENCYPART_ARC
(8,10),-1.29173 # DEPENDENCYPART_ARC
(8,11),-0.819408 # DEPENDENCYPART_ARC
(8,12),-1.24424 # DEPENDENCYPART_ARC
(8,13),-1.08473 # DEPENDENCYPART_ARC
(8,14),-2.98849 # DEPENDENCYPART_ARC
(8,15),-1.62342 # DEPENDENCYPART_ARC
(8,16),-1.39204 # DEPENDENCYPART_ARC
(8,17),-1.55981 # DEPENDENCYPART_ARC
(8,18),-0.541718 # DEPENDENCYPART_ARC
(9,1),-0.0340823 # DEPENDENCYPART_ARC
(9,2),-1.65649 # DEPENDENCYPART_ARC
(9,3),0.667492 # DEPENDENCYPART_ARC
(9,4),0.473649 # DEPENDENCYPART_ARC
(9,5),0.0581879 # DEPENDENCYPART_ARC
(9,6),0.521623 # DEPENDENCYPART_ARC
(9,7),3.00726 # DEPENDENCYPART_ARC
(9,8),4.00935 # DEPENDENCYPART_ARC
(9,10),-1.44725 # DEPENDENCYPART_ARC
(9,11),-0.772877 # DEPENDENCYPART_ARC
(9,12),-0.704169 # DEPENDENCYPART_ARC
(9,13),-1.16689 # DEPENDENCYPART_ARC
(9,14),-2.23563 # DEPENDENCYPART_ARC
(9,15),-1.92551 # DEPENDENCYPART_ARC
(9,16),-1.08174 # DEPENDENCYPART_ARC
(9,17),-1.2631 # DEPENDENCYPART_ARC
(9,18),-0.20476 # DEPENDENCYPART_ARC
(10,1),-0.20529 # DEPENDENCYPART_ARC
(10,2),1.78989 # DEPENDENCYPART_ARC
(10,3),0.156311 # DEPENDENCYPART_ARC
(10,4),1.14292 # DEPENDENCYPART_ARC
(10,5),1.12965 # DEPENDENCYPART_ARC
(10,6),1.74126 # DEPENDENCYPART_ARC
(10,7),0.459658 # DEPENDENCYPART_ARC
(10,8),1.19657 # DEPENDENCYPART_ARC
(10,9),4.45105 # DEPENDENCYPART_ARC
(10,11),1.77523 # DEPENDENCYPART_ARC
(10,12),1.12516 # DEPENDENCYPART_ARC
(10,13),-0.141918 # DEPENDENCYPART_ARC
(10,14),0.0172267 # DEPENDENCYPART_ARC
(10,15),1.62938 # DEPENDENCYPART_ARC
(10,16),0.354486 # DEPENDENCYPART_ARC
(10,17),1.13664 # DEPENDENCYPART_ARC
(10,18),2.13023 # DEPENDENCYPART_ARC
(11,1),-3.03468 # DEPENDENCYPART_ARC
(11,2),-3.45417 # DEPENDENCYPART_ARC
(11,3),-2.53812 # DEPENDENCYPART_ARC
(11,4),-2.52745 # DEPENDENCYPART_ARC
(11,5),-2.25364 # DEPENDENCYPART_ARC
(11,6),-2.39782 # DEPENDENCYPART_ARC
(11,7),-2.3271 # DEPENDENCYPART_ARC
(11,8),-2.46919 # DEPENDENCYPART_ARC
(11,9),-2.61915 # DEPENDENCYPART_ARC
(11,10),-1.28726 # DEPENDENCYPART_ARC
(11,12),-1.37813 # DEPENDENCYPART_ARC
(11,13),-1.56417 # DEPENDENCYPART_ARC
(11,14),-2.27764 # DEPENDENCYPART_ARC
(11,15),-1.84195 # DEPENDENCYPART_ARC
(11,16),-1.97223 # DEPENDENCYPART_ARC
(11,17),-1.96066 # DEPENDENCYPART_ARC
(11,18),-1.68681 # DEPENDENCYPART_ARC
(12,1),-0.265151 # DEPENDENCYPART_ARC
(12,2),-0.260925 # DEPENDENCYPART_ARC
(12,3),-0.511648 # DEPENDENCYPART_ARC
(12,4),0.454106 # DEPENDENCYPART_ARC
(12,5),1.58156 # DEPENDENCYPART_ARC
(12,6),1.29837 # DEPENDENCYPART_ARC
(12,7),-0.389204 # DEPENDENCYPART_ARC
