# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=21,21,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(0,1),-1.7089 # DEPENDENCYPART_ARC
(0,2),-1.71037 # DEPENDENCYPART_ARC
(0,3),-2.53864 # DEPENDENCYPART_ARC
(0,4),-2.98602 # DEPENDENCYPART_ARC
(0,5),-2.1322 # DEPENDENCYPART_ARC
(0,6),-0.99405 # DEPENDENCYPART_ARC
(0,7),-2.04696 # DEPENDENCYPART_ARC
(0,8),-2.5098 # DEPENDENCYPART_ARC
(0,9),-3.204 # DEPENDENCYPART_ARC
(0,10),-3.32399 # DEPENDENCYPART_ARC
(0,11),-3.15435 # DEPENDENCYPART_ARC
(0,12),-3.49145 # DEPENDENCYPART_ARC
(0,13),-2.57711 # DEPENDENCYPART_ARC
(0,14),-1.81877 # DEPENDENCYPART_ARC
(0,15),-3.51668 # DEPENDENCYPART_ARC
(0,16),-2.31752 # DEPENDENCYPART_ARC
(0,17),-3.32531 # DEPENDENCYPART_ARC
(0,18),-4.35239 # DEPENDENCYPART_ARC
(0,19),-3.49024 # DEPENDENCYPART_ARC
(0,20),-4.8056 # DEPENDENCYPART_ARC
(0,21),-2.05935 # DEPENDENCYPART_ARC
(0,22),-2.01814 # DEPENDENCYPART_ARC
(0,23),-5.08224 # DEPENDENCYPART_ARC
(1,2),0.097569 # DEPENDENCYPART_ARC
(1,3),-0.982451 # DEPENDENCYPART_ARC
(1,4),-1.10776 # DEPENDENCYPART_ARC
(1,5),-0.640951 # DEPENDENCYPART_ARC
(1,6),0.192582 # DEPENDENCYPART_ARC
(1,7),-0.759569 # DEPENDENCYPART_ARC
(1,8),-1.27351 # DEPENDENCYPART_ARC
(1,9),0.241072 # DEPENDENCYPART_ARC
(1,10),-1.0496 # DEPENDENCYPART_ARC
(1,11),-1.51529 # DEPENDENCYPART_ARC
(1,12),-1.7985 # DEPENDENCYPART_ARC
