# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,3,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(0,1),-1.62246 # DEPENDENCYPART_ARC
(0,2),-1.69189 # DEPENDENCYPART_ARC
(0,3),-0.549795 # DEPENDENCYPART_ARC
(0,4),-2.6942 # DEPENDENCYPART_ARC
(0,5),-1.85827 # DEPENDENCYPART_ARC
(0,6),-2.54878 # DEPENDENCYPART_ARC
(0,7),-0.751492 # DEPENDENCYPART_ARC
(0,8),-1.02132 # DEPENDENCYPART_ARC
(0,9),-2.94055 # DEPENDENCYPART_ARC
(0,10),-3.6175 # DEPENDENCYPART_ARC
(0,11),-0.742805 # DEPENDENCYPART_ARC
(0,12),-3.36925 # DEPENDENCYPART_ARC
(0,13),-3.71773 # DEPENDENCYPART_ARC
(0,14),-3.37188 # DEPENDENCYPART_ARC
(0,15),0.993391 # DEPENDENCYPART_ARC
(0,16),-2.55689 # DEPENDENCYPART_ARC
(0,17),-3.20865 # DEPENDENCYPART_ARC
(0,18),-3.39661 # DEPENDENCYPART_ARC
(0,19),-2.04227 # DEPENDENCYPART_ARC
(0,20),-1.31822 # DEPENDENCYPART_ARC
(0,21),-3.26384 # DEPENDENCYPART_ARC
(0,22),-4.65989 # DEPENDENCYPART_ARC
(1,2),-0.225171 # DEPENDENCYPART_ARC
(1,3),0.185818 # DEPENDENCYPART_ARC
(1,4),0.0578733 # DEPENDENCYPART_ARC
(1,5),-0.501097 # DEPENDENCYPART_ARC
(1,6),-0.662665 # DEPENDENCYPART_ARC
(1,7),-0.594349 # DEPENDENCYPART_ARC
(1,8),-0.703638 # DEPENDENCYPART_ARC
(1,9),-1.02342 # DEPENDENCYPART_ARC
(1,10),-1.42978 # DEPENDENCYPART_ARC
(1,11),-0.513458 # DEPENDENCYPART_ARC
(1,12),-1.5292 # DEPENDENCYPART_ARC
(1,13),-0.635814 # DEPENDENCYPART_ARC
(1,14),-0.940168 # DEPENDENCYPART_ARC
(1,15),-0.369138 # DEPENDENCYPART_ARC
(1,16),-0.735173 # DEPENDENCYPART_ARC
(1,17),-1.24931 # DEPENDENCYPART_ARC
(1,18),-2.02581 # DEPENDENCYPART_ARC
(1,19),-0.666815 # DEPENDENCYPART_ARC
(1,20),-1.09063 # DEPENDENCYPART_ARC
(1,21),-2.26751 # DEPENDENCYPART_ARC
(1,22),-0.0853455 # DEPENDENCYPART_ARC
(2,1),0.111308 # DEPENDENCYPART_ARC
(2,3),-0.720222 # DEPENDENCYPART_ARC
(2,4),-0.321642 # DEPENDENCYPART_ARC
(2,5),-0.749448 # DEPENDENCYPART_ARC
(2,6),-0.902653 # DEPENDENCYPART_ARC
(2,7),-1.0133 # DEPENDENCYPART_ARC
(2,8),-0.883314 # DEPENDENCYPART_ARC
(2,9),-1.12498 # DEPENDENCYPART_ARC
(2,10),-1.99301 # DEPENDENCYPART_ARC
(2,11),-0.638376 # DEPENDENCYPART_ARC
(2,12),-2.09815 # DEPENDENCYPART_ARC
(2,13),-0.744348 # DEPENDENCYPART_ARC
(2,14),-0.720319 # DEPENDENCYPART_ARC
(2,15),-1.02393 # DEPENDENCYPART_ARC
(2,16),-0.978968 # DEPENDENCYPART_ARC
(2,17),-1.40237 # DEPENDENCYPART_ARC
(2,18),-2.87855 # DEPENDENCYPART_ARC
(2,19),-1.0075 # DEPENDENCYPART_ARC
(2,20),-1.86811 # DEPENDENCYPART_ARC
(2,21),-3.18976 # DEPENDENCYPART_ARC
(2,22),0.230585 # DEPENDENCYPART_ARC
(3,1),2.86049 # DEPENDENCYPART_ARC
(3,2),4.00435 # DEPENDENCYPART_ARC
(3,4),1.70032 # DEPENDENCYPART_ARC
(3,5),0.981553 # DEPENDENCYPART_ARC
(3,6),0.978019 # DEPENDENCYPART_ARC
(3,7),1.41238 # DEPENDENCYPART_ARC
(3,8),2.44156 # DEPENDENCYPART_ARC
(3,9),-0.309461 # DEPENDENCYPART_ARC
(3,10),-1.33346 # DEPENDENCYPART_ARC
(3,11),0.287326 # DEPENDENCYPART_ARC
(3,12),-1.70449 # DEPENDENCYPART_ARC
(3,13),0.502094 # DEPENDENCYPART_ARC
(3,14),0.949643 # DEPENDENCYPART_ARC
(3,15),0.308354 # DEPENDENCYPART_ARC
(3,16),-0.668122 # DEPENDENCYPART_ARC
(3,17),-0.584735 # DEPENDENCYPART_ARC
(3,18),-3.64469 # DEPENDENCYPART_ARC
(3,19),-0.737245 # DEPENDENCYPART_ARC
(3,20),1.40077 # DEPENDENCYPART_ARC
(3,21),-1.75979 # DEPENDENCYPART_ARC
(3,22),2.8364 # DEPENDENCYPART_ARC
(4,1),-1.99657 # DEPENDENCYPART_ARC
(4,2),-2.50086 # DEPENDENCYPART_ARC
(4,3),-1.19668 # DEPENDENCYPART_ARC
(4,5),-0.921772 # DEPENDENCYPART_ARC
(4,6),-0.97137 # DEPENDENCYPART_ARC
(4,7),-1.12313 # DEPENDENCYPART_ARC
(4,8),-1.23838 # DEPENDENCYPART_ARC
(4,9),-1.33218 # DEPENDENCYPART_ARC
(4,10),-2.03282 # DEPENDENCYPART_ARC
(4,11),-1.00917 # DEPENDENCYPART_ARC
(4,12),-2.14193 # DEPENDENCYPART_ARC
(4,13),-1.26238 # DEPENDENCYPART_ARC
(4,14),-1.07072 # DEPENDENCYPART_ARC
(4,15),-1.12441 # DEPENDENCYPART_ARC
(4,16),-1.44339 # DEPENDENCYPART_ARC
(4,17),-1.56889 # DEPENDENCYPART_ARC
(4,18),-2.49945 # DEPENDENCYPART_ARC
(4,19),-1.44867 # DEPENDENCYPART_ARC
(4,20),-1.65141 # DEPENDENCYPART_ARC
(4,21),-2.54367 # DEPENDENCYPART_ARC
(4,22),-1.49398 # DEPENDENCYPART_ARC
(5,1),-0.536964 # DEPENDENCYPART_ARC
(5,2),-0.484929 # DEPENDENCYPART_ARC
(5,3),-0.278715 # DEPENDENCYPART_ARC
(5,4),-0.0797752 # DEPENDENCYPART_ARC
(5,6),0.0179593 # DEPENDENCYPART_ARC
(5,7),0.280745 # DEPENDENCYPART_ARC
(5,8),-0.113096 # DEPENDENCYPART_ARC
(5,9),-0.64925 # DEPENDENCYPART_ARC
(5,10),-0.609243 # DEPENDENCYPART_ARC
(5,11),-0.167651 # DEPENDENCYPART_ARC
(5,12),-0.81448 # DEPENDENCYPART_ARC
(5,13),-0.000339428 # DEPENDENCYPART_ARC
(5,14),-0.382281 # DEPENDENCYPART_ARC
(5,15),-0.0333112 # DEPENDENCYPART_ARC
(5,16),-0.613492 # DEPENDENCYPART_ARC
(5,17),-1.04325 # DEPENDENCYPART_ARC
(5,18),-1.5647 # DEPENDENCYPART_ARC
(5,19),-0.545646 # DEPENDENCYPART_ARC
(5,20),-0.692191 # DEPENDENCYPART_ARC
(5,21),-1.57479 # DEPENDENCYPART_ARC
(5,22),0.0496899 # DEPENDENCYPART_ARC
(6,1),0.00348178 # DEPENDENCYPART_ARC
(6,2),-1.61835 # DEPENDENCYPART_ARC
(6,3),-0.0271375 # DEPENDENCYPART_ARC
(6,4),0.520483 # DEPENDENCYPART_ARC
(6,5),2.19036 # DEPENDENCYPART_ARC
(6,7),-0.298949 # DEPENDENCYPART_ARC
(6,8),0.0802736 # DEPENDENCYPART_ARC
(6,9),-0.857607 # DEPENDENCYPART_ARC
(6,10),-1.12238 # DEPENDENCYPART_ARC
(6,11),-0.646672 # DEPENDENCYPART_ARC
(6,12),-1.3993 # DEPENDENCYPART_ARC
(6,13),-0.464344 # DEPENDENCYPART_ARC
(6,14),-0.394403 # DEPENDENCYPART_ARC
(6,15),-0.546977 # DEPENDENCYPART_ARC
(6,16),-0.879325 # DEPENDENCYPART_ARC
(6,17),-1.176 # DEPENDENCYPART_ARC
(6,18),-1.88855 # DEPENDENCYPART_ARC
(6,19),-1.02414 # DEPENDENCYPART_ARC
(6,20),-1.26233 # DEPENDENCYPART_ARC
(6,21),-1.84116 # DEPENDENCYPART_ARC
(6,22),0.683847 # DEPENDENCYPART_ARC
(7,1),0.983677 # DEPENDENCYPART_ARC
(7,2),0.772502 # DEPENDENCYPART_ARC
(7,3),1.16407 # DEPENDENCYPART_ARC
(7,4),1.62229 # DEPENDENCYPART_ARC
(7,5),1.64355 # DEPENDENCYPART_ARC
(7,6),3.34262 # DEPENDENCYPART_ARC
(7,8),4.32347 # DEPENDENCYPART_ARC
(7,9),0.125729 # DEPENDENCYPART_ARC
(7,10),0.799824 # DEPENDENCYPART_ARC
(7,11),1.15999 # DEPENDENCYPART_ARC
(7,12),0.159817 # DEPENDENCYPART_ARC
(7,13),1.27104 # DEPENDENCYPART_ARC
(7,14),1.50551 # DEPENDENCYPART_ARC
(7,15),0.864562 # DEPENDENCYPART_ARC
(7,16),0.272954 # DEPENDENCYPART_ARC
(7,17),-0.575173 # DEPENDENCYPART_ARC
(7,18),-1.34934 # DEPENDENCYPART_ARC
(7,19),-0.0743923 # DEPENDENCYPART_ARC
(7,20),1.35367 # DEPENDENCYPART_ARC
(7,21),-0.382978 # DEPENDENCYPART_ARC
(7,22),2.74745 # DEPENDENCYPART_ARC
(8,1),0.076599 # DEPENDENCYPART_ARC
(8,2),-0.603949 # DEPENDENCYPART_ARC
(8,3),0.119611 # DEPENDENCYPART_ARC
(8,4),0.0172768 # DEPENDENCYPART_ARC
(8,5),0.2836 # DEPENDENCYPART_ARC
(8,6),1.83791 # DEPENDENCYPART_ARC
(8,7),0.830676 # DEPENDENCYPART_ARC
(8,9),-1.19861 # DEPENDENCYPART_ARC
(8,10),0.18974 # DEPENDENCYPART_ARC
(8,11),0.12561 # DEPENDENCYPART_ARC
(8,12),-1.0014 # DEPENDENCYPART_ARC
(8,13),0.832422 # DEPENDENCYPART_ARC
(8,14),0.181088 # DEPENDENCYPART_ARC
(8,15),-0.560355 # DEPENDENCYPART_ARC
(8,16),-1.14532 # DEPENDENCYPART_ARC
(8,17),-2.03514 # DEPENDENCYPART_ARC
(8,18),-2.75155 # DEPENDENCYPART_ARC
(8,19),-1.32485 # DEPENDENCYPART_ARC
(8,20),0.289751 # DEPENDENCYPART_ARC
(8,21),-2.1334 # DEPENDENCYPART_ARC
(8,22),1.23156 # DEPENDENCYPART_ARC
(9,1),-2.00697 # DEPENDENCYPART_ARC
(9,2),-2.83936 # DEPENDENCYPART_ARC
(9,3),-2.32556 # DEPENDENCYPART_ARC
(9,4),-1.65929 # DEPENDENCYPART_ARC
(9,5),-1.66655 # DEPENDENCYPART_ARC
(9,6),-1.66405 # DEPENDENCYPART_ARC
(9,7),-1.70067 # DEPENDENCYPART_ARC
(9,8),-0.752467 # DEPENDENCYPART_ARC
(9,10),-0.346679 # DEPENDENCYPART_ARC
(9,11),-0.597891 # DEPENDENCYPART_ARC
(9,12),-0.998192 # DEPENDENCYPART_ARC
(9,13),-0.635426 # DEPENDENCYPART_ARC
(9,14),-0.380597 # DEPENDENCYPART_ARC
(9,15),-0.7897 # DEPENDENCYPART_ARC
(9,16),-0.92197 # DEPENDENCYPART_ARC
(9,17),-0.979919 # DEPENDENCYPART_ARC
(9,18),-1.38145 # DEPENDENCYPART_ARC
(9,19),-0.98994 # DEPENDENCYPART_ARC
(9,20),-1.45551 # DEPENDENCYPART_ARC
(9,21),-1.82677 # DEPENDENCYPART_ARC
(9,22),-1.68781 # DEPENDENCYPART_ARC
(10,1),-1.98314 # DEPENDENCYPART_ARC
(10,2),-4.76591 # DEPENDENCYPART_ARC
(10,3),-2.15327 # DEPENDENCYPART_ARC
(10,4),-2.17383 # DEPENDENCYPART_ARC
(10,5),-1.37999 # DEPENDENCYPART_ARC
(10,6),-3.8136 # DEPENDENCYPART_ARC
(10,7),-2.1784 # DEPENDENCYPART_ARC
(10,8),-1.65187 # DEPENDENCYPART_ARC
(10,9),2.88332 # DEPENDENCYPART_ARC
(10,11),-1.08905 # DEPENDENCYPART_ARC
(10,12),-1.78702 # DEPENDENCYPART_ARC
(10,13),-0.70777 # DEPENDENCYPART_ARC
(10,14),-1.16432 # DEPENDENCYPART_ARC
(10,15),-1.41902 # DEPENDENCYPART_ARC
(10,16),-1.46581 # DEPENDENCYPART_ARC
(10,17),-1.8457 # DEPENDENCYPART_ARC
(10,18),-3.04066 # DEPENDENCYPART_ARC
(10,19),-1.62208 # DEPENDENCYPART_ARC
(10,20),-2.02306 # DEPENDENCYPART_ARC
(10,21),-3.84523 # DEPENDENCYPART_ARC
(10,22),-1.18951 # DEPENDENCYPART_ARC
(11,1),-0.956242 # DEPENDENCYPART_ARC
(11,2),-1.04263 # DEPENDENCYPART_ARC
(11,3),0.271876 # DEPENDENCYPART_ARC
(11,4),1.19604 # DEPENDENCYPART_ARC
(11,5),-0.611648 # DEPENDENCYPART_ARC
(11,6),-0.230223 # DEPENDENCYPART_ARC
(11,7),1.07647 # DEPENDENCYPART_ARC
(11,8),0.934404 # DEPENDENCYPART_ARC
(11,9),-0.0272794 # DEPENDENCYPART_ARC
(11,10),0.351354 # DEPENDENCYPART_ARC
(11,12),-0.13586 # DEPENDENCYPART_ARC
(11,13),-0.0730897 # DEPENDENCYPART_ARC
(11,14),-0.384729 # DEPENDENCYPART_ARC
(11,15),-0.292893 # DEPENDENCYPART_ARC
(11,16),-0.579383 # DEPENDENCYPART_ARC
(11,17),-0.855853 # DEPENDENCYPART_ARC
(11,18),-1.05482 # DEPENDENCYPART_ARC
(11,19),-0.546986 # DEPENDENCYPART_ARC
(11,20),-0.223165 # DEPENDENCYPART_ARC
(11,21),-1.83914 # DEPENDENCYPART_ARC
(11,22),0.874708 # DEPENDENCYPART_ARC
(12,1),-1.25323 # DEPENDENCYPART_ARC
(12,2),-3.9227 # DEPENDENCYPART_ARC
(12,3),-1.35455 # DEPENDENCYPART_ARC
(12,4),-1.34557 # DEPENDENCYPART_ARC
