# _root_ Az első hidegzuhany az esztergomi ralin ért , ahol a motor úgy kikészült , hogy a kukába lehetett dobni .
#goldHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
#predictedHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,13,
(0,1),-2.06956 # DEPENDENCYPART_ARC
(0,2),-1.46352 # DEPENDENCYPART_ARC
(0,3),-1.80949 # DEPENDENCYPART_ARC
(0,4),-2.42345 # DEPENDENCYPART_ARC
(0,5),-2.28338 # DEPENDENCYPART_ARC
(0,6),-3.23087 # DEPENDENCYPART_ARC
(0,7),-0.0866005 # DEPENDENCYPART_ARC
(0,8),-2.70136 # DEPENDENCYPART_ARC
(0,9),-2.00405 # DEPENDENCYPART_ARC
(0,10),-2.80943 # DEPENDENCYPART_ARC
(0,11),-3.44374 # DEPENDENCYPART_ARC
(0,12),-2.21763 # DEPENDENCYPART_ARC
(0,13),-0.728933 # DEPENDENCYPART_ARC
(0,14),-3.01703 # DEPENDENCYPART_ARC
(0,15),-2.04727 # DEPENDENCYPART_ARC
(0,16),-2.99245 # DEPENDENCYPART_ARC
(0,17),-3.71297 # DEPENDENCYPART_ARC
(0,18),-1.43213 # DEPENDENCYPART_ARC
(0,19),-2.06266 # DEPENDENCYPART_ARC
(0,20),-4.14963 # DEPENDENCYPART_ARC
(1,2),0.0938755 # DEPENDENCYPART_ARC
(1,3),-0.214624 # DEPENDENCYPART_ARC
(1,4),-0.490275 # DEPENDENCYPART_ARC
(1,5),-0.135584 # DEPENDENCYPART_ARC
(1,6),-1.04647 # DEPENDENCYPART_ARC
(1,7),-0.809558 # DEPENDENCYPART_ARC
(1,8),-0.209041 # DEPENDENCYPART_ARC
(1,9),-0.862929 # DEPENDENCYPART_ARC
(1,10),-0.845605 # DEPENDENCYPART_ARC
(1,11),-1.42066 # DEPENDENCYPART_ARC
(1,12),-0.928957 # DEPENDENCYPART_ARC
(1,13),-1.01497 # DEPENDENCYPART_ARC
(1,14),-0.489026 # DEPENDENCYPART_ARC
(1,15),-1.06914 # DEPENDENCYPART_ARC
(1,16),-0.932595 # DEPENDENCYPART_ARC
(1,17),-1.91995 # DEPENDENCYPART_ARC
(1,18),-1.01523 # DEPENDENCYPART_ARC
(1,19),-0.627505 # DEPENDENCYPART_ARC
(1,20),-1.13275 # DEPENDENCYPART_ARC
(2,1),1.10225 # DEPENDENCYPART_ARC
(2,3),-0.452066 # DEPENDENCYPART_ARC
(2,4),-1.17972 # DEPENDENCYPART_ARC
(2,5),-0.98062 # DEPENDENCYPART_ARC
(2,6),-1.5384 # DEPENDENCYPART_ARC
(2,7),-0.904917 # DEPENDENCYPART_ARC
(2,8),-0.666992 # DEPENDENCYPART_ARC
(2,9),-1.37283 # DEPENDENCYPART_ARC
(2,10),-1.58238 # DEPENDENCYPART_ARC
(2,11),-1.53709 # DEPENDENCYPART_ARC
(2,12),-1.49171 # DEPENDENCYPART_ARC
(2,13),-1.511 # DEPENDENCYPART_ARC
(2,14),-0.849265 # DEPENDENCYPART_ARC
(2,15),-1.11364 # DEPENDENCYPART_ARC
(2,16),-1.75979 # DEPENDENCYPART_ARC
(2,17),-2.35954 # DEPENDENCYPART_ARC
(2,18),-1.59445 # DEPENDENCYPART_ARC
(2,19),-1.68071 # DEPENDENCYPART_ARC
(2,20),0.409497 # DEPENDENCYPART_ARC
(3,1),1.92963 # DEPENDENCYPART_ARC
(3,2),1.73814 # DEPENDENCYPART_ARC
(3,4),0.372952 # DEPENDENCYPART_ARC
(3,5),0.260683 # DEPENDENCYPART_ARC
(3,6),0.294564 # DEPENDENCYPART_ARC
(3,7),0.101058 # DEPENDENCYPART_ARC
(3,8),0.404386 # DEPENDENCYPART_ARC
(3,9),-0.00266377 # DEPENDENCYPART_ARC
(3,10),-0.13383 # DEPENDENCYPART_ARC
(3,11),-0.1923 # DEPENDENCYPART_ARC
(3,12),-0.105176 # DEPENDENCYPART_ARC
(3,13),-0.172056 # DEPENDENCYPART_ARC
(3,14),0.244764 # DEPENDENCYPART_ARC
(3,15),0.122216 # DEPENDENCYPART_ARC
(3,16),-0.286258 # DEPENDENCYPART_ARC
(3,17),-0.466297 # DEPENDENCYPART_ARC
(3,18),-0.330237 # DEPENDENCYPART_ARC
(3,19),-0.333853 # DEPENDENCYPART_ARC
(3,20),0.539069 # DEPENDENCYPART_ARC
(4,1),-0.5523 # DEPENDENCYPART_ARC
(4,2),-0.653366 # DEPENDENCYPART_ARC
(4,3),0.246884 # DEPENDENCYPART_ARC
(4,5),0.472044 # DEPENDENCYPART_ARC
(4,6),-0.42645 # DEPENDENCYPART_ARC
(4,7),-0.590107 # DEPENDENCYPART_ARC
(4,8),-0.0761606 # DEPENDENCYPART_ARC
(4,9),-0.737213 # DEPENDENCYPART_ARC
(4,10),-0.699367 # DEPENDENCYPART_ARC
(4,11),-1.33108 # DEPENDENCYPART_ARC
(4,12),-0.84331 # DEPENDENCYPART_ARC
(4,13),-0.876609 # DEPENDENCYPART_ARC
(4,14),-0.290234 # DEPENDENCYPART_ARC
(4,15),-0.874797 # DEPENDENCYPART_ARC
(4,16),-0.870052 # DEPENDENCYPART_ARC
(4,17),-1.89043 # DEPENDENCYPART_ARC
(4,18),-1.04472 # DEPENDENCYPART_ARC
(4,19),-0.543843 # DEPENDENCYPART_ARC
(4,20),-0.986693 # DEPENDENCYPART_ARC
(5,1),-0.76896 # DEPENDENCYPART_ARC
(5,2),-0.620953 # DEPENDENCYPART_ARC
(5,3),0.0302137 # DEPENDENCYPART_ARC
(5,4),0.779881 # DEPENDENCYPART_ARC
(5,6),-0.238087 # DEPENDENCYPART_ARC
(5,7),-0.67927 # DEPENDENCYPART_ARC
(5,8),-0.717707 # DEPENDENCYPART_ARC
(5,9),-1.28187 # DEPENDENCYPART_ARC
(5,10),-1.69485 # DEPENDENCYPART_ARC
(5,11),-1.90919 # DEPENDENCYPART_ARC
(5,12),-1.37423 # DEPENDENCYPART_ARC
(5,13),-1.17402 # DEPENDENCYPART_ARC
(5,14),-0.989391 # DEPENDENCYPART_ARC
(5,15),-1.06042 # DEPENDENCYPART_ARC
(5,16),-1.80018 # DEPENDENCYPART_ARC
(5,17),-2.61012 # DEPENDENCYPART_ARC
(5,18),-1.52586 # DEPENDENCYPART_ARC
(5,19),-1.74103 # DEPENDENCYPART_ARC
(5,20),0.10693 # DEPENDENCYPART_ARC
(6,1),0.988173 # DEPENDENCYPART_ARC
(6,2),1.64843 # DEPENDENCYPART_ARC
(6,3),0.653425 # DEPENDENCYPART_ARC
(6,4),2.83805 # DEPENDENCYPART_ARC
(6,5),3.60294 # DEPENDENCYPART_ARC
(6,7),-0.499172 # DEPENDENCYPART_ARC
(6,8),-0.608149 # DEPENDENCYPART_ARC
(6,9),-0.875122 # DEPENDENCYPART_ARC
(6,10),-1.31349 # DEPENDENCYPART_ARC
(6,11),-1.61907 # DEPENDENCYPART_ARC
(6,12),-1.04153 # DEPENDENCYPART_ARC
(6,13),-1.01264 # DEPENDENCYPART_ARC
(6,14),-0.725353 # DEPENDENCYPART_ARC
(6,15),-0.896386 # DEPENDENCYPART_ARC
(6,16),-1.45824 # DEPENDENCYPART_ARC
(6,17),-2.73037 # DEPENDENCYPART_ARC
(6,18),-1.5777 # DEPENDENCYPART_ARC
(6,19),-1.35596 # DEPENDENCYPART_ARC
(6,20),0.201607 # DEPENDENCYPART_ARC
(7,1),0.615591 # DEPENDENCYPART_ARC
(7,2),0.635691 # DEPENDENCYPART_ARC
(7,3),1.44091 # DEPENDENCYPART_ARC
(7,4),0.826123 # DEPENDENCYPART_ARC
(7,5),1.04769 # DEPENDENCYPART_ARC
(7,6),4.4743 # DEPENDENCYPART_ARC
(7,8),1.55812 # DEPENDENCYPART_ARC
(7,9),0.931219 # DEPENDENCYPART_ARC
(7,10),-0.363604 # DEPENDENCYPART_ARC
(7,11),-0.730242 # DEPENDENCYPART_ARC
(7,12),0.338086 # DEPENDENCYPART_ARC
(7,13),1.34494 # DEPENDENCYPART_ARC
(7,14),1.06692 # DEPENDENCYPART_ARC
(7,15),1.54105 # DEPENDENCYPART_ARC
(7,16),-0.824156 # DEPENDENCYPART_ARC
(7,17),-2.78788 # DEPENDENCYPART_ARC
(7,18),1.51249 # DEPENDENCYPART_ARC
(7,19),1.27132 # DEPENDENCYPART_ARC
