# _root_ A kárpótlási jegyek árfolyama 9,12 százalékkal lett több múlt heti értékénél , így 622 forinton végzett .
#goldHeads=3,3,4,7,6,7,13,7,10,11,7,13,0,15,16,13,13,
#predictedHeads=3,3,4,7,6,7,13,11,10,11,7,13,0,15,16,13,13,
(0,2),-1.95889 # DEPENDENCYPART_ARC
(0,3),-2.60892 # DEPENDENCYPART_ARC
(0,4),-2.56702 # DEPENDENCYPART_ARC
(0,5),-2.58993 # DEPENDENCYPART_ARC
(0,6),-3.70355 # DEPENDENCYPART_ARC
(0,7),-0.806874 # DEPENDENCYPART_ARC
(0,8),-3.10129 # DEPENDENCYPART_ARC
(0,9),-2.88761 # DEPENDENCYPART_ARC
(0,10),-3.16704 # DEPENDENCYPART_ARC
(0,11),-4.02265 # DEPENDENCYPART_ARC
(0,13),0.267292 # DEPENDENCYPART_ARC
(0,14),-3.67251 # DEPENDENCYPART_ARC
(0,15),-4.24811 # DEPENDENCYPART_ARC
(0,16),-1.47847 # DEPENDENCYPART_ARC
(1,2),0.00370521 # DEPENDENCYPART_ARC
(1,3),-0.822515 # DEPENDENCYPART_ARC
(1,4),-1.51321 # DEPENDENCYPART_ARC
(1,6),-1.54125 # DEPENDENCYPART_ARC
(1,9),-1.23411 # DEPENDENCYPART_ARC
(1,10),-1.21097 # DEPENDENCYPART_ARC
(1,11),-2.3395 # DEPENDENCYPART_ARC
(1,12),-1.08947 # DEPENDENCYPART_ARC
(1,13),-1.54829 # DEPENDENCYPART_ARC
(1,15),-2.37428 # DEPENDENCYPART_ARC
(2,1),0.861691 # DEPENDENCYPART_ARC
(2,3),-0.992904 # DEPENDENCYPART_ARC
(2,4),-1.16423 # DEPENDENCYPART_ARC
(2,5),-1.03146 # DEPENDENCYPART_ARC
(2,6),-1.76512 # DEPENDENCYPART_ARC
(2,7),-1.22631 # DEPENDENCYPART_ARC
(2,8),-1.30778 # DEPENDENCYPART_ARC
(2,9),-1.85426 # DEPENDENCYPART_ARC
(2,10),-1.90662 # DEPENDENCYPART_ARC
(2,11),-1.85345 # DEPENDENCYPART_ARC
(2,12),-0.877867 # DEPENDENCYPART_ARC
(2,13),-1.50547 # DEPENDENCYPART_ARC
(2,14),-1.54008 # DEPENDENCYPART_ARC
(2,15),-2.08166 # DEPENDENCYPART_ARC
(2,16),-1.78364 # DEPENDENCYPART_ARC
(2,17),-0.878556 # DEPENDENCYPART_ARC
(3,1),2.87307 # DEPENDENCYPART_ARC
(3,2),3.60684 # DEPENDENCYPART_ARC
(3,4),-0.997757 # DEPENDENCYPART_ARC
(3,5),-1.0414 # DEPENDENCYPART_ARC
(3,6),-1.50304 # DEPENDENCYPART_ARC
(3,7),-0.999484 # DEPENDENCYPART_ARC
(3,8),-1.22789 # DEPENDENCYPART_ARC
(3,9),-1.46352 # DEPENDENCYPART_ARC
(3,10),-1.34355 # DEPENDENCYPART_ARC
(3,11),-2.19921 # DEPENDENCYPART_ARC
(3,12),-0.372068 # DEPENDENCYPART_ARC
(3,13),-0.847372 # DEPENDENCYPART_ARC
