# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,7,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(0,1),-2.37475 # DEPENDENCYPART_ARC
(0,2),-2.65304 # DEPENDENCYPART_ARC
(0,3),-2.49499 # DEPENDENCYPART_ARC
(0,4),-2.31093 # DEPENDENCYPART_ARC
(0,5),-3.36573 # DEPENDENCYPART_ARC
(0,6),-2.16212 # DEPENDENCYPART_ARC
(0,7),-1.15648 # DEPENDENCYPART_ARC
(0,8),-1.87121 # DEPENDENCYPART_ARC
(0,9),-2.95118 # DEPENDENCYPART_ARC
(0,10),-2.14104 # DEPENDENCYPART_ARC
(0,11),-2.9172 # DEPENDENCYPART_ARC
(0,12),-2.59004 # DEPENDENCYPART_ARC
(0,13),-3.80341 # DEPENDENCYPART_ARC
(0,14),-3.14462 # DEPENDENCYPART_ARC
(0,15),-3.3919 # DEPENDENCYPART_ARC
(0,16),-4.30497 # DEPENDENCYPART_ARC
(0,17),-1.57069 # DEPENDENCYPART_ARC
(0,18),-3.21512 # DEPENDENCYPART_ARC
(0,19),1.67338 # DEPENDENCYPART_ARC
(0,20),-3.77913 # DEPENDENCYPART_ARC
(0,21),-3.9814 # DEPENDENCYPART_ARC
(0,22),-3.39873 # DEPENDENCYPART_ARC
(0,23),-4.40971 # DEPENDENCYPART_ARC
(0,24),-3.08779 # DEPENDENCYPART_ARC
(0,25),-5.15456 # DEPENDENCYPART_ARC
(0,26),-5.46075 # DEPENDENCYPART_ARC
(1,2),-0.753782 # DEPENDENCYPART_ARC
(1,3),-0.86012 # DEPENDENCYPART_ARC
(1,4),-0.970073 # DEPENDENCYPART_ARC
(1,5),-1.60306 # DEPENDENCYPART_ARC
(1,6),-1.13608 # DEPENDENCYPART_ARC
(1,7),-1.06776 # DEPENDENCYPART_ARC
(1,8),-1.11891 # DEPENDENCYPART_ARC
(1,9),-0.801939 # DEPENDENCYPART_ARC
(1,10),-1.18547 # DEPENDENCYPART_ARC
(1,11),-1.18589 # DEPENDENCYPART_ARC
(1,12),-1.37794 # DEPENDENCYPART_ARC
(1,13),-2.19473 # DEPENDENCYPART_ARC
