# _root_ Az ÖIAG-hoz csapták még — idegen testként — az állami nyomdát , a Staatsdruckereit_és_a_Dorotheum aukciósházat , amelyek privatizációja is a szervezetre vár .
#goldHeads=2,3,0,3,3,7,3,3,11,11,3,3,15,15,3,3,18,22,22,21,22,3,3,
#predictedHeads=2,3,0,3,3,7,3,22,11,11,3,22,14,15,3,3,22,22,22,21,22,3,3,
(0,1),-2.06827 # DEPENDENCYPART_ARC
(0,2),-1.71269 # DEPENDENCYPART_ARC
(0,3),0.061527 # DEPENDENCYPART_ARC
(0,4),-1.92941 # DEPENDENCYPART_ARC
(0,5),-2.44801 # DEPENDENCYPART_ARC
(0,6),-2.18196 # DEPENDENCYPART_ARC
(0,7),-2.65374 # DEPENDENCYPART_ARC
(0,8),-2.73911 # DEPENDENCYPART_ARC
(0,9),-2.72116 # DEPENDENCYPART_ARC
(0,10),-2.60779 # DEPENDENCYPART_ARC
(0,11),-3.44294 # DEPENDENCYPART_ARC
(0,12),-3.34701 # DEPENDENCYPART_ARC
(0,13),-3.08123 # DEPENDENCYPART_ARC
(0,14),-3.4035 # DEPENDENCYPART_ARC
(0,15),-3.85159 # DEPENDENCYPART_ARC
(0,16),-3.78678 # DEPENDENCYPART_ARC
(0,17),-3.11377 # DEPENDENCYPART_ARC
(0,18),-4.3884 # DEPENDENCYPART_ARC
(0,19),-4.17601 # DEPENDENCYPART_ARC
(0,20),-3.44415 # DEPENDENCYPART_ARC
(0,21),-4.57503 # DEPENDENCYPART_ARC
(0,22),-2.15793 # DEPENDENCYPART_ARC
(0,23),-5.40116 # DEPENDENCYPART_ARC
(1,2),-0.309101 # DEPENDENCYPART_ARC
(1,3),-0.63288 # DEPENDENCYPART_ARC
(1,4),-0.747419 # DEPENDENCYPART_ARC
(1,5),-0.370385 # DEPENDENCYPART_ARC
(1,6),-0.702405 # DEPENDENCYPART_ARC
(1,7),-1.5414 # DEPENDENCYPART_ARC
(1,8),-0.419632 # DEPENDENCYPART_ARC
(1,9),-0.839923 # DEPENDENCYPART_ARC
(1,10),-1.05509 # DEPENDENCYPART_ARC
(1,11),-1.76785 # DEPENDENCYPART_ARC
(1,12),-0.652386 # DEPENDENCYPART_ARC
(1,13),-1.13994 # DEPENDENCYPART_ARC
(1,14),-1.92168 # DEPENDENCYPART_ARC
(1,15),-2.08785 # DEPENDENCYPART_ARC
(1,16),-0.819181 # DEPENDENCYPART_ARC
(1,17),-1.70532 # DEPENDENCYPART_ARC
(1,18),-2.21972 # DEPENDENCYPART_ARC
(1,19),-1.81897 # DEPENDENCYPART_ARC
(1,20),-1.1855 # DEPENDENCYPART_ARC
(1,21),-2.26093 # DEPENDENCYPART_ARC
(1,22),-1.51848 # DEPENDENCYPART_ARC
(1,23),-1.86891 # DEPENDENCYPART_ARC
(2,1),2.71652 # DEPENDENCYPART_ARC
(2,3),-0.929132 # DEPENDENCYPART_ARC
(2,4),-0.838702 # DEPENDENCYPART_ARC
(2,5),-0.359552 # DEPENDENCYPART_ARC
(2,6),-0.797111 # DEPENDENCYPART_ARC
(2,7),-1.00133 # DEPENDENCYPART_ARC
(2,8),-0.36755 # DEPENDENCYPART_ARC
(2,9),-1.32522 # DEPENDENCYPART_ARC
(2,10),-1.13448 # DEPENDENCYPART_ARC
(2,11),-1.21392 # DEPENDENCYPART_ARC
(2,12),-0.404844 # DEPENDENCYPART_ARC
(2,13),-1.49527 # DEPENDENCYPART_ARC
(2,14),-1.86325 # DEPENDENCYPART_ARC
(2,15),-1.72882 # DEPENDENCYPART_ARC
(2,16),-0.584741 # DEPENDENCYPART_ARC
(2,17),-1.39101 # DEPENDENCYPART_ARC
(2,18),-2.05508 # DEPENDENCYPART_ARC
(2,19),-1.64879 # DEPENDENCYPART_ARC
(2,20),-1.71427 # DEPENDENCYPART_ARC
(2,21),-2.73329 # DEPENDENCYPART_ARC
(2,22),-1.54656 # DEPENDENCYPART_ARC
(2,23),0.511044 # DEPENDENCYPART_ARC
(3,1),0.617952 # DEPENDENCYPART_ARC
(3,2),2.3293 # DEPENDENCYPART_ARC
(3,4),3.61827 # DEPENDENCYPART_ARC
(3,5),1.19419 # DEPENDENCYPART_ARC
(3,6),-0.112576 # DEPENDENCYPART_ARC
(3,7),1.21871 # DEPENDENCYPART_ARC
(3,8),0.77837 # DEPENDENCYPART_ARC
(3,9),-0.137461 # DEPENDENCYPART_ARC
(3,10),-1.01776 # DEPENDENCYPART_ARC
(3,11),1.65838 # DEPENDENCYPART_ARC
(3,12),1.00933 # DEPENDENCYPART_ARC
(3,13),-0.0158378 # DEPENDENCYPART_ARC
(3,14),-1.30404 # DEPENDENCYPART_ARC
(3,15),1.07763 # DEPENDENCYPART_ARC
(3,16),1.25592 # DEPENDENCYPART_ARC
(3,17),-1.41062 # DEPENDENCYPART_ARC
(3,18),-1.40717 # DEPENDENCYPART_ARC
(3,19),-0.0877192 # DEPENDENCYPART_ARC
(3,20),-0.215766 # DEPENDENCYPART_ARC
(3,21),-2.1813 # DEPENDENCYPART_ARC
(3,22),1.64777 # DEPENDENCYPART_ARC
(3,23),2.93426 # DEPENDENCYPART_ARC
(4,1),-0.325401 # DEPENDENCYPART_ARC
(4,2),0.175475 # DEPENDENCYPART_ARC
(4,3),0.0696296 # DEPENDENCYPART_ARC
(4,5),-0.185913 # DEPENDENCYPART_ARC
(4,6),-0.624334 # DEPENDENCYPART_ARC
(4,7),-0.923769 # DEPENDENCYPART_ARC
(4,8),-0.373124 # DEPENDENCYPART_ARC
(4,9),-1.36218 # DEPENDENCYPART_ARC
(4,10),-1.46493 # DEPENDENCYPART_ARC
(4,11),-1.69006 # DEPENDENCYPART_ARC
(4,12),-0.965386 # DEPENDENCYPART_ARC
(4,13),-1.54424 # DEPENDENCYPART_ARC
(4,14),-2.15084 # DEPENDENCYPART_ARC
(4,15),-2.23709 # DEPENDENCYPART_ARC
(4,16),-1.19219 # DEPENDENCYPART_ARC
(4,17),-1.79713 # DEPENDENCYPART_ARC
(4,18),-2.82203 # DEPENDENCYPART_ARC
(4,19),-2.21844 # DEPENDENCYPART_ARC
(4,20),-1.70979 # DEPENDENCYPART_ARC
(4,21),-2.93291 # DEPENDENCYPART_ARC
(4,22),-1.24089 # DEPENDENCYPART_ARC
(4,23),-1.09038 # DEPENDENCYPART_ARC
(5,1),-1.90911 # DEPENDENCYPART_ARC
(5,2),-2.37073 # DEPENDENCYPART_ARC
(5,3),-1.47878 # DEPENDENCYPART_ARC
(5,4),-0.694465 # DEPENDENCYPART_ARC
(5,6),-0.967856 # DEPENDENCYPART_ARC
(5,7),-1.45807 # DEPENDENCYPART_ARC
(5,8),-1.05462 # DEPENDENCYPART_ARC
(5,9),-1.45232 # DEPENDENCYPART_ARC
(5,10),-1.56236 # DEPENDENCYPART_ARC
(5,11),-2.29414 # DEPENDENCYPART_ARC
(5,12),-1.2365 # DEPENDENCYPART_ARC
(5,13),-1.61233 # DEPENDENCYPART_ARC
(5,14),-2.50006 # DEPENDENCYPART_ARC
(5,15),-2.53167 # DEPENDENCYPART_ARC
(5,16),-1.39537 # DEPENDENCYPART_ARC
(5,17),-1.8653 # DEPENDENCYPART_ARC
(5,18),-2.82728 # DEPENDENCYPART_ARC
(5,19),-1.48065 # DEPENDENCYPART_ARC
(5,20),-1.74213 # DEPENDENCYPART_ARC
(5,21),-2.91841 # DEPENDENCYPART_ARC
(5,22),-1.75803 # DEPENDENCYPART_ARC
(5,23),-1.84326 # DEPENDENCYPART_ARC
(6,1),-0.594595 # DEPENDENCYPART_ARC
(6,2),0.0448355 # DEPENDENCYPART_ARC
(6,3),-0.317807 # DEPENDENCYPART_ARC
(6,4),0.937404 # DEPENDENCYPART_ARC
(6,5),0.759183 # DEPENDENCYPART_ARC
(6,7),0.722324 # DEPENDENCYPART_ARC
(6,8),0.363539 # DEPENDENCYPART_ARC
(6,9),-0.832386 # DEPENDENCYPART_ARC
(6,10),-0.806942 # DEPENDENCYPART_ARC
(6,11),-0.991963 # DEPENDENCYPART_ARC
(6,12),0.0793238 # DEPENDENCYPART_ARC
(6,13),-1.02333 # DEPENDENCYPART_ARC
(6,14),-1.40605 # DEPENDENCYPART_ARC
(6,15),-1.48509 # DEPENDENCYPART_ARC
(6,16),-0.0536145 # DEPENDENCYPART_ARC
(6,17),-1.2998 # DEPENDENCYPART_ARC
(6,18),-1.73976 # DEPENDENCYPART_ARC
(6,19),-1.3159 # DEPENDENCYPART_ARC
(6,20),-1.2368 # DEPENDENCYPART_ARC
(6,21),-1.56934 # DEPENDENCYPART_ARC
(6,22),-0.830417 # DEPENDENCYPART_ARC
(6,23),0.63759 # DEPENDENCYPART_ARC
(7,1),0.468115 # DEPENDENCYPART_ARC
(7,2),-1.2763 # DEPENDENCYPART_ARC
(7,3),0.266836 # DEPENDENCYPART_ARC
(7,4),0.360888 # DEPENDENCYPART_ARC
(7,5),0.90899 # DEPENDENCYPART_ARC
(7,6),3.44838 # DEPENDENCYPART_ARC
(7,8),0.643977 # DEPENDENCYPART_ARC
(7,9),-0.557375 # DEPENDENCYPART_ARC
(7,10),-0.403241 # DEPENDENCYPART_ARC
(7,11),0.138813 # DEPENDENCYPART_ARC
(7,12),0.297006 # DEPENDENCYPART_ARC
(7,13),-0.690402 # DEPENDENCYPART_ARC
(7,14),-0.606749 # DEPENDENCYPART_ARC
(7,15),-0.290814 # DEPENDENCYPART_ARC
(7,16),0.221866 # DEPENDENCYPART_ARC
(7,17),-0.877993 # DEPENDENCYPART_ARC
(7,18),-1.29608 # DEPENDENCYPART_ARC
(7,19),-0.912769 # DEPENDENCYPART_ARC
(7,20),-1.0415 # DEPENDENCYPART_ARC
(7,21),-1.57746 # DEPENDENCYPART_ARC
(7,22),0.133662 # DEPENDENCYPART_ARC
(7,23),0.999437 # DEPENDENCYPART_ARC
(8,1),-1.85194 # DEPENDENCYPART_ARC
(8,2),-2.69432 # DEPENDENCYPART_ARC
(8,3),-1.82154 # DEPENDENCYPART_ARC
(8,4),-1.39821 # DEPENDENCYPART_ARC
(8,5),-1.1202 # DEPENDENCYPART_ARC
(8,6),-1.34477 # DEPENDENCYPART_ARC
(8,7),-1.36514 # DEPENDENCYPART_ARC
(8,9),-0.718305 # DEPENDENCYPART_ARC
(8,10),-0.756437 # DEPENDENCYPART_ARC
(8,11),-1.55072 # DEPENDENCYPART_ARC
(8,12),-0.78517 # DEPENDENCYPART_ARC
(8,13),-1.15134 # DEPENDENCYPART_ARC
(8,14),-2.02817 # DEPENDENCYPART_ARC
(8,15),-2.10405 # DEPENDENCYPART_ARC
(8,16),-0.945467 # DEPENDENCYPART_ARC
(8,17),-1.44239 # DEPENDENCYPART_ARC
(8,18),-2.20065 # DEPENDENCYPART_ARC
(8,19),-1.00833 # DEPENDENCYPART_ARC
(8,20),-1.35061 # DEPENDENCYPART_ARC
(8,21),-2.5627 # DEPENDENCYPART_ARC
(8,22),-1.41655 # DEPENDENCYPART_ARC
(8,23),-1.32457 # DEPENDENCYPART_ARC
(9,1),-1.14591 # DEPENDENCYPART_ARC
(9,2),-2.06108 # DEPENDENCYPART_ARC
(9,3),-0.936937 # DEPENDENCYPART_ARC
(9,4),-0.685775 # DEPENDENCYPART_ARC
(9,5),-0.691668 # DEPENDENCYPART_ARC
(9,6),-0.67108 # DEPENDENCYPART_ARC
(9,7),-1.25823 # DEPENDENCYPART_ARC
(9,8),-0.0483769 # DEPENDENCYPART_ARC
(9,10),0.617484 # DEPENDENCYPART_ARC
(9,11),-0.352121 # DEPENDENCYPART_ARC
(9,12),0.0790506 # DEPENDENCYPART_ARC
(9,13),-0.456275 # DEPENDENCYPART_ARC
(9,14),-0.818645 # DEPENDENCYPART_ARC
(9,15),-1.22098 # DEPENDENCYPART_ARC
(9,16),-0.166054 # DEPENDENCYPART_ARC
(9,17),-1.07631 # DEPENDENCYPART_ARC
(9,18),-1.46666 # DEPENDENCYPART_ARC
(9,19),-0.987388 # DEPENDENCYPART_ARC
(9,20),-0.73449 # DEPENDENCYPART_ARC
(9,21),-1.59011 # DEPENDENCYPART_ARC
(9,22),-1.06647 # DEPENDENCYPART_ARC
(9,23),-1.3344 # DEPENDENCYPART_ARC
(10,1),-1.88233 # DEPENDENCYPART_ARC
(10,2),-1.97459 # DEPENDENCYPART_ARC
(10,3),-1.91137 # DEPENDENCYPART_ARC
(10,4),-1.20806 # DEPENDENCYPART_ARC
(10,5),-1.11366 # DEPENDENCYPART_ARC
(10,6),-1.77258 # DEPENDENCYPART_ARC
(10,7),-1.57241 # DEPENDENCYPART_ARC
(10,8),-0.911852 # DEPENDENCYPART_ARC
(10,9),0.38631 # DEPENDENCYPART_ARC
(10,11),-0.867361 # DEPENDENCYPART_ARC
(10,12),-0.611789 # DEPENDENCYPART_ARC
(10,13),-1.50481 # DEPENDENCYPART_ARC
(10,14),-1.63133 # DEPENDENCYPART_ARC
(10,15),-1.81716 # DEPENDENCYPART_ARC
(10,16),-0.658628 # DEPENDENCYPART_ARC
(10,17),-1.9037 # DEPENDENCYPART_ARC
(10,18),-2.06387 # DEPENDENCYPART_ARC
(10,19),-1.67454 # DEPENDENCYPART_ARC
(10,20),-1.75323 # DEPENDENCYPART_ARC
(10,21),-2.06014 # DEPENDENCYPART_ARC
(10,22),-1.50739 # DEPENDENCYPART_ARC
(10,23),-0.335263 # DEPENDENCYPART_ARC
(11,1),-0.121834 # DEPENDENCYPART_ARC
(11,2),-2.04848 # DEPENDENCYPART_ARC
(11,3),-0.53168 # DEPENDENCYPART_ARC
(11,4),-0.540731 # DEPENDENCYPART_ARC
(11,5),0.411589 # DEPENDENCYPART_ARC
(11,6),0.788803 # DEPENDENCYPART_ARC
(11,7),-2.03193 # DEPENDENCYPART_ARC
(11,8),0.0923897 # DEPENDENCYPART_ARC
(11,9),2.91063 # DEPENDENCYPART_ARC
(11,10),3.8456 # DEPENDENCYPART_ARC
(11,12),0.490757 # DEPENDENCYPART_ARC
(11,13),-0.608656 # DEPENDENCYPART_ARC
(11,14),-0.527625 # DEPENDENCYPART_ARC
(11,15),-0.168327 # DEPENDENCYPART_ARC
(11,16),0.117684 # DEPENDENCYPART_ARC
(11,17),-0.988977 # DEPENDENCYPART_ARC
(11,18),-1.34769 # DEPENDENCYPART_ARC
(11,19),-0.698036 # DEPENDENCYPART_ARC
(11,20),-0.885117 # DEPENDENCYPART_ARC
(11,21),-1.56256 # DEPENDENCYPART_ARC
(11,22),-0.464501 # DEPENDENCYPART_ARC
