# _root_ Egyértelmű sikernek könyvelheti el , hogy a sokáig kizárólag klasszikusokhoz szoktatott , jómódú salzburgi publikum idővel hajlandónak mutatkozott befogadni a kortárs zenét is .
#goldHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,3,18,22,22,19,18,3,
#predictedHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,6,18,22,22,19,18,3,
(0,1),-1.8175 # DEPENDENCYPART_ARC
(0,2),-2.65865 # DEPENDENCYPART_ARC
(0,3),-0.736688 # DEPENDENCYPART_ARC
(0,4),-2.22209 # DEPENDENCYPART_ARC
(0,6),-0.549521 # DEPENDENCYPART_ARC
(0,8),-2.33816 # DEPENDENCYPART_ARC
(0,9),-2.11271 # DEPENDENCYPART_ARC
(0,10),-3.07499 # DEPENDENCYPART_ARC
(0,11),-2.48216 # DEPENDENCYPART_ARC
(0,13),-2.74682 # DEPENDENCYPART_ARC
(0,14),-3.02401 # DEPENDENCYPART_ARC
(0,15),-3.82476 # DEPENDENCYPART_ARC
(0,16),-2.52047 # DEPENDENCYPART_ARC
(0,17),-2.88102 # DEPENDENCYPART_ARC
(0,18),-1.30822 # DEPENDENCYPART_ARC
(0,19),-2.8678 # DEPENDENCYPART_ARC
(0,21),-4.23844 # DEPENDENCYPART_ARC
(0,22),-4.45933 # DEPENDENCYPART_ARC
(0,23),-3.65751 # DEPENDENCYPART_ARC
(1,2),-0.798585 # DEPENDENCYPART_ARC
(1,3),-0.615071 # DEPENDENCYPART_ARC
(1,4),-1.16983 # DEPENDENCYPART_ARC
(1,5),-0.816585 # DEPENDENCYPART_ARC
(1,6),-1.11447 # DEPENDENCYPART_ARC
(1,7),-1.64529 # DEPENDENCYPART_ARC
(1,8),-1.37737 # DEPENDENCYPART_ARC
(1,9),-1.43066 # DEPENDENCYPART_ARC
(1,10),-2.76212 # DEPENDENCYPART_ARC
(1,11),-1.88408 # DEPENDENCYPART_ARC
(1,12),-0.904417 # DEPENDENCYPART_ARC
(1,13),-2.20507 # DEPENDENCYPART_ARC
(1,14),-2.17573 # DEPENDENCYPART_ARC
(1,15),-2.39292 # DEPENDENCYPART_ARC
(1,16),-1.57285 # DEPENDENCYPART_ARC
(1,17),-1.9617 # DEPENDENCYPART_ARC
(1,18),-1.46537 # DEPENDENCYPART_ARC
(1,19),-1.66851 # DEPENDENCYPART_ARC
(1,20),-1.90599 # DEPENDENCYPART_ARC
(1,21),-2.63596 # DEPENDENCYPART_ARC
(1,22),-3.06621 # DEPENDENCYPART_ARC
(1,23),-2.01028 # DEPENDENCYPART_ARC
(1,24),-0.323398 # DEPENDENCYPART_ARC
(2,1),3.23207 # DEPENDENCYPART_ARC
(2,3),-1.14854 # DEPENDENCYPART_ARC
(2,4),-0.99986 # DEPENDENCYPART_ARC
(2,5),-0.645 # DEPENDENCYPART_ARC
(2,6),-1.05098 # DEPENDENCYPART_ARC
