# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(0,1),-1.73835 # DEPENDENCYPART_ARC
(0,2),-1.87104 # DEPENDENCYPART_ARC
(0,3),-2.83775 # DEPENDENCYPART_ARC
(0,4),-2.07456 # DEPENDENCYPART_ARC
(0,5),-1.97131 # DEPENDENCYPART_ARC
(0,6),-1.31405 # DEPENDENCYPART_ARC
(0,7),-3.18799 # DEPENDENCYPART_ARC
(0,9),-3.84757 # DEPENDENCYPART_ARC
(0,11),-1.2528 # DEPENDENCYPART_ARC
(0,12),-3.77927 # DEPENDENCYPART_ARC
(0,13),-4.53976 # DEPENDENCYPART_ARC
(0,15),-2.90069 # DEPENDENCYPART_ARC
(0,16),-1.75977 # DEPENDENCYPART_ARC
(1,2),-0.00354854 # DEPENDENCYPART_ARC
(1,3),0.243749 # DEPENDENCYPART_ARC
(1,4),-0.343738 # DEPENDENCYPART_ARC
(1,5),-0.407949 # DEPENDENCYPART_ARC
(1,6),-0.0933789 # DEPENDENCYPART_ARC
(1,7),-0.805306 # DEPENDENCYPART_ARC
(1,9),-0.782194 # DEPENDENCYPART_ARC
(1,10),-0.132984 # DEPENDENCYPART_ARC
(1,11),-0.58743 # DEPENDENCYPART_ARC
(1,12),-1.15964 # DEPENDENCYPART_ARC
(1,13),-0.549286 # DEPENDENCYPART_ARC
(1,14),-0.488283 # DEPENDENCYPART_ARC
(1,15),-1.3513 # DEPENDENCYPART_ARC
(1,16),-0.919452 # DEPENDENCYPART_ARC
(1,17),0.0553847 # DEPENDENCYPART_ARC
(2,1),0.20732 # DEPENDENCYPART_ARC
(2,3),-0.207985 # DEPENDENCYPART_ARC
(2,4),-0.835459 # DEPENDENCYPART_ARC
(2,5),-0.98256 # DEPENDENCYPART_ARC
(2,6),-0.799533 # DEPENDENCYPART_ARC
(2,7),-1.91072 # DEPENDENCYPART_ARC
(2,8),-1.32867 # DEPENDENCYPART_ARC
(2,9),-1.7519 # DEPENDENCYPART_ARC
(2,10),-0.534273 # DEPENDENCYPART_ARC
(2,11),-0.978272 # DEPENDENCYPART_ARC
(2,12),-2.80158 # DEPENDENCYPART_ARC
(2,13),-1.24032 # DEPENDENCYPART_ARC
(2,14),-0.777651 # DEPENDENCYPART_ARC
(2,15),-1.68037 # DEPENDENCYPART_ARC
