# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(0,1),-1.68418 # DEPENDENCYPART_ARC
(0,2),-1.88029 # DEPENDENCYPART_ARC
(0,3),-2.24894 # DEPENDENCYPART_ARC
(0,4),-1.75731 # DEPENDENCYPART_ARC
(0,5),-1.86482 # DEPENDENCYPART_ARC
(0,6),-2.5528 # DEPENDENCYPART_ARC
(0,7),-2.31203 # DEPENDENCYPART_ARC
(0,8),-3.17749 # DEPENDENCYPART_ARC
(0,9),-2.82185 # DEPENDENCYPART_ARC
(0,10),0.379365 # DEPENDENCYPART_ARC
(0,11),-3.21654 # DEPENDENCYPART_ARC
(0,12),-3.31783 # DEPENDENCYPART_ARC
(0,13),-0.788072 # DEPENDENCYPART_ARC
(0,14),-3.1594 # DEPENDENCYPART_ARC
(0,15),-3.311 # DEPENDENCYPART_ARC
(0,16),-3.20368 # DEPENDENCYPART_ARC
(0,17),-3.46987 # DEPENDENCYPART_ARC
(0,18),-3.89179 # DEPENDENCYPART_ARC
(0,19),-2.13375 # DEPENDENCYPART_ARC
(0,20),-2.39385 # DEPENDENCYPART_ARC
(0,21),-3.54213 # DEPENDENCYPART_ARC
(0,22),-3.14344 # DEPENDENCYPART_ARC
(0,23),-4.19492 # DEPENDENCYPART_ARC
(0,24),-3.16093 # DEPENDENCYPART_ARC
(0,25),-4.21107 # DEPENDENCYPART_ARC
(0,26),-4.50075 # DEPENDENCYPART_ARC
(0,27),-5.04321 # DEPENDENCYPART_ARC
(0,28),-4.96411 # DEPENDENCYPART_ARC
(0,29),-4.26267 # DEPENDENCYPART_ARC
(0,30),-3.64418 # DEPENDENCYPART_ARC
(0,31),-3.46354 # DEPENDENCYPART_ARC
(0,32),-3.88426 # DEPENDENCYPART_ARC
(0,33),-5.54182 # DEPENDENCYPART_ARC
(0,34),-6.89103 # DEPENDENCYPART_ARC
(1,2),-0.214581 # DEPENDENCYPART_ARC
(1,3),-0.836446 # DEPENDENCYPART_ARC
(1,4),-0.499488 # DEPENDENCYPART_ARC
(1,5),-0.535186 # DEPENDENCYPART_ARC
(1,6),-0.531142 # DEPENDENCYPART_ARC
(1,7),-0.956222 # DEPENDENCYPART_ARC
(1,8),-1.10093 # DEPENDENCYPART_ARC
(1,9),-0.397368 # DEPENDENCYPART_ARC
(1,10),-0.398406 # DEPENDENCYPART_ARC
(1,11),-1.56824 # DEPENDENCYPART_ARC
(1,12),-0.977118 # DEPENDENCYPART_ARC
(1,13),-0.766337 # DEPENDENCYPART_ARC
(1,14),-2.16251 # DEPENDENCYPART_ARC
(1,15),-2.25489 # DEPENDENCYPART_ARC
(1,16),-1.20228 # DEPENDENCYPART_ARC
(1,17),-2.18661 # DEPENDENCYPART_ARC
(1,18),-2.33746 # DEPENDENCYPART_ARC
(1,19),-1.02933 # DEPENDENCYPART_ARC
(1,20),-1.01721 # DEPENDENCYPART_ARC
(1,21),-1.51821 # DEPENDENCYPART_ARC
(1,22),-1.89683 # DEPENDENCYPART_ARC
(1,23),-2.35422 # DEPENDENCYPART_ARC
(1,24),-1.99444 # DEPENDENCYPART_ARC
(1,25),-2.38386 # DEPENDENCYPART_ARC
(1,26),-2.42208 # DEPENDENCYPART_ARC
(1,27),-1.51854 # DEPENDENCYPART_ARC
