# _root_ Az ottani gyülekezet alig hetven emberből áll , mégis örök fájdalmuk volt az alsógödieknek , hogy nincs templomuk .
#goldHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
#predictedHeads=3,3,7,7,6,7,9,9,0,11,12,7,14,12,12,12,12,17,7,
(0,2),-1.9805 # DEPENDENCYPART_ARC
(0,3),-2.54675 # DEPENDENCYPART_ARC
(0,4),-2.04216 # DEPENDENCYPART_ARC
(0,5),-2.45287 # DEPENDENCYPART_ARC
(0,6),-3.46378 # DEPENDENCYPART_ARC
(0,7),-0.778622 # DEPENDENCYPART_ARC
(0,9),-0.223226 # DEPENDENCYPART_ARC
(0,10),-2.62586 # DEPENDENCYPART_ARC
(0,11),-3.5442 # DEPENDENCYPART_ARC
(0,12),-1.43917 # DEPENDENCYPART_ARC
(0,14),-4.01074 # DEPENDENCYPART_ARC
(0,16),-2.19975 # DEPENDENCYPART_ARC
(0,17),-1.65754 # DEPENDENCYPART_ARC
(0,18),-4.18286 # DEPENDENCYPART_ARC
(1,2),-0.0073085 # DEPENDENCYPART_ARC
(1,3),-0.735042 # DEPENDENCYPART_ARC
(1,6),-1.3091 # DEPENDENCYPART_ARC
(1,8),-0.595507 # DEPENDENCYPART_ARC
(1,9),-1.154 # DEPENDENCYPART_ARC
(1,10),-1.11136 # DEPENDENCYPART_ARC
(1,11),-1.89245 # DEPENDENCYPART_ARC
(1,14),-2.05162 # DEPENDENCYPART_ARC
(1,15),-0.85323 # DEPENDENCYPART_ARC
(1,18),-2.21983 # DEPENDENCYPART_ARC
(2,1),0.795118 # DEPENDENCYPART_ARC
(2,3),-0.772916 # DEPENDENCYPART_ARC
(2,4),-1.28033 # DEPENDENCYPART_ARC
(2,5),-1.12141 # DEPENDENCYPART_ARC
(2,6),-1.75888 # DEPENDENCYPART_ARC
(2,7),-1.41828 # DEPENDENCYPART_ARC
(2,8),-0.967113 # DEPENDENCYPART_ARC
(2,9),-1.36267 # DEPENDENCYPART_ARC
(2,10),-2.1174 # DEPENDENCYPART_ARC
(2,11),-2.33245 # DEPENDENCYPART_ARC
(2,12),-1.64844 # DEPENDENCYPART_ARC
(2,13),-2.01985 # DEPENDENCYPART_ARC
(2,14),-2.6053 # DEPENDENCYPART_ARC
(2,15),-1.18153 # DEPENDENCYPART_ARC
(2,16),-1.45884 # DEPENDENCYPART_ARC
(2,17),-1.8475 # DEPENDENCYPART_ARC
(2,18),-2.95151 # DEPENDENCYPART_ARC
(2,19),-0.734569 # DEPENDENCYPART_ARC
(3,1),2.6782 # DEPENDENCYPART_ARC
(3,2),3.52127 # DEPENDENCYPART_ARC
(3,4),-0.680054 # DEPENDENCYPART_ARC
(3,5),-0.795182 # DEPENDENCYPART_ARC
(3,6),-1.35671 # DEPENDENCYPART_ARC
(3,7),-0.616998 # DEPENDENCYPART_ARC
(3,8),-0.393922 # DEPENDENCYPART_ARC
(3,9),-0.569239 # DEPENDENCYPART_ARC
(3,10),-1.53647 # DEPENDENCYPART_ARC
(3,11),-1.88111 # DEPENDENCYPART_ARC
(3,12),-1.29719 # DEPENDENCYPART_ARC
(3,13),-1.29848 # DEPENDENCYPART_ARC
(3,14),-2.48787 # DEPENDENCYPART_ARC
(3,15),-0.462943 # DEPENDENCYPART_ARC
(3,16),-0.95901 # DEPENDENCYPART_ARC
(3,17),-1.50206 # DEPENDENCYPART_ARC
(3,18),-2.98207 # DEPENDENCYPART_ARC
(3,19),0.0674049 # DEPENDENCYPART_ARC
(4,1),-0.313897 # DEPENDENCYPART_ARC
(4,2),-0.188818 # DEPENDENCYPART_ARC
(4,3),0.0564268 # DEPENDENCYPART_ARC
(4,5),-0.132948 # DEPENDENCYPART_ARC
(4,6),0.156512 # DEPENDENCYPART_ARC
(4,7),0.0875129 # DEPENDENCYPART_ARC
(4,8),-0.153135 # DEPENDENCYPART_ARC
(4,9),-0.318053 # DEPENDENCYPART_ARC
(4,10),-0.790754 # DEPENDENCYPART_ARC
(4,11),-1.12026 # DEPENDENCYPART_ARC
(4,12),-0.581736 # DEPENDENCYPART_ARC
(4,13),-0.760364 # DEPENDENCYPART_ARC
(4,14),-0.948991 # DEPENDENCYPART_ARC
(4,15),-0.583213 # DEPENDENCYPART_ARC
(4,16),-0.559855 # DEPENDENCYPART_ARC
(4,17),-1.24963 # DEPENDENCYPART_ARC
(4,18),-1.63329 # DEPENDENCYPART_ARC
(4,19),-0.449744 # DEPENDENCYPART_ARC
(5,1),-0.472381 # DEPENDENCYPART_ARC
(5,2),-1.0104 # DEPENDENCYPART_ARC
(5,3),-0.709994 # DEPENDENCYPART_ARC
(5,4),0.376636 # DEPENDENCYPART_ARC
(5,6),-0.551234 # DEPENDENCYPART_ARC
(5,7),-0.393198 # DEPENDENCYPART_ARC
(5,8),-0.660676 # DEPENDENCYPART_ARC
(5,9),-1.22177 # DEPENDENCYPART_ARC
(5,10),-1.43223 # DEPENDENCYPART_ARC
(5,11),-1.80877 # DEPENDENCYPART_ARC
(5,12),-1.34074 # DEPENDENCYPART_ARC
(5,13),-1.65049 # DEPENDENCYPART_ARC
(5,14),-2.56042 # DEPENDENCYPART_ARC
(5,15),-0.917968 # DEPENDENCYPART_ARC
(5,16),-1.30811 # DEPENDENCYPART_ARC
(5,17),-1.15666 # DEPENDENCYPART_ARC
(5,18),-2.48869 # DEPENDENCYPART_ARC
