# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,18,17,18,11,20,11,20,23,21,6,
(0,1),-2.39571 # DEPENDENCYPART_ARC
(0,2),-2.1918 # DEPENDENCYPART_ARC
(0,3),-2.62968 # DEPENDENCYPART_ARC
(0,5),-3.31641 # DEPENDENCYPART_ARC
(0,6),-0.566161 # DEPENDENCYPART_ARC
(0,8),-3.78675 # DEPENDENCYPART_ARC
(0,10),-1.52076 # DEPENDENCYPART_ARC
(0,11),-1.38616 # DEPENDENCYPART_ARC
(0,12),-3.87818 # DEPENDENCYPART_ARC
(0,15),-3.97849 # DEPENDENCYPART_ARC
(0,16),-2.42015 # DEPENDENCYPART_ARC
(0,17),-2.72485 # DEPENDENCYPART_ARC
(0,18),-4.66486 # DEPENDENCYPART_ARC
(0,20),-1.25408 # DEPENDENCYPART_ARC
(0,21),-2.92308 # DEPENDENCYPART_ARC
(0,23),-5.22239 # DEPENDENCYPART_ARC
(1,2),0.0787156 # DEPENDENCYPART_ARC
(1,3),0.0153028 # DEPENDENCYPART_ARC
(1,4),-1.05256 # DEPENDENCYPART_ARC
(1,5),-0.516721 # DEPENDENCYPART_ARC
(1,6),0.323972 # DEPENDENCYPART_ARC
(1,7),-1.06794 # DEPENDENCYPART_ARC
(1,8),-1.14221 # DEPENDENCYPART_ARC
(1,9),0.34976 # DEPENDENCYPART_ARC
(1,10),-0.12346 # DEPENDENCYPART_ARC
(1,11),1.46197 # DEPENDENCYPART_ARC
(1,12),-0.679111 # DEPENDENCYPART_ARC
(1,13),0.27307 # DEPENDENCYPART_ARC
(1,14),-1.29574 # DEPENDENCYPART_ARC
(1,15),-1.13823 # DEPENDENCYPART_ARC
(1,16),-0.343027 # DEPENDENCYPART_ARC
(1,17),-1.0858 # DEPENDENCYPART_ARC
(1,18),-0.823962 # DEPENDENCYPART_ARC
(1,19),0.363362 # DEPENDENCYPART_ARC
(1,20),0.345717 # DEPENDENCYPART_ARC
(1,21),-0.472935 # DEPENDENCYPART_ARC
(1,22),-1.00368 # DEPENDENCYPART_ARC
(1,23),-0.987616 # DEPENDENCYPART_ARC
(1,24),-0.248082 # DEPENDENCYPART_ARC
(2,1),2.57635 # DEPENDENCYPART_ARC
(2,3),-0.559619 # DEPENDENCYPART_ARC
(2,4),-0.893465 # DEPENDENCYPART_ARC
(2,5),-0.37484 # DEPENDENCYPART_ARC
(2,6),-0.0999271 # DEPENDENCYPART_ARC
(2,7),-1.05958 # DEPENDENCYPART_ARC
(2,8),-1.63955 # DEPENDENCYPART_ARC
(2,9),-0.0753459 # DEPENDENCYPART_ARC
