# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,14,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,6,29,26,29,29,29,23,16,
(0,2),-1.95 # DEPENDENCYPART_ARC
(0,3),-2.63053 # DEPENDENCYPART_ARC
(0,4),-3.07186 # DEPENDENCYPART_ARC
(0,5),-2.4517 # DEPENDENCYPART_ARC
(0,6),-2.59637 # DEPENDENCYPART_ARC
(0,8),-3.78059 # DEPENDENCYPART_ARC
(0,9),-2.87421 # DEPENDENCYPART_ARC
(0,10),-1.49068 # DEPENDENCYPART_ARC
(0,12),-3.89444 # DEPENDENCYPART_ARC
(0,13),-3.99772 # DEPENDENCYPART_ARC
(0,14),-1.93562 # DEPENDENCYPART_ARC
(0,16),0.0358629 # DEPENDENCYPART_ARC
(0,18),-4.78852 # DEPENDENCYPART_ARC
(0,19),-2.26916 # DEPENDENCYPART_ARC
(0,21),-4.97615 # DEPENDENCYPART_ARC
(0,22),-3.79928 # DEPENDENCYPART_ARC
(0,23),-2.36063 # DEPENDENCYPART_ARC
(0,25),-3.96922 # DEPENDENCYPART_ARC
(0,26),-2.63681 # DEPENDENCYPART_ARC
(0,28),-2.95054 # DEPENDENCYPART_ARC
(0,29),-5.31148 # DEPENDENCYPART_ARC
(1,2),0.0636585 # DEPENDENCYPART_ARC
(1,3),-0.674641 # DEPENDENCYPART_ARC
(1,4),-1.39119 # DEPENDENCYPART_ARC
(1,8),-1.52929 # DEPENDENCYPART_ARC
(1,9),-1.24536 # DEPENDENCYPART_ARC
(1,12),-1.80691 # DEPENDENCYPART_ARC
(1,13),-2.23328 # DEPENDENCYPART_ARC
(1,15),-0.768032 # DEPENDENCYPART_ARC
(1,16),-1.41646 # DEPENDENCYPART_ARC
(1,18),-2.01851 # DEPENDENCYPART_ARC
(1,19),-1.43035 # DEPENDENCYPART_ARC
(1,21),-2.17883 # DEPENDENCYPART_ARC
(1,22),-1.82097 # DEPENDENCYPART_ARC
(1,26),-2.49325 # DEPENDENCYPART_ARC
(1,27),-1.18206 # DEPENDENCYPART_ARC
(1,28),-2.38289 # DEPENDENCYPART_ARC
(1,29),-2.49625 # DEPENDENCYPART_ARC
(2,1),0.34219 # DEPENDENCYPART_ARC
(2,3),-1.129 # DEPENDENCYPART_ARC
(2,4),-2.06019 # DEPENDENCYPART_ARC
(2,5),-1.42876 # DEPENDENCYPART_ARC
(2,6),-2.13037 # DEPENDENCYPART_ARC
(2,7),-1.91871 # DEPENDENCYPART_ARC
(2,8),-1.96568 # DEPENDENCYPART_ARC
(2,9),-1.73189 # DEPENDENCYPART_ARC
(2,10),-1.06146 # DEPENDENCYPART_ARC
(2,11),-2.06019 # DEPENDENCYPART_ARC
(2,12),-2.63209 # DEPENDENCYPART_ARC
(2,13),-2.65054 # DEPENDENCYPART_ARC
(2,14),-2.09569 # DEPENDENCYPART_ARC
(2,15),-1.16619 # DEPENDENCYPART_ARC
(2,16),-1.63848 # DEPENDENCYPART_ARC
(2,17),-2.1651 # DEPENDENCYPART_ARC
(2,18),-3.32243 # DEPENDENCYPART_ARC
(2,19),-1.58233 # DEPENDENCYPART_ARC
(2,20),-2.23983 # DEPENDENCYPART_ARC
(2,21),-3.47373 # DEPENDENCYPART_ARC
(2,22),-2.32393 # DEPENDENCYPART_ARC
(2,23),-2.5203 # DEPENDENCYPART_ARC
(2,24),-2.25407 # DEPENDENCYPART_ARC
(2,25),-2.27623 # DEPENDENCYPART_ARC
(2,26),-2.56374 # DEPENDENCYPART_ARC
(2,27),-1.38332 # DEPENDENCYPART_ARC
(2,28),-2.87192 # DEPENDENCYPART_ARC
(2,29),-3.64746 # DEPENDENCYPART_ARC
(2,30),-0.339349 # DEPENDENCYPART_ARC
(3,1),2.93577 # DEPENDENCYPART_ARC
(3,2),3.87378 # DEPENDENCYPART_ARC
(3,4),-1.3278 # DEPENDENCYPART_ARC
(3,5),-1.15777 # DEPENDENCYPART_ARC
(3,6),-1.61449 # DEPENDENCYPART_ARC
(3,7),-1.44657 # DEPENDENCYPART_ARC
(3,8),-1.85066 # DEPENDENCYPART_ARC
(3,9),-1.29175 # DEPENDENCYPART_ARC
(3,10),-1.60927 # DEPENDENCYPART_ARC
(3,11),-1.68202 # DEPENDENCYPART_ARC
(3,12),-2.48547 # DEPENDENCYPART_ARC
(3,13),-3.07705 # DEPENDENCYPART_ARC
(3,14),-1.3879 # DEPENDENCYPART_ARC
(3,15),-1.02541 # DEPENDENCYPART_ARC
(3,16),-1.27272 # DEPENDENCYPART_ARC
(3,17),-1.88337 # DEPENDENCYPART_ARC
(3,18),-3.89767 # DEPENDENCYPART_ARC
(3,19),-1.14062 # DEPENDENCYPART_ARC
(3,20),-1.8929 # DEPENDENCYPART_ARC
(3,21),-4.24716 # DEPENDENCYPART_ARC
(3,22),-2.20243 # DEPENDENCYPART_ARC
(3,23),-2.31939 # DEPENDENCYPART_ARC
(3,24),-2.07078 # DEPENDENCYPART_ARC
(3,25),-1.24359 # DEPENDENCYPART_ARC
(3,26),-2.73891 # DEPENDENCYPART_ARC
(3,27),-1.60294 # DEPENDENCYPART_ARC
(3,28),-2.67377 # DEPENDENCYPART_ARC
(3,29),-3.85483 # DEPENDENCYPART_ARC
(3,30),-0.156371 # DEPENDENCYPART_ARC
(4,1),0.755373 # DEPENDENCYPART_ARC
(4,2),1.61411 # DEPENDENCYPART_ARC
(4,3),4.06527 # DEPENDENCYPART_ARC
(4,5),-1.12843 # DEPENDENCYPART_ARC
(4,6),-2.23596 # DEPENDENCYPART_ARC
(4,7),-1.51861 # DEPENDENCYPART_ARC
(4,8),-1.86251 # DEPENDENCYPART_ARC
(4,9),-1.31055 # DEPENDENCYPART_ARC
(4,10),-2.71279 # DEPENDENCYPART_ARC
(4,11),-1.80462 # DEPENDENCYPART_ARC
(4,12),-2.11566 # DEPENDENCYPART_ARC
(4,13),-2.94449 # DEPENDENCYPART_ARC
(4,14),-1.37593 # DEPENDENCYPART_ARC
(4,15),-1.08726 # DEPENDENCYPART_ARC
(4,16),-1.23534 # DEPENDENCYPART_ARC
(4,17),-2.05354 # DEPENDENCYPART_ARC
(4,18),-3.48072 # DEPENDENCYPART_ARC
(4,19),-1.10209 # DEPENDENCYPART_ARC
(4,20),-2.07719 # DEPENDENCYPART_ARC
(4,21),-3.73342 # DEPENDENCYPART_ARC
(4,22),-2.17113 # DEPENDENCYPART_ARC
(4,23),-3.45046 # DEPENDENCYPART_ARC
(4,24),-2.23579 # DEPENDENCYPART_ARC
(4,25),-1.42625 # DEPENDENCYPART_ARC
(4,26),-2.6303 # DEPENDENCYPART_ARC
(4,27),-1.88746 # DEPENDENCYPART_ARC
(4,28),-2.53855 # DEPENDENCYPART_ARC
(4,29),-3.54507 # DEPENDENCYPART_ARC
(4,30),-0.228041 # DEPENDENCYPART_ARC
(5,1),0.519353 # DEPENDENCYPART_ARC
(5,2),0.975387 # DEPENDENCYPART_ARC
(5,3),1.07773 # DEPENDENCYPART_ARC
(5,4),1.52397 # DEPENDENCYPART_ARC
(5,6),0.365248 # DEPENDENCYPART_ARC
(5,7),0.264768 # DEPENDENCYPART_ARC
(5,8),0.461449 # DEPENDENCYPART_ARC
(5,9),0.504515 # DEPENDENCYPART_ARC
(5,10),0.679566 # DEPENDENCYPART_ARC
(5,11),0.0108889 # DEPENDENCYPART_ARC
(5,12),-0.28284 # DEPENDENCYPART_ARC
