# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,1,5,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(0,1),-0.664567 # DEPENDENCYPART_ARC
(0,2),-1.07676 # DEPENDENCYPART_ARC
(0,3),-0.722802 # DEPENDENCYPART_ARC
(0,4),-1.84576 # DEPENDENCYPART_ARC
(0,5),-1.12437 # DEPENDENCYPART_ARC
(0,6),-1.52615 # DEPENDENCYPART_ARC
(0,7),-0.152091 # DEPENDENCYPART_ARC
(0,8),-0.880894 # DEPENDENCYPART_ARC
(0,9),-0.886117 # DEPENDENCYPART_ARC
(0,11),-0.381729 # DEPENDENCYPART_ARC
(0,12),-1.28808 # DEPENDENCYPART_ARC
(0,13),-1.31994 # DEPENDENCYPART_ARC
(0,14),-1.48403 # DEPENDENCYPART_ARC
(0,15),-1.15409 # DEPENDENCYPART_ARC
(0,16),-1.05101 # DEPENDENCYPART_ARC
(0,17),-1.76117 # DEPENDENCYPART_ARC
(1,2),0.0119675 # DEPENDENCYPART_ARC
(1,3),-1.08137 # DEPENDENCYPART_ARC
(1,5),-1.33657 # DEPENDENCYPART_ARC
(2,1),-0.921472 # DEPENDENCYPART_ARC
(2,3),-0.637598 # DEPENDENCYPART_ARC
(2,4),-1.0091 # DEPENDENCYPART_ARC
(2,7),-1.09159 # DEPENDENCYPART_ARC
(2,16),-1.30968 # DEPENDENCYPART_ARC
(3,1),-0.63797 # DEPENDENCYPART_ARC
(3,2),-0.221231 # DEPENDENCYPART_ARC
(3,4),1.9555 # DEPENDENCYPART_ARC
(3,5),-0.626556 # DEPENDENCYPART_ARC
(3,6),0.473074 # DEPENDENCYPART_ARC
(3,7),-0.976743 # DEPENDENCYPART_ARC
(3,8),-1.11483 # DEPENDENCYPART_ARC
(3,11),-0.618057 # DEPENDENCYPART_ARC
(3,12),-0.593247 # DEPENDENCYPART_ARC
(3,13),-0.856466 # DEPENDENCYPART_ARC
(3,14),-0.596649 # DEPENDENCYPART_ARC
(3,15),-0.740788 # DEPENDENCYPART_ARC
(3,16),-0.440998 # DEPENDENCYPART_ARC
(4,1),-1.02667 # DEPENDENCYPART_ARC
(4,3),-0.414443 # DEPENDENCYPART_ARC
(4,5),-0.819578 # DEPENDENCYPART_ARC
(4,6),-1.99838 # DEPENDENCYPART_ARC
(5,1),-1.16667 # DEPENDENCYPART_ARC
(5,2),-1.25783 # DEPENDENCYPART_ARC
(5,3),0.158142 # DEPENDENCYPART_ARC
(5,4),0.130271 # DEPENDENCYPART_ARC
(5,6),2.17041 # DEPENDENCYPART_ARC
(5,8),-1.01136 # DEPENDENCYPART_ARC
(5,10),-0.67698 # DEPENDENCYPART_ARC
(5,11),-0.47586 # DEPENDENCYPART_ARC
(5,13),-0.869067 # DEPENDENCYPART_ARC
(5,14),-0.320308 # DEPENDENCYPART_ARC
(5,15),-0.67386 # DEPENDENCYPART_ARC
(5,16),-0.277573 # DEPENDENCYPART_ARC
(5,17),-1.41512 # DEPENDENCYPART_ARC
(6,3),-1.21887 # DEPENDENCYPART_ARC
(6,5),-0.355404 # DEPENDENCYPART_ARC
(7,1),0.755927 # DEPENDENCYPART_ARC
(7,2),-1.25291 # DEPENDENCYPART_ARC
(7,3),0.408746 # DEPENDENCYPART_ARC
(7,4),-0.982117 # DEPENDENCYPART_ARC
(7,5),0.91813 # DEPENDENCYPART_ARC
(7,6),0.28728 # DEPENDENCYPART_ARC
(7,8),2.01196 # DEPENDENCYPART_ARC
(7,9),-0.373111 # DEPENDENCYPART_ARC
(7,10),-0.792246 # DEPENDENCYPART_ARC
(7,11),-0.413765 # DEPENDENCYPART_ARC
(7,12),-1.31364 # DEPENDENCYPART_ARC
(7,13),-1.11767 # DEPENDENCYPART_ARC
(7,15),-1.21371 # DEPENDENCYPART_ARC
(7,16),0.111017 # DEPENDENCYPART_ARC
(8,1),-0.9601 # DEPENDENCYPART_ARC
(8,5),-0.635142 # DEPENDENCYPART_ARC
(8,6),-0.801047 # DEPENDENCYPART_ARC
(8,7),-1.36944 # DEPENDENCYPART_ARC
(8,9),1.15602 # DEPENDENCYPART_ARC
(8,10),-1.44088 # DEPENDENCYPART_ARC
(8,11),-0.805828 # DEPENDENCYPART_ARC
(8,12),-1.43528 # DEPENDENCYPART_ARC
(8,13),-1.174 # DEPENDENCYPART_ARC
(8,16),-1.3765 # DEPENDENCYPART_ARC
(9,1),-1.0246 # DEPENDENCYPART_ARC
(9,7),-0.782702 # DEPENDENCYPART_ARC
(9,8),-0.499773 # DEPENDENCYPART_ARC
(9,10),-0.610257 # DEPENDENCYPART_ARC
(9,11),-1.01372 # DEPENDENCYPART_ARC
(9,16),-1.083 # DEPENDENCYPART_ARC
(10,4),-0.714459 # DEPENDENCYPART_ARC
(10,6),-2.92136 # DEPENDENCYPART_ARC
(10,7),-1.19179 # DEPENDENCYPART_ARC
(10,8),-1.47489 # DEPENDENCYPART_ARC
(10,9),-0.183461 # DEPENDENCYPART_ARC
(10,12),-0.600838 # DEPENDENCYPART_ARC
(10,14),-2.27871 # DEPENDENCYPART_ARC
(10,17),-1.58361 # DEPENDENCYPART_ARC
(11,1),-0.277637 # DEPENDENCYPART_ARC
(11,3),-0.344317 # DEPENDENCYPART_ARC
(11,5),-0.560226 # DEPENDENCYPART_ARC
(11,6),-1.12732 # DEPENDENCYPART_ARC
(11,7),0.190055 # DEPENDENCYPART_ARC
(11,8),-1.09196 # DEPENDENCYPART_ARC
(11,9),-1.05876 # DEPENDENCYPART_ARC
(11,10),1.97511 # DEPENDENCYPART_ARC
(11,12),1.50386 # DEPENDENCYPART_ARC
(11,13),-0.264217 # DEPENDENCYPART_ARC
(11,14),-0.906264 # DEPENDENCYPART_ARC
(11,15),0.424986 # DEPENDENCYPART_ARC
(11,16),-0.337241 # DEPENDENCYPART_ARC
(12,4),-1.35974 # DEPENDENCYPART_ARC
(12,6),-3.74251 # DEPENDENCYPART_ARC
(12,9),-2.06621 # DEPENDENCYPART_ARC
(12,10),-1.22519 # DEPENDENCYPART_ARC
(12,11),-0.609739 # DEPENDENCYPART_ARC
(12,13),-0.825193 # DEPENDENCYPART_ARC
(12,14),-1.74873 # DEPENDENCYPART_ARC
(12,15),-2.37342 # DEPENDENCYPART_ARC
(12,17),-1.81398 # DEPENDENCYPART_ARC
(13,3),-0.900234 # DEPENDENCYPART_ARC
(13,4),-1.42063 # DEPENDENCYPART_ARC
(13,6),-1.95837 # DEPENDENCYPART_ARC
(13,7),-1.07131 # DEPENDENCYPART_ARC
(13,9),-1.47053 # DEPENDENCYPART_ARC
(13,10),-0.567521 # DEPENDENCYPART_ARC
(13,11),-0.151533 # DEPENDENCYPART_ARC
(13,12),1.04923 # DEPENDENCYPART_ARC
(13,14),1.34883 # DEPENDENCYPART_ARC
(13,15),-0.423451 # DEPENDENCYPART_ARC
(13,16),-0.498352 # DEPENDENCYPART_ARC
(13,17),-1.14935 # DEPENDENCYPART_ARC
(14,10),-0.811309 # DEPENDENCYPART_ARC
(14,12),-0.374524 # DEPENDENCYPART_ARC
(14,13),-0.480377 # DEPENDENCYPART_ARC
(14,15),0.69937 # DEPENDENCYPART_ARC
(15,4),-1.24026 # DEPENDENCYPART_ARC
(15,5),-0.792401 # DEPENDENCYPART_ARC
(15,7),-0.99554 # DEPENDENCYPART_ARC
(15,9),-1.48617 # DEPENDENCYPART_ARC
(15,10),-0.398408 # DEPENDENCYPART_ARC
(15,11),-0.352454 # DEPENDENCYPART_ARC
(15,12),0.166391 # DEPENDENCYPART_ARC
(15,13),0.340306 # DEPENDENCYPART_ARC
(15,14),0.233635 # DEPENDENCYPART_ARC
(15,16),-0.71806 # DEPENDENCYPART_ARC
(15,17),-0.755289 # DEPENDENCYPART_ARC
(16,1),-0.612713 # DEPENDENCYPART_ARC
(16,2),-1.67076 # DEPENDENCYPART_ARC
(16,3),-0.794988 # DEPENDENCYPART_ARC
(16,4),-2.00459 # DEPENDENCYPART_ARC
(16,5),-0.959569 # DEPENDENCYPART_ARC
(16,7),-0.976881 # DEPENDENCYPART_ARC
(16,8),-1.37147 # DEPENDENCYPART_ARC
(16,9),-1.6786 # DEPENDENCYPART_ARC
(16,10),-1.2541 # DEPENDENCYPART_ARC
(16,11),-0.161044 # DEPENDENCYPART_ARC
(16,12),-0.835668 # DEPENDENCYPART_ARC
(16,13),0.112039 # DEPENDENCYPART_ARC
(16,14),-0.828326 # DEPENDENCYPART_ARC
(16,15),1.84879 # DEPENDENCYPART_ARC
(16,17),1.76588 # DEPENDENCYPART_ARC
(17,15),-0.937322 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.050412 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.018371 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00105084 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.116006 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0592342 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0509438 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.00733916 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.205183 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.173746 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.289026 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.201293 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.178956 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0176843 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0504244 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.00144602 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.118073 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0596294 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.135235 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0886109 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0504244 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0504243 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00694399 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0504244 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.114345 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.175377 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00489472 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0900379 # DEPENDENCYPART_SIBL
