# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(0,1),1.16619 # DEPENDENCYPART_ARC
(0,2),-1.04465 # DEPENDENCYPART_ARC
(0,3),-0.662385 # DEPENDENCYPART_ARC
(0,4),-0.131799 # DEPENDENCYPART_ARC
(0,5),-0.702202 # DEPENDENCYPART_ARC
(0,6),-1.47246 # DEPENDENCYPART_ARC
(0,7),1.13624 # DEPENDENCYPART_ARC
(0,8),-0.014447 # DEPENDENCYPART_ARC
(0,9),-0.964884 # DEPENDENCYPART_ARC
(0,10),-1.03048 # DEPENDENCYPART_ARC
(0,11),-0.999024 # DEPENDENCYPART_ARC
(0,12),0.757168 # DEPENDENCYPART_ARC
(0,15),-1.86055 # DEPENDENCYPART_ARC
(0,17),-0.606503 # DEPENDENCYPART_ARC
(0,19),-0.372958 # DEPENDENCYPART_ARC
(0,20),-0.99509 # DEPENDENCYPART_ARC
(0,21),-1.63602 # DEPENDENCYPART_ARC
(0,22),-2.1416 # DEPENDENCYPART_ARC
(1,2),-0.538319 # DEPENDENCYPART_ARC
(1,3),-1.95069 # DEPENDENCYPART_ARC
(1,7),-1.57713 # DEPENDENCYPART_ARC
(2,3),-0.702348 # DEPENDENCYPART_ARC
(2,6),-1.23311 # DEPENDENCYPART_ARC
(3,2),-0.226886 # DEPENDENCYPART_ARC
(3,5),-0.609922 # DEPENDENCYPART_ARC
(3,6),-0.304248 # DEPENDENCYPART_ARC
(3,7),-0.81507 # DEPENDENCYPART_ARC
(3,9),-1.21185 # DEPENDENCYPART_ARC
(3,13),-1.06776 # DEPENDENCYPART_ARC
(4,2),-0.989431 # DEPENDENCYPART_ARC
(4,3),2.23206 # DEPENDENCYPART_ARC
(4,5),1.30782 # DEPENDENCYPART_ARC
(4,6),-0.693984 # DEPENDENCYPART_ARC
(4,7),-0.311722 # DEPENDENCYPART_ARC
(4,8),-0.0315472 # DEPENDENCYPART_ARC
(4,10),-0.49296 # DEPENDENCYPART_ARC
(4,11),-0.788793 # DEPENDENCYPART_ARC
(4,12),-0.554115 # DEPENDENCYPART_ARC
(4,14),-0.710546 # DEPENDENCYPART_ARC
(4,16),0.269889 # DEPENDENCYPART_ARC
(4,18),-0.396205 # DEPENDENCYPART_ARC
(4,19),-0.527598 # DEPENDENCYPART_ARC
(4,21),-0.925849 # DEPENDENCYPART_ARC
(5,2),-2.11878 # DEPENDENCYPART_ARC
(5,3),-0.967329 # DEPENDENCYPART_ARC
(5,4),-0.506429 # DEPENDENCYPART_ARC
(5,6),1.41876 # DEPENDENCYPART_ARC
(5,7),-0.667715 # DEPENDENCYPART_ARC
(5,9),-1.17997 # DEPENDENCYPART_ARC
(5,13),-0.924419 # DEPENDENCYPART_ARC
(6,4),-0.517401 # DEPENDENCYPART_ARC
(6,5),-0.393787 # DEPENDENCYPART_ARC
(6,8),-1.36328 # DEPENDENCYPART_ARC
(7,8),0.248011 # DEPENDENCYPART_ARC
(7,10),-0.970581 # DEPENDENCYPART_ARC
(7,12),-0.68741 # DEPENDENCYPART_ARC
(8,1),-0.432123 # DEPENDENCYPART_ARC
(8,2),-1.48396 # DEPENDENCYPART_ARC
(8,3),-0.362208 # DEPENDENCYPART_ARC
(8,4),-0.101634 # DEPENDENCYPART_ARC
(8,5),0.203545 # DEPENDENCYPART_ARC
(8,6),-0.507994 # DEPENDENCYPART_ARC
(8,7),0.127538 # DEPENDENCYPART_ARC
(8,9),1.69016 # DEPENDENCYPART_ARC
(8,10),0.693381 # DEPENDENCYPART_ARC
(8,11),-0.539109 # DEPENDENCYPART_ARC
(8,12),-0.46897 # DEPENDENCYPART_ARC
(8,13),-0.730777 # DEPENDENCYPART_ARC
(8,14),-0.993582 # DEPENDENCYPART_ARC
(8,15),-1.08895 # DEPENDENCYPART_ARC
(8,16),-0.783515 # DEPENDENCYPART_ARC
(8,17),-0.954306 # DEPENDENCYPART_ARC
(8,18),-0.700023 # DEPENDENCYPART_ARC
(8,19),-0.786754 # DEPENDENCYPART_ARC
(8,20),-0.905731 # DEPENDENCYPART_ARC
(8,21),-0.486454 # DEPENDENCYPART_ARC
(9,10),-0.198855 # DEPENDENCYPART_ARC
(10,3),-1.18981 # DEPENDENCYPART_ARC
(10,4),-0.735401 # DEPENDENCYPART_ARC
(10,5),-0.817479 # DEPENDENCYPART_ARC
(10,8),-0.438139 # DEPENDENCYPART_ARC
(10,9),-0.484404 # DEPENDENCYPART_ARC
(10,11),1.11026 # DEPENDENCYPART_ARC
(10,12),-0.894279 # DEPENDENCYPART_ARC
(10,13),-1.52148 # DEPENDENCYPART_ARC
(10,14),-0.942341 # DEPENDENCYPART_ARC
(10,15),-1.79779 # DEPENDENCYPART_ARC
(10,17),-0.933127 # DEPENDENCYPART_ARC
(10,19),-2.1653 # DEPENDENCYPART_ARC
(10,22),-0.867166 # DEPENDENCYPART_ARC
(11,8),-0.902003 # DEPENDENCYPART_ARC
(11,9),-1.2259 # DEPENDENCYPART_ARC
(11,12),-0.314648 # DEPENDENCYPART_ARC
(11,13),-1.16532 # DEPENDENCYPART_ARC
(11,19),-1.30088 # DEPENDENCYPART_ARC
(12,3),-0.867142 # DEPENDENCYPART_ARC
