# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,11,4,5,10,10,10,11,0,13,14,11,14,14,16,0,23,19,23,23,14,23,
(0,1),-0.466924 # DEPENDENCYPART_ARC
(0,2),-0.304326 # DEPENDENCYPART_ARC
(0,3),-0.585507 # DEPENDENCYPART_ARC
(0,4),-0.13505 # DEPENDENCYPART_ARC
(0,5),-0.771907 # DEPENDENCYPART_ARC
(0,6),-0.887431 # DEPENDENCYPART_ARC
(0,8),-0.564456 # DEPENDENCYPART_ARC
(0,9),-0.713228 # DEPENDENCYPART_ARC
(0,10),-1.09012 # DEPENDENCYPART_ARC
(0,11),-0.0846042 # DEPENDENCYPART_ARC
(0,13),-0.953589 # DEPENDENCYPART_ARC
(0,14),-0.674059 # DEPENDENCYPART_ARC
(0,15),-0.883684 # DEPENDENCYPART_ARC
(0,16),-1.05089 # DEPENDENCYPART_ARC
(0,17),-1.23958 # DEPENDENCYPART_ARC
(0,18),0.543035 # DEPENDENCYPART_ARC
(0,20),-1.49836 # DEPENDENCYPART_ARC
(0,21),-0.811361 # DEPENDENCYPART_ARC
(0,22),-0.862097 # DEPENDENCYPART_ARC
(0,23),-1.62896 # DEPENDENCYPART_ARC
(0,24),-2.38696 # DEPENDENCYPART_ARC
(1,2),-0.888775 # DEPENDENCYPART_ARC
(2,1),1.65033 # DEPENDENCYPART_ARC
(2,3),-0.150256 # DEPENDENCYPART_ARC
(2,5),-1.001 # DEPENDENCYPART_ARC
(2,11),-0.905148 # DEPENDENCYPART_ARC
(3,2),-0.444436 # DEPENDENCYPART_ARC
(3,4),-0.215194 # DEPENDENCYPART_ARC
(3,6),-0.36043 # DEPENDENCYPART_ARC
(3,21),-0.968085 # DEPENDENCYPART_ARC
(3,22),-0.987769 # DEPENDENCYPART_ARC
(4,1),-0.196336 # DEPENDENCYPART_ARC
(4,2),0.973185 # DEPENDENCYPART_ARC
(4,3),1.06748 # DEPENDENCYPART_ARC
(4,5),1.75357 # DEPENDENCYPART_ARC
(4,6),-0.444162 # DEPENDENCYPART_ARC
(4,7),-0.673081 # DEPENDENCYPART_ARC
(4,8),-0.430746 # DEPENDENCYPART_ARC
(4,9),-0.994661 # DEPENDENCYPART_ARC
(4,10),-0.470962 # DEPENDENCYPART_ARC
(4,11),-0.315172 # DEPENDENCYPART_ARC
(4,12),-1.42679 # DEPENDENCYPART_ARC
(4,13),-0.827166 # DEPENDENCYPART_ARC
(4,14),-0.911315 # DEPENDENCYPART_ARC
(4,15),-0.970329 # DEPENDENCYPART_ARC
(4,16),-0.504166 # DEPENDENCYPART_ARC
(4,19),-1.60158 # DEPENDENCYPART_ARC
(4,23),-0.702977 # DEPENDENCYPART_ARC
(5,2),-0.77816 # DEPENDENCYPART_ARC
(5,3),-0.737066 # DEPENDENCYPART_ARC
(5,6),1.21046 # DEPENDENCYPART_ARC
(5,7),-1.24367 # DEPENDENCYPART_ARC
(5,8),-0.924425 # DEPENDENCYPART_ARC
(5,9),-0.776277 # DEPENDENCYPART_ARC
(5,11),-0.543872 # DEPENDENCYPART_ARC
(6,4),-0.787885 # DEPENDENCYPART_ARC
(6,5),-0.489986 # DEPENDENCYPART_ARC
(6,7),-0.596077 # DEPENDENCYPART_ARC
(7,1),-0.647985 # DEPENDENCYPART_ARC
(7,4),-0.745994 # DEPENDENCYPART_ARC
(7,5),-1.74052 # DEPENDENCYPART_ARC
(7,6),-0.328817 # DEPENDENCYPART_ARC
(7,8),-0.346247 # DEPENDENCYPART_ARC
(7,9),-0.902274 # DEPENDENCYPART_ARC
(7,12),-1.92578 # DEPENDENCYPART_ARC
(8,1),-0.764277 # DEPENDENCYPART_ARC
(8,2),-2.13398 # DEPENDENCYPART_ARC
(8,3),-1.23796 # DEPENDENCYPART_ARC
(8,4),-0.994366 # DEPENDENCYPART_ARC
(8,6),-1.11624 # DEPENDENCYPART_ARC
(8,7),-0.553005 # DEPENDENCYPART_ARC
(8,9),-0.183344 # DEPENDENCYPART_ARC
(8,12),-1.77623 # DEPENDENCYPART_ARC
(9,7),-0.817773 # DEPENDENCYPART_ARC
(9,8),-0.335394 # DEPENDENCYPART_ARC
(9,10),-0.1972 # DEPENDENCYPART_ARC
(9,12),-0.871217 # DEPENDENCYPART_ARC
(9,21),-0.985346 # DEPENDENCYPART_ARC
(9,22),-1.10092 # DEPENDENCYPART_ARC
(10,2),-0.286073 # DEPENDENCYPART_ARC
(10,3),-0.422077 # DEPENDENCYPART_ARC
(10,4),-0.519223 # DEPENDENCYPART_ARC
(10,5),-1.07868 # DEPENDENCYPART_ARC
(10,6),-1.25795 # DEPENDENCYPART_ARC
(10,7),0.679294 # DEPENDENCYPART_ARC
(10,8),1.28019 # DEPENDENCYPART_ARC
(10,9),1.04983 # DEPENDENCYPART_ARC
(10,11),0.17149 # DEPENDENCYPART_ARC
(10,12),-0.50694 # DEPENDENCYPART_ARC
(10,13),-0.434832 # DEPENDENCYPART_ARC
(10,14),-0.669265 # DEPENDENCYPART_ARC
(10,15),-0.290172 # DEPENDENCYPART_ARC
(10,16),-0.541237 # DEPENDENCYPART_ARC
(10,17),-0.937321 # DEPENDENCYPART_ARC
(10,20),-1.26459 # DEPENDENCYPART_ARC
(10,21),-1.40699 # DEPENDENCYPART_ARC
(10,22),-1.44932 # DEPENDENCYPART_ARC
(10,23),-0.900702 # DEPENDENCYPART_ARC
(11,1),-1.00095 # DEPENDENCYPART_ARC
(11,2),-1.02128 # DEPENDENCYPART_ARC
(11,3),-0.681046 # DEPENDENCYPART_ARC
(11,4),-0.259353 # DEPENDENCYPART_ARC
(11,5),-1.33931 # DEPENDENCYPART_ARC
(11,6),-1.49949 # DEPENDENCYPART_ARC
(11,7),-0.642405 # DEPENDENCYPART_ARC
(11,8),-0.56065 # DEPENDENCYPART_ARC
(11,9),-0.282972 # DEPENDENCYPART_ARC
