# _root_ agentzien_arabera , bi alderdi abertzaleek lan horretan dihardute egun hauetan , eta oraindik ez dute erabaki osoko zuzenketa aurkeztuko duten .
#goldHeads=12,1,4,8,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
#predictedHeads=8,1,4,6,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
(0,1),-0.799453 # DEPENDENCYPART_ARC
(0,2),-1.07889 # DEPENDENCYPART_ARC
(0,3),-1.28979 # DEPENDENCYPART_ARC
(0,4),-1.11101 # DEPENDENCYPART_ARC
(0,5),-2.00917 # DEPENDENCYPART_ARC
(0,6),-1.2566 # DEPENDENCYPART_ARC
(0,7),-1.64052 # DEPENDENCYPART_ARC
(0,8),0.181091 # DEPENDENCYPART_ARC
(0,10),-1.87004 # DEPENDENCYPART_ARC
(0,11),-0.906932 # DEPENDENCYPART_ARC
(0,12),0.426605 # DEPENDENCYPART_ARC
(0,13),-0.908227 # DEPENDENCYPART_ARC
(0,14),-1.01168 # DEPENDENCYPART_ARC
(0,15),-1.09837 # DEPENDENCYPART_ARC
(0,16),-0.846601 # DEPENDENCYPART_ARC
(0,17),-1.29151 # DEPENDENCYPART_ARC
(0,18),-1.67815 # DEPENDENCYPART_ARC
(0,19),-0.733392 # DEPENDENCYPART_ARC
(0,20),-1.02413 # DEPENDENCYPART_ARC
(0,21),-1.71924 # DEPENDENCYPART_ARC
(1,2),0.0239821 # DEPENDENCYPART_ARC
(1,3),-1.98122 # DEPENDENCYPART_ARC
(1,5),-2.37035 # DEPENDENCYPART_ARC
(2,1),-0.750368 # DEPENDENCYPART_ARC
(2,3),-0.444037 # DEPENDENCYPART_ARC
(2,5),-1.15926 # DEPENDENCYPART_ARC
(2,8),-0.70523 # DEPENDENCYPART_ARC
(3,1),-1.18105 # DEPENDENCYPART_ARC
(3,2),-0.549609 # DEPENDENCYPART_ARC
(3,4),-0.119523 # DEPENDENCYPART_ARC
(3,8),-0.557658 # DEPENDENCYPART_ARC
(4,1),-0.466324 # DEPENDENCYPART_ARC
(4,2),-0.790036 # DEPENDENCYPART_ARC
(4,3),0.906984 # DEPENDENCYPART_ARC
(4,5),1.77367 # DEPENDENCYPART_ARC
(4,6),-0.502777 # DEPENDENCYPART_ARC
(4,7),-0.0575807 # DEPENDENCYPART_ARC
(4,9),-0.874579 # DEPENDENCYPART_ARC
(4,12),-0.533063 # DEPENDENCYPART_ARC
(4,19),-0.677787 # DEPENDENCYPART_ARC
(5,1),-0.961534 # DEPENDENCYPART_ARC
(5,4),-0.265078 # DEPENDENCYPART_ARC
(5,6),-0.51899 # DEPENDENCYPART_ARC
(5,7),-1.80549 # DEPENDENCYPART_ARC
(6,1),-1.28101 # DEPENDENCYPART_ARC
(6,2),-1.55855 # DEPENDENCYPART_ARC
(6,3),-0.861706 # DEPENDENCYPART_ARC
(6,4),-0.0434888 # DEPENDENCYPART_ARC
(6,5),-0.522429 # DEPENDENCYPART_ARC
(6,7),2.01077 # DEPENDENCYPART_ARC
(6,8),-1.01205 # DEPENDENCYPART_ARC
(6,9),-0.976863 # DEPENDENCYPART_ARC
(6,13),-0.978204 # DEPENDENCYPART_ARC
(7,8),-0.279534 # DEPENDENCYPART_ARC
(7,9),-1.09579 # DEPENDENCYPART_ARC
(7,19),-1.21432 # DEPENDENCYPART_ARC
(8,1),-0.00428789 # DEPENDENCYPART_ARC
(8,2),-1.31261 # DEPENDENCYPART_ARC
(8,3),-0.635951 # DEPENDENCYPART_ARC
(8,4),-0.254608 # DEPENDENCYPART_ARC
(8,5),-0.659537 # DEPENDENCYPART_ARC
(8,6),0.691314 # DEPENDENCYPART_ARC
(8,7),0.36587 # DEPENDENCYPART_ARC
(8,9),0.63232 # DEPENDENCYPART_ARC
(8,11),-0.475129 # DEPENDENCYPART_ARC
(8,12),-0.801826 # DEPENDENCYPART_ARC
(8,13),-0.78664 # DEPENDENCYPART_ARC
(8,14),-0.77242 # DEPENDENCYPART_ARC
(8,15),-1.90711 # DEPENDENCYPART_ARC
(8,16),-1.02025 # DEPENDENCYPART_ARC
(8,18),-0.332597 # DEPENDENCYPART_ARC
(8,19),-0.982407 # DEPENDENCYPART_ARC
(8,20),-1.46426 # DEPENDENCYPART_ARC
(9,2),-1.72764 # DEPENDENCYPART_ARC
(9,3),-1.13327 # DEPENDENCYPART_ARC
(9,4),-0.904116 # DEPENDENCYPART_ARC
(9,5),-1.75245 # DEPENDENCYPART_ARC
(9,6),-0.508544 # DEPENDENCYPART_ARC
(9,7),-1.35159 # DEPENDENCYPART_ARC
(9,8),-0.121647 # DEPENDENCYPART_ARC
(9,10),1.47481 # DEPENDENCYPART_ARC
(9,11),-0.57599 # DEPENDENCYPART_ARC
(9,12),-0.703797 # DEPENDENCYPART_ARC
(9,13),-1.07824 # DEPENDENCYPART_ARC
(9,15),-1.45423 # DEPENDENCYPART_ARC
(9,16),-0.958788 # DEPENDENCYPART_ARC
(9,19),-0.917003 # DEPENDENCYPART_ARC
(9,21),-1.47155 # DEPENDENCYPART_ARC
(10,11),1.05032 # DEPENDENCYPART_ARC
(10,16),-1.05163 # DEPENDENCYPART_ARC
(10,18),-1.12573 # DEPENDENCYPART_ARC
(10,19),-0.99614 # DEPENDENCYPART_ARC
(11,8),-0.746052 # DEPENDENCYPART_ARC
(11,12),-0.351814 # DEPENDENCYPART_ARC
(12,1),-1.32331 # DEPENDENCYPART_ARC
(12,3),-0.922434 # DEPENDENCYPART_ARC
(12,4),-1.16387 # DEPENDENCYPART_ARC
(12,6),-0.840498 # DEPENDENCYPART_ARC
(12,7),-1.19705 # DEPENDENCYPART_ARC
(12,8),0.32548 # DEPENDENCYPART_ARC
(12,9),-0.275493 # DEPENDENCYPART_ARC
(12,10),-0.70757 # DEPENDENCYPART_ARC
(12,11),-0.392053 # DEPENDENCYPART_ARC
(12,13),-0.336796 # DEPENDENCYPART_ARC
